Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the  lisbon earthquake also known as the great lisbon earthquake impacted portugal the iberian peninsula and northwest africa on the morning of saturday  november feast of all saints at around  local time in combination with subsequent fires and a tsunami the earthquake almost completely destroyed lisbon and adjoining areas seismologists estimate the lisbon earthquake had a magnitude of  or greater on the moment magnitude scale with its epicenter in the atlantic ocean about  km  west southwest of cape st vincent and about  km  southwest of lisbon 
",lisbon earthquake known great lisbon earthquake impacted portugal iberian peninsula northwest africa morning saturday november feast saints local time combination subsequent fires tsunami earthquake completely destroyed lisbon adjoining areas seismologists estimate lisbon earthquake magnitude greater moment magnitude scale epicenter atlantic ocean km west southwest cape st vincent km southwest lisbon,6.50,"lisbon,earthquake,known,great,lisbon,earthquake,impacted,portugal,iberian,peninsula,northwest,africa,morning,saturday,november,feast,saints,local,time,combination,subsequent,fires,tsunami,earthquake,completely,destroyed,lisbon,adjoining,areas,seismologists,estimate,lisbon,earthquake,magnitude,greater,moment,magnitude,scale,epicenter,atlantic,ocean,km,west,southwest,cape,st,vincent,km,southwest,lisbon",0.00,lisbon
"chronologically it was the third known large scale earthquake to hit the city  estimates place the death toll in lisbon at between  and  people making it one of the deadliest earthquakes in history
",chronologically known large scale earthquake hit city estimates place death toll lisbon people making deadliest earthquakes history,8.08,"chronologically,known,large,scale,earthquake,hit,city,estimates,place,death,toll,lisbon,people,making,deadliest,earthquakes,history",0.00,lisbon
"lisbon was not the only portuguese city affected by the catastrophe throughout the south of the country in particular the algarve destruction was rampant the tsunami destroyed some coastal fortresses in the algarve and at lower levels it razed several houses almost all the coastal towns and villages of the algarve were heavily damaged except faro which was protected by the sandy banks of ria formosa in lagos the waves reached the top of the city walls other towns in different portuguese regions such as peniche cascais setbal and even covilh  were visibly affected by the earthquake the tsunami or both of them the shock waves of the earthquake destroyed part of covilhs castle walls and its large towers and damaged several other buildings in cova da beira as well as in salamanca spain in setbal parts of the fort of so filipe de setbal were damaged
",lisbon portuguese city affected catastrophe south country particular algarve destruction rampant tsunami destroyed coastal fortresses algarve lower levels razed houses coastal towns villages algarve heavily damaged faro protected sandy banks ria formosa lagos waves reached city walls towns different portuguese regions peniche cascais setbal covilh visibly affected earthquake tsunami shock waves earthquake destroyed covilhs castle walls large towers damaged buildings cova da beira salamanca spain setbal parts fort filipe de setbal damaged,8.75,"lisbon,portuguese,city,affected,catastrophe,south,country,particular,algarve,destruction,rampant,tsunami,destroyed,coastal,fortresses,algarve,lower,levels,razed,houses,coastal,towns,villages,algarve,heavily,damaged,faro,protected,sandy,banks,ria,formosa,lagos,waves,reached,city,walls,towns,different,portuguese,regions,peniche,cascais,setbal,covilh,visibly,affected,earthquake,tsunami,shock,waves,earthquake,destroyed,covilhs,castle,walls,large,towers,damaged,buildings,cova,da,beira,salamanca,spain,setbal,parts,fort,filipe,de,setbal,damaged",0.00,lisbon
"although seismologists and geologists have always agreed that the epicenter was in the atlantic to the west of the iberian peninsula its exact location has been a subject of considerable debate early hypotheses had proposed the gorringe ridge about  km  south west of lisbon until simulations showed that a location closer to the shore of portugal was required to comply with the observed effects of the tsunami a  seismic reflection survey of the ocean floor along the azoresgibraltar transform fault detected a  kilometre long  thrust fault southwest of cape st vincent with a dip slip throw of more than  km  this structure may have created the primary tectonic event
",seismologists geologists agreed epicenter atlantic west iberian peninsula exact location subject considerable debate early hypotheses proposed gorringe ridge km south west lisbon simulations showed location closer shore portugal required comply observed effects tsunami seismic reflection survey ocean floor azoresgibraltar transform fault detected kilometre long thrust fault southwest cape st vincent dip slip throw km structure created primary tectonic event,7.45,"seismologists,geologists,agreed,epicenter,atlantic,west,iberian,peninsula,exact,location,subject,considerable,debate,early,hypotheses,proposed,gorringe,ridge,km,south,west,lisbon,simulations,showed,location,closer,shore,portugal,required,comply,observed,effects,tsunami,seismic,reflection,survey,ocean,floor,azoresgibraltar,transform,fault,detected,kilometre,long,thrust,fault,southwest,cape,st,vincent,dip,slip,throw,km,structure,created,primary,tectonic,event",0.00,lisbon
"eighty five percent of lisbons buildings were destroyed including famous palaces and libraries as well as most examples of portugals distinctive th century manueline architecture several buildings that had suffered little earthquake damage were destroyed by the subsequent fire the new lisbon opera house  opened seven months before burned to the ground the royal ribeira palace which stood just beside the tagus river in the modern square of terreiro do pao was destroyed by the earthquake and tsunami inside the  volume royal library as well as hundreds of works of art including paintings by titian rubens and correggio were lost the royal archives disappeared together with detailed historical records of explorations by vasco da gama and other early navigators the palace of henrique de meneses rd marquis of lourial which housed  books was also destroyed the earthquake damaged several major churches in lisbon namely the lisbon cathedral the basilicas of so paulo santa catarina so vicente de fora and the misericrdia church the royal hospital of all saints  in the rossio square was consumed by fire and hundreds of patients burned to death the tomb of national hero nuno lvares pereira was also lost visitors to lisbon may still walk the ruins of the carmo convent which were preserved to remind lisboners of the destruction most of the documentation of the  algarve earthquake sent to lisbon for archiving became lost after the fire that followed the  earthquake
",eighty percent lisbons buildings destroyed including famous palaces libraries examples portugals distinctive th century manueline architecture buildings suffered little earthquake damage destroyed subsequent fire new lisbon opera house opened seven months burned ground royal ribeira palace stood tagus river modern square terreiro pao destroyed earthquake tsunami inside volume royal library hundreds works art including paintings titian rubens correggio lost royal archives disappeared detailed historical records explorations vasco da gama early navigators palace henrique de meneses rd marquis lourial housed books destroyed earthquake damaged major churches lisbon lisbon cathedral basilicas paulo santa catarina vicente de fora misericrdia church royal hospital saints rossio square consumed fire hundreds patients burned death tomb national hero nuno lvares pereira lost visitors lisbon walk ruins carmo convent preserved remind lisboners destruction documentation algarve earthquake sent lisbon archiving lost fire followed earthquake,6.92,"eighty,percent,lisbons,buildings,destroyed,including,famous,palaces,libraries,examples,portugals,distinctive,th,century,manueline,architecture,buildings,suffered,little,earthquake,damage,destroyed,subsequent,fire,new,lisbon,opera,house,opened,seven,months,burned,ground,royal,ribeira,palace,stood,tagus,river,modern,square,terreiro,pao,destroyed,earthquake,tsunami,inside,volume,royal,library,hundreds,works,art,including,paintings,titian,rubens,correggio,lost,royal,archives,disappeared,detailed,historical,records,explorations,vasco,da,gama,early,navigators,palace,henrique,de,meneses,rd,marquis,lourial,housed,books,destroyed,earthquake,damaged,major,churches,lisbon,lisbon,cathedral,basilicas,paulo,santa,catarina,vicente,de,fora,misericrdia,church,royal,hospital,saints,rossio,square,consumed,fire,hundreds,patients,burned,death,tomb,national,hero,nuno,lvares,pereira,lost,visitors,lisbon,walk,ruins,carmo,convent,preserved,remind,lisboners,destruction,documentation,algarve,earthquake,sent,lisbon,archiving,lost,fire,followed,earthquake",0.00,lisbon
"the royal family escaped unharmed from the catastrophe king joseph i of portugal and the court had left the city after attending mass at sunrise fulfilling the wish of one of the kings daughters to spend the holiday away from lisbon after the catastrophe joseph i developed a fear of living within walls and the court was accommodated in a huge complex of tents and pavilions in the hills of ajuda then on the outskirts of lisbon the kings claustrophobia never waned and it was only after josephs death that his daughter maria i of portugal began building the royal ajuda palace which still stands on the site of the old tented camp like the king the prime minister sebastio de melo  survived the earthquake when asked what was to be done pombal reportedly replied bury the dead and heal the living and set about organizing relief and rehabilitation efforts firefighters were sent to extinguish the raging flames and teams of workers and ordinary citizens were ordered to remove the thousands of corpses before disease could spread contrary to custom and against the wishes of the church many corpses were loaded onto barges and buried at sea beyond the mouth of the tagus to prevent disorder in the ruined city the portuguese army was deployed and gallows were constructed at high points around the city to deter looters more than thirty people were publicly executed the army prevented many able bodied citizens from fleeing pressing them into relief and reconstruction work
",royal family escaped unharmed catastrophe king joseph portugal court left city attending mass sunrise fulfilling wish kings daughters spend holiday away lisbon catastrophe joseph developed fear living walls court accommodated huge complex tents pavilions hills ajuda outskirts lisbon kings claustrophobia waned josephs death daughter maria portugal began building royal ajuda palace stands site old tented camp like king prime minister sebastio de melo survived earthquake asked pombal reportedly replied bury dead heal living set organizing relief rehabilitation efforts firefighters sent extinguish raging flames teams workers ordinary citizens ordered remove thousands corpses disease spread contrary custom wishes church corpses loaded barges buried sea mouth tagus prevent disorder ruined city portuguese army deployed gallows constructed high points city deter looters thirty people publicly executed army prevented able bodied citizens fleeing pressing relief reconstruction work,8.06,"royal,family,escaped,unharmed,catastrophe,king,joseph,portugal,court,left,city,attending,mass,sunrise,fulfilling,wish,kings,daughters,spend,holiday,away,lisbon,catastrophe,joseph,developed,fear,living,walls,court,accommodated,huge,complex,tents,pavilions,hills,ajuda,outskirts,lisbon,kings,claustrophobia,waned,josephs,death,daughter,maria,portugal,began,building,royal,ajuda,palace,stands,site,old,tented,camp,like,king,prime,minister,sebastio,de,melo,survived,earthquake,asked,pombal,reportedly,replied,bury,dead,heal,living,set,organizing,relief,rehabilitation,efforts,firefighters,sent,extinguish,raging,flames,teams,workers,ordinary,citizens,ordered,remove,thousands,corpses,disease,spread,contrary,custom,wishes,church,corpses,loaded,barges,buried,sea,mouth,tagus,prevent,disorder,ruined,city,portuguese,army,deployed,gallows,constructed,high,points,city,deter,looters,thirty,people,publicly,executed,army,prevented,able,bodied,citizens,fleeing,pressing,relief,reconstruction,work",0.00,lisbon
"a project proposed that a new royal palace be built in campo de ourique as the new royal residence in  but was later abandoned due to a lack of priority or interest in a palace being built in the campo de ourique neighborhood of lisbon
",project proposed new royal palace built campo de ourique new royal residence later abandoned lack priority interest palace built campo de ourique neighborhood lisbon,8.90,"project,proposed,new,royal,palace,built,campo,de,ourique,new,royal,residence,later,abandoned,lack,priority,interest,palace,built,campo,de,ourique,neighborhood,lisbon",0.00,lisbon
"the king and the prime minister immediately launched efforts to rebuild the city on december   a little more than a month after the earthquake manuel da maia chief engineer to the realm presented his plans for the re building of lisbon maia presented four options from abandoning lisbon to building a completely new city the first and cheapest plan was to rebuild the old city using recycled materials the second and third plans proposed widening certain streets the fourth option boldly proposed razing the entire baixa quarter and laying out new streets without restraint this last option was chosen by the king and his minister
",king prime minister immediately launched efforts rebuild city december little month earthquake manuel da maia chief engineer realm presented plans building lisbon maia presented options abandoning lisbon building completely new city cheapest plan rebuild old city recycled materials second plans proposed widening certain streets fourth option boldly proposed razing entire baixa quarter laying new streets restraint option chosen king minister,7.13,"king,prime,minister,immediately,launched,efforts,rebuild,city,december,little,month,earthquake,manuel,da,maia,chief,engineer,realm,presented,plans,building,lisbon,maia,presented,options,abandoning,lisbon,building,completely,new,city,cheapest,plan,rebuild,old,city,recycled,materials,second,plans,proposed,widening,certain,streets,fourth,option,boldly,proposed,razing,entire,baixa,quarter,laying,new,streets,restraint,option,chosen,king,minister",0.00,lisbon
"in less than a year the city was cleared of debris keen to have a new and perfectly ordered city the king commissioned the construction of big squares rectilinear large avenues and widened streets  the new mottos of lisbon
",year city cleared debris keen new perfectly ordered city king commissioned construction big squares rectilinear large avenues widened streets new mottos lisbon,7.62,"year,city,cleared,debris,keen,new,perfectly,ordered,city,king,commissioned,construction,big,squares,rectilinear,large,avenues,widened,streets,new,mottos,lisbon",0.00,lisbon
"the casa pia a portuguese institution founded by maria i  and organized by police intendant pina manique in  was founded following the social disarray of the  lisbon earthquake
",casa pia portuguese institution founded maria organized police intendant pina manique founded following social disarray lisbon earthquake,6.21,"casa,pia,portuguese,institution,founded,maria,organized,police,intendant,pina,manique,founded,following,social,disarray,lisbon,earthquake",0.00,lisbon
