Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the  mumbai attacks a were a series of terrorist attacks that took place in november  when  members of lashkar e taiba an islamist terrorist organisation from pakistan carried out  coordinated shooting and bombing attacks lasting four days across mumbai the attacks which drew widespread global condemnation began on wednesday  november and lasted until saturday  november  a total of  people died including nine attackers and more than  were wounded
",mumbai attacks series terrorist attacks took place november members lashkar e taiba islamist terrorist organisation pakistan carried coordinated shooting bombing attacks lasting days mumbai attacks drew widespread global condemnation began wednesday november lasted saturday november total people died including attackers wounded,5.99,"mumbai,attacks,series,terrorist,attacks,took,place,november,members,lashkar,e,taiba,islamist,terrorist,organisation,pakistan,carried,coordinated,shooting,bombing,attacks,lasting,days,mumbai,attacks,drew,widespread,global,condemnation,began,wednesday,november,lasted,saturday,november,total,people,died,including,attackers,wounded",0.00,mumbai
"eight of the attacks occurred in south mumbai at chhatrapati shivaji maharaj terminus the oberoi trident the taj palace  tower the leopold cafe the cama hospital the nariman house the metro cinema and in a lane behind the times of india building and st xaviers college there was also an explosion at mazagaon in mumbais port area and in a taxi at vile parle by the early morning of  november all sites except for the taj hotel had been secured by the mumbai police and security forces on  november indias national security guards  conducted operation black tornado to flush out the remaining attackers it culminated in the death of the last remaining attackers at the taj hotel and ended the attacks
",attacks occurred south mumbai chhatrapati shivaji maharaj terminus oberoi trident taj palace tower leopold cafe cama hospital nariman house metro cinema lane times india building st xaviers college explosion mazagaon mumbais port area taxi vile parle early morning november sites taj hotel secured mumbai police security forces november indias national security guards conducted operation black tornado flush remaining attackers culminated death remaining attackers taj hotel ended attacks,7.71,"attacks,occurred,south,mumbai,chhatrapati,shivaji,maharaj,terminus,oberoi,trident,taj,palace,tower,leopold,cafe,cama,hospital,nariman,house,metro,cinema,lane,times,india,building,st,xaviers,college,explosion,mazagaon,mumbais,port,area,taxi,vile,parle,early,morning,november,sites,taj,hotel,secured,mumbai,police,security,forces,november,indias,national,security,guards,conducted,operation,black,tornado,flush,remaining,attackers,culminated,death,remaining,attackers,taj,hotel,ended,attacks",0.00,mumbai
"before his execution in  ajmal kasab the sole surviving attacker disclosed that the attackers were members of the terrorist group lashkar e taiba and were controlled from pakistan corroborating initial claims from the indian government pakistan later confirmed that the sole surviving perpetrator of the attacks was a pakistani citizen on  april  the foremost ringleader of the attacks zakiur rehman lakhvi was released on bail and disappeared he was arrested again in lahore on  january  in  former pakistani prime minister nawaz sharif suggested that the pakistani government played a role in the  mumbai attack in  one of the masterminds of the attack sajid majeed mir who had been earlier claimed to be dead by the pakistan government was convicted for funding terrorist activities by an anti terrorism court in pakistan
",execution ajmal kasab sole surviving attacker disclosed attackers members terrorist group lashkar e taiba controlled pakistan corroborating initial claims indian government pakistan later confirmed sole surviving perpetrator attacks pakistani citizen april foremost ringleader attacks zakiur rehman lakhvi released bail disappeared arrested lahore january pakistani prime minister nawaz sharif suggested pakistani government played role mumbai attack masterminds attack sajid majeed mir earlier claimed dead pakistan government convicted funding terrorist activities anti terrorism court pakistan,6.91,"execution,ajmal,kasab,sole,surviving,attacker,disclosed,attackers,members,terrorist,group,lashkar,e,taiba,controlled,pakistan,corroborating,initial,claims,indian,government,pakistan,later,confirmed,sole,surviving,perpetrator,attacks,pakistani,citizen,april,foremost,ringleader,attacks,zakiur,rehman,lakhvi,released,bail,disappeared,arrested,lahore,january,pakistani,prime,minister,nawaz,sharif,suggested,pakistani,government,played,role,mumbai,attack,masterminds,attack,sajid,majeed,mir,earlier,claimed,dead,pakistan,government,convicted,funding,terrorist,activities,anti,terrorism,court,pakistan",0.00,mumbai
"there had been many terrorist attacks in mumbai since the  coordinated bomb explosions that killed  people and injured  on  march  the  attacks were carried out in revenge for earlier religious riots that killed many muslims
",terrorist attacks mumbai coordinated bomb explosions killed people injured march attacks carried revenge earlier religious riots killed muslims,7.56,"terrorist,attacks,mumbai,coordinated,bomb,explosions,killed,people,injured,march,attacks,carried,revenge,earlier,religious,riots,killed,muslims",0.00,mumbai
"on  december  a blast in a best bus near ghatkopar station killed two people and injured  the bombing occurred on the th anniversary of the demolition of the babri mosque in ayodhya a bicycle bomb exploded near the vile parle station in mumbai killing one person and injuring  on  january  a day before the visit of the prime minister of india atal bihari vajpayee to the city on  march  a day after the th anniversary of the  bombay bombings a bomb exploded in a train compartment near the mulund station killing  people and injuring  on  july  a blast in a best bus in ghatkopar killed  people and injured  on  august  two bombs exploded in south mumbai one near the gateway of india and the other at zaveri bazaar in kalbadevi at least  people were killed and  injured on  july  seven bombs exploded within  minutes on the suburban railway in mumbai killing  people including  foreigners and more than  injured according to the mumbai police the bombings were carried out by lashkar e taiba  and students islamic movement of india 
",december blast best bus near ghatkopar station killed people injured bombing occurred th anniversary demolition babri mosque ayodhya bicycle bomb exploded near vile parle station mumbai killing person injuring january day visit prime minister india atal bihari vajpayee city march day th anniversary bombay bombings bomb exploded train compartment near mulund station killing people injuring july blast best bus ghatkopar killed people injured august bombs exploded south mumbai near gateway india zaveri bazaar kalbadevi people killed injured july seven bombs exploded minutes suburban railway mumbai killing people including foreigners injured according mumbai police bombings carried lashkar e taiba students islamic movement india,7.34,"december,blast,best,bus,near,ghatkopar,station,killed,people,injured,bombing,occurred,th,anniversary,demolition,babri,mosque,ayodhya,bicycle,bomb,exploded,near,vile,parle,station,mumbai,killing,person,injuring,january,day,visit,prime,minister,india,atal,bihari,vajpayee,city,march,day,th,anniversary,bombay,bombings,bomb,exploded,train,compartment,near,mulund,station,killing,people,injuring,july,blast,best,bus,ghatkopar,killed,people,injured,august,bombs,exploded,south,mumbai,near,gateway,india,zaveri,bazaar,kalbadevi,people,killed,injured,july,seven,bombs,exploded,minutes,suburban,railway,mumbai,killing,people,including,foreigners,injured,according,mumbai,police,bombings,carried,lashkar,e,taiba,students,islamic,movement,india",0.00,mumbai
"from the recruits ten were handpicked for the mumbai mission they also received training in swimming and sailing besides the use of high end weapons and explosives under the supervision of let commanders according to a media report citing an unnamed former defence department official of the us the intelligence agencies of the us had determined that former officers from pakistans army and inter services intelligence agency assisted actively and continuously in training they were given blueprints of all the four targets  the taj mahal palace hotel oberoi trident nariman house and chhatrapati shivaji maharaj terminus
",recruits handpicked mumbai mission received training swimming sailing use high end weapons explosives supervision let commanders according media report citing unnamed defence department official intelligence agencies determined officers pakistans army inter services intelligence agency assisted actively continuously training given blueprints targets taj mahal palace hotel oberoi trident nariman house chhatrapati shivaji maharaj terminus,6.91,"recruits,handpicked,mumbai,mission,received,training,swimming,sailing,use,high,end,weapons,explosives,supervision,let,commanders,according,media,report,citing,unnamed,defence,department,official,intelligence,agencies,determined,officers,pakistans,army,inter,services,intelligence,agency,assisted,actively,continuously,training,given,blueprints,targets,taj,mahal,palace,hotel,oberoi,trident,nariman,house,chhatrapati,shivaji,maharaj,terminus",0.00,mumbai
"the attackers then headed towards cama hospital with intent to kill patients but the hospital staff locked all of the patient wards a team of the mumbai anti terrorist squad led by police chief hemant karkare searched the chhatrapati shivaji terminus and then left in pursuit of kasab and khan kasab and khan opened fire on the vehicle in a lane next to the hospital and received return fire in response karkare vijay salaskar ashok kamte and three of their officers were killed the only survivor constable arun jadhav was severely wounded kasab and khan seized the police vehicle but later abandoned it and seized a passenger car instead they then ran into a police roadblock which had been set up after jadhav radioed for help a gun battle then ensued in which khan was killed and kasab was wounded after a physical struggle kasab was arrested a police officer tukaram omble was also killed when he tried to disarm kasab by wrestling his weapon away from him
",attackers headed cama hospital intent kill patients hospital staff locked patient wards team mumbai anti terrorist squad led police chief hemant karkare searched chhatrapati shivaji terminus left pursuit kasab khan kasab khan opened fire vehicle lane hospital received return fire response karkare vijay salaskar ashok kamte officers killed survivor constable arun jadhav severely wounded kasab khan seized police vehicle later abandoned seized passenger car instead ran police roadblock set jadhav radioed help gun battle ensued khan killed kasab wounded physical struggle kasab arrested police officer tukaram omble killed tried disarm kasab wrestling weapon away,7.70,"attackers,headed,cama,hospital,intent,kill,patients,hospital,staff,locked,patient,wards,team,mumbai,anti,terrorist,squad,led,police,chief,hemant,karkare,searched,chhatrapati,shivaji,terminus,left,pursuit,kasab,khan,kasab,khan,opened,fire,vehicle,lane,hospital,received,return,fire,response,karkare,vijay,salaskar,ashok,kamte,officers,killed,survivor,constable,arun,jadhav,severely,wounded,kasab,khan,seized,police,vehicle,later,abandoned,seized,passenger,car,instead,ran,police,roadblock,set,jadhav,radioed,help,gun,battle,ensued,khan,killed,kasab,wounded,physical,struggle,kasab,arrested,police,officer,tukaram,omble,killed,tried,disarm,kasab,wrestling,weapon,away",0.00,mumbai
"the leopold cafe a popular restaurant and bar on colaba causeway in south mumbai was one of the first sites to be attacked two attackers shoaib alias soheb and nazir alias abu umer opened fire on the cafe on the evening of  november between  and  killing  people  and injuring many more
",leopold cafe popular restaurant bar colaba causeway south mumbai sites attacked attackers shoaib alias soheb nazir alias abu umer opened fire cafe evening november killing people injuring,8.36,"leopold,cafe,popular,restaurant,bar,colaba,causeway,south,mumbai,sites,attacked,attackers,shoaib,alias,soheb,nazir,alias,abu,umer,opened,fire,cafe,evening,november,killing,people,injuring",0.00,mumbai
"nariman house a chabad lubavitch jewish centre in colaba known as the mumbai chabad house was taken over by two attackers and several residents were held hostage police evacuated adjacent buildings and exchanged fire with the attackers wounding one local residents were told to stay inside the attackers threw a grenade into a nearby lane causing no casualties nsg commandos arrived from delhi and a naval helicopter took an aerial survey during the first day  hostages were rescued from the first floor the following day the house was stormed by nsg commandos fast roping from helicopters onto the roof covered by snipers positioned in nearby buildings after a long battle one nsg commando sergeant gajender singh bisht was killed as were both perpetrators rabbi gavriel holtzberg and his wife rivka holtzberg who was six months pregnant were murdered with four other hostages inside the house by the attackers
",nariman house chabad lubavitch jewish centre colaba known mumbai chabad house taken attackers residents held hostage police evacuated adjacent buildings exchanged fire attackers wounding local residents told stay inside attackers threw grenade nearby lane causing casualties nsg commandos arrived delhi naval helicopter took aerial survey day hostages rescued floor following day house stormed nsg commandos fast roping helicopters roof covered snipers positioned nearby buildings long battle nsg commando sergeant gajender singh bisht killed perpetrators rabbi gavriel holtzberg wife rivka holtzberg months pregnant murdered hostages inside house attackers,6.69,"nariman,house,chabad,lubavitch,jewish,centre,colaba,known,mumbai,chabad,house,taken,attackers,residents,held,hostage,police,evacuated,adjacent,buildings,exchanged,fire,attackers,wounding,local,residents,told,stay,inside,attackers,threw,grenade,nearby,lane,causing,casualties,nsg,commandos,arrived,delhi,naval,helicopter,took,aerial,survey,day,hostages,rescued,floor,following,day,house,stormed,nsg,commandos,fast,roping,helicopters,roof,covered,snipers,positioned,nearby,buildings,long,battle,nsg,commando,sergeant,gajender,singh,bisht,killed,perpetrators,rabbi,gavriel,holtzberg,wife,rivka,holtzberg,months,pregnant,murdered,hostages,inside,house,attackers",0.00,mumbai
"nsg commandos then took on the nariman house and a naval helicopter took an aerial survey during the first day  hostages were rescued from the first floor the following day the house was stormed by nsg commandos fast roping from helicopters onto the roof covered by snipers positioned in nearby buildings nsg commando sergeant gajender singh bisht who was part of the team that fast roped onto nariman house died after a long battle in which both perpetrators were also killed by the morning of  november the nsg had secured the jewish outreach centre at nariman house as well as the oberoi trident hotel they also incorrectly believed that the taj palace and towers had been cleared of attackers and soldiers were leading hostages and holed up guests to safety and removing bodies of those killed in the attacks however later news reports indicated that there were still two or three attackers in the taj with explosions heard and gunfire exchanged fires were also reported at the ground floor of the taj with plumes of smoke arising from the first floor the final operation at the taj palace hotel was completed by the nsg commandos at  on  november killing three attackers and resulting in the conclusion of the attacks the nsg rescued  people from the oberoi  from the taj and  people  from nariman house in addition police seized a boat filled with arms and explosives anchored at mazgaon dock off mumbai harbour
",nsg commandos took nariman house naval helicopter took aerial survey day hostages rescued floor following day house stormed nsg commandos fast roping helicopters roof covered snipers positioned nearby buildings nsg commando sergeant gajender singh bisht team fast roped nariman house died long battle perpetrators killed morning november nsg secured jewish outreach centre nariman house oberoi trident hotel incorrectly believed taj palace towers cleared attackers soldiers leading hostages holed guests safety removing bodies killed attacks later news reports indicated attackers taj explosions heard gunfire exchanged fires reported ground floor taj plumes smoke arising floor final operation taj palace hotel completed nsg commandos november killing attackers resulting conclusion attacks nsg rescued people oberoi taj people nariman house addition police seized boat filled arms explosives anchored mazgaon dock mumbai harbour,8.11,"nsg,commandos,took,nariman,house,naval,helicopter,took,aerial,survey,day,hostages,rescued,floor,following,day,house,stormed,nsg,commandos,fast,roping,helicopters,roof,covered,snipers,positioned,nearby,buildings,nsg,commando,sergeant,gajender,singh,bisht,team,fast,roped,nariman,house,died,long,battle,perpetrators,killed,morning,november,nsg,secured,jewish,outreach,centre,nariman,house,oberoi,trident,hotel,incorrectly,believed,taj,palace,towers,cleared,attackers,soldiers,leading,hostages,holed,guests,safety,removing,bodies,killed,attacks,later,news,reports,indicated,attackers,taj,explosions,heard,gunfire,exchanged,fires,reported,ground,floor,taj,plumes,smoke,arising,floor,final,operation,taj,palace,hotel,completed,nsg,commandos,november,killing,attackers,resulting,conclusion,attacks,nsg,rescued,people,oberoi,taj,people,nariman,house,addition,police,seized,boat,filled,arms,explosives,anchored,mazgaon,dock,mumbai,harbour",0.00,mumbai
