Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the  fifa world cup was an international football tournament contested by the mens national teams of fifas member associations and nd edition of the fifa world cup it took place in qatar from  november to  december  making it the first world cup held in the arab world and muslim world and the second held entirely in asia after the  tournament in south korea and japana
",fifa world cup international football tournament contested mens national teams fifas member associations nd edition fifa world cup took place qatar november december making world cup held arab world muslim world second held entirely asia tournament south korea japana,7.01,"fifa,world,cup,international,football,tournament,contested,mens,national,teams,fifas,member,associations,nd,edition,fifa,world,cup,took,place,qatar,november,december,making,world,cup,held,arab,world,muslim,world,second,held,entirely,asia,tournament,south,korea,japana",0.00,qatar
"this tournament was the last with  participating teams with the number of teams being increased to  for the  edition to avoid the extremes of qatars hot climateb the event was held during november and decemberc it was held over a reduced time frame of  days with  matches played in eight venues across five cities qatar entered the eventtheir first world cupautomatically as the hosts national team alongside  teams determined by the qualification process
",tournament participating teams number teams increased edition avoid extremes qatars hot climateb event held november decemberc held reduced time frame days matches played venues cities qatar entered eventtheir world cupautomatically hosts national team alongside teams determined qualification process,7.68,"tournament,participating,teams,number,teams,increased,edition,avoid,extremes,qatars,hot,climateb,event,held,november,decemberc,held,reduced,time,frame,days,matches,played,venues,cities,qatar,entered,eventtheir,world,cupautomatically,hosts,national,team,alongside,teams,determined,qualification,process",0.00,qatar
"the choice to host the world cup in qatar attracted significant criticism with concerns raised over the countrys treatment of migrant workers women and members of the lgbt community as well as qatars climate lack of a strong football culture scheduling changes and allegations of bribery for hosting rights and wider fifa corruptiond
",choice host world cup qatar attracted significant criticism concerns raised countrys treatment migrant workers women members lgbt community qatars climate lack strong football culture scheduling changes allegations bribery hosting rights wider fifa corruptiond,5.99,"choice,host,world,cup,qatar,attracted,significant,criticism,concerns,raised,countrys,treatment,migrant,workers,women,members,lgbt,community,qatars,climate,lack,strong,football,culture,scheduling,changes,allegations,bribery,hosting,rights,wider,fifa,corruptiond",0.00,qatar
"the fifa world cup is a professional football tournament held between national football teams organised by fifa the tournament held every four years was first played in  in uruguay and has been contested by  teams since the  event the tournament was contested with eight round robin groups followed by a knockout round for  teams the defending champions were france who defeated croatia  in the  fifa world cup final the event was scheduled to take place under a reduced length from  november to  december in qatar being held in qatar it was the first world cup tournament to be held in the arab world spectators were not required to follow most covid  pandemic restrictions such as social distancing wearing masks and negative tests
",fifa world cup professional football tournament held national football teams organised fifa tournament held years played uruguay contested teams event tournament contested round robin groups followed knockout round teams defending champions france defeated croatia fifa world cup final event scheduled place reduced length november december qatar held qatar world cup tournament held arab world spectators required follow covid pandemic restrictions social distancing wearing masks negative tests,7.63,"fifa,world,cup,professional,football,tournament,held,national,football,teams,organised,fifa,tournament,held,years,played,uruguay,contested,teams,event,tournament,contested,round,robin,groups,followed,knockout,round,teams,defending,champions,france,defeated,croatia,fifa,world,cup,final,event,scheduled,place,reduced,length,november,december,qatar,held,qatar,world,cup,tournament,held,arab,world,spectators,required,follow,covid,pandemic,restrictions,social,distancing,wearing,masks,negative,tests",0.00,qatar
"the match schedule was confirmed by fifa in july  the group stage was set to begin on  november with four matches every day later the schedule was tweaked by moving the qatar vs ecuador game to  november after qatar lobbied fifa to allow their team to open the tournament the final was played on  december  national day at lusail stadium
",match schedule confirmed fifa july group stage set begin november matches day later schedule tweaked moving qatar vs ecuador game november qatar lobbied fifa allow team open tournament final played december national day lusail stadium,7.40,"match,schedule,confirmed,fifa,july,group,stage,set,begin,november,matches,day,later,schedule,tweaked,moving,qatar,vs,ecuador,game,november,qatar,lobbied,fifa,allow,team,open,tournament,final,played,december,national,day,lusail,stadium",0.00,qatar
"fifa confirmed the group stage venue and kick off times on  april  following the draw on  august it was confirmed that qatar vs ecuador had been brought forward one day now becoming the tournaments opening match while senegal vs netherlands which would have opened the tournament under the original schedule had been reallocated to the freed up timeslot
",fifa confirmed group stage venue kick times april following draw august confirmed qatar vs ecuador brought forward day tournaments opening match senegal vs netherlands opened tournament original schedule reallocated freed timeslot,7.63,"fifa,confirmed,group,stage,venue,kick,times,april,following,draw,august,confirmed,qatar,vs,ecuador,brought,forward,day,tournaments,opening,match,senegal,vs,netherlands,opened,tournament,original,schedule,reallocated,freed,timeslot",0.00,qatar
"after uefa were guaranteed to host the  event members of uefa were no longer in contention to host in  there were five bids remaining for the  fifa world cup australia japan qatar south korea and the united states
the  member fifa executive committee convened in zrich on  december  to vote to select the hosts of both tournaments two fifa executive committee members were suspended before the vote in relation to allegations of corruption regarding their votes the decision to host the  world cup in qatar which was graded as having high operational risk generated criticism from media commentators it was criticised by many as being part of the fifa corruption scandals
",uefa guaranteed host event members uefa longer contention host bids remaining fifa world cup australia japan qatar south korea united statesthe member fifa executive committee convened zrich december vote select hosts tournaments fifa executive committee members suspended vote relation allegations corruption votes decision host world cup qatar graded high operational risk generated criticism media commentators criticised fifa corruption scandals,7.74,"uefa,guaranteed,host,event,members,uefa,longer,contention,host,bids,remaining,fifa,world,cup,australia,japan,qatar,south,korea,united,statesthe,member,fifa,executive,committee,convened,zrich,december,vote,select,hosts,tournaments,fifa,executive,committee,members,suspended,vote,relation,allegations,corruption,votes,decision,host,world,cup,qatar,graded,high,operational,risk,generated,criticism,media,commentators,criticised,fifa,corruption,scandals",0.00,qatar
"there have been allegations of bribery and corruption in the selection process involving fifas executive committee members these allegations are being investigated by fifa  in may  allegations of corruption within the fifa senior officials raised questions over the legitimacy of the world cup  being held in qatar the accusations of corruption were made relating to how qatar won the right to host the event a fifa internal investigation and report cleared qatar of any violation but chief investigator michael j garcia described fifas report on his enquiry as containing numerous materially incomplete and erroneous representations
",allegations bribery corruption selection process involving fifas executive committee members allegations investigated fifa allegations corruption fifa senior officials raised questions legitimacy world cup held qatar accusations corruption relating qatar right host event fifa internal investigation report cleared qatar violation chief investigator michael j garcia described fifas report enquiry containing numerous materially incomplete erroneous representations,6.47,"allegations,bribery,corruption,selection,process,involving,fifas,executive,committee,members,allegations,investigated,fifa,allegations,corruption,fifa,senior,officials,raised,questions,legitimacy,world,cup,held,qatar,accusations,corruption,relating,qatar,right,host,event,fifa,internal,investigation,report,cleared,qatar,violation,chief,investigator,michael,j,garcia,described,fifas,report,enquiry,containing,numerous,materially,incomplete,erroneous,representations",0.00,qatar
"in may  swiss federal prosecutors opened an investigation into corruption and money laundering related to the  and  world cup bids in august  former fifa president sepp blatter claimed that qatar had used black ops suggesting that the bid committee had cheated to win the hosting rights some investigations found that qatar sought an edge in securing hosting by hiring a former cia officer turned private contractor kevin chalker to spy on rival bid teams and key football officials who picked the winner in 
",swiss federal prosecutors opened investigation corruption money laundering related world cup bids august fifa president sepp blatter claimed qatar black ops suggesting bid committee cheated win hosting rights investigations found qatar sought edge securing hosting hiring cia officer turned private contractor kevin chalker spy rival bid teams key football officials picked winner,6.09,"swiss,federal,prosecutors,opened,investigation,corruption,money,laundering,related,world,cup,bids,august,fifa,president,sepp,blatter,claimed,qatar,black,ops,suggesting,bid,committee,cheated,win,hosting,rights,investigations,found,qatar,sought,edge,securing,hosting,hiring,cia,officer,turned,private,contractor,kevin,chalker,spy,rival,bid,teams,key,football,officials,picked,winner",0.00,qatar
"in september  a delegation from al ghufran tribe lodged a complaint to fifas president to reject the establishment of the world cup in qatar unless its government restored the qatari nationality to all those affected from the tribe and returned land allegedly stolen from them to build the sport facilities
",september delegation al ghufran tribe lodged complaint fifas president reject establishment world cup qatar government restored qatari nationality affected tribe returned land allegedly stolen build sport facilities,7.49,"september,delegation,al,ghufran,tribe,lodged,complaint,fifas,president,reject,establishment,world,cup,qatar,government,restored,qatari,nationality,affected,tribe,returned,land,allegedly,stolen,build,sport,facilities",0.00,qatar
"qatar faced strong criticism for the treatment of foreign workers involved in preparation for the world cup with amnesty international referring to forced labour and poor working conditions while many migrant workers reported having to pay large recruitment fees to obtain employment the guardian newspaper reported that many workers were denied food and water had their identity papers taken away from them and that they were not paid on time or at all making some of them in effect slaves the guardian estimated that up to  workers could die from lax safety and other causes by the time the competition was held between  and  the qatari government adopted new labour reforms to improve working conditions including a minimum wage for all workers and the removal of the kafala system according to amnesty international however living and working conditions of the foreign workers did not improve in the last years
",qatar faced strong criticism treatment foreign workers involved preparation world cup amnesty international referring forced labour poor working conditions migrant workers reported pay large recruitment fees obtain employment guardian newspaper reported workers denied food water identity papers taken away paid time making effect slaves guardian estimated workers die lax safety causes time competition held qatari government adopted new labour reforms improve working conditions including minimum wage workers removal kafala system according amnesty international living working conditions foreign workers improve years,7.54,"qatar,faced,strong,criticism,treatment,foreign,workers,involved,preparation,world,cup,amnesty,international,referring,forced,labour,poor,working,conditions,migrant,workers,reported,pay,large,recruitment,fees,obtain,employment,guardian,newspaper,reported,workers,denied,food,water,identity,papers,taken,away,paid,time,making,effect,slaves,guardian,estimated,workers,die,lax,safety,causes,time,competition,held,qatari,government,adopted,new,labour,reforms,improve,working,conditions,including,minimum,wage,workers,removal,kafala,system,according,amnesty,international,living,working,conditions,foreign,workers,improve,years",0.00,qatar
"qatar was the smallest nation by area ever to have been awarded a fifa world cup  the next smallest by area was switzerland host of the  world cup which was more than three times as large as qatar and only needed to host  teams instead of  qatar also became only the second country  to be awarded a fifa world cup despite having never qualified for a previous edition japan was awarded co hosting rights of the  world cup in  without ever having qualified for the finals although they qualified for the  edition of the eight stadiums used in the tournament six were located in the doha metropolitan area making it the first world cup since  in which most of the stadiums were in one city while this decreased the distance that fans and players needed to commute qatar itself struggled to accommodate the numbers of arriving fans with its diminutive amount of space
",qatar smallest nation area awarded fifa world cup smallest area switzerland host world cup times large qatar needed host teams instead qatar second country awarded fifa world cup despite qualified previous edition japan awarded co hosting rights world cup qualified finals qualified edition stadiums tournament located doha metropolitan area making world cup stadiums city decreased distance fans players needed commute qatar struggled accommodate numbers arriving fans diminutive space,9.83,"qatar,smallest,nation,area,awarded,fifa,world,cup,smallest,area,switzerland,host,world,cup,times,large,qatar,needed,host,teams,instead,qatar,second,country,awarded,fifa,world,cup,despite,qualified,previous,edition,japan,awarded,co,hosting,rights,world,cup,qualified,finals,qualified,edition,stadiums,tournament,located,doha,metropolitan,area,making,world,cup,stadiums,city,decreased,distance,fans,players,needed,commute,qatar,struggled,accommodate,numbers,arriving,fans,diminutive,space",0.00,qatar
"at an estimated cost of over  billion it is the most expensive world cup ever held to date this figure is disputed by qatari officials including organising ceo nasser al khater who said the true cost was  billion and other figures related to overall infrastructure development since the world cup was awarded to qatar in 
",estimated cost billion expensive world cup held date figure disputed qatari officials including organising ceo nasser al khater said true cost billion figures related overall infrastructure development world cup awarded qatar,7.45,"estimated,cost,billion,expensive,world,cup,held,date,figure,disputed,qatari,officials,including,organising,ceo,nasser,al,khater,said,true,cost,billion,figures,related,overall,infrastructure,development,world,cup,awarded,qatar",0.00,qatar
"the first five proposed venues for the world cup were unveiled at the beginning of march  qatar intended that the stadiums should reflect its history and culture and for the designs to meet the following terms of reference legacy comfort accessibility and sustainability the stadiums were equipped with cooling systems that aim to reduce temperatures within the stadium by up to  c 
",proposed venues world cup unveiled beginning march qatar intended stadiums reflect history culture designs meet following terms reference legacy comfort accessibility sustainability stadiums equipped cooling systems aim reduce temperatures stadium c,8.09,"proposed,venues,world,cup,unveiled,beginning,march,qatar,intended,stadiums,reflect,history,culture,designs,meet,following,terms,reference,legacy,comfort,accessibility,sustainability,stadiums,equipped,cooling,systems,aim,reduce,temperatures,stadium,c",0.00,qatar
"their marketing included statements describing the stadiums as zero waste and the upper tiers of the stadiums will be disassembled after the world cup and donated to countries with less developed sports infrastructure qatar aspired to be compliant and certified by the global sustainability assessment system  for all the world cup stadiums all of the five stadium projects launched were designed by german architect albert speer  partners the al bayt and al wakrah stadiums were the only indoor stadiums of the eight used
",marketing included statements describing stadiums zero waste upper tiers stadiums disassembled world cup donated countries developed sports infrastructure qatar aspired compliant certified global sustainability assessment system world cup stadiums stadium projects launched designed german architect albert speer partners al bayt al wakrah stadiums indoor stadiums,7.27,"marketing,included,statements,describing,stadiums,zero,waste,upper,tiers,stadiums,disassembled,world,cup,donated,countries,developed,sports,infrastructure,qatar,aspired,compliant,certified,global,sustainability,assessment,system,world,cup,stadiums,stadium,projects,launched,designed,german,architect,albert,speer,partners,al,bayt,al,wakrah,stadiums,indoor,stadiums",0.00,qatar
"in an april  report by merrill lynch the organisers in qatar requested that fifa approve a smaller number of stadiums due to the growing costs bloomberg said that qatar wished to cut the number of venues to eight or nine from the twelve originally planned by april  fifa had yet to finalise the number of stadiums qatar must have readied in five years time qatars supreme committee for delivery and legacy  said it expected there would be eight in and near doha with the exception of al khor
",april report merrill lynch organisers qatar requested fifa approve smaller number stadiums growing costs bloomberg said qatar wished cut number venues originally planned april fifa finalise number stadiums qatar readied years time qatars supreme committee delivery legacy said expected near doha exception al khor,8.94,"april,report,merrill,lynch,organisers,qatar,requested,fifa,approve,smaller,number,stadiums,growing,costs,bloomberg,said,qatar,wished,cut,number,venues,originally,planned,april,fifa,finalise,number,stadiums,qatar,readied,years,time,qatars,supreme,committee,delivery,legacy,said,expected,near,doha,exception,al,khor",0.00,qatar
"fifas six continental confederations organised their own qualifying competitions all  fifa member associations were eligible to enter qualification the qatari national team as hosts qualified automatically for the tournament however the asian football confederation  obliged qatar to participate in the asian qualifying stage as the first two rounds also act as qualification for the  afc asian cup since qatar reached the final stage as winners in their group lebanon the fifth best second place team advanced instead france the reigning world cup champions also went through qualifying stages as normal
",fifas continental confederations organised qualifying competitions fifa member associations eligible enter qualification qatari national team hosts qualified automatically tournament asian football confederation obliged qatar participate asian qualifying stage rounds act qualification afc asian cup qatar reached final stage winners group lebanon fifth best second place team advanced instead france reigning world cup champions went qualifying stages normal,5.45,"fifas,continental,confederations,organised,qualifying,competitions,fifa,member,associations,eligible,enter,qualification,qatari,national,team,hosts,qualified,automatically,tournament,asian,football,confederation,obliged,qatar,participate,asian,qualifying,stage,rounds,act,qualification,afc,asian,cup,qatar,reached,final,stage,winners,group,lebanon,fifth,best,second,place,team,advanced,instead,france,reigning,world,cup,champions,went,qualifying,stages,normal",0.00,qatar
"of the  nations qualified to play at the  fifa world cup  countries competed at the previous tournament in  qatar were the only team making their debut in the fifa world cup becoming the first hosts to make their tournament debut since italy in  as a result the  tournament was the first world cup in which none of the teams that earned a spot through qualification were making their debut the netherlands ecuador ghana cameroon and the united states returned to the tournament after missing the  tournament canada returned after  years their only prior appearance being in  wales made their first appearance in  years  the longest ever gap for any team their only previous participation having been in 
",nations qualified play fifa world cup countries competed previous tournament qatar team making debut fifa world cup hosts tournament debut italy result tournament world cup teams earned spot qualification making debut netherlands ecuador ghana cameroon united states returned tournament missing tournament canada returned years prior appearance wales appearance years longest gap team previous participation,8.95,"nations,qualified,play,fifa,world,cup,countries,competed,previous,tournament,qatar,team,making,debut,fifa,world,cup,hosts,tournament,debut,italy,result,tournament,world,cup,teams,earned,spot,qualification,making,debut,netherlands,ecuador,ghana,cameroon,united,states,returned,tournament,missing,tournament,canada,returned,years,prior,appearance,wales,appearance,years,longest,gap,team,previous,participation",0.00,qatar
