Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"on  february  russia invaded ukraine in a major escalation of the russo ukrainian war which began in  the invasion has caused tens of thousands of deaths on both sides and instigated europes largest refugee crisis since world war ii about  million ukrainians were displaced within their country by june and more than  million fled the country by february 
",february russia invaded ukraine major escalation russo ukrainian war began invasion caused tens thousands deaths sides instigated europes largest refugee crisis world warii million ukrainians displaced country june million fled country february,7.02,"february,russia,invaded,ukraine,major,escalation,russo,ukrainian,war,began,invasion,caused,tens,thousands,deaths,sides,instigated,europes,largest,refugee,crisis,world,warii,million,ukrainians,displaced,country,june,million,fled,country,february",0.00,ukraine
"after the revolution of dignity in  russia annexed crimea and russian backed paramilitaries seized the luhansk and donetsk oblasts of ukraines donbas region sparking a regional war in march  russia began a military build up amassing up to  soldiers at ukraines borders russian government officials denied plans to attack ukraine until the day before the invasion on  february  russia recognised the donetsk peoples republic and the luhansk peoples republic two self proclaimed breakaway quasi states in the donbas the next day the federation council of russia authorised the use of military force and russian soldiers entered both territories
",revolution dignity russia annexed crimea russian backed paramilitaries seized luhansk donetsk oblasts ukraines donbas region sparking aregional war march russia began amilitary build amassing soldiers ukraines borders russian government officials denied plans attack ukraine day invasion february russia recognised donetsk peoples republic luhansk peoples republic self proclaimed breakaway quasi states donbas day federation council russia authorised use military force russian soldiers entered territories,5.44,"revolution,dignity,russia,annexed,crimea,russian,backed,paramilitaries,seized,luhansk,donetsk,oblasts,ukraines,donbas,region,sparking,aregional,war,march,russia,began,amilitary,build,amassing,soldiers,ukraines,borders,russian,government,officials,denied,plans,attack,ukraine,day,invasion,february,russia,recognised,donetsk,peoples,republic,luhansk,peoples,republic,self,proclaimed,breakaway,quasi,states,donbas,day,federation,council,russia,authorised,use,military,force,russian,soldiers,entered,territories",0.00,ukraine
"the invasion began the morning of  february  upon russian president vladimir putins announcement of a special military operation seeking the demilitarisation and denazification of ukraine in his address putin espoused irredentist views challenged ukraines right to statehood and falsely claimed that ukraine was governed by neo nazis who persecuted the ethnic russian minority minutes later russian air strikes and a ground invasion were launched along a northern front from belarus towards kyiv a north eastern front towards kharkiv a southern front from crimea and a south eastern front from donetsk and luhansk in response ukrainian president volodymyr zelenskyy enacted martial law and a general mobilisation
",invasion began morning february russian president vladimir putins announcement special military operation seeking demilitarisation denazification ukraine address putin espoused irredentist views challenged ukraines right statehood falsely claimed ukraine governed neo nazis persecuted ethnic russian minority minutes later russian air strikes ground invasion launched northern belarus kyiv north eastern kharkiv southern crimea south eastern donetsk luhansk response ukrainian president volodymyr zelenskyy enacted martial law general mobilisation,5.61,"invasion,began,morning,february,russian,president,vladimir,putins,announcement,special,military,operation,seeking,demilitarisation,denazification,ukraine,address,putin,espoused,irredentist,views,challenged,ukraines,right,statehood,falsely,claimed,ukraine,governed,neo,nazis,persecuted,ethnic,russian,minority,minutes,later,russian,air,strikes,ground,invasion,launched,northern,belarus,kyiv,north,eastern,kharkiv,southern,crimea,south,eastern,donetsk,luhansk,response,ukrainian,president,volodymyr,zelenskyy,enacted,martial,law,general,mobilisation",0.00,ukraine
"russian troops retreated from the northern front by april on the southern and south eastern fronts russia captured kherson in march and then mariupol in may after a siege on  april russia launched a renewed battle of donbas russian forces continued to bomb both military and civilian targets far from the front line including electrical and water systems in late  ukraine launched counteroffensives in the south and in the east soon after russia announced the illegal annexation of four partly occupied oblasts in november ukraine retook kherson
",russian troops retreated northern april southern south eastern fronts russia captured kherson march mariupol siege april russia launched arenewed battle donbas russian forces continued bomb military civilian targets far line including electrical water systems late ukraine launched counteroffensives south east soon russia announced illegal annexation partly occupied oblasts november ukraine retook kherson,6.41,"russian,troops,retreated,northern,april,southern,south,eastern,fronts,russia,captured,kherson,march,mariupol,siege,april,russia,launched,arenewed,battle,donbas,russian,forces,continued,bomb,military,civilian,targets,far,line,including,electrical,water,systems,late,ukraine,launched,counteroffensives,south,east,soon,russia,announced,illegal,annexation,partly,occupied,oblasts,november,ukraine,retook,kherson",0.00,ukraine
"the invasion has been met with widespread international condemnation the united nations general assembly passed resolution es  condemning the invasion and demanding a full withdrawal of russian forces the international court of justice ordered russia to suspend military operations and the council of europe expelled russia many countries imposed sanctions on russia and on its ally belarus and provided humanitarian and military aid to ukraine protests occurred around the world those in russia were met with mass arrests and increased media censorship over  companies left russia and belarus in response to the invasion the international criminal court has opened an investigation into crimes against humanity in ukraine since  including war crimes in the invasion
",invasion met widespread international condemnation united nations general assembly passed resolution es condemning invasion demanding withdrawal russian forces international court justice ordered russia suspend military operations council europe expelled russia countries imposed sanctions russia ally belarus provided humanitarian military aid ukraine protests occurred world russia met mass arrests increased media censorship companies left russia belarus response invasion international criminal court opened investigation crimes humanity ukraine including war crimes invasion,5.87,"invasion,met,widespread,international,condemnation,united,nations,general,assembly,passed,resolution,es,condemning,invasion,demanding,withdrawal,russian,forces,international,court,justice,ordered,russia,suspend,military,operations,council,europe,expelled,russia,countries,imposed,sanctions,russia,ally,belarus,provided,humanitarian,military,aid,ukraine,protests,occurred,world,russia,met,mass,arrests,increased,media,censorship,companies,left,russia,belarus,response,invasion,international,criminal,court,opened,investigation,crimes,humanity,ukraine,including,war,crimes,invasion",0.00,ukraine
"after the soviet union  dissolved in  the newly independent republics of ukraine and russia maintained ties ukraine agreed in  to sign the nuclear non proliferation treaty and dismantle the nuclear weapons in ukraine left by the ussr in return russia the united kingdom  and the united states  agreed in the budapest memorandum to uphold the territorial integrity of ukraine in  russia signed the charter for european security which reaffirmed the inherent right of each and every participating state to be free to choose or change its security arrangements including treaties of alliance after the soviet union collapsed several former eastern bloc countries joined nato partly due to regional security threats such as the  russian constitutional crisis the war in abkhazia  and the first chechen war  russian leaders claimed western powers had pledged that nato would not expand eastward although this is disputed at the  bucharest summit ukraine and georgia sought to join nato the response among existing members was divided with western european countries concerned about antagonising russia nato ultimately refused to offer ukraine and georgia membership but also issued a statement agreeing that these countries will become members of nato vladimir putin voiced strong opposition to the nato membership bids and russian foreign minister sergei lavrov said russia would do everything it could to prevent their admittance
",soviet union dissolved newly independent republics ukraine russia maintained ties ukraine agreed sign nuclear non proliferation treaty dismantle nuclear weapons ukraine left ussr return russia united kingdom united states agreed budapest memorandum uphold territorial integrity ukraine russia signed charter european security reaffirmed inherent right participating state free choose change security arrangements including treaties alliance soviet union collapsed eastern bloc countries joined nato partly regional security threats russian constitutional crisis war abkhazia chechen war russian leaders claimed western powers pledged nato expand eastward disputed bucharest summit ukraine georgia sought join nato response existing members divided western european countries concerned antagonising russia nato ultimately refused offer ukraine georgia membership issued statement agreeing countries members nato vladimir putin voiced strong opposition nato membership bids russian foreign minister sergei lavrov said russia prevent admittance,6.17,"soviet,union,dissolved,newly,independent,republics,ukraine,russia,maintained,ties,ukraine,agreed,sign,nuclear,non,proliferation,treaty,dismantle,nuclear,weapons,ukraine,left,ussr,return,russia,united,kingdom,united,states,agreed,budapest,memorandum,uphold,territorial,integrity,ukraine,russia,signed,charter,european,security,reaffirmed,inherent,right,participating,state,free,choose,change,security,arrangements,including,treaties,alliance,soviet,union,collapsed,eastern,bloc,countries,joined,nato,partly,regional,security,threats,russian,constitutional,crisis,war,abkhazia,chechen,war,russian,leaders,claimed,western,powers,pledged,nato,expand,eastward,disputed,bucharest,summit,ukraine,georgia,sought,join,nato,response,existing,members,divided,western,european,countries,concerned,antagonising,russia,nato,ultimately,refused,offer,ukraine,georgia,membership,issued,statement,agreeing,countries,members,nato,vladimir,putin,voiced,strong,opposition,nato,membership,bids,russian,foreign,minister,sergei,lavrov,said,russia,prevent,admittance",0.00,ukraine
"in november  ukrainian president viktor yanukovych refused to sign an association agreement with the european union  overruling the verkhovna rada and instead choosing closer ties with the russian led eurasian economic union russia had put pressure on ukraine to reject the agreement this triggered a wave of pro eu protests known as euromaidan culminating in the removal of yanukovych in february  and subsequent pro russian unrest in eastern and southern parts of ukraine russian soldiers without insignia took control of strategic positions and infrastructure in the ukrainian territory of crimea and seized the crimean parliament in march russia organized a controversial referendum and annexed crimea this was followed by the outbreak of the war in donbas which began in april  with the formation of two russia backed separatist quasi states the donetsk peoples republic and the luhansk peoples republic russian troops were involved in the conflict the minsk agreements signed in september  and february  were a bid to stop the fighting but ceasefires repeatedly failed a dispute emerged over the role of russia normandy format members france germany and ukraine saw minsk as an agreement between russia and ukraine whereas russia insisted ukraine should negotiate directly with the two separatist republics
",november ukrainian president viktor yanukovych refused sign association agreement european union overruling verkhovna rada instead choosing closer ties russian led eurasian economic union russia pressure ukraine reject agreement triggered wave pro eu protests known euromaidan culminating removal yanukovych february subsequent pro russian unrest eastern southern parts ukraine russian soldiers insignia took control strategic positions infrastructure ukrainian territory crimea seized crimean parliament march russia organized controversial referendum annexed crimea followed outbreak war donbas began april formation russia backed separatist quasi states donetsk peoples republic luhansk peoples republic russian troops involved conflict minsk agreements signed september february bid stop fighting ceasefires repeatedly failed dispute emerged role russia normandy format members france germany ukraine saw minsk agreement russia ukraine russia insisted ukraine negotiate directly separatist republics,5.94,"november,ukrainian,president,viktor,yanukovych,refused,sign,association,agreement,european,union,overruling,verkhovna,rada,instead,choosing,closer,ties,russian,led,eurasian,economic,union,russia,pressure,ukraine,reject,agreement,triggered,wave,pro,eu,protests,known,euromaidan,culminating,removal,yanukovych,february,subsequent,pro,russian,unrest,eastern,southern,parts,ukraine,russian,soldiers,insignia,took,control,strategic,positions,infrastructure,ukrainian,territory,crimea,seized,crimean,parliament,march,russia,organized,controversial,referendum,annexed,crimea,followed,outbreak,war,donbas,began,april,formation,russia,backed,separatist,quasi,states,donetsk,peoples,republic,luhansk,peoples,republic,russian,troops,involved,conflict,minsk,agreements,signed,september,february,bid,stop,fighting,ceasefires,repeatedly,failed,dispute,emerged,role,russia,normandy,format,members,france,germany,ukraine,saw,minsk,agreement,russia,ukraine,russia,insisted,ukraine,negotiate,directly,separatist,republics",0.00,ukraine
"in  putin refused offers from zelenskyy to hold high level talks and the russian government endorsed an article by former president dmitry medvedev arguing that it was pointless to deal with ukraine while it remained a vassal of the united states the annexation of crimea led to a new wave of russian nationalism with much of the russian neo imperial movement aspiring to annex more ukrainian land including the unrecognized novorossiya analyst vladimir socor argued that putins  speech after the annexation of crimea was a de facto manifesto of greater russia irredentism in july  putin published an essay titled on the historical unity of russians and ukrainians reaffirming that russians and ukrainians were one people american historian timothy snyder described putins ideas as imperialism british journalist edward lucas described it as historical revisionism other observers have noted that the russian leadership holds a distorted view of modern ukraine as well as its history
",putin refused offers zelenskyy hold high level talks russian government endorsed article president dmitry medvedev arguing pointless deal ukraine remained vassal united states annexation crimea led new wave russian nationalism russian neo imperial movement aspiring annex ukrainian land including unrecognized novorossiya analyst vladimir socor argued putins speech annexation crimea de facto manifesto greater russia irredentism july putin published essay titled historical unity russians ukrainians reaffirming russians ukrainians people american historian timothy snyder described putins ideas imperialism british journalist edward lucas described historical revisionism observers noted russian leadership holds distorted view modern ukraine history,6.10,"putin,refused,offers,zelenskyy,hold,high,level,talks,russian,government,endorsed,article,president,dmitry,medvedev,arguing,pointless,deal,ukraine,remained,vassal,united,states,annexation,crimea,led,new,wave,russian,nationalism,russian,neo,imperial,movement,aspiring,annex,ukrainian,land,including,unrecognized,novorossiya,analyst,vladimir,socor,argued,putins,speech,annexation,crimea,de,facto,manifesto,greater,russia,irredentism,july,putin,published,essay,titled,historical,unity,russians,ukrainians,reaffirming,russians,ukrainians,people,american,historian,timothy,snyder,described,putins,ideas,imperialism,british,journalist,edward,lucas,described,historical,revisionism,observers,noted,russian,leadership,holds,distorted,view,modern,ukraine,history",0.00,ukraine
"in march and april  russia began a major military build up near the russo ukrainian border a second build up followed from october  to february  in both russia and belarus members of the russian government repeatedly denied having plans to invade or attack ukraine including government spokesman dmitry peskov on  november  deputy foreign minister sergei ryabkov on  january  russian ambassador to the us anatoly antonov on  february  and russian ambassador to the czech republic alexander zmeevsky on  february 
",march april russia began major military build near russo ukrainian border second build followed october february russia belarus members russian government repeatedly denied plans invade attack ukraine including government spokesman dmitry peskov november deputy foreign minister sergei ryabkov january russian ambassador anatoly antonov february russian ambassador czech republic alexander zmeevsky february,5.26,"march,april,russia,began,major,military,build,near,russo,ukrainian,border,second,build,followed,october,february,russia,belarus,members,russian,government,repeatedly,denied,plans,invade,attack,ukraine,including,government,spokesman,dmitry,peskov,november,deputy,foreign,minister,sergei,ryabkov,january,russian,ambassador,anatoly,antonov,february,russian,ambassador,czech,republic,alexander,zmeevsky,february",0.00,ukraine
"putins chief national security adviser nikolai patrushev believed that the west had been in an undeclared war with russia for years russias updated national security strategy published in may  said that russia may use forceful methods to thwart or avert unfriendly actions that threaten the sovereignty and territorial integrity of the russian federation sources say the decision to invade ukraine was made by putin and a small group of war hawks in putins inner circle including patrushev and minister of defence sergei shoigu
",putins chief national security adviser nikolai patrushev believed west undeclared war russia years russias updated national security strategy published said russia use forceful methods thwart avert unfriendly actions threaten sovereignty territorial integrity russian federation sources decision invade ukraine putin small group war hawks putins inner circle including patrushev minister defence sergei shoigu,5.87,"putins,chief,national,security,adviser,nikolai,patrushev,believed,west,undeclared,war,russia,years,russias,updated,national,security,strategy,published,said,russia,use,forceful,methods,thwart,avert,unfriendly,actions,threaten,sovereignty,territorial,integrity,russian,federation,sources,decision,invade,ukraine,putin,small,group,war,hawks,putins,inner,circle,including,patrushev,minister,defence,sergei,shoigu",0.00,ukraine
