Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"on  february  at  trt  a mw  earthquake struck southern and central turkey and northern and western syria the epicenter was  km  westnorthwest of gaziantep the earthquake had a maximum mercalli intensity of xi  it was followed by a mw   earthquake at  this earthquake was centered  km  to the north northeast from the first in kahramanmara province there was widespread damage and tens of thousands of fatalities
",february trt mw earthquake struck southern central turkey northern western syria epicenter km westnorthwest gaziantep earthquake maximum mercalli intensity xi followed mw earthquake earthquake centered km north northeast kahramanmara province widespread damage tens thousands fatalities,7.51,"february,trt,mw,earthquake,struck,southern,central,turkey,northern,western,syria,epicenter,km,westnorthwest,gaziantep,earthquake,maximum,mercalli,intensity,xi,followed,mw,earthquake,earthquake,centered,km,north,northeast,kahramanmara,province,widespread,damage,tens,thousands,fatalities",0.00,syria
"as of  march update more than  deaths were confirmed more than  in turkey and more than  in syria it is the deadliest earthquake in turkey since the  antioch earthquake and the deadliest in syria since the  aleppo earthquake it was the deadliest worldwide since the  haiti earthquake and the fifth deadliest of the st century collectively the earthquakes are estimated to have caused us billion in damages making them the fourth costliest earthquakes on record it is the deadliest natural disaster in turkeys modern history
",marchupdate deaths confirmed turkey syria deadliest earthquake turkey antioch earthquake deadliest syria aleppo earthquake deadliest worldwide haiti earthquake fifth deadliest st century collectively earthquakes estimated caused usbillion damages making fourth costliest earthquakes record deadliest natural disaster turkeys modern history,8.59,"marchupdate,deaths,confirmed,turkey,syria,deadliest,earthquake,turkey,antioch,earthquake,deadliest,syria,aleppo,earthquake,deadliest,worldwide,haiti,earthquake,fifth,deadliest,st,century,collectively,earthquakes,estimated,caused,usbillion,damages,making,fourth,costliest,earthquakes,record,deadliest,natural,disaster,turkeys,modern,history",0.00,syria
"the region where the  february earthquakes occurred is relatively quiet seismologically only five earthquakes  of magnitude  or larger have occurred within  km  of the  february earthquakes since  the largest of these a magnitude  occurred on  january  northeast of the first  february earthquake all of these earthquakes occurred along or in the vicinity of the east anatolian fault despite the relative seismic quiescence of the epicentral area of the  february quake southern turkey and northern syria have experienced significant and damaging earthquakes in the past aleppo the second largest city in syria was devastated several times historically by large earthquakes though the precise locations and magnitudes of these earthquakes can only be estimated aleppo was struck by an estimated magnitude  earthquake in  and an estimated magnitude  earthquake in  fatality estimates of the  earthquake were  in  the city of marash suffered an earthquake which killed  inhabitants  supposedly no one escaped major earthquakes affecting the middle east in   and  have resulted in   and  deaths respectively
",region february earthquakes occurred relatively quiet seismologically earthquakes magnitude larger occurred km february earthquakes largest magnitude occurred january northeast february earthquake earthquakes occurred vicinity east anatolian fault despite relative seismic quiescence epicentral area february quake southern turkey northern syria experienced significant damaging earthquakes past aleppo second largest city syria devastated times historically large earthquakes precise locations magnitudes earthquakes estimated aleppo struck estimated magnitude earthquake estimated magnitude earthquake fatality estimates earthquake city marash suffered earthquake killed inhabitants supposedly escaped major earthquakes affecting middle east resulted deaths respectively,6.88,"region,february,earthquakes,occurred,relatively,quiet,seismologically,earthquakes,magnitude,larger,occurred,km,february,earthquakes,largest,magnitude,occurred,january,northeast,february,earthquake,earthquakes,occurred,vicinity,east,anatolian,fault,despite,relative,seismic,quiescence,epicentral,area,february,quake,southern,turkey,northern,syria,experienced,significant,damaging,earthquakes,past,aleppo,second,largest,city,syria,devastated,times,historically,large,earthquakes,precise,locations,magnitudes,earthquakes,estimated,aleppo,struck,estimated,magnitude,earthquake,estimated,magnitude,earthquake,fatality,estimates,earthquake,city,marash,suffered,earthquake,killed,inhabitants,supposedly,escaped,major,earthquakes,affecting,middle,east,resulted,deaths,respectively",0.00,syria
"the first major earthquake struck at  utc the united states geological survey  and global centroid moment tensor  measured it at moment magnitude mww  and mw  respectively geoscope reported a magnitude of mw  and kandilli observatory  reported a magnitude of mw  and ml  it had an epicenter at n e  n e     km  west of gaziantep in gaziantep province which is near the border with syria the earthquake hypocenter was at a depth of  km  according to usgs and  km  according to koeri
",major earthquake struck utc united states geological survey global centroid moment tensor measured moment magnitude mww mw respectively geoscope reported magnitude mw kandilli observatory reported magnitude mw ml epicenter n e n e km west gaziantep gaziantep province near border syria earthquake hypocenter depth km according usgs km according koeri,6.64,"major,earthquake,struck,utc,united,states,geological,survey,global,centroid,moment,tensor,measured,moment,magnitude,mww,mw,respectively,geoscope,reported,magnitude,mw,kandilli,observatory,reported,magnitude,mw,ml,epicenter,n,e,n,e,km,west,gaziantep,gaziantep,province,near,border,syria,earthquake,hypocenter,depth,km,according,usgs,km,according,koeri",0.00,syria
"at least  people were killed and over  were injured in syria the syrian ministry of health has recorded over  earthquake related deaths and  injuries in government held areas most of which were in the provinces of aleppo and latakia in rebel held areas at least  people died and  others were injured the syrian network for human rights stated  medics five media personnel  workers in humanitarian agencies and four civil defense personnel were among the dead an estimated  million people across syria may have been made homeless while  million people nearly half of syrias population were affected
",people killed injured syria syrian ministry health recorded earthquake related deaths injuries government held areas provinces aleppo latakia rebel held areas people died injured syrian network human rights stated medics media personnel workers humanitarian agencies civil defense personnel dead estimated million people syria homeless million people nearly half syrias population affected,7.53,"people,killed,injured,syria,syrian,ministry,health,recorded,earthquake,related,deaths,injuries,government,held,areas,provinces,aleppo,latakia,rebel,held,areas,people,died,injured,syrian,network,human,rights,stated,medics,media,personnel,workers,humanitarian,agencies,civil,defense,personnel,dead,estimated,million,people,syria,homeless,million,people,nearly,half,syrias,population,affected",0.00,syria
"in damascus many people fled from their homes onto the streets in the northern parts of the city many buildings were cracked many buildings in syria had already been damaged by an almost  year long civil war the crusader built castle margat suffered damage with part of a tower and parts of some walls collapsing cracks also opened up in the walls of the krak des chevaliers castle the citadel of aleppo was also affected a total of  adobe buildings had partially or fully collapsed while thousands of others were damaged in northwestern syria the minaret of the grand mosque in koban was also damaged in jindires at least  buildings were razed among the deaths were a family of the only survivor was a newborn the minister of education said at least  schools across the region were damaged
",damascus people fled homes streets northern parts city buildings cracked buildings syria damaged year long civil war crusader built castle margat suffered damage tower parts walls collapsing cracks opened walls krak des chevaliers castle citadel aleppo affected total adobe buildings partially fully collapsed thousands damaged northwestern syria minaret grand mosque koban damaged jindires buildings razed deaths family survivor newborn minister education said schools region damaged,9.23,"damascus,people,fled,homes,streets,northern,parts,city,buildings,cracked,buildings,syria,damaged,year,long,civil,war,crusader,built,castle,margat,suffered,damage,tower,parts,walls,collapsing,cracks,opened,walls,krak,des,chevaliers,castle,citadel,aleppo,affected,total,adobe,buildings,partially,fully,collapsed,thousands,damaged,northwestern,syria,minaret,grand,mosque,koban,damaged,jindires,buildings,razed,deaths,family,survivor,newborn,minister,education,said,schools,region,damaged",0.00,syria
"at least  syrians residing in turkey were killed according to turkeys presidency of migration management  million syrians live in southern turkey  in gaziantep  in antakya  in anlurfa  in adana turkeys health ministry returned the bodies of  syrian victims to their relatives in syria while thousands of syrians were buried in turkey due to difficulties transporting them to syria at least  iraqis who took refuge in turkey from the war in iraq also died in turkey
",syrians residing turkey killed according turkeys presidency migration management million syrians live southern turkey gaziantep antakya anlurfa adana turkeys health ministry returned bodies syrian victims relatives syria thousands syrians buried turkey difficulties transporting syria iraqis took refuge turkey war iraq died turkey,7.10,"syrians,residing,turkey,killed,according,turkeys,presidency,migration,management,million,syrians,live,southern,turkey,gaziantep,antakya,anlurfa,adana,turkeys,health,ministry,returned,bodies,syrian,victims,relatives,syria,thousands,syrians,buried,turkey,difficulties,transporting,syria,iraqis,took,refuge,turkey,war,iraq,died,turkey",0.00,syria
"at least  afghan citizens were killed in turkey most of these afghans were refugees who fled the country after the taliban takeover in august  one hundred and five palestinians were killed  of whom in syria and  in turkey among the deaths of armenians was an entire family of three in malatya sixteen lebanese citizens died in turkey and three others died in syria ten azerbaijanis were killed in turkey including four students in malatya an italian family of six and an entrepreneur also perished nineteen students two teachers and a parent from northern cyprus died when a hotel in adiyaman collapsed seven other turkish cypriots died in hatay and kahramanmara
",afghan citizens killed turkey afghans refugees fled country taliban takeover august palestinians killed syria turkey deaths armenians entire family malatya sixteen lebanese citizens died turkey died syria azerbaijanis killed turkey including students malatya italian family entrepreneur perished nineteen students teachers parent northern cyprus died hotel adiyaman collapsed seven turkish cypriots died hatay kahramanmara,8.60,"afghan,citizens,killed,turkey,afghans,refugees,fled,country,taliban,takeover,august,palestinians,killed,syria,turkey,deaths,armenians,entire,family,malatya,sixteen,lebanese,citizens,died,turkey,died,syria,azerbaijanis,killed,turkey,including,students,malatya,italian,family,entrepreneur,perished,nineteen,students,teachers,parent,northern,cyprus,died,hotel,adiyaman,collapsed,seven,turkish,cypriots,died,hatay,kahramanmara",0.00,syria
"on  february a mww  aftershock struck near antakya causing additional buildings to collapse in samanda and further damage in antakya eight people died in antakya defne and samanda at least  were injured including  in serious condition who received immediate medical attention before being taken to adana and drtyol afad warned residents to stay away from the coast as there was potential for a tsunami of up to  cm  the mayor of hatay said several people were trapped under debris among the structures damaged in turkey included a bridge and an empty three story building in iskenderun that collapsed in syria five people died during stampedes and panic across several governates and at least  people were injured the white helmets said people in aleppo and idlib were injured by collapsed buildings some residents in jinderis were injured after leaping off buildings in northwestern syria damaged and abandoned buildings collapsed without casualties shaking was felt in lebanon egypt and jordan
",february mww aftershock struck near antakya causing additional buildings collapse samanda damage antakya people died antakya defne samanda injured including condition received immediate medical attention taken adana drtyol afad warned residents stay away coast potential tsunami cm mayor hatay said people trapped debris structures damaged turkey included bridge story building iskenderun collapsed syria people died stampedes panic governates people injured white helmets said people aleppo idlib injured collapsed buildings residents jinderis injured leaping buildings northwestern syria damaged abandoned buildings collapsed casualties shaking felt lebanon egypt jordan,7.23,"february,mww,aftershock,struck,near,antakya,causing,additional,buildings,collapse,samanda,damage,antakya,people,died,antakya,defne,samanda,injured,including,condition,received,immediate,medical,attention,taken,adana,drtyol,afad,warned,residents,stay,away,coast,potential,tsunami,cm,mayor,hatay,said,people,trapped,debris,structures,damaged,turkey,included,bridge,story,building,iskenderun,collapsed,syria,people,died,stampedes,panic,governates,people,injured,white,helmets,said,people,aleppo,idlib,injured,collapsed,buildings,residents,jinderis,injured,leaping,buildings,northwestern,syria,damaged,abandoned,buildings,collapsed,casualties,shaking,felt,lebanon,egypt,jordan",0.00,syria
"risklayer estimated a death toll of between  and  according to geophysics professor vgn ahmet ercan  people or more may be trapped under the rubble nearly all of them dead on  february when the death toll was reported at about  united nations emergency relief coordinator martin griffiths said the death toll was expected to more than double the world health organization said up to  million people may have been affected  million in turkey and  million in syria
",risklayer estimated death toll according geophysics professor vgn ahmet ercan people trapped rubble nearly dead february death toll reported united nations emergency relief coordinator martin griffiths said death toll expected double world health organization said million people affected million turkey million syria,7.34,"risklayer,estimated,death,toll,according,geophysics,professor,vgn,ahmet,ercan,people,trapped,rubble,nearly,dead,february,death,toll,reported,united,nations,emergency,relief,coordinator,martin,griffiths,said,death,toll,expected,double,world,health,organization,said,million,people,affected,million,turkey,million,syria",0.00,syria
