Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"human habitation in afghanistan dates back to the middle paleolithic era and the countrys strategic location along the historic silk road has led it to being described picturesquely as the roundabout of the ancient world popularly referred to as the graveyard of empires the land has historically been home to various peoples and has witnessed numerous military campaigns including those by the persians alexander the great the maurya empire arab muslims the mongols the british the soviet union and most recently by a us led coalition afghanistan also served as the source from which the greco bactrians and the mughals amongst others rose to form major empires the various conquests and periods in both the iranian and indian cultural spheres made the area a center for zoroastrianism buddhism hinduism and later islam throughout history
",human habitation afghanistan dates middle paleolithic era countrys strategic location historic silk road led described picturesquely roundabout ancient world popularly referred graveyard empires land historically home peoples witnessed numerous military campaigns including persians alexander great maurya empire arab muslims mongols british soviet union recently led coalition afghanistan served source greco bactrians mughals rose form major empires conquests periods iranian indian cultural spheres area center zoroastrianism buddhism hinduism later islam history,7.62,"human,habitation,afghanistan,dates,middle,paleolithic,era,countrys,strategic,location,historic,silk,road,led,described,picturesquely,roundabout,ancient,world,popularly,referred,graveyard,empires,land,historically,home,peoples,witnessed,numerous,military,campaigns,including,persians,alexander,great,maurya,empire,arab,muslims,mongols,british,soviet,union,recently,led,coalition,afghanistan,served,source,greco,bactrians,mughals,rose,form,major,empires,conquests,periods,iranian,indian,cultural,spheres,area,center,zoroastrianism,buddhism,hinduism,later,islam,history",0.00,afghanistan
"the modern state of afghanistan began with the durrani dynasty in the th century with the durrani afghan empire being formed by ahmad shah durrani the durrani empire led conquests in which at its peak encompassed land that spanned from eastern iran to northern india however it is arguedweasel words that dost mohammad khan laid the foundations of the first modern afghan state following the durrani empires decline and the death of ahmad shah durrani and timur shah it was divided into multiple smaller independent kingdoms including but not limited to herat kandahar and kabul afghanistan would be reunited in the th century after seven decades of civil war from  to  with wars of unification led by dost mohammad khan from  to  where he conquered the independent principalities of afghanistan under the emirate of kabul dost mohammad died in  days after his last campaign to unite afghanistan and afghanistan was consequently thrown back into civil war with fighting amongst his successors during this time afghanistan became a buffer state in the great game between the british empire  and the russian empire from india the british attempted to subjugate afghanistan but were repelled in the first anglo afghan war however the second anglo afghan war saw a british victory and the successful establishment of british political influence over afghanistan following the third anglo afghan war in  afghanistan became free of foreign political hegemony and emerged as the independent kingdom of afghanistan in june  under amanullah khan this monarchy lasted almost half a century until zahir shah was overthrown in  following which the republic of afghanistan was established
",modern state afghanistan began durrani dynasty th century durrani afghan empire formed ahmad shah durrani durrani empire led conquests peak encompassed land spanned eastern iran northern india arguedweaselwords dost mohammad khan laid foundations modern afghan state following durrani empires decline death ahmad shah durrani timur shah divided multiple smaller independent kingdoms including limited herat kandahar kabul afghanistan reunited th century seven decades civil war wars unification led dost mohammad khan conquered independent principalities afghanistan emirate kabul dost mohammad died days campaign unite afghanistan afghanistan consequently thrown civil war fighting successors time afghanistan buffer state great game british empire russian empire india british attempted subjugate afghanistan repelled anglo afghan war second anglo afghan war saw british victory successful establishment british political influence afghanistan following anglo afghan war afghanistan free foreign political hegemony emerged independent kingdom afghanistan june amanullah khan monarchy lasted half century zahir shah overthrown following republic afghanistan established,6.92,"modern,state,afghanistan,began,durrani,dynasty,th,century,durrani,afghan,empire,formed,ahmad,shah,durrani,durrani,empire,led,conquests,peak,encompassed,land,spanned,eastern,iran,northern,india,arguedweaselwords,dost,mohammad,khan,laid,foundations,modern,afghan,state,following,durrani,empires,decline,death,ahmad,shah,durrani,timur,shah,divided,multiple,smaller,independent,kingdoms,including,limited,herat,kandahar,kabul,afghanistan,reunited,th,century,seven,decades,civil,war,wars,unification,led,dost,mohammad,khan,conquered,independent,principalities,afghanistan,emirate,kabul,dost,mohammad,died,days,campaign,unite,afghanistan,afghanistan,consequently,thrown,civil,war,fighting,successors,time,afghanistan,buffer,state,great,game,british,empire,russian,empire,india,british,attempted,subjugate,afghanistan,repelled,anglo,afghan,war,second,anglo,afghan,war,saw,british,victory,successful,establishment,british,political,influence,afghanistan,following,anglo,afghan,war,afghanistan,free,foreign,political,hegemony,emerged,independent,kingdom,afghanistan,june,amanullah,khan,monarchy,lasted,half,century,zahir,shah,overthrown,following,republic,afghanistan,established",0.00,afghanistan
"since the late s afghanistans history has been dominated by extensive warfare including coups invasions insurgencies and civil wars the conflict began in  when a communist revolution established a socialist state and subsequent infighting prompted the soviet union to invade afghanistan in  mujahideen fought against the soviets in the sovietafghan war and continued fighting amongst themselves following the soviets withdrawal in  the islamic fundamentalist taliban controlled most of the country by  but their islamic emirate of afghanistan received little international recognition before its overthrow in the  us invasion of afghanistan the taliban returned to power in  after capturing kabul and overthrowing the government of the islamic republic of afghanistan thus bringing an end to the  war although initially claiming it would form an inclusive government for the country in september  the taliban re established the islamic emirate of afghanistan with an interim government made up entirely of taliban members the taliban government remains internationally unrecognized
",late afghanistans history dominated extensive warfare including coups invasions insurgencies civil wars conflict began communist revolution established socialist state subsequent infighting prompted soviet union invade afghanistan mujahideen fought soviets sovietafghan war continued fighting following soviets withdrawal islamic fundamentalist taliban controlled country islamic emirate afghanistan received little international recognition overthrow invasion afghanistan taliban returned power capturing kabul overthrowing government islamic republic afghanistan bringing end war initially claiming form inclusive government country september taliban established islamic emirate afghanistan interim government entirely taliban members taliban government remains internationally unrecognized,6.38,"late,afghanistans,history,dominated,extensive,warfare,including,coups,invasions,insurgencies,civil,wars,conflict,began,communist,revolution,established,socialist,state,subsequent,infighting,prompted,soviet,union,invade,afghanistan,mujahideen,fought,soviets,sovietafghan,war,continued,fighting,following,soviets,withdrawal,islamic,fundamentalist,taliban,controlled,country,islamic,emirate,afghanistan,received,little,international,recognition,overthrow,invasion,afghanistan,taliban,returned,power,capturing,kabul,overthrowing,government,islamic,republic,afghanistan,bringing,end,war,initially,claiming,form,inclusive,government,country,september,taliban,established,islamic,emirate,afghanistan,interim,government,entirely,taliban,members,taliban,government,remains,internationally,unrecognized",0.00,afghanistan
"afghanistan is rich in natural resources including lithium iron zinc and copper it is also the worlds largest producer of opium second largest producer of cannabis and third largest of both saffron and cashmere the country is a member of the south asian association for regional cooperation and a founding member of the organization of islamic cooperation due to the effects of war in recent decades the country has dealt with high levels of terrorism poverty and child malnutrition afghanistans economy is the worlds th largest with a gross domestic product  of  billion by purchasing power parity afghanistan is one of the least developed countries ranking th in the human development index and fares much worse in terms of per capita gdp  ranking th out of  countries as of update
",afghanistan rich natural resources including lithium iron zinc copper worlds largest producer opium second largest producer cannabis largest saffron cashmere country member south asian association regional cooperation founding member organization islamic cooperation effects war recent decades country dealt high levels terrorism poverty child malnutrition afghanistans economy worlds th largest gross domestic product billion purchasing power parity afghanistan developed countries ranking th human development index fares worse terms capita gdp ranking th countries update,7.27,"afghanistan,rich,natural,resources,including,lithium,iron,zinc,copper,worlds,largest,producer,opium,second,largest,producer,cannabis,largest,saffron,cashmere,country,member,south,asian,association,regional,cooperation,founding,member,organization,islamic,cooperation,effects,war,recent,decades,country,dealt,high,levels,terrorism,poverty,child,malnutrition,afghanistans,economy,worlds,th,largest,gross,domestic,product,billion,purchasing,power,parity,afghanistan,developed,countries,ranking,th,human,development,index,fares,worse,terms,capita,gdp,ranking,th,countries,update",0.00,afghanistan
"historically the ethnonym afghn was used to refer to ethnic pashtuns the arabic and persian form of the name afn was first attested in the th century geography book hudud al alam the last part of the name  stan is a persian suffix meaning place of therefore afghanistan translates to land of the afghans or land of the pashtuns in a historical sense according to the third edition of the encyclopedia of islam
",historically ethnonym afghn refer ethnic pashtuns arabic persian form afn attested th century geography book hudud al alam stan persian suffix meaning place afghanistan translates land afghans land pashtuns historical sense according edition encyclopedia islam,9.27,"historically,ethnonym,afghn,refer,ethnic,pashtuns,arabic,persian,form,afn,attested,th,century,geography,book,hudud,al,alam,stan,persian,suffix,meaning,place,afghanistan,translates,land,afghans,land,pashtuns,historical,sense,according,edition,encyclopedia,islam",0.00,afghanistan
the name afghanistan  can be traced to the early eighthfourteenth century when it designated the easternmost part of the kartid realm this name was later used for certain regions in the afavid and mughal empires that were inhabited by afghans while based on a state supporting elite of abdl  durrn afghans the sadz durrn polity that came into being in    was not called afghanistan in its own day the name became a state designation only during the colonial intervention of the nineteenth century,afghanistan traced early eighthfourteenth century designated easternmost kartid realm later certain regions afavid mughal empires inhabited afghans based state supporting elite abdl durrn afghans sadz durrn polity came called afghanistan day state designation colonial intervention nineteenth century,9.27,"afghanistan,traced,early,eighthfourteenth,century,designated,easternmost,kartid,realm,later,certain,regions,afavid,mughal,empires,inhabited,afghans,based,state,supporting,elite,abdl,durrn,afghans,sadz,durrn,polity,came,called,afghanistan,day,state,designation,colonial,intervention,nineteenth,century",0.00,afghanistan
"the term afghanistan first appeared in  during the reign of dost mohammad khan
",term afghanistan appeared reign dost mohammad khan,7.59,"term,afghanistan,appeared,reign,dost,mohammad,khan",0.00,afghanistan
"many empires and kingdoms have also risen to power in afghanistan such as the greco bactrians indo scythians kushans kidarites hephthalites alkhons nezaks zunbils turk shahis hindu shahis lawiks saffarids samanids ghaznavids ghurids khaljis kartids lodis surs mughals and finally the hotak and durrani dynasties which marked the political origins of the modern state throughout millennia several cities within the modern day afghanistan served as capitals of various empires namely bactra  alexandria on the oxus  kapisi sigal kabul kunduz zaranj firozkoh herat ghazna  binban  and kandahar
",empires kingdoms risen power afghanistan greco bactrians indo scythians kushans kidarites hephthalites alkhons nezaks zunbils turk shahis hindu shahis lawiks saffarids samanids ghaznavids ghurids khaljis kartids lodis surs mughals finally hotak durrani dynasties marked political origins modern state millennia cities modern day afghanistan served capitals empires bactra alexandria oxus kapisi sigal kabul kunduz zaranj firozkoh herat ghazna binban kandahar,4.57,"empires,kingdoms,risen,power,afghanistan,greco,bactrians,indo,scythians,kushans,kidarites,hephthalites,alkhons,nezaks,zunbils,turk,shahis,hindu,shahis,lawiks,saffarids,samanids,ghaznavids,ghurids,khaljis,kartids,lodis,surs,mughals,finally,hotak,durrani,dynasties,marked,political,origins,modern,state,millennia,cities,modern,day,afghanistan,served,capitals,empires,bactra,alexandria,oxus,kapisi,sigal,kabul,kunduz,zaranj,firozkoh,herat,ghazna,binban,kandahar",0.00,afghanistan
"the country has been home to various peoples through the ages among them the ancient iranian peoples who established the dominant role of indo iranian languages in the region at multiple points the land has been incorporated within vast regional empires among them the achaemenid empire the macedonian empire the maurya empire and the islamic empire for its success in resisting foreign occupation during the th and th centuries afghanistan has been called the graveyard of empires though it is unknown who coined the phrase
",country home peoples ages ancient iranian peoples established dominant role indo iranian languages region multiple points land incorporated vast regional empires achaemenid empire macedonian empire maurya empire islamic empire success resisting foreign occupation th th centuries afghanistan called graveyard empires unknown coined phrase,8.00,"country,home,peoples,ages,ancient,iranian,peoples,established,dominant,role,indo,iranian,languages,region,multiple,points,land,incorporated,vast,regional,empires,achaemenid,empire,macedonian,empire,maurya,empire,islamic,empire,success,resisting,foreign,occupation,th,th,centuries,afghanistan,called,graveyard,empires,unknown,coined,phrase",0.00,afghanistan
"excavations of prehistoric sites suggest that humans were living in what is now afghanistan at least  years ago and that farming communities in the area were among the earliest in the world an important site of early historical activities many believe that afghanistan compares to egypt in terms of the historical value of its archaeological sites
",excavations prehistoric sites suggest humans living afghanistan years ago farming communities area earliest world important site early historical activities believe afghanistan compares egypt terms historical value archaeological sites,8.05,"excavations,prehistoric,sites,suggest,humans,living,afghanistan,years,ago,farming,communities,area,earliest,world,important,site,early,historical,activities,believe,afghanistan,compares,egypt,terms,historical,value,archaeological,sites",0.00,afghanistan
