Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"africa is the worlds second largest and second most populous continent after asia in both cases at about  million km  including adjacent islands it covers  of earths land area and  of its total surface area with  billion people as of  it accounts for about  of the worlds human population africas population is the youngest amongst all the continents the median age in  was    when the worldwide median age was  despite a wide range of natural resources africa is the least wealthy continent per capita and second least wealthy by total wealth behind oceania scholars have attributed this to different factors including geography climate tribalism colonialism the cold war neocolonialism lack of democracy and corruption despite this low concentration of wealth recent economic expansion and the large and young population make africa an important economic market in the broader global context
",africa worlds second largest second populous continent asia cases million km including adjacent islands covers earths land area total surface area billion people accounts worlds human population africas population youngest continents median age worldwide median age despite wide range natural resources africa wealthy continent capita second wealthy total wealth oceania scholars attributed different factors including geography climate tribalism colonialism cold war neocolonialism lack democracy corruption despite low concentration wealth recent economic expansion large young population africa important economic market broader global context,6.49,"africa,worlds,second,largest,second,populous,continent,asia,cases,million,km,including,adjacent,islands,covers,earths,land,area,total,surface,area,billion,people,accounts,worlds,human,population,africas,population,youngest,continents,median,age,worldwide,median,age,despite,wide,range,natural,resources,africa,wealthy,continent,capita,second,wealthy,total,wealth,oceania,scholars,attributed,different,factors,including,geography,climate,tribalism,colonialism,cold,war,neocolonialism,lack,democracy,corruption,despite,low,concentration,wealth,recent,economic,expansion,large,young,population,africa,important,economic,market,broader,global,context",0.00,africa
"africa straddles the equator and the prime meridian it is the only continent to stretch from the northern temperate to the southern temperate zones the majority of the continent and its countries are in the northern hemisphere with a substantial portion and number of countries in the southern hemisphere most of the continent lies in the tropics except for a large part of western sahara algeria libya and egypt the northern tip of mauritania and the entire territories of morocco ceuta melilla and tunisia which in turn are located above the tropic of cancer in the northern temperate zone in the other extreme of the continent southern namibia southern botswana great parts of south africa the entire territories of lesotho and eswatini and the southern tips of mozambique and madagascar are located below the tropic of capricorn in the southern temperate zone
",africa straddles equator prime meridian continent stretch northern temperate southern temperate zones majority continent countries northern hemisphere substantial portion number countries southern hemisphere continent lies tropics large western sahara algeria libya egypt northern tip mauritania entire territories morocco ceuta melilla tunisia turn located tropic cancer northern temperate zone extreme continent southern namibia southern botswana great parts south africa entire territories lesotho eswatini southern tips mozambique madagascar located tropic capricorn southern temperate zone,8.10,"africa,straddles,equator,prime,meridian,continent,stretch,northern,temperate,southern,temperate,zones,majority,continent,countries,northern,hemisphere,substantial,portion,number,countries,southern,hemisphere,continent,lies,tropics,large,western,sahara,algeria,libya,egypt,northern,tip,mauritania,entire,territories,morocco,ceuta,melilla,tunisia,turn,located,tropic,cancer,northern,temperate,zone,extreme,continent,southern,namibia,southern,botswana,great,parts,south,africa,entire,territories,lesotho,eswatini,southern,tips,mozambique,madagascar,located,tropic,capricorn,southern,temperate,zone",0.00,africa
"africa is highly biodiverse it is the continent with the largest number of megafauna species as it was least affected by the extinction of the pleistocene megafauna however africa also is heavily affected by a wide range of environmental issues including desertification deforestation water scarcity and pollution these entrenched environmental concerns are expected to worsen as climate change impacts africa the un intergovernmental panel on climate change has identified africa as the continent most vulnerable to climate change
",africa highly biodiverse continent largest number megafauna species affected extinction pleistocene megafauna africa heavily affected wide range environmental issues including desertification deforestation water scarcity pollution entrenched environmental concerns expected worsen climate change impacts africa un intergovernmental panel climate change identified africa continent vulnerable climate change,6.20,"africa,highly,biodiverse,continent,largest,number,megafauna,species,affected,extinction,pleistocene,megafauna,africa,heavily,affected,wide,range,environmental,issues,including,desertification,deforestation,water,scarcity,pollution,entrenched,environmental,concerns,expected,worsen,climate,change,impacts,africa,un,intergovernmental,panel,climate,change,identified,africa,continent,vulnerable,climate,change",0.00,africa
"the history of africa is long complex and has often been under appreciated by the global historical community africa particularly eastern africa is widely accepted as the place of origin of humans and the hominidae clade  the earliest hominids and their ancestors have been dated to around  million years ago including sahelanthropus tchadensis australopithecus africanus a afarensis homo erectus h habilis and h ergasterthe earliest homo sapiens  remains found in ethiopia south africa and morocco date to circa   and  years ago respectively and homo sapiens is believed to have originated in africa around  years ago africa is also considered by anthropologists to be the most genetically diverse continent as a result of being the longest inhabited
",history africa long complex appreciated global historical community africa particularly eastern africa widely accepted place origin humans hominidae clade earliest hominids ancestors dated million years ago including sahelanthropus tchadensis australopithecus africanus afarensis homo erectus h habilis h ergasterthe earliest homo sapiens remains found ethiopia south africa morocco date circa years ago respectively homo sapiens believed originated africa years ago africa considered anthropologists genetically diverse continent result longest inhabited,6.38,"history,africa,long,complex,appreciated,global,historical,community,africa,particularly,eastern,africa,widely,accepted,place,origin,humans,hominidae,clade,earliest,hominids,ancestors,dated,million,years,ago,including,sahelanthropus,tchadensis,australopithecus,africanus,afarensis,homo,erectus,h,habilis,h,ergasterthe,earliest,homo,sapiens,remains,found,ethiopia,south,africa,morocco,date,circa,years,ago,respectively,homo,sapiens,believed,originated,africa,years,ago,africa,considered,anthropologists,genetically,diverse,continent,result,longest,inhabited",0.00,africa
"early human civilizations such as ancient egypt and carthage emerged in north africa following a subsequent long and complex history of civilizations migration and trade africa hosts a large diversity of ethnicities cultures and languages the last  years have witnessed an increasing european influence on the continent starting in the th century this was driven by trade including the trans atlantic slave trade which created large african diaspora populations in the americas from the late th century to  the early th century european nations colonized almost all of africa reaching a point when only ethiopia and liberia were independent polities most present states in africa emerged from a process of decolonisation following world war ii
",early human civilizations ancient egypt carthage emerged north africa following subsequent long complex history civilizations migration trade africa hosts large diversity ethnicities cultures languages years witnessed increasing european influence continent starting th century driven trade including trans atlantic slave trade created large african diaspora populations americas late th century early th century european nations colonized africa reaching point ethiopia liberia independent polities present states africa emerged process decolonisation following world war ii,5.78,"early,human,civilizations,ancient,egypt,carthage,emerged,north,africa,following,subsequent,long,complex,history,civilizations,migration,trade,africa,hosts,large,diversity,ethnicities,cultures,languages,years,witnessed,increasing,european,influence,continent,starting,th,century,driven,trade,including,trans,atlantic,slave,trade,created,large,african,diaspora,populations,americas,late,th,century,early,th,century,european,nations,colonized,africa,reaching,point,ethiopia,liberia,independent,polities,present,states,africa,emerged,process,decolonisation,following,world,war,ii",0.00,africa
"afri was a latin name used to refer to the inhabitants of then known northern africa to the west of the nile river and in its widest sense referred to all lands south of the mediterranean  this name seems to have originally referred to a native libyan tribe an ancestor of modern berbers see terence for discussion the name had usually been connected with the phoenician word afar meaning dust but a  hypothesis has asserted that it stems from the berber word ifri  meaning  cave in reference to cave dwellers the same word may be found in the name of the banu ifran from algeria and tripolitania a berber tribe originally from yafran  in northwestern libya as well as the city of ifrane in morocco
",afri latin refer inhabitants known northern africa west nile river widest sense referred lands south mediterranean originally referred native libyan tribe ancestor modern berbers terence discussion usually connected phoenician word afar meaning dust hypothesis asserted stems berber word ifri meaning cave reference cave dwellers word found banu ifran algeria tripolitania berber tribe originally yafran northwestern libya city ifrane morocco,9.44,"afri,latin,refer,inhabitants,known,northern,africa,west,nile,river,widest,sense,referred,lands,south,mediterranean,originally,referred,native,libyan,tribe,ancestor,modern,berbers,terence,discussion,usually,connected,phoenician,word,afar,meaning,dust,hypothesis,asserted,stems,berber,word,ifri,meaning,cave,reference,cave,dwellers,word,found,banu,ifran,algeria,tripolitania,berber,tribe,originally,yafran,northwestern,libya,city,ifrane,morocco",0.00,africa
"under roman rule carthage became the capital of the province it then named africa proconsularis following its defeat of the carthaginians in the third punic war in  bce which also included the coastal part of modern libya the latin suffix  ica can sometimes be used to denote a land  the later muslim region of ifriqiya following its conquest of the byzantine  empires exarchatus africae also preserved a form of the name
",roman rule carthage capital province named africa proconsularis following defeat carthaginians punic war bce included coastal modern libya latin suffix ica denote land later muslim region ifriqiya following conquest byzantine empires exarchatus africae preserved form,8.53,"roman,rule,carthage,capital,province,named,africa,proconsularis,following,defeat,carthaginians,punic,war,bce,included,coastal,modern,libya,latin,suffix,ica,denote,land,later,muslim,region,ifriqiya,following,conquest,byzantine,empires,exarchatus,africae,preserved,form",0.00,africa
"according to the romans africa lies to the west of egypt while asia was used to refer to anatolia and lands to the east a definite line was drawn between the two continents by the geographer ptolemy  indicating alexandria along the prime meridian and making the isthmus of suez and the red sea the boundary between asia and africa as europeans came to understand the real extent of the continent the idea of africa expanded with their knowledge
",according romans africa lies west egypt asia refer anatolia lands east definite line drawn continents geographer ptolemy indicating alexandria prime meridian making isthmus suez red sea boundary asia africa europeans came understand real extent continent idea africa expanded knowledge,8.76,"according,romans,africa,lies,west,egypt,asia,refer,anatolia,lands,east,definite,line,drawn,continents,geographer,ptolemy,indicating,alexandria,prime,meridian,making,isthmus,suez,red,sea,boundary,asia,africa,europeans,came,understand,real,extent,continent,idea,africa,expanded,knowledge",0.00,africa
"other etymological hypotheses have been postulated for the ancient name africa
",etymological hypotheses postulated ancient africa,7.59,"etymological,hypotheses,postulated,ancient,africa",0.00,africa
"africa is considered by most paleoanthropologists to be the oldest inhabited territory on earth with the human species originating from the continent during the mid th century anthropologists discovered many fossils and evidence of human occupation perhaps as early as  million years ago  fossil remains of several species of early apelike humans thought to have evolved into modern man such as australopithecus afarensis radiometrically dated to approximately  million years bp paranthropus boisei  and homo ergaster  have been discovered
",africa considered paleoanthropologists oldest inhabited territory earth human species originating continent mid th century anthropologists discovered fossils evidence human occupation early million years ago fossil remains species early apelike humans thought evolved modern man australopithecus afarensis radiometrically dated approximately million years bp paranthropus boisei homo ergaster discovered,5.74,"africa,considered,paleoanthropologists,oldest,inhabited,territory,earth,human,species,originating,continent,mid,th,century,anthropologists,discovered,fossils,evidence,human,occupation,early,million,years,ago,fossil,remains,species,early,apelike,humans,thought,evolved,modern,man,australopithecus,afarensis,radiometrically,dated,approximately,million,years,bp,paranthropus,boisei,homo,ergaster,discovered",0.00,africa
