Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the african bush elephant  also known as the african savanna elephant is one of two extant african elephant species and one of three extant elephant species it is the largest living terrestrial animal with bulls reaching a shoulder height of up to  m  and a body mass of up to  t 
",african bush elephant known african savanna elephant extant african elephant species extant elephant species largest living terrestrial animal bulls reaching shoulder height body mass,9.61,"african,bush,elephant,known,african,savanna,elephant,extant,african,elephant,species,extant,elephant,species,largest,living,terrestrial,animal,bulls,reaching,shoulder,height,body,mass",0.00,elephant
"a genetic study based on mitogenomic analysis revealed that the african and asian elephant genetically diverged about  million years ago
phylogenetic analysis of nuclear dna of african bush and forest elephants asian elephant woolly mammoth and american mastodon revealed that the african bush elephant and the african forest elephant form a sister group that genetically diverged at least  million years ago they are therefore considered distinct species gene flow between the two species however might have occurred after the split
",genetic study based mitogenomic analysis revealed african asian elephant genetically diverged million years agophylogenetic analysis nuclear dna african bush forest elephants asian elephant woolly mammoth american mastodon revealed african bush elephant african forest elephant form sister group genetically diverged million years ago considered distinct species gene flow species occurred split,5.43,"genetic,study,based,mitogenomic,analysis,revealed,african,asian,elephant,genetically,diverged,million,years,agophylogenetic,analysis,nuclear,dna,african,bush,forest,elephants,asian,elephant,woolly,mammoth,american,mastodon,revealed,african,bush,elephant,african,forest,elephant,form,sister,group,genetically,diverged,million,years,ago,considered,distinct,species,gene,flow,species,occurred,split",0.00,elephant
"the african bush elephant has grey skin with scanty hairs its large ears cover the whole shoulder and can grow as large as  m   m 
large ears help to reduce body heat flapping them creates air currents and exposes large blood vessels on the inner sides to increase heat loss during hot weather the african bush elephants ears are pointed and triangular shaped its occipital plane slopes forward its back is shaped markedly concave its sturdy tusks are curved out and point forward
",african bush elephant grey skin scanty hairs large ears cover shoulder grow large large ears help reduce body heat flapping creates air currents exposes large blood vessels inner sides increase heat loss hot weather african bush elephants ears pointed triangular shaped occipital plane slopes forward shaped markedly concave sturdy tusks curved point forward,6.24,"african,bush,elephant,grey,skin,scanty,hairs,large,ears,cover,shoulder,grow,large,large,ears,help,reduce,body,heat,flapping,creates,air,currents,exposes,large,blood,vessels,inner,sides,increase,heat,loss,hot,weather,african,bush,elephants,ears,pointed,triangular,shaped,occipital,plane,slopes,forward,shaped,markedly,concave,sturdy,tusks,curved,point,forward",0.00,elephant
"the african bush elephant is the largest and heaviest land animal on earth with a maximum recorded shoulder height of an adult bull of  m  on average males are about  m  tall at the shoulder and weigh  t  while females are smaller at about  m  tall at the shoulder and  t  in weight elephants attain their maximum stature when they complete the fusion of long bone epiphyses occurring in males around the age of  and females around the age of 
",african bush elephant largest heaviest land animal earth maximum recorded shoulder height adult bull average males tall shoulder weigh females smaller tall shoulder weight elephants attain maximum stature complete fusion long bone epiphyses occurring males age females age,9.46,"african,bush,elephant,largest,heaviest,land,animal,earth,maximum,recorded,shoulder,height,adult,bull,average,males,tall,shoulder,weigh,females,smaller,tall,shoulder,weight,elephants,attain,maximum,stature,complete,fusion,long,bone,epiphyses,occurring,males,age,females,age",0.00,elephant
"both sexes have tusks which erupt when they are  years old and grow throughout life tusks grow from deciduous teeth known as tushes that develop in the upper jaw and consist of a crown root and pulpal cavity which are completely formed soon after birth tushes reach a length of  cm 
they are composed of dentin and coated with a thin layer of cementum their tips bear a conical layer of enamel that is usually worn off when the elephant is five years old
tusks of bulls grow faster than tusks of cows mean weight of tusks at the age of  years is  kg  in bulls and  kg  in cows
the longest known tusk of an african bush elephant measured  m  and weighed  kg 
",sexes tusks erupt years old grow life tusks grow deciduous teeth known tushes develop upper jaw consist crown root pulpal cavity completely formed soon birth tushes reach length cm composed dentin coated thin layer cementum tips bear conical layer enamel usually worn elephant years oldtusks bulls grow faster tusks cows mean weight tusks age years kg bulls kg cowsthe longest known tusk african bush elephant measured weighed kg,8.36,"sexes,tusks,erupt,years,old,grow,life,tusks,grow,deciduous,teeth,known,tushes,develop,upper,jaw,consist,crown,root,pulpal,cavity,completely,formed,soon,birth,tushes,reach,length,cm,composed,dentin,coated,thin,layer,cementum,tips,bear,conical,layer,enamel,usually,worn,elephant,years,oldtusks,bulls,grow,faster,tusks,cows,mean,weight,tusks,age,years,kg,bulls,kg,cowsthe,longest,known,tusk,african,bush,elephant,measured,weighed,kg",0.00,elephant
"the dental formula of the african bush elephant is      it develops six molars in each jaw quadrant that erupt at different ages and differ in size the first molars grow to a size of  cm  wide by  cm  long are worn by the age of one year and lost by the age of about  years the second molars start protruding at the age of about six months and grow to a size of  cm  wide by  cm  long and are lost by the age of  years the third molars protrude at the age of about one year grow to a size of  cm  wide by  cm  long and are lost by the age of  years the fourth molars show by the age of  years grow to a size of  cm  wide by  cm  long and are lost by the age of  years the dental alveoli of the fifth molars are visible by the age of  years they grow to a size of  cm  wide by  cm  long and are worn by the age of  years the dental alveoli of the last molars are visible by the age of  years they grow to a size of  cm  wide by  cm  long and are well worn by the age of  years
",dental formula african bush elephant develops molars jaw quadrant erupt different ages differ size molars grow size cm wide cm long worn age year lost age years second molars start protruding age months grow size cm wide cm long lost age years molars protrude age year grow size cm wide cm long lost age years fourth molars age years grow size cm wide cm long lost age years dental alveoli fifth molars visible age years grow size cm wide cm long worn age years dental alveoli molars visible age years grow size cm wide cm long worn age years,11.27,"dental,formula,african,bush,elephant,develops,molars,jaw,quadrant,erupt,different,ages,differ,size,molars,grow,size,cm,wide,cm,long,worn,age,year,lost,age,years,second,molars,start,protruding,age,months,grow,size,cm,wide,cm,long,lost,age,years,molars,protrude,age,year,grow,size,cm,wide,cm,long,lost,age,years,fourth,molars,age,years,grow,size,cm,wide,cm,long,lost,age,years,dental,alveoli,fifth,molars,visible,age,years,grow,size,cm,wide,cm,long,worn,age,years,dental,alveoli,molars,visible,age,years,grow,size,cm,wide,cm,long,worn,age,years",0.00,elephant
"the african bush elephant occurs in sub saharan africa including uganda kenya tanzania botswana zimbabwe namibia zambia and angola it moves between a variety of habitats including subtropical and temperate forests dry and seasonally flooded grasslands woodlands wetlands and agricultural land from sea level to mountain slopes in mali and namibia it also inhabits desert and semi desert areas
",african bush elephant occurs sub saharan africa including uganda kenya tanzania botswana zimbabwe namibia zambia angola moves variety habitats including subtropical temperate forests dry seasonally flooded grasslands woodlands wetlands agricultural land sea level mountain slopes mali namibia inhabits desert semi desert areas,4.33,"african,bush,elephant,occurs,sub,saharan,africa,including,uganda,kenya,tanzania,botswana,zimbabwe,namibia,zambia,angola,moves,variety,habitats,including,subtropical,temperate,forests,dry,seasonally,flooded,grasslands,woodlands,wetlands,agricultural,land,sea,level,mountain,slopes,mali,namibia,inhabits,desert,semi,desert,areas",0.00,elephant
"in ethiopia the african bush elephant has historically been recorded up to an elevation of  m  by the late s the population had declined to a herd in the dawa river valley and one close to the kenyan border
",ethiopia african bush elephant historically recorded elevation late population declined herd dawa river valley close kenyan border,10.63,"ethiopia,african,bush,elephant,historically,recorded,elevation,late,population,declined,herd,dawa,river,valley,close,kenyan,border",0.00,elephant
"the core of elephant society is the family unit which comprises several adult cows their daughters and their prepubertal sons iain douglas hamilton who observed african bush elephants for  years in lake manyara national park coined the term kinship group for two or more family units that have close ties the family unit is led by a matriarch who at times also leads the kinship group groups cooperate in locating food and water in self defense and in caring for offspring  group size varies seasonally and between locations in tsavo east and tsavo west national parks groups are bigger in the rainy season and areas with open vegetation
aerial surveys in the late s to early s revealed an average group size of  individuals in ugandas rwenzori national park and  individuals in chambura game reserve in both sites elephants aggregated during the wet season whereas groups were smaller in the dry season
",core elephant society family unit comprises adult cows daughters prepubertal sons iain douglas hamilton observed african bush elephants years lake manyara national park coined term kinship group family units close ties family unit led matriarch times leads kinship group groups cooperate locating food water self defense caring offspring group size varies seasonally locations tsavo east tsavo west national parks groups bigger rainy season areas open vegetationaerial surveys late early revealed average group size individuals ugandas rwenzori national park individuals chambura game reserve sites elephants aggregated wet season groups smaller dry season,6.64,"core,elephant,society,family,unit,comprises,adult,cows,daughters,prepubertal,sons,iain,douglas,hamilton,observed,african,bush,elephants,years,lake,manyara,national,park,coined,term,kinship,group,family,units,close,ties,family,unit,led,matriarch,times,leads,kinship,group,groups,cooperate,locating,food,water,self,defense,caring,offspring,group,size,varies,seasonally,locations,tsavo,east,tsavo,west,national,parks,groups,bigger,rainy,season,areas,open,vegetationaerial,surveys,late,early,revealed,average,group,size,individuals,ugandas,rwenzori,national,park,individuals,chambura,game,reserve,sites,elephants,aggregated,wet,season,groups,smaller,dry,season",0.00,elephant
"the african bush elephant is herbivorous its diet consists mainly of grasses creepers and herbs adults can consume up to  kg  per day during the dry season the diet also includes leaves and bark tree bark in particular contains high levels of calcium elephants in captivity may consume leaves and fruit of cherimoya papaya banana guava and leaves stems and seeds of maize sorghum and sugarcane
to supplement their diet with minerals they congregate at mineral rich water holes termite mounds and mineral licks salt licks visited by elephants in the kalahari contain high concentrations of water soluble sodium elephants drink  litres  of water daily and seem to prefer sites where water and soil contain sodium in kruger national park and on the shore of lake kariba elephants were observed to ingest wood ash which also contains sodium
",african bush elephant herbivorous diet consists mainly grasses creepers herbs adults consume kg day dry season diet includes leaves bark tree bark particular contains high levels calcium elephants captivity consume leaves fruit cherimoya papaya banana guava leaves stems seeds maize sorghum sugarcaneto supplement diet minerals congregate mineral rich water holes termite mounds mineral licks salt licks visited elephants kalahari contain high concentrations water soluble sodium elephants drink litres water daily prefer sites water soil contain sodium kruger national park shore lake kariba elephants observed ingest wood ash contains sodium,5.85,"african,bush,elephant,herbivorous,diet,consists,mainly,grasses,creepers,herbs,adults,consume,kg,day,dry,season,diet,includes,leaves,bark,tree,bark,particular,contains,high,levels,calcium,elephants,captivity,consume,leaves,fruit,cherimoya,papaya,banana,guava,leaves,stems,seeds,maize,sorghum,sugarcaneto,supplement,diet,minerals,congregate,mineral,rich,water,holes,termite,mounds,mineral,licks,salt,licks,visited,elephants,kalahari,contain,high,concentrations,water,soluble,sodium,elephants,drink,litres,water,daily,prefer,sites,water,soil,contain,sodium,kruger,national,park,shore,lake,kariba,elephants,observed,ingest,wood,ash,contains,sodium",0.00,elephant
