Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"agartala   is the capital and the largest city of the indian state of tripura situated on the banks of hoara river about  kilometres  east of the border with bangladesh and about  km  from the national capital new delhi according to  census agartala is the third most populous city in northeast india with a population of about  lakh  it is indias third international internet gateway and being developed under the smart cities mission 
",agartala capital largest city indian state tripura situated banks hoara river kilometres east border bangladesh km national capital new delhi according census agartala populous city northeast india population lakh indias international internet gateway developed smart cities mission,8.01,"agartala,capital,largest,city,indian,state,tripura,situated,banks,hoara,river,kilometres,east,border,bangladesh,km,national,capital,new,delhi,according,census,agartala,populous,city,northeast,india,population,lakh,indias,international,internet,gateway,developed,smart,cities,mission",0.00,agartala
"agartala is a derivative of two words namely agar a valuable perfume and incense tree of genus aquilaria and the suffix tala meaning underneath a reference to the density of agarwood trees in the regioncitation needed the agar tree is historically referred to in the story of the king raghu who tied up his elephants feet to an agar tree on the banks of river lauhityacitation needed
",agartala derivative words agar valuable perfume incense tree genus aquilaria suffix tala meaning underneath reference density agarwood trees regioncitation needed agar tree historically referred story king raghu tied elephants feet agar tree banks river lauhityacitation needed,8.07,"agartala,derivative,words,agar,valuable,perfume,incense,tree,genus,aquilaria,suffix,tala,meaning,underneath,reference,density,agarwood,trees,regioncitation,needed,agar,tree,historically,referred,story,king,raghu,tied,elephants,feet,agar,tree,banks,river,lauhityacitation,needed",0.00,agartala
"much later the ancient capital of the then princely state swadhin tripura was at rangamati  by the bank of the river gomati in  it was shifted by the maharaja krishna chandra manikya bahadur  of manikya dynasty to present old agartala by the bank of the river haorasaidra and was named haveli due to frequent invasion of the kukis and also to keep easy communication with the british bengali the maharaja krishna chandra manikya started the process of shifting the capital from old haveli to new haveli  in citation needed
",later ancient capital princely state swadhin tripura rangamati bank river gomati shifted maharaja krishna chandra manikya bahadur manikya dynasty present old agartala bank river haorasaidra named haveli frequent invasion kukis easy communication british bengali maharaja krishna chandra manikya started process shifting capital old haveli new haveli citation needed,7.84,"later,ancient,capital,princely,state,swadhin,tripura,rangamati,bank,river,gomati,shifted,maharaja,krishna,chandra,manikya,bahadur,manikya,dynasty,present,old,agartala,bank,river,haorasaidra,named,haveli,frequent,invasion,kukis,easy,communication,british,bengali,maharaja,krishna,chandra,manikya,started,process,shifting,capital,old,haveli,new,haveli,citation,needed",0.00,agartala
"during the british raj agartala was the capital of the hill tippera state it became a municipality in  and in  had a population of  the princely state always remained as cake piece to the british and many other invaders for example when arakhan soldiers attacked the old capital of the state the king of tripura responded by defeating the entire troop
the agartala municipality was established during the reign of maharaja bir chandra manikya  within an area of  square miles  having a population of only  by a royal proclamation in the last part of  aws power the first british political agent for tipperah was also appointed as the chairman of the agartala municipality in  who held office from  to  the municipality located at the crossing of latitude n   and longitude e   covering  km area during that period
",british raj agartala capital hill tippera state municipality population princely state remained cake piece british invaders example arakhan soldiers attacked old capital state king tripura responded defeating entire troopthe agartala municipality established reign maharaja bir chandra manikya area square miles population royal proclamation aws power british political agent tipperah appointed chairman agartala municipality held office municipality located crossing latitude n longitude e covering km area period,8.72,"british,raj,agartala,capital,hill,tippera,state,municipality,population,princely,state,remained,cake,piece,british,invaders,example,arakhan,soldiers,attacked,old,capital,state,king,tripura,responded,defeating,entire,troopthe,agartala,municipality,established,reign,maharaja,bir,chandra,manikya,area,square,miles,population,royal,proclamation,aws,power,british,political,agent,tipperah,appointed,chairman,agartala,municipality,held,office,municipality,located,crossing,latitude,n,longitude,e,covering,km,area,period",0.00,agartala
"bir bikram kishore debbarman is called the founder of the planned city of agartala he had gone on a tour to the united kingdom and was so impressed at the architecture that he started planning similar township in agartala during the s the town was re organised in a planned manner with new roads and a market buildingcitation needed
",bir bikram kishore debbarman called founder planned city agartala gone tour united kingdom impressed architecture started planning similar township agartala town organised planned manner new roads market buildingcitation needed,9.01,"bir,bikram,kishore,debbarman,called,founder,planned,city,agartala,gone,tour,united,kingdom,impressed,architecture,started,planning,similar,township,agartala,town,organised,planned,manner,new,roads,market,buildingcitation,needed",0.00,agartala
"the estimated population of agartala was  in  after the municipal expansion 
",estimated population agartala municipal expansion,7.79,"estimated,population,agartala,municipal,expansion",0.00,agartala
"from  to  the city did not experience notable progress in infrastructure development with only an  km of area but  saw agartala expanding and increasing its connectivity as well as businesses in various fields the city area expanding to  km greater agartala is planned as of  with an additional of  km agartala had a different type of history from the earlier times of the epic days as it was a princely state and was connected with bangladesh though the east india company had not arrived in the princely capital of the state but they always remained in a certain in capturing and ruling the east india company had set their base of north east india in the assam province with shillong as their capitalcitation needed
",city experience notable progress infrastructure development km area saw agartala expanding increasing connectivity businesses fields city area expanding km greater agartala planned additional km agartala different type history earlier times epic days princely state connected bangladesh east india company arrived princely capital state remained certain capturing ruling east india company set base north east india assam province shillong capitalcitation needed,8.90,"city,experience,notable,progress,infrastructure,development,km,area,saw,agartala,expanding,increasing,connectivity,businesses,fields,city,area,expanding,km,greater,agartala,planned,additional,km,agartala,different,type,history,earlier,times,epic,days,princely,state,connected,bangladesh,east,india,company,arrived,princely,capital,state,remained,certain,capturing,ruling,east,india,company,set,base,north,east,india,assam,province,shillong,capitalcitation,needed",0.00,agartala
"agartala is situated on a plain land along the haora river although the city also extends to the low lying hills on its northern partscitation needed
",agartala situated plain land haora river city extends low lying hills northern partscitation needed,8.00,"agartala,situated,plain,land,haora,river,city,extends,low,lying,hills,northern,partscitation,needed",0.00,agartala
"agartala has a monsoon influenced humid subtropical climate  just short of being hot enough to qualify as a borderline tropical savanna tropical monsoon  climate large amounts of rain fall all year except during the dry winter or cool season the city experiences long hot and wet summers lasting from april to october average temperatures are around  c or  f fluctuating with rainfall there is a short mild winter from mid november to early march with mostly dry conditions and average temperatures around  c  the best time to visit is from september to february summers are long and extremely hot with much sunlight and warm days rain is very common in this season and the city can be found flooded the haora river flows through the city and remains flooded with water during the time of monsoon
",agartala monsoon influenced humid subtropical climate short hot qualify borderline tropical savanna tropical monsoon climate large amounts rain fall year dry winter cool season city experiences long hot wet summers lasting april october average temperatures c f fluctuating rainfall short mild winter mid november early march dry conditions average temperatures c best time visit september february summers long extremely hot sunlight warm days rain common season city found flooded haora river flows city remains flooded water time monsoon,7.28,"agartala,monsoon,influenced,humid,subtropical,climate,short,hot,qualify,borderline,tropical,savanna,tropical,monsoon,climate,large,amounts,rain,fall,year,dry,winter,cool,season,city,experiences,long,hot,wet,summers,lasting,april,october,average,temperatures,c,f,fluctuating,rainfall,short,mild,winter,mid,november,early,march,dry,conditions,average,temperatures,c,best,time,visit,september,february,summers,long,extremely,hot,sunlight,warm,days,rain,common,season,city,found,flooded,haora,river,flows,city,remains,flooded,water,time,monsoon",0.00,agartala
"as of the  indian census agartala had a total population of  of which  were males and  were females the population within the age range of  to  year is  the total number of literates in agartala was  which constituted  of the population with male literacy of  and female literacy of  the effective literacy rate of  population of agartala was  of which male literacy rate was  and female literacy rate was  the sex ratio of agartala is  females per  males the scheduled castes and scheduled tribes are  and  respectively
",indian census agartala total population males females population age range year total number literates agartala constituted population male literacy female literacy effective literacy rate population agartala male literacy rate female literacy rate sex ratio agartala females males scheduled castes scheduled tribes respectively,8.64,"indian,census,agartala,total,population,males,females,population,age,range,year,total,number,literates,agartala,constituted,population,male,literacy,female,literacy,effective,literacy,rate,population,agartala,male,literacy,rate,female,literacy,rate,sex,ratio,agartala,females,males,scheduled,castes,scheduled,tribes,respectively",0.00,agartala
