Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"algeriab officially the peoples democratic republic of algeria is a country in north africa algeria is bordered to the northeast by tunisia to the east by libya to the southeast by niger to the southwest by mali mauritania and western sahara to the west by morocco and to the north by the mediterranean sea it is considered part of the maghreb region of north africa it has a semi arid geography with most of the population living in the fertile north and the sahara dominating the geography of the south algeria covers an area of  square kilometres  making it the worlds tenth largest nation by area and the largest nation in africa being more than  times as large as the smallest country in the continent the gambia with a population of  million algeria is the ninth most populous country in africa and the nd most populous country in the world the capital and largest city is algiers located in the far north on the mediterranean coast
",algeriab officially peoples democratic republic algeria country north africa algeria bordered northeast tunisia east libya southeast niger southwest mali mauritania western sahara west morocco north mediterranean sea considered maghreb region north africa semi arid geography population living fertile north sahara dominating geography south algeria covers area square kilometres making worlds tenth largest nation area largest nation africa times large smallest country continent gambia population million algeria ninth populous country africa nd populous country world capital largest city algiers located far north mediterranean coast,8.84,"algeriab,officially,peoples,democratic,republic,algeria,country,north,africa,algeria,bordered,northeast,tunisia,east,libya,southeast,niger,southwest,mali,mauritania,western,sahara,west,morocco,north,mediterranean,sea,considered,maghreb,region,north,africa,semi,arid,geography,population,living,fertile,north,sahara,dominating,geography,south,algeria,covers,area,square,kilometres,making,worlds,tenth,largest,nation,area,largest,nation,africa,times,large,smallest,country,continent,gambia,population,million,algeria,ninth,populous,country,africa,nd,populous,country,world,capital,largest,city,algiers,located,far,north,mediterranean,coast",0.00,algeria
"algeria produced and is linked to many civilizations empires and dynasties including ancient numidians phoenicians carthaginians romans vandals byzantines umayyads abbasids rustamids idrisids aghlabids fatimids zirids hammadids almoravids almohads zayyanids spaniards ottomans and the french colonial empire with the latter expanded into its present boundaries after  years of being part of france tensions between france and the local algerian populace led to the start of the algerian war which concluded with algeria obtaining its independence on  july  with the establishment of the peoples democratic republic on  september of that year
",algeria produced linked civilizations empires dynasties including ancient numidians phoenicians carthaginians romans vandals byzantines umayyads abbasids rustamids idrisids aghlabids fatimids zirids hammadids almoravids almohads zayyanids spaniards ottomans french colonial empire expanded present boundaries years france tensions france local algerian populace led start algerian war concluded algeria obtaining independence july establishment peoples democratic republic september year,5.45,"algeria,produced,linked,civilizations,empires,dynasties,including,ancient,numidians,phoenicians,carthaginians,romans,vandals,byzantines,umayyads,abbasids,rustamids,idrisids,aghlabids,fatimids,zirids,hammadids,almoravids,almohads,zayyanids,spaniards,ottomans,french,colonial,empire,expanded,present,boundaries,years,france,tensions,france,local,algerian,populace,led,start,algerian,war,concluded,algeria,obtaining,independence,july,establishment,peoples,democratic,republic,september,year",0.00,algeria
"the official languages of algeria are arabic and berber the majority of algerias population is arab practicing islam the native algerian arabic is the main spoken language french also serves as an administrative and educational language in some contexts but it has no official status
",official languages algeria arabic berber majority algerias population arab practicing islam native algerian arabic main spoken language french serves administrative educational language contexts official status,7.04,"official,languages,algeria,arabic,berber,majority,algerias,population,arab,practicing,islam,native,algerian,arabic,main,spoken,language,french,serves,administrative,educational,language,contexts,official,status",0.00,algeria
"algeria is a semi presidential republic with local constituencies consisting of  provinces and  communes algeria is a regional power in north africa and a middle power in global affairs it has the highest human development index of all non island african countries and one of the largest economies on the continent based largely on energy exports algeria has the worlds sixteenth largest oil reserves and the ninth largest reserves of natural gas sonatrach the national oil company is the largest company in africa supplying large amounts of natural gas to europe algerias military is one of the largest in africa and has the largest defence budget on the continent it is a member of the african union the arab league the oic opec the united nations and the arab maghreb union of which it is a founding member
",algeria semi presidential republic local constituencies consisting provinces communes algeria regional power north africa middle power global affairs highest human development index non island african countries largest economies continent based largely energy exports algeria worlds sixteenth largest oil reserves ninth largest reserves natural gas sonatrach national oil company largest company africa supplying large amounts natural gas europe algerias military largest africa largest defence budget continent member african union arab league oic opec united nations arab maghreb union founding member,7.28,"algeria,semi,presidential,republic,local,constituencies,consisting,provinces,communes,algeria,regional,power,north,africa,middle,power,global,affairs,highest,human,development,index,non,island,african,countries,largest,economies,continent,based,largely,energy,exports,algeria,worlds,sixteenth,largest,oil,reserves,ninth,largest,reserves,natural,gas,sonatrach,national,oil,company,largest,company,africa,supplying,large,amounts,natural,gas,europe,algerias,military,largest,africa,largest,defence,budget,continent,member,african,union,arab,league,oic,opec,united,nations,arab,maghreb,union,founding,member",0.00,algeria
"other forms of the name are arabic  romanized al jazir algerian arabic  romanized al dzyr berber languages   dzayer french algrie it is officially the peoples democratic republic of algeria 
",forms arabic romanizedal jazir algerian arabic romanizedal dzyr berber languages dzayer french algrie officially peoples democratic republic algeria,4.71,"forms,arabic,romanizedal,jazir,algerian,arabic,romanizedal,dzyr,berber,languages,dzayer,french,algrie,officially,peoples,democratic,republic,algeria",0.00,algeria
"neanderthal tool makers produced hand axes in the levalloisian and mousterian styles  similar to those in the levant algeria was the site of the highest state of development of middle paleolithic flake tool techniques tools of this era starting about  because are called aterian 
",neanderthal tool makers produced hand axes levalloisian mousterian styles similar levant algeria site highest state development middle paleolithic flake tool techniques tools era starting called aterian,6.43,"neanderthal,tool,makers,produced,hand,axes,levalloisian,mousterian,styles,similar,levant,algeria,site,highest,state,development,middle,paleolithic,flake,tool,techniques,tools,era,starting,called,aterian",0.00,algeria
"the earliest blade industries in north africa are called iberomaurusian  this industry appears to have spread throughout the coastal regions of the maghreb between  and  because neolithic civilization  developed in the saharan and mediterranean maghreb perhaps as early as  because or as late as between  and  because this life richly depicted in the tassili najjer paintings predominated in algeria until the classical period the mixture of peoples of north africa coalesced eventually into a distinct native population that came to be called berbers who are the indigenous peoples of northern africa
",earliest blade industries north africa called iberomaurusian industry appears spread coastal regions maghreb neolithic civilization developed saharan mediterranean maghreb early late life richly depicted tassili najjer paintings predominated algeria classical period mixture peoples north africa coalesced eventually distinct native population came called berbers indigenous peoples northern africa,7.31,"earliest,blade,industries,north,africa,called,iberomaurusian,industry,appears,spread,coastal,regions,maghreb,neolithic,civilization,developed,saharan,mediterranean,maghreb,early,late,life,richly,depicted,tassili,najjer,paintings,predominated,algeria,classical,period,mixture,peoples,north,africa,coalesced,eventually,distinct,native,population,came,called,berbers,indigenous,peoples,northern,africa",0.00,algeria
"for several centuries algeria was ruled by the romans who founded many colonies in the region like the rest of north africa algeria was one of the breadbaskets of the empire exporting cereals and other agricultural products saint augustine was the bishop of hippo regius  located in the roman province of africa the germanic vandals of geiseric moved into north africa in  and by  controlled coastal numidia they did not make any significant settlement on the land as they were harassed by local tribescitation needed in fact by the time the byzantines arrived leptis magna was abandoned and the msellata region was occupied by the indigenous laguatan who had been busy facilitating an amazigh political military and cultural revival furthermore during the rule of the romans byzantines vandals carthaginians and ottomans the berber people were the only or one of the few in north africa who remained independent the berber people were so resistant that even during the muslim conquest of north africa they still had control and possession over their mountains
",centuries algeria ruled romans founded colonies region like rest north africa algeria breadbaskets empire exporting cereals agricultural products saint augustine bishop hippo regius located roman province africa germanic vandals geiseric moved north africa controlled coastal numidia significant settlement land harassed local tribescitation needed fact time byzantines arrived leptis magna abandoned msellata region occupied indigenous laguatan busy facilitating amazigh political military cultural revival furthermore rule romans byzantines vandals carthaginians ottomans berber people north africa remained independent berber people resistant muslim conquest north africa control possession mountains,8.20,"centuries,algeria,ruled,romans,founded,colonies,region,like,rest,north,africa,algeria,breadbaskets,empire,exporting,cereals,agricultural,products,saint,augustine,bishop,hippo,regius,located,roman,province,africa,germanic,vandals,geiseric,moved,north,africa,controlled,coastal,numidia,significant,settlement,land,harassed,local,tribescitation,needed,fact,time,byzantines,arrived,leptis,magna,abandoned,msellata,region,occupied,indigenous,laguatan,busy,facilitating,amazigh,political,military,cultural,revival,furthermore,rule,romans,byzantines,vandals,carthaginians,ottomans,berber,people,north,africa,remained,independent,berber,people,resistant,muslim,conquest,north,africa,control,possession,mountains",0.00,algeria
"after negligible resistance from the locals muslim arabs of the umayyad caliphate conquered algeria in the early th century
",negligible resistance locals muslim arabs umayyad caliphate conquered algeria early th century,5.65,"negligible,resistance,locals,muslim,arabs,umayyad,caliphate,conquered,algeria,early,th,century",0.00,algeria
"during the middle ages north africa was home to many great scholars saints and sovereigns including judah ibn quraysh the first grammarian to mention semitic and berber languages the great sufi masters sidi boumediene  and sidi el houari and the emirs abd al mumin and yghmrasen it was during this time that the fatimids or children of fatima daughter of muhammad came to the maghreb these fatimids went on to found a long lasting dynasty stretching across the maghreb hejaz and the levant boasting a secular inner government as well as a powerful army and navy made up primarily of arabs and levantines extending from algeria to their capital state of cairo the fatimid caliphate began to collapse when its governors the zirids seceded in order to punish them the fatimids sent the arab banu hilal and banu sulaym against them the resultant war is recounted in the epic tghribt in al tghrbt the amazigh zirid hero khlf al znat asks daily for duels to defeat the hilalan hero bu zayd al hilal and many other arab knights in a string of victories the zirids however were ultimately defeated ushering in an adoption of arab customs and culture the indigenous amazigh tribes however remained largely independent and depending on tribe location and time controlled varying parts of the maghreb at times unifying it  the fatimid islamic state also known as fatimid caliphate made an islamic empire that included north africa sicily palestine jordan lebanon syria egypt the red sea coast of africa tihamah hejaz and yemen caliphates from northern africa traded with the other empires of their time as well as forming part of a confederated support and trade network with other islamic states during the islamic era
",middle ages north africa home great scholars saints sovereigns including judah ibn quraysh grammarian mention semitic berber languages great sufi masters sidi boumediene sidi el houari emirs abd al mumin yghmrasen time fatimids children fatima daughter muhammad came maghreb fatimids went found long lasting dynasty stretching maghreb hejaz levant boasting secular inner government powerful army navy primarily arabs levantines extending algeria capital state cairo fatimid caliphate began collapse governors zirids seceded order punish fatimids sent arab banu hilal banu sulaym resultant war recounted epic tghribt al tghrbt amazigh zirid hero khlf al znat asks daily duels defeat hilalan hero bu zayd al hilal arab knights string victories zirids ultimately defeated ushering adoption arab customs culture indigenous amazigh tribes remained largely independent depending tribe location time controlled varying parts maghreb times unifying fatimid islamic state known fatimid caliphate islamic empire included north africa sicily palestine jordan lebanon syria egypt red sea coast africa tihamah hejaz yemen caliphates northern africa traded empires time forming confederated support trade network islamic states islamic era,6.90,"middle,ages,north,africa,home,great,scholars,saints,sovereigns,including,judah,ibn,quraysh,grammarian,mention,semitic,berber,languages,great,sufi,masters,sidi,boumediene,sidi,el,houari,emirs,abd,al,mumin,yghmrasen,time,fatimids,children,fatima,daughter,muhammad,came,maghreb,fatimids,went,found,long,lasting,dynasty,stretching,maghreb,hejaz,levant,boasting,secular,inner,government,powerful,army,navy,primarily,arabs,levantines,extending,algeria,capital,state,cairo,fatimid,caliphate,began,collapse,governors,zirids,seceded,order,punish,fatimids,sent,arab,banu,hilal,banu,sulaym,resultant,war,recounted,epic,tghribt,al,tghrbt,amazigh,zirid,hero,khlf,al,znat,asks,daily,duels,defeat,hilalan,hero,bu,zayd,al,hilal,arab,knights,string,victories,zirids,ultimately,defeated,ushering,adoption,arab,customs,culture,indigenous,amazigh,tribes,remained,largely,independent,depending,tribe,location,time,controlled,varying,parts,maghreb,times,unifying,fatimid,islamic,state,known,fatimid,caliphate,islamic,empire,included,north,africa,sicily,palestine,jordan,lebanon,syria,egypt,red,sea,coast,africa,tihamah,hejaz,yemen,caliphates,northern,africa,traded,empires,time,forming,confederated,support,trade,network,islamic,states,islamic,era",0.00,algeria
