Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"french algeria 
",french algeria,0.00,"french,algeria",0.00,algeria
"the algerian war nb  was a major armed conflict between france and the algerian national liberation front  from  to  which led to algeria winning its independence from france an important decolonization war it was a complex conflict characterized by guerrilla warfare and war crimes the conflict also became a civil war between the different communities and within the communities the war took place mainly on the territory of algeria with repercussions in metropolitan france
",algerian war nb major armed conflict france algerian national liberation led algeria winning independence france important decolonization war complex conflict characterized guerrilla warfare war crimes conflict civil war different communities communities war took place mainly territory algeria repercussions metropolitan france,7.13,"algerian,war,nb,major,armed,conflict,france,algerian,national,liberation,led,algeria,winning,independence,france,important,decolonization,war,complex,conflict,characterized,guerrilla,warfare,war,crimes,conflict,civil,war,different,communities,communities,war,took,place,mainly,territory,algeria,repercussions,metropolitan,france",0.00,algeria
"effectively started by members of the national liberation front  on  november  during the toussaint rouge  the conflict led to serious political crises in france causing the fall of the fourth republic  to be replaced by the fifth republic with a strengthened presidency the brutality of the methods employed by the french forces failed to win hearts and minds in algeria alienated support in metropolitan france and discredited french prestige abroad as the war dragged on the french public slowly turned against it and many of frances key allies including the united states switched from supporting france to abstaining in the un debate on algeria after major demonstrations in algiers and several other cities in favor of independence  and a united nations resolution recognizing the right to independence charles de gaulle the first president of the fifth republic decided to open a series of negotiations with the fln these concluded with the signing of the vian accords in march  a referendum took place on  april  and the french electorate approved the vian accords the final result was  in favor of the ratification of this agreement and on  july the accords were subject to a second referendum in algeria where  voted for independence and just  against
",effectively started members national liberation november toussaint rouge conflict led political crises france causing fall fourth republic replaced fifth republic strengthened presidency brutality methods employed french forces failed win hearts minds algeria alienated support metropolitan france discredited french prestige abroad war dragged french public slowly turned frances key allies including united states switched supporting france abstaining un debate algeria major demonstrations algiers cities favor independence united nations resolution recognizing right independence charles de gaulle president fifth republic decided open series negotiations fln concluded signing vian accords march referendum took place april french electorate approved vian accords final result favor ratification agreement july accords subject second referendum algeria voted independence,7.53,"effectively,started,members,national,liberation,november,toussaint,rouge,conflict,led,political,crises,france,causing,fall,fourth,republic,replaced,fifth,republic,strengthened,presidency,brutality,methods,employed,french,forces,failed,win,hearts,minds,algeria,alienated,support,metropolitan,france,discredited,french,prestige,abroad,war,dragged,french,public,slowly,turned,frances,key,allies,including,united,states,switched,supporting,france,abstaining,un,debate,algeria,major,demonstrations,algiers,cities,favor,independence,united,nations,resolution,recognizing,right,independence,charles,de,gaulle,president,fifth,republic,decided,open,series,negotiations,fln,concluded,signing,vian,accords,march,referendum,took,place,april,french,electorate,approved,vian,accords,final,result,favor,ratification,agreement,july,accords,subject,second,referendum,algeria,voted,independence",0.00,algeria
"the planned french withdrawal led to a state crisis this included various assassination attempts on de gaulle as well as some attempts at military coups most of the former were carried out by the organisation arme secrte  an underground organization formed mainly from french military personnel supporting a french algeria which committed a large number of bombings and murders both in algeria and in the homeland to stop the planned independence
",planned french withdrawal led state crisis included assassination attempts de gaulle attempts military coups carried organisation arme secrte underground organization formed mainly french military personnel supporting french algeria committed large number bombings murders algeria homeland stop planned independence,7.38,"planned,french,withdrawal,led,state,crisis,included,assassination,attempts,de,gaulle,attempts,military,coups,carried,organisation,arme,secrte,underground,organization,formed,mainly,french,military,personnel,supporting,french,algeria,committed,large,number,bombings,murders,algeria,homeland,stop,planned,independence",0.00,algeria
"on the pretext of a slight to their consul the french invaded algeria in  directed by marshall bugeaud who became the first governor general of algeria the conquest was violent and marked by a scorched earth policy designed to reduce the power of the native rulers the dey including massacres mass rapes and other atrocities between  and  from approximately  million algerians were killed in the first three decades of the conquest french losses from  to  were  killed in action and  dying in hospital
",pretext slight consul french invaded algeria directed marshall bugeaud governor general algeria conquest violent marked scorched earth policy designed reduce power native rulers dey including massacres mass rapes atrocities approximately million algerians killed decades conquest french losses killed action dying hospital,8.37,"pretext,slight,consul,french,invaded,algeria,directed,marshall,bugeaud,governor,general,algeria,conquest,violent,marked,scorched,earth,policy,designed,reduce,power,native,rulers,dey,including,massacres,mass,rapes,atrocities,approximately,million,algerians,killed,decades,conquest,french,losses,killed,action,dying,hospital",0.00,algeria
"in  algeria became a french military colony it was declared by the constitution of  to be an integral part of france and was divided into three departments alger oran and constantine many french and other europeans  later settled in algeria
",algeria french military colony declared constitution integral france divided departments alger oran constantine french europeans later settled algeria,9.13,"algeria,french,military,colony,declared,constitution,integral,france,divided,departments,alger,oran,constantine,french,europeans,later,settled,algeria",0.00,algeria
 the indigenous muslim is french however he will continue to be subjected to muslim law he may be admitted to serve in the army  and the navy  he may be called to functions and civil employment in algeria he may on his demand be admitted to enjoy the rights of a french citizen in this case he is subjected to the political and civil laws of france,indigenous muslim french continue subjected muslim law admitted serve army navy called functions civil employment algeria demand admitted enjoy rights french citizen case subjected political civil laws france,11.21,"indigenous,muslim,french,continue,subjected,muslim,law,admitted,serve,army,navy,called,functions,civil,employment,algeria,demand,admitted,enjoy,rights,french,citizen,case,subjected,political,civil,laws,france",0.00,algeria
"algeria was unique to france because unlike all other overseas possessions acquired by france during the th century algeria was considered and legally classified to be an integral part of france
",algeria unique france unlike overseas possessions acquired france th century algeria considered legally classified integral france,7.69,"algeria,unique,france,unlike,overseas,possessions,acquired,france,th,century,algeria,considered,legally,classified,integral,france",0.00,algeria
"in the early morning hours of  november  fln maquisards  attacked military and civilian targets throughout algeria in what became known as the toussaint rouge  from cairo the fln broadcast the declaration of  november  written by the journalist mohamed achaoui calling on muslims in algeria to join in a national struggle for the restoration of the algerian state  sovereign democratic and social  within the framework of the principles of islam it was the reaction of premier pierre mends france  who only a few months before had completed the liquidation of frances tete empire in indochina which set the tone of french policy for five years he declared in the national assembly one does not compromise when it comes to defending the internal peace of the nation the unity and integrity of the republic the algerian departments are part of the french republic they have been french for a long time and they are irrevocably french  between them and metropolitan france there can be no conceivable secession at first and despite the stif massacre of  may  and the pro independence struggle before world war ii most algerians were in favor of a relative status quo while messali hadj had radicalized by forming the fln ferhat abbas maintained a more moderate electoral strategy fewer than  fellaghas  could be counted at the beginning of the conflict the algerian population radicalized itself in particular because of the terrorist acts of french sponsored main rouge  group which targeted anti colonialists in all of the maghreb region  killing for example tunisian activist farhat hached in 
",early morning hours november fln maquisards attacked military civilian targets algeria known toussaint rouge cairo fln broadcast declaration november written journalist mohamed achaoui calling muslims algeria join national struggle restoration algerian state sovereign democratic social framework principles islam reaction premier pierre mends france months completed liquidation frances tete empire indochina set tone french policy years declared national assembly compromise comes defending internal peace nation unity integrity republic algerian departments french republic french long time irrevocably french metropolitan france conceivable secession despite stif massacre pro independence struggle world war ii algerians favor relative status quo messali hadj radicalized forming fln ferhat abbas maintained moderate electoral strategy fewer fellaghas counted beginning conflict algerian population radicalized particular terrorist acts french sponsored main rouge group targeted anti colonialists maghreb region killing example tunisian activist farhat hached,7.90,"early,morning,hours,november,fln,maquisards,attacked,military,civilian,targets,algeria,known,toussaint,rouge,cairo,fln,broadcast,declaration,november,written,journalist,mohamed,achaoui,calling,muslims,algeria,join,national,struggle,restoration,algerian,state,sovereign,democratic,social,framework,principles,islam,reaction,premier,pierre,mends,france,months,completed,liquidation,frances,tete,empire,indochina,set,tone,french,policy,years,declared,national,assembly,compromise,comes,defending,internal,peace,nation,unity,integrity,republic,algerian,departments,french,republic,french,long,time,irrevocably,french,metropolitan,france,conceivable,secession,despite,stif,massacre,pro,independence,struggle,world,war,ii,algerians,favor,relative,status,quo,messali,hadj,radicalized,forming,fln,ferhat,abbas,maintained,moderate,electoral,strategy,fewer,fellaghas,counted,beginning,conflict,algerian,population,radicalized,particular,terrorist,acts,french,sponsored,main,rouge,group,targeted,anti,colonialists,maghreb,region,killing,example,tunisian,activist,farhat,hached",0.00,algeria
"after the collapse of the mtld the veteran nationalist messali hadj formed the leftist mouvement national algrien  which advocated a policy of violent revolution and total independence similar to that of the fln but aimed to compete with that organisation the arme de libration nationale  the military wing of the fln subsequently wiped out the mna guerrilla operation in algeria and messali hadjs movement lost what little influence it had had there however the mna retained the support of many algerian workers in france through the union syndicale des travailleurs algriens  the fln also established a strong organization in france to oppose the mna the caf wars resulting in nearly  deaths were waged in france between the two rebel groups throughout the years of the war of independence
",collapse mtld veteran nationalist messali hadj formed leftist mouvement national algrien advocated policy violent revolution total independence similar fln aimed compete organisation arme de libration nationale military wing fln subsequently wiped mna guerrilla operation algeria messali hadjs movement lost little influence mna retained support algerian workers france union syndicale des travailleurs algriens fln established strong organization france oppose mna caf wars resulting nearly deaths waged france rebel groups years war independence,7.20,"collapse,mtld,veteran,nationalist,messali,hadj,formed,leftist,mouvement,national,algrien,advocated,policy,violent,revolution,total,independence,similar,fln,aimed,compete,organisation,arme,de,libration,nationale,military,wing,fln,subsequently,wiped,mna,guerrilla,operation,algeria,messali,hadjs,movement,lost,little,influence,mna,retained,support,algerian,workers,france,union,syndicale,des,travailleurs,algriens,fln,established,strong,organization,france,oppose,mna,caf,wars,resulting,nearly,deaths,waged,france,rebel,groups,years,war,independence",0.00,algeria
