Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ancient egypt was a civilization in northeast africa situated in the nile valley ancient egyptian civilization followed prehistoric egypt and coalesced around  because  with the political unification of upper and lower egypt under menes  the history of ancient egypt occurred as a series of stable kingdoms separated by periods of relative instability known as intermediate periods the old kingdom of the early bronze age the middle kingdom of the middle bronze age and the new kingdom of the late bronze age
",ancient egypt civilization northeast africa situated nile valley ancient egyptian civilization followed prehistoric egypt coalesced political unification upper lower egypt menes history ancient egypt occurred series stable kingdoms separated periods relative instability known intermediate periods old kingdom early bronze age middle kingdom middle bronze age new kingdom late bronze age,6.09,"ancient,egypt,civilization,northeast,africa,situated,nile,valley,ancient,egyptian,civilization,followed,prehistoric,egypt,coalesced,political,unification,upper,lower,egypt,menes,history,ancient,egypt,occurred,series,stable,kingdoms,separated,periods,relative,instability,known,intermediate,periods,old,kingdom,early,bronze,age,middle,kingdom,middle,bronze,age,new,kingdom,late,bronze,age",0.00,egypt
"egypt reached the pinnacle of its power in the new kingdom ruling much of nubia and a sizable portion of the near east after which it entered a period of slow decline during the course of its history egypt was invaded or conquered by a number of foreign powers including the hyksos the libyans the nubians the assyrians the achaemenid persians and the macedonians under the command of alexander the great the greek ptolemaic kingdom formed in the aftermath of alexanders death ruled egypt until  because when under cleopatra it fell to the roman empire and became a roman province
",egypt reached pinnacle power new kingdom ruling nubia sizable portion near east entered period slow decline course history egypt invaded conquered number foreign powers including hyksos libyans nubians assyrians achaemenid persians macedonians command alexander great greek ptolemaic kingdom formed aftermath alexanders death ruled egypt cleopatra fell roman empire roman province,8.61,"egypt,reached,pinnacle,power,new,kingdom,ruling,nubia,sizable,portion,near,east,entered,period,slow,decline,course,history,egypt,invaded,conquered,number,foreign,powers,including,hyksos,libyans,nubians,assyrians,achaemenid,persians,macedonians,command,alexander,great,greek,ptolemaic,kingdom,formed,aftermath,alexanders,death,ruled,egypt,cleopatra,fell,roman,empire,roman,province",0.00,egypt
"the many achievements of the ancient egyptians include the quarrying surveying and construction techniques that supported the building of monumental pyramids temples and obelisks a system of mathematics a practical and effective system of medicine irrigation systems and agricultural production techniques the first known planked boats egyptian faience and glass technology new forms of literature and the earliest known peace treaty made with the hittites ancient egypt has left a lasting legacy its art and architecture were widely copied and its antiquities were carried off to far corners of the world its monumental ruins have inspired the imaginations of travelers and writers for millennia a newfound respect for antiquities and excavations in the early modern period by europeans and egyptians has led to the scientific investigation of egyptian civilization and a greater appreciation of its cultural legacy
",achievements ancient egyptians include quarrying surveying construction techniques supported building monumental pyramids temples obelisks system mathematics practical effective system medicine irrigation systems agricultural production techniques known planked boats egyptian faience glass technology new forms literature earliest known peace treaty hittites ancient egypt left lasting legacy art architecture widely copied antiquities carried far corners world monumental ruins inspired imaginations travelers writers millennia newfound respect antiquities excavations early modern period europeans egyptians led scientific investigation egyptian civilization greater appreciation cultural legacy,6.32,"achievements,ancient,egyptians,include,quarrying,surveying,construction,techniques,supported,building,monumental,pyramids,temples,obelisks,system,mathematics,practical,effective,system,medicine,irrigation,systems,agricultural,production,techniques,known,planked,boats,egyptian,faience,glass,technology,new,forms,literature,earliest,known,peace,treaty,hittites,ancient,egypt,left,lasting,legacy,art,architecture,widely,copied,antiquities,carried,far,corners,world,monumental,ruins,inspired,imaginations,travelers,writers,millennia,newfound,respect,antiquities,excavations,early,modern,period,europeans,egyptians,led,scientific,investigation,egyptian,civilization,greater,appreciation,cultural,legacy",0.00,egypt
"in predynastic and early dynastic times the egyptian climate was much less arid than it is today large regions of egypt were covered in treed savanna and traversed by herds of grazing ungulates foliage and fauna were far more prolific in all environs and the nile region supported large populations of waterfowl hunting would have been common for egyptians and this is also the period when many animals were first domesticated
",predynastic early dynastic times egyptian climate arid today large regions egypt covered treed savanna traversed herds grazing ungulates foliage fauna far prolific environs nile region supported large populations waterfowl hunting common egyptians period animals domesticated,8.43,"predynastic,early,dynastic,times,egyptian,climate,arid,today,large,regions,egypt,covered,treed,savanna,traversed,herds,grazing,ungulates,foliage,fauna,far,prolific,environs,nile,region,supported,large,populations,waterfowl,hunting,common,egyptians,period,animals,domesticated",0.00,egypt
"by about  because small tribes living in the nile valley had developed into a series of cultures demonstrating firm control of agriculture and animal husbandry and identifiable by their pottery and personal items such as combs bracelets and beads the largest of these early cultures in upper  egypt was the badarian culture which probably originated in the western desert it was known for its high quality ceramics stone tools and its use of copper
",small tribes living nile valley developed series cultures demonstrating firm control agriculture animal husbandry identifiable pottery personal items combs bracelets beads largest early cultures upper egypt badarian culture probably originated western desert known high quality ceramics stone tools use copper,7.57,"small,tribes,living,nile,valley,developed,series,cultures,demonstrating,firm,control,agriculture,animal,husbandry,identifiable,pottery,personal,items,combs,bracelets,beads,largest,early,cultures,upper,egypt,badarian,culture,probably,originated,western,desert,known,high,quality,ceramics,stone,tools,use,copper",0.00,egypt
"the badari was followed by the naqada culture the amratian  the gerzeh  and semainean page needed these brought a number of technological improvements as early as the naqada i period predynastic egyptians imported obsidian from ethiopia used to shape blades and other objects from flakes in naqada ii times early evidence exists of contact with the near east particularly canaan and the byblos coast over a period of about  years the naqada culture developed from a few small farming communities into a powerful civilization whose leaders were in complete control of the people and resources of the nile valley establishing a power center at nekhen  and later at abydos naqada iii leaders expanded their control of egypt northwards along the nile they also traded with nubia to the south the oases of the western desert to the west and the cultures of the eastern mediterranean and near east to the east initiating a period of egypt mesopotamia relationswhen
",badari followed naqada culture amratian gerzeh semainean pageneeded brought number technological improvements early naqada period predynastic egyptians imported obsidian ethiopia shape blades objects flakes naqada ii times early evidence exists contact near east particularly canaan byblos coast period years naqada culture developed small farming communities powerful civilization leaders complete control people resources nile valley establishing power center nekhen later abydos naqada iii leaders expanded control egypt northwards nile traded nubia south oases western desert west cultures eastern mediterranean near east east initiating period egypt mesopotamia relationswhen,7.40,"badari,followed,naqada,culture,amratian,gerzeh,semainean,pageneeded,brought,number,technological,improvements,early,naqada,period,predynastic,egyptians,imported,obsidian,ethiopia,shape,blades,objects,flakes,naqada,ii,times,early,evidence,exists,contact,near,east,particularly,canaan,byblos,coast,period,years,naqada,culture,developed,small,farming,communities,powerful,civilization,leaders,complete,control,people,resources,nile,valley,establishing,power,center,nekhen,later,abydos,naqada,iii,leaders,expanded,control,egypt,northwards,nile,traded,nubia,south,oases,western,desert,west,cultures,eastern,mediterranean,near,east,east,initiating,period,egypt,mesopotamia,relationswhen",0.00,egypt
"the early dynastic period was approximately contemporary to the early sumerian akkadian civilization of mesopotamia and of ancient elam the third century because egyptian priest manetho grouped the long line of kings from menes to his own time into  dynasties a system still used today he began his official history with the king named meni  who was believed to have united the two kingdoms of upper and lower egypt
",early dynastic period approximately contemporary early sumerian akkadian civilization mesopotamia ancient elam centurybecause egyptian priest manetho grouped long line kings menes time dynasties system today began official history king named meni believed united kingdoms upper lower egypt,7.69,"early,dynastic,period,approximately,contemporary,early,sumerian,akkadian,civilization,mesopotamia,ancient,elam,centurybecause,egyptian,priest,manetho,grouped,long,line,kings,menes,time,dynasties,system,today,began,official,history,king,named,meni,believed,united,kingdoms,upper,lower,egypt",0.00,egypt
"the transition to a unified state happened more gradually than ancient egyptian writers represented and there is no contemporary record of menes some scholars now believe however that the mythical menes may have been the king narmer who is depicted wearing royal regalia on the ceremonial narmer palette in a symbolic act of unification in the early dynastic period which began about  because the first of the dynastic kings solidified control over lower egypt by establishing a capital at memphis from which he could control the labour force and agriculture of the fertile delta region as well as the lucrative and critical trade routes to the levant the increasing power and wealth of the kings during the early dynastic period was reflected in their elaborate mastaba tombs and mortuary cult structures at abydos which were used to celebrate the deified king after his death the strong institution of kingship developed by the kings served to legitimize state control over the land labour and resources that were essential to the survival and growth of ancient egyptian civilization
",transition unified state happened gradually ancient egyptian writers represented contemporary record menes scholars believe mythical menes king narmer depicted wearing royal regalia ceremonial narmer palette symbolic act unification early dynastic period began dynastic kings solidified control lower egypt establishing capital memphis control labour force agriculture fertile delta region lucrative critical trade routes levant increasing power wealth kings early dynastic period reflected elaborate mastaba tombs mortuary cult structures abydos celebrate deified king death strong institution kingship developed kings served legitimize state control land labour resources essential survival growth ancient egyptian civilization,7.92,"transition,unified,state,happened,gradually,ancient,egyptian,writers,represented,contemporary,record,menes,scholars,believe,mythical,menes,king,narmer,depicted,wearing,royal,regalia,ceremonial,narmer,palette,symbolic,act,unification,early,dynastic,period,began,dynastic,kings,solidified,control,lower,egypt,establishing,capital,memphis,control,labour,force,agriculture,fertile,delta,region,lucrative,critical,trade,routes,levant,increasing,power,wealth,kings,early,dynastic,period,reflected,elaborate,mastaba,tombs,mortuary,cult,structures,abydos,celebrate,deified,king,death,strong,institution,kingship,developed,kings,served,legitimize,state,control,land,labour,resources,essential,survival,growth,ancient,egyptian,civilization",0.00,egypt
"with the rising importance of central administration in egypt a new class of educated scribes and officials arose who were granted estates by the king in payment for their services kings also made land grants to their mortuary cults and local temples to ensure that these institutions had the resources to worship the king after his death scholars believe that five centuries of these practices slowly eroded the economic vitality of egypt and that the economy could no longer afford to support a large centralized administration as the power of the kings diminished regional governors called nomarchs began to challenge the supremacy of the office of king this coupled with severe droughts between  and  because is believed to have caused the country to enter the  year period of famine and strife known as the first intermediate period
",rising importance central administration egypt new class educated scribes officials arose granted estates king payment services kings land grants mortuary cults local temples ensure institutions resources worship king death scholars believe centuries practices slowly eroded economic vitality egypt economy longer afford support large centralized administration power kings diminished regional governors called nomarchs began challenge supremacy office king coupled severe droughts believed caused country enter year period famine strife known intermediate period,7.88,"rising,importance,central,administration,egypt,new,class,educated,scribes,officials,arose,granted,estates,king,payment,services,kings,land,grants,mortuary,cults,local,temples,ensure,institutions,resources,worship,king,death,scholars,believe,centuries,practices,slowly,eroded,economic,vitality,egypt,economy,longer,afford,support,large,centralized,administration,power,kings,diminished,regional,governors,called,nomarchs,began,challenge,supremacy,office,king,coupled,severe,droughts,believed,caused,country,enter,year,period,famine,strife,known,intermediate,period",0.00,egypt
"free from their loyalties to the king local rulers began competing with each other for territorial control and political power by  because rulers in herakleopolis controlled lower egypt in the north while a rival clan based in thebes the intef family took control of upper egypt in the south as the intefs grew in power and expanded their control northward a clash between the two rival dynasties became inevitable around  because the northern theban forces under nebhepetre mentuhotep ii finally defeated the herakleopolitan rulers reuniting the two lands they inaugurated a period of economic and cultural renaissance known as the middle kingdom
",free loyalties king local rulers began competing territorial control political power rulers herakleopolis controlled lower egypt north rival clan based thebes intef family took control upper egypt south intefs grew power expanded control northward clash rival dynasties inevitable northern theban forces nebhepetre mentuhotep ii finally defeated herakleopolitan rulers reuniting lands inaugurated period economic cultural renaissance known middle kingdom,6.79,"free,loyalties,king,local,rulers,began,competing,territorial,control,political,power,rulers,herakleopolis,controlled,lower,egypt,north,rival,clan,based,thebes,intef,family,took,control,upper,egypt,south,intefs,grew,power,expanded,control,northward,clash,rival,dynasties,inevitable,northern,theban,forces,nebhepetre,mentuhotep,ii,finally,defeated,herakleopolitan,rulers,reuniting,lands,inaugurated,period,economic,cultural,renaissance,known,middle,kingdom",0.00,egypt
