Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ancient greece  was a northeastern mediterranean civilization existing from the greek dark ages of the thth centuries because to the end of classical antiquity  that comprised a loose collection of culturally and linguistically related city states and other territories most of these regions were officially unified only once for  years under alexander the greats empire from  to  because  in western history the era of classical antiquity was immediately followed by the early middle ages and the byzantine period
",ancient greece northeastern mediterranean civilization existing greek dark ages thth centuries end classical antiquity comprised loose collection culturally linguistically related city states territories regions officially unified years alexander greats empire western history era classical antiquity immediately followed early middle ages byzantine period,6.99,"ancient,greece,northeastern,mediterranean,civilization,existing,greek,dark,ages,thth,centuries,end,classical,antiquity,comprised,loose,collection,culturally,linguistically,related,city,states,territories,regions,officially,unified,years,alexander,greats,empire,western,history,era,classical,antiquity,immediately,followed,early,middle,ages,byzantine,period",0.00,greece
"roughly three centuries after the late bronze age collapse of mycenaean greece greek urban poleis began to form in the th century because ushering in the archaic period and the colonization of the mediterranean basin this was followed by the age of classical greece from the greco persian wars to the th to th centuries because and which included the golden age of athens the conquests of alexander the great of macedon spread hellenistic civilization from the western mediterranean to central asia the hellenistic period ended with the conquest of the eastern mediterranean world by the roman republic and the annexation of the roman province of macedonia in roman greece and later the province of achaea during the roman empire
",roughly centuries late bronze age collapse mycenaean greece greek urban poleis began form th century ushering archaic period colonization mediterranean basin followed age classical greece greco persian wars th th centuries included golden age athens conquests alexander great macedon spread hellenistic civilization western mediterranean central asia hellenistic period ended conquest eastern mediterranean world roman republic annexation roman province macedonia roman greece later province achaea roman empire,7.40,"roughly,centuries,late,bronze,age,collapse,mycenaean,greece,greek,urban,poleis,began,form,th,century,ushering,archaic,period,colonization,mediterranean,basin,followed,age,classical,greece,greco,persian,wars,th,th,centuries,included,golden,age,athens,conquests,alexander,great,macedon,spread,hellenistic,civilization,western,mediterranean,central,asia,hellenistic,period,ended,conquest,eastern,mediterranean,world,roman,republic,annexation,roman,province,macedonia,roman,greece,later,province,achaea,roman,empire",0.00,greece
"classical greek culture especially philosophy had a powerful influence on ancient rome which carried a version of it throughout the mediterranean and much of europe for this reason classical greece is generally considered the cradle of western civilization the seminal culture from which the modern west derives many of its founding archetypes and ideas in politics philosophy science and art
",classical greek culture especially philosophy powerful influence ancient rome carried version mediterranean europe reason classical greece generally considered cradle western civilization seminal culture modern west derives founding archetypes ideas politics philosophy science art,6.87,"classical,greek,culture,especially,philosophy,powerful,influence,ancient,rome,carried,version,mediterranean,europe,reason,classical,greece,generally,considered,cradle,western,civilization,seminal,culture,modern,west,derives,founding,archetypes,ideas,politics,philosophy,science,art",0.00,greece
"classical antiquity in greece was preceded by the greek dark ages  archaeologically characterised by the protogeometric and geometric styles of designs on pottery following the dark ages was the archaic period beginning around the th century because which saw early developments in greek culture and society leading to the classical period from the persian invasion of greece in  because until the death of alexander the great in  because the classical period is characterized by a classical style that is one which was considered exemplary by later observers most famously in the parthenon of athens politically the classical period was dominated by athens and the delian league during the th century but displaced by spartan hegemony during the early th century because before power shifted to thebes and the boeotian league and finally to the league of corinth led by macedon this period was shaped by the greco persian wars the peloponnesian war and the rise of macedon
",classical antiquity greece preceded greek dark ages archaeologically characterised protogeometric geometric styles designs pottery following dark ages archaic period beginning th century saw early developments greek culture society leading classical period persian invasion greece death alexander great classical period characterized classical style considered exemplary later observers famously parthenon athens politically classical period dominated athens delian league th century displaced spartan hegemony early th century power shifted thebes boeotian league finally league corinth led macedon period shaped greco persian wars peloponnesian war rise macedon,7.60,"classical,antiquity,greece,preceded,greek,dark,ages,archaeologically,characterised,protogeometric,geometric,styles,designs,pottery,following,dark,ages,archaic,period,beginning,th,century,saw,early,developments,greek,culture,society,leading,classical,period,persian,invasion,greece,death,alexander,great,classical,period,characterized,classical,style,considered,exemplary,later,observers,famously,parthenon,athens,politically,classical,period,dominated,athens,delian,league,th,century,displaced,spartan,hegemony,early,th,century,power,shifted,thebes,boeotian,league,finally,league,corinth,led,macedon,period,shaped,greco,persian,wars,peloponnesian,war,rise,macedon",0.00,greece
"following the classical period was the hellenistic period  during which greek culture and power expanded into the near and middle east from the death of alexander until the roman conquest roman greece is usually counted from the roman victory over the corinthians at the battle of corinth in  because to the establishment of byzantium by constantine as the capital of the roman empire in  ad finally late antiquity refers to the period of christianization during the later th to early th centuries ad consummated by the closure of the academy of athens by justinian i in 
",following classical period hellenistic period greek culture power expanded near middle east death alexander roman conquest roman greece usually counted roman victory corinthians battle corinth establishment byzantium constantine capital roman empire ad finally late antiquity refers period christianization later th early th centuries ad consummated closure academy athens justinian,8.22,"following,classical,period,hellenistic,period,greek,culture,power,expanded,near,middle,east,death,alexander,roman,conquest,roman,greece,usually,counted,roman,victory,corinthians,battle,corinth,establishment,byzantium,constantine,capital,roman,empire,ad,finally,late,antiquity,refers,period,christianization,later,th,early,th,centuries,ad,consummated,closure,academy,athens,justinian",0.00,greece
"the historical period of ancient greece is unique in world history as the first period attested directly in comprehensive narrative historiography while earlier ancient history or protohistory is known from much more fragmentary documents such as annals king lists and pragmatic epigraphy
",historical period ancient greece unique world history period attested directly comprehensive narrative historiography earlier ancient history protohistory known fragmentary documents annals king lists pragmatic epigraphy,5.88,"historical,period,ancient,greece,unique,world,history,period,attested,directly,comprehensive,narrative,historiography,earlier,ancient,history,protohistory,known,fragmentary,documents,annals,king,lists,pragmatic,epigraphy",0.00,greece
"in the th century because greece began to emerge from the dark ages which followed the collapse of the mycenaean civilization literacy had been lost and the mycenaean script forgotten but the greeks adopted the phoenician alphabet modifying it to create the greek alphabet objects inscribed with phoenician writing may have been available in greece from the th century because but the earliest evidence of greek writing comes from graffiti on greek pottery from the mid th century greece was divided into many small self governing communities a pattern largely dictated by its geography every island valley and plain is cut off from its neighbors by the sea or mountain ranges
",th century greece began emerge dark ages followed collapse mycenaean civilization literacy lost mycenaean script forgotten greeks adopted phoenician alphabet modifying create greek alphabet objects inscribed phoenician writing available greece th century earliest evidence greek writing comes graffiti greek pottery mid th century greece divided small self governing communities pattern largely dictated geography island valley plain cut neighbors sea mountain ranges,7.39,"th,century,greece,began,emerge,dark,ages,followed,collapse,mycenaean,civilization,literacy,lost,mycenaean,script,forgotten,greeks,adopted,phoenician,alphabet,modifying,create,greek,alphabet,objects,inscribed,phoenician,writing,available,greece,th,century,earliest,evidence,greek,writing,comes,graffiti,greek,pottery,mid,th,century,greece,divided,small,self,governing,communities,pattern,largely,dictated,geography,island,valley,plain,cut,neighbors,sea,mountain,ranges",0.00,greece
"in sparta the messenian wars resulted in the conquest of messenia and enserfment of the messenians beginning in the latter half of the th century because this was an unprecedented act in ancient greece which led to a social revolution in which the subjugated population of helots farmed and labored for sparta whilst every spartan male citizen became a soldier of the spartan army permanently in arms rich and poor citizens alike were obliged to live and train as soldiers an equality that defused social conflict these reforms attributed to lycurgus of sparta were probably complete by  because
",sparta messenian wars resulted conquest messenia enserfment messenians beginning half th century unprecedented act ancient greece led social revolution subjugated population helots farmed labored sparta whilst spartan male citizen soldier spartan army permanently arms rich poor citizens alike obliged live train soldiers equality defused social conflict reforms attributed lycurgus sparta probably complete,7.72,"sparta,messenian,wars,resulted,conquest,messenia,enserfment,messenians,beginning,half,th,century,unprecedented,act,ancient,greece,led,social,revolution,subjugated,population,helots,farmed,labored,sparta,whilst,spartan,male,citizen,soldier,spartan,army,permanently,arms,rich,poor,citizens,alike,obliged,live,train,soldiers,equality,defused,social,conflict,reforms,attributed,lycurgus,sparta,probably,complete",0.00,greece
"rapidly increasing population in the th and th centuries because had resulted in the emigration of many greeks to form colonies in magna graecia  asia minor and further afield the emigration effectively ceased in the th century because by which time the greek world had culturally and linguistically become much larger than the area of present day greece greek colonies were not politically controlled by their founding cities although they often retained religious and commercial links with them
",rapidly increasing population th th centuries resulted emigration greeks form colonies magna graecia asia minor afield emigration effectively ceased th century time greek world culturally linguistically larger area present day greece greek colonies politically controlled founding cities retained religious commercial links,7.44,"rapidly,increasing,population,th,th,centuries,resulted,emigration,greeks,form,colonies,magna,graecia,asia,minor,afield,emigration,effectively,ceased,th,century,time,greek,world,culturally,linguistically,larger,area,present,day,greece,greek,colonies,politically,controlled,founding,cities,retained,religious,commercial,links",0.00,greece
"in this period greece and its overseas colonies enjoyed huge economic development in commerce and manufacturing with rising general prosperity some studies estimate that the average greek household grew fivefold between  and  because indicating a large increase in average incomecitation needed
",period greece overseas colonies enjoyed huge economic development commerce manufacturing rising general prosperity studies estimate average greek household grew fivefold indicating large increase average incomecitation needed,5.08,"period,greece,overseas,colonies,enjoyed,huge,economic,development,commerce,manufacturing,rising,general,prosperity,studies,estimate,average,greek,household,grew,fivefold,indicating,large,increase,average,incomecitation,needed",0.00,greece
