Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"in modern historiography ancient rome refers to roman civilisation from the founding of the italian city of rome in the th century because to the collapse of the western roman empire in the th century ad it encompasses the roman kingdom  roman republic  and roman empire  until the fall of the western empire
",modern historiography ancient rome refers roman civilisation founding italian city rome th century collapse western roman empire th century ad encompasses roman kingdom roman republic roman empire fall western empire,7.44,"modern,historiography,ancient,rome,refers,roman,civilisation,founding,italian,city,rome,th,century,collapse,western,roman,empire,th,century,ad,encompasses,roman,kingdom,roman,republic,roman,empire,fall,western,empire",0.00,rome
"ancient rome began as an italic settlement traditionally dated to  because beside the river tiber in the italian peninsula the settlement grew into the city and polity of rome and came to control its neighbours through a combination of treaties and military strength it eventually dominated the italian peninsula assimilated the greek culture of southern italy  and the etruscan culture and acquired an empire that took in much of europe and the lands and peoples surrounding the mediterranean sea it was among the largest empires in the ancient world with an estimated  to  million inhabitants roughly  of the worlds population at the timea it covered around  million square kilometres  at its height in ad 
",ancient rome began italic settlement traditionally dated river tiber italian peninsula settlement grew city polity rome came control neighbours combination treaties military strength eventually dominated italian peninsula assimilated greek culture southern italy etruscan culture acquired empire took europe lands peoples surrounding mediterranean sea largest empires ancient world estimated million inhabitants roughly worlds population timea covered million square kilometres height ad,7.62,"ancient,rome,began,italic,settlement,traditionally,dated,river,tiber,italian,peninsula,settlement,grew,city,polity,rome,came,control,neighbours,combination,treaties,military,strength,eventually,dominated,italian,peninsula,assimilated,greek,culture,southern,italy,etruscan,culture,acquired,empire,took,europe,lands,peoples,surrounding,mediterranean,sea,largest,empires,ancient,world,estimated,million,inhabitants,roughly,worlds,population,timea,covered,million,square,kilometres,height,ad",0.00,rome
"ancient roman civilisation has contributed to modern language religion society technology law politics government warfare art literature architecture and engineering rome professionalised and expanded its military and created a system of government called res publicacode lat promoted to code la  the inspiration for modern republics such as the united states and france it achieved impressive technological and architectural feats such as the empire wide construction of aqueducts and roads as well as more grandiose monuments and facilities
",ancient roman civilisation contributed modern language religion society technology law politics government warfare art literature architecture engineering rome professionalised expanded military created system government called res publicacode lat promoted code la inspiration modern republics united states france achieved impressive technological architectural feats empire wide construction aqueducts roads grandiose monuments facilities,4.97,"ancient,roman,civilisation,contributed,modern,language,religion,society,technology,law,politics,government,warfare,art,literature,architecture,engineering,rome,professionalised,expanded,military,created,system,government,called,res,publicacode,lat,promoted,code,la,inspiration,modern,republics,united,states,france,achieved,impressive,technological,architectural,feats,empire,wide,construction,aqueducts,roads,grandiose,monuments,facilities",0.00,rome
"the punic wars with carthage gave rome supremacy in the mediterranean the roman empire emerged with the principate of augustus  romes imperial domain now extended from the atlantic to arabia and from the mouth of the rhine to north africa in  ad rome came up against the resurgent persian empire and became involved in historys longest running conflict the romanpersian wars which would have lasting effects on both empires under trajan romes empire reached its territorial peak encompassing the entire mediterranean basin the southern margins of the north sea and the shores of the red and caspian seas republican mores and traditions started to decline during the imperial period with civil wars becoming a common prelude to the rise of a new emperor splinter states such as the palmyrene empire would temporarily divide the empire during the crisis of the third century before some stability was restored in the tetrarchy phase of imperial rule
",punic wars carthage gave rome supremacy mediterranean roman empire emerged principate augustus romes imperial domain extended atlantic arabia mouth rhine north africa ad rome came resurgent persian empire involved historys longest running conflict romanpersian wars lasting effects empires trajan romes empire reached territorial peak encompassing entire mediterranean basin southern margins north sea shores red caspian seas republican mores traditions started decline imperial period civil wars common prelude rise new emperor splinter states palmyrene empire temporarily divide empire crisis century stability restored tetrarchy phase imperial rule,7.28,"punic,wars,carthage,gave,rome,supremacy,mediterranean,roman,empire,emerged,principate,augustus,romes,imperial,domain,extended,atlantic,arabia,mouth,rhine,north,africa,ad,rome,came,resurgent,persian,empire,involved,historys,longest,running,conflict,romanpersian,wars,lasting,effects,empires,trajan,romes,empire,reached,territorial,peak,encompassing,entire,mediterranean,basin,southern,margins,north,sea,shores,red,caspian,seas,republican,mores,traditions,started,decline,imperial,period,civil,wars,common,prelude,rise,new,emperor,splinter,states,palmyrene,empire,temporarily,divide,empire,crisis,century,stability,restored,tetrarchy,phase,imperial,rule",0.00,rome
"archaeological evidence of settlement around rome starts to emerge c  because large scale organisation appears only c  because with the first graves in the esquiline hills necropolis along with a clay and timber wall on the bottom of the palatine hill dating to the middle of the th century because starting from c  because the romans started to drain the valley between the capitoline and palatine hills where today sits the roman forum by the sixth century the romans were constructing the temple of jupiter optimus maximus on the capitoline and expanding to the forum boarium located between the capitoline and aventine hills
",archaeological evidence settlement rome starts emerge cbecause large scale organisation appears cbecause graves esquiline hills necropolis clay timber wall palatine hill dating middle th centurybecause starting cbecause romans started drain valley capitoline palatine hills today sits roman forum sixth century romans constructing temple jupiter optimus maximus capitoline expanding forum boarium located capitoline aventine hills,7.79,"archaeological,evidence,settlement,rome,starts,emerge,cbecause,large,scale,organisation,appears,cbecause,graves,esquiline,hills,necropolis,clay,timber,wall,palatine,hill,dating,middle,th,centurybecause,starting,cbecause,romans,started,drain,valley,capitoline,palatine,hills,today,sits,roman,forum,sixth,century,romans,constructing,temple,jupiter,optimus,maximus,capitoline,expanding,forum,boarium,located,capitoline,aventine,hills",0.00,rome
"the roman poet virgil recounted this legend in his classical epic poem the aeneid where the trojan prince aeneas is destined by the gods to found a new troy in the epic the women also refuse to go back to the sea but they were not left on the tiber after reaching italy aeneas who wanted to marry lavinia was forced to wage war with her former suitor turnus according to the poem the alban kings were descended from aeneas and thus romulus the founder of rome was his descendant
",roman poet virgil recounted legend classical epic poem aeneid trojan prince aeneas destined gods found new troy epic women refuse sea left tiber reaching italy aeneas wanted marry lavinia forced wage war suitor turnus according poem alban kings descended aeneas romulus founder rome descendant,9.60,"roman,poet,virgil,recounted,legend,classical,epic,poem,aeneid,trojan,prince,aeneas,destined,gods,found,new,troy,epic,women,refuse,sea,left,tiber,reaching,italy,aeneas,wanted,marry,lavinia,forced,wage,war,suitor,turnus,according,poem,alban,kings,descended,aeneas,romulus,founder,rome,descendant",0.00,rome
"literary and archaeological evidence is clear on there having been kings in rome attested in fragmentary th century because texts long after the abolition of the roman monarchy a vestigial rex sacrorum was retained to exercise the monarchs former priestly functions the romans believed that their monarchy was elective with seven legendary kings who were largely unrelated by blood
",literary archaeological evidence clear kings rome attested fragmentary th century texts long abolition roman monarchy vestigial rex sacrorum retained exercise monarchs priestly functions romans believed monarchy elective seven legendary kings largely unrelated blood,6.81,"literary,archaeological,evidence,clear,kings,rome,attested,fragmentary,th,century,texts,long,abolition,roman,monarchy,vestigial,rex,sacrorum,retained,exercise,monarchs,priestly,functions,romans,believed,monarchy,elective,seven,legendary,kings,largely,unrelated,blood",0.00,rome
"evidence of roman expansion is clear in the sixth century because by its end rome controlled a territory of some  square miles with a population perhaps as high as  a palace the regia was constructed c  because the romans attributed the creation of their first popular organisations and the senate to the regal period as well rome also started to extend its control over its latin neighbours while later roman stories like the aeneid asserted that all latins descended from the titular character aeneas a common culture is attested to archaeologically attested to reciprocal rights of marriage and citizenship between latin cities  the jus latii  along with shared religious festivals further indicate a shared culture by the end of the th century most of this area had become dominated by the romans
",evidence roman expansion clear sixth centurybecause end rome controlled territory square miles population high palace regia constructed cbecause romans attributed creation popular organisations senate regal period rome started extend control latin neighbours later roman stories like aeneid asserted latins descended titular character aeneas common culture attested archaeologically attested reciprocal rights marriage citizenship latin cities jus latii shared religious festivals indicate shared culture end th century area dominated romans,7.99,"evidence,roman,expansion,clear,sixth,centurybecause,end,rome,controlled,territory,square,miles,population,high,palace,regia,constructed,cbecause,romans,attributed,creation,popular,organisations,senate,regal,period,rome,started,extend,control,latin,neighbours,later,roman,stories,like,aeneid,asserted,latins,descended,titular,character,aeneas,common,culture,attested,archaeologically,attested,reciprocal,rights,marriage,citizenship,latin,cities,jus,latii,shared,religious,festivals,indicate,shared,culture,end,th,century,area,dominated,romans",0.00,rome
"by the end of the sixth century rome and many of its italian neighbours entered a period of turbulence archaeological evidence implies some degree of large scale warfare many neighbouring cities in etruria also shifted to non monarchical institutions while roman traditions believed that the overthrow of the roman monarchy inaugurated a new and concrete republic it is implausible the transition could have been so sharp the romans believed that from the birth of the republic they established a two man magistracy taking over the kings powers the consulship these magistrates had short one year terms and held office with colleagues that could check each others actions the prevalance in both rome and other cities at this time of replacing monarchs with elected officials suggests that italian aristocratic families never became fully reconciled to the rule of one man through the following centuries the romans experimented with different offices and constitutional regimes before settling on the two consuls in the fourth century because
",end sixth century rome italian neighbours entered period turbulence archaeological evidence implies degree large scale warfare neighbouring cities etruria shifted non monarchical institutions roman traditions believed overthrow roman monarchy inaugurated new concrete republic implausible transition sharp romans believed birth republic established man magistracy taking kings powers consulship magistrates short year terms held office colleagues check actions prevalance rome cities time replacing monarchs elected officials suggests italian aristocratic families fully reconciled rule man following centuries romans experimented different offices constitutional regimes settling consuls fourth centurybecause,7.57,"end,sixth,century,rome,italian,neighbours,entered,period,turbulence,archaeological,evidence,implies,degree,large,scale,warfare,neighbouring,cities,etruria,shifted,non,monarchical,institutions,roman,traditions,believed,overthrow,roman,monarchy,inaugurated,new,concrete,republic,implausible,transition,sharp,romans,believed,birth,republic,established,man,magistracy,taking,kings,powers,consulship,magistrates,short,year,terms,held,office,colleagues,check,actions,prevalance,rome,cities,time,replacing,monarchs,elected,officials,suggests,italian,aristocratic,families,fully,reconciled,rule,man,following,centuries,romans,experimented,different,offices,constitutional,regimes,settling,consuls,fourth,centurybecause",0.00,rome
"according to tradition and later writers such as livy the roman republic was established c  because when the last of the seven kings of rome tarquin the proud was deposed by lucius junius brutus and a system based on annually elected magistrates and various representative assemblies was established a constitution set a series of checks and balances and a separation of powers the most important magistrates were the two consuls who together exercised executive authority such as imperium or military command the consuls had to work with the senate which was initially an advisory council of the ranking nobility or patricians but grew in size and power
",according tradition later writers livy roman republic established cbecause seven kings rome tarquin proud deposed lucius junius brutus system based annually elected magistrates representative assemblies established constitution set series checks balances separation powers important magistrates consuls exercised executive authority imperium military command consuls work senate initially advisory council ranking nobility patricians grew size power,8.09,"according,tradition,later,writers,livy,roman,republic,established,cbecause,seven,kings,rome,tarquin,proud,deposed,lucius,junius,brutus,system,based,annually,elected,magistrates,representative,assemblies,established,constitution,set,series,checks,balances,separation,powers,important,magistrates,consuls,exercised,executive,authority,imperium,military,command,consuls,work,senate,initially,advisory,council,ranking,nobility,patricians,grew,size,power",0.00,rome
