Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the arabic alphabet  or arabic abjad is the arabic script as it is codified for writing arabic it is written from right to left in a cursive style and includes  letters most letters have contextual letterforms
",arabic alphabet arabic abjad arabic script codified writing arabic written right left cursive style includes letters letters contextual letterforms,8.10,"arabic,alphabet,arabic,abjad,arabic,script,codified,writing,arabic,written,right,left,cursive,style,includes,letters,letters,contextual,letterforms",0.00,arabic
"the arabic alphabet is considered an abjad meaning it only uses consonants but it is now considered an impure abjad as with other impure abjads such as the hebrew alphabet scribes later devised means of indicating vowel sounds by separate vowel diacritics
",arabic alphabet considered abjad meaning uses consonants considered impure abjad impure abjads hebrew alphabet scribes later devised means indicating vowel sounds separate vowel diacritics,7.03,"arabic,alphabet,considered,abjad,meaning,uses,consonants,considered,impure,abjad,impure,abjads,hebrew,alphabet,scribes,later,devised,means,indicating,vowel,sounds,separate,vowel,diacritics",0.00,arabic
"the basic arabic alphabet contains  letters adaptations of the arabic script for other languages added and removed some letters as for example persian ottoman turkish kurdish urdu sindhi azerbaijani  malay pashto punjabi uyghur arwi and arabi malayalam all of which have additional letters as shown below there are no distinct upper and lower case letter forms
",basic arabic alphabet contains letters adaptations arabic script languages added removed letters example persian ottoman turkish kurdish urdu sindhi azerbaijani malay pashto punjabi uyghur arwi arabi malayalam additional letters shown distinct upper lower case letter forms,5.54,"basic,arabic,alphabet,contains,letters,adaptations,arabic,script,languages,added,removed,letters,example,persian,ottoman,turkish,kurdish,urdu,sindhi,azerbaijani,malay,pashto,punjabi,uyghur,arwi,arabi,malayalam,additional,letters,shown,distinct,upper,lower,case,letter,forms",0.00,arabic
"many letters look similar but are distinguished from one another by dots  above or below their central part  these dots are an integral part of a letter since they distinguish between letters that represent different sounds for example the arabic letters     and   have the same basic shape but have one dot below two dots above and three dots above respectively the letter   also has the same form in initial and medial forms with one dot above though it is somewhat different in isolated and final form
",letters look similar distinguished dots central dots integral letter distinguish letters represent different sounds example arabic letters basic shape dot dots dots respectively letter form initial medial forms dot somewhat different isolated final form,10.30,"letters,look,similar,distinguished,dots,central,dots,integral,letter,distinguish,letters,represent,different,sounds,example,arabic,letters,basic,shape,dot,dots,dots,respectively,letter,form,initial,medial,forms,dot,somewhat,different,isolated,final,form",0.00,arabic
"both printed and written arabic are cursive with most of the letters within a word directly connected to the adjacent letters
",printed written arabic cursive letters word directly connected adjacent letters,8.73,"printed,written,arabic,cursive,letters,word,directly,connected,adjacent,letters",0.00,arabic
"there are two main collating sequences for the arabic alphabet abjad and hija
",main collating sequences arabic alphabet abjad hija,7.69,"main,collating,sequences,arabic,alphabet,abjad,hija",0.00,arabic
"the abjad order is not a simple historical continuation of the earlier north semitic alphabetic order since it has a position corresponding to the aramaic letter samekhsemkat  yet no letter of the arabic alphabet historically derives from that letter loss of same was compensated for by the split of shin  into two independent arabic letters   and   which moved up to take the place of same the six other letters that do not correspond to any north semitic letter are placed at the end
",abjad order simple historical continuation earlier north semitic alphabetic order position corresponding aramaic letter samekhsemkat letter arabic alphabet historically derives letter loss compensated split shin independent arabic letters moved place letters correspond north semitic letter placed end,9.47,"abjad,order,simple,historical,continuation,earlier,north,semitic,alphabetic,order,position,corresponding,aramaic,letter,samekhsemkat,letter,arabic,alphabet,historically,derives,letter,loss,compensated,split,shin,independent,arabic,letters,moved,place,letters,correspond,north,semitic,letter,placed,end",0.00,arabic
"the arabic alphabet is always cursive and letters vary in shape depending on their position within a word letters can exhibit up to four distinct forms corresponding to an initial medial  final or isolated position  while some letters show considerable variations others remain almost identical across all four positions generally letters in the same word are linked together on both sides by short horizontal lines but six letters  can only be linked to their preceding letter for example   has only isolated forms because each letter cannot be connected to its following one in addition some letter combinations are written as ligatures  notably lm alif  which is the only mandatory ligature 
",arabic alphabet cursive letters vary shape depending position word letters exhibit distinct forms corresponding initial medial final isolated position letters considerable variations remain identical positions generally letters word linked sides short horizontal lines letters linked preceding letter example isolated forms letter connected following addition letter combinations written ligatures notably lm alif mandatory ligature,8.20,"arabic,alphabet,cursive,letters,vary,shape,depending,position,word,letters,exhibit,distinct,forms,corresponding,initial,medial,final,isolated,position,letters,considerable,variations,remain,identical,positions,generally,letters,word,linked,sides,short,horizontal,lines,letters,linked,preceding,letter,example,isolated,forms,letter,connected,following,addition,letter,combinations,written,ligatures,notably,lm,alif,mandatory,ligature",0.00,arabic
"the following are not individual letters but rather different contextual variants of some of the arabic letters
",following individual letters different contextual variants arabic letters,8.04,"following,individual,letters,different,contextual,variants,arabic,letters",0.00,arabic
" the letter called   alif maqrah or   alif layyinah pronounced a in modern standard arabic it is used only at the end of words in some special cases to denote the neuternon feminine aspect of the word  where t marbah cannot be usedcitation needed a way of writing the letter  y without its dots at the end of words either traditionally or in contemporary use in egypt and sudan
",letter called alif maqrah alif layyinah pronounced modern standard arabic end words special cases denote neuternon feminine aspect word marbah usedcitation needed way writing letter dots end words traditionally contemporary use egypt sudan,9.26,"letter,called,alif,maqrah,alif,layyinah,pronounced,modern,standard,arabic,end,words,special,cases,denote,neuternon,feminine,aspect,word,marbah,usedcitation,needed,way,writing,letter,dots,end,words,traditionally,contemporary,use,egypt,sudan",0.00,arabic
"the use of ligature in arabic is common there is one compulsory ligature that for lm   alif  which exists in two forms all other ligatures of which there are many are optional
",use ligature arabic common compulsory ligature lm alif exists forms ligatures optional,11.36,"use,ligature,arabic,common,compulsory,ligature,lm,alif,exists,forms,ligatures,optional",0.00,arabic
