Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"arabic   arab arabi  or arabij is a semitic language spoken primarily across the arab world having emerged in the st century it is named after the arab people the term arab was initially used to describe those living in the arabian peninsula as perceived by geographers from ancient greece
",arabic arab arabi arabij semitic language spoken primarily arab world emerged st century named arab people term arab initially describe living arabian peninsula perceived geographers ancient greece,7.59,"arabic,arab,arabi,arabij,semitic,language,spoken,primarily,arab,world,emerged,st,century,named,arab,people,term,arab,initially,describe,living,arabian,peninsula,perceived,geographers,ancient,greece",0.00,arabic
"since the th century arabic has been characterized by diglossia with an opposition between a standard prestige languagethat is literary arabic modern standard arabic  or classical arabicaand diverse vernacular varieties which serve as mother tongues colloquial dialects vary significantly from msa impeding mutual intelligibility msa is only acquired through formal education and is not spoken natively it is the language of literature official documents and formal written media in spoken form msa is used in formal contexts news bulletins and for prayers this variety is the lingua franca of the arab world and the liturgical language of islam it is an official language of  states and  disputed territory the third most after english and french it is also one of six official languages of the united nations
",th century arabic characterized diglossia opposition standard prestige languagethat literary arabic modern standard arabic classical arabicaand diverse vernacular varieties serve mother tongues colloquial dialects vary significantly msa impeding mutual intelligibility msa acquired formal education spoken natively language literature official documents formal written media spoken form msa formal contexts news bulletins prayers variety lingua franca arab world liturgical language islam official language states disputed territory english french official languages united nations,7.03,"th,century,arabic,characterized,diglossia,opposition,standard,prestige,languagethat,literary,arabic,modern,standard,arabic,classical,arabicaand,diverse,vernacular,varieties,serve,mother,tongues,colloquial,dialects,vary,significantly,msa,impeding,mutual,intelligibility,msa,acquired,formal,education,spoken,natively,language,literature,official,documents,formal,written,media,spoken,form,msa,formal,contexts,news,bulletins,prayers,variety,lingua,franca,arab,world,liturgical,language,islam,official,language,states,disputed,territory,english,french,official,languages,united,nations",0.00,arabic
"spoken varieties are the usual medium of communication in all other domains they are not standardized and vary significantly some of them being mutually unintelligible the international organization for standardization assigns language codes to  varieties of arabic including msa arabic vernaculars do not descend from msa or classical arabic combined arabic dialects have  million native speakers while msa is spoken by  million l speakers making it the sixth most spoken language in the world
",spoken varieties usual medium communication domains standardized vary significantly mutually unintelligible international organization standardization assigns language codes varieties arabic including msa arabic vernaculars descend msa classical arabic combined arabic dialects million native speakers msa spoken million l speakers making sixth spoken language world,6.26,"spoken,varieties,usual,medium,communication,domains,standardized,vary,significantly,mutually,unintelligible,international,organization,standardization,assigns,language,codes,varieties,arabic,including,msa,arabic,vernaculars,descend,msa,classical,arabic,combined,arabic,dialects,million,native,speakers,msa,spoken,million,l,speakers,making,sixth,spoken,language,world",0.00,arabic
"arabic is traditionally written with the arabic alphabet a right to left abjad this alphabet is the official script for msa colloquial varieties were traditionally not written however with the emergence of social media the amount of written dialects has significantly increased online besides the arabic alphabet dialects are also often written in latin from left to right or in hebrew characters  with no standardized orthography maltese and hassaniya are the only varieties officially written in a latin alphabetb
",arabic traditionally written arabic alphabet right left abjad alphabet official script msa colloquial varieties traditionally written emergence social media written dialects significantly increased online arabic alphabet dialects written latin left right hebrew characters standardized orthography maltese hassaniya varieties officially written latin alphabetb,7.17,"arabic,traditionally,written,arabic,alphabet,right,left,abjad,alphabet,official,script,msa,colloquial,varieties,traditionally,written,emergence,social,media,written,dialects,significantly,increased,online,arabic,alphabet,dialects,written,latin,left,right,hebrew,characters,standardized,orthography,maltese,hassaniya,varieties,officially,written,latin,alphabetb",0.00,arabic
"arabic is usually classified as a central semitic language linguists still differ as to the best classification of semitic language sub groups the semitic languages changed significantly between proto semitic and the emergence of central semitic languages particularly in grammar innovations of the central semitic languagesall maintained in arabicinclude
",arabic usually classified central semitic language linguists differ best classification semitic language sub groups semitic languages changed significantly proto semitic emergence central semitic languages particularly grammar innovations central semitic languagesall maintained arabicinclude,4.78,"arabic,usually,classified,central,semitic,language,linguists,differ,best,classification,semitic,language,sub,groups,semitic,languages,changed,significantly,proto,semitic,emergence,central,semitic,languages,particularly,grammar,innovations,central,semitic,languagesall,maintained,arabicinclude",0.00,arabic
"there are several features which classical arabic the modern arabic varieties as well as the safaitic and hismaic inscriptions share which are unattested in any other central semitic language variety including the dadanitic and taymanitic languages of the northern hejaz these features are evidence of common descent from a hypothetical ancestor proto arabic the following features can be reconstructed with confidence for proto arabic
",features classical arabic modern arabic varieties safaitic hismaic inscriptions share unattested central semitic language variety including dadanitic taymanitic languages northern hejaz features evidence common descent hypothetical ancestor proto arabic following features reconstructed confidence proto arabic,6.65,"features,classical,arabic,modern,arabic,varieties,safaitic,hismaic,inscriptions,share,unattested,central,semitic,language,variety,including,dadanitic,taymanitic,languages,northern,hejaz,features,evidence,common,descent,hypothetical,ancestor,proto,arabic,following,features,reconstructed,confidence,proto,arabic",0.00,arabic
"on the other hand several arabic varieties are closer to other semitic languages and maintain features not found in classical arabic indicating that these varieties cannot have developed from classical arabic thus arabic vernaculars do not descend from classical arabic classical arabic is a sister language rather than their direct ancestor
",hand arabic varieties closer semitic languages maintain features found classical arabic indicating varieties developed classical arabic arabic vernaculars descend classical arabic classical arabic sister language direct ancestor,7.02,"hand,arabic,varieties,closer,semitic,languages,maintain,features,found,classical,arabic,indicating,varieties,developed,classical,arabic,arabic,vernaculars,descend,classical,arabic,classical,arabic,sister,language,direct,ancestor",0.00,arabic
"arabia boasted a wide variety of semitic languages in antiquity in the southwest various central semitic languages both belonging to and outside of the ancient south arabian family  were spoken it is also believed that the ancestors of the modern south arabian languages  were also spoken in southern arabia at this time to the north in the oases of northern hejaz dadanitic and taymanitic held some prestige as inscriptional languages in najd and parts of western arabia a language known to scholars as thamudic c is attested in eastern arabia inscriptions in a script derived from asa attest to a language known as hasaitic finally on the northwestern frontier of arabia various languages known to scholars as thamudic b thamudic d safaitic and hismaic are attested the last two share important isoglosses with later forms of arabic leading scholars to theorize that safaitic and hismaic are in fact early forms of arabic and that they should be considered old arabic
",arabia boasted wide variety semitic languages antiquity southwest central semitic languages belonging outside ancient south arabian family spoken believed ancestors modern south arabian languages spoken southern arabia time north oases northern hejaz dadanitic taymanitic held prestige inscriptional languages najd parts western arabia language known scholars thamudic c attested eastern arabia inscriptions script derived asa attest language known hasaitic finally northwestern frontier arabia languages known scholars thamudic b thamudic safaitic hismaic attested share important isoglosses later forms arabic leading scholars theorize safaitic hismaic fact early forms arabic considered old arabic,7.32,"arabia,boasted,wide,variety,semitic,languages,antiquity,southwest,central,semitic,languages,belonging,outside,ancient,south,arabian,family,spoken,believed,ancestors,modern,south,arabian,languages,spoken,southern,arabia,time,north,oases,northern,hejaz,dadanitic,taymanitic,held,prestige,inscriptional,languages,najd,parts,western,arabia,language,known,scholars,thamudic,c,attested,eastern,arabia,inscriptions,script,derived,asa,attest,language,known,hasaitic,finally,northwestern,frontier,arabia,languages,known,scholars,thamudic,b,thamudic,safaitic,hismaic,attested,share,important,isoglosses,later,forms,arabic,leading,scholars,theorize,safaitic,hismaic,fact,early,forms,arabic,considered,old,arabic",0.00,arabic
"linguists generally believe that old arabic  first emerged around the st century ce previously the earliest attestation of old arabic was thought to be a single st century ce inscription in sabaic script at qaryat al faw in southern present day saudi arabia however this inscription does not participate in several of the key innovations of the arabic language group such as the conversion of semitic mimation to nunation in the singular it is best reassessed as a separate language on the central semitic dialect continuum
",linguists generally believe old arabic emerged st century ce previously earliest attestation old arabic thought single st century ce inscription sabaic script qaryat al faw southern present day saudi arabia inscription participate key innovations arabic language group conversion semitic mimation nunation singular best reassessed separate language central semitic dialect continuum,6.87,"linguists,generally,believe,old,arabic,emerged,st,century,ce,previously,earliest,attestation,old,arabic,thought,single,st,century,ce,inscription,sabaic,script,qaryat,al,faw,southern,present,day,saudi,arabia,inscription,participate,key,innovations,arabic,language,group,conversion,semitic,mimation,nunation,singular,best,reassessed,separate,language,central,semitic,dialect,continuum",0.00,arabic
"
it was also thought that old arabic coexisted alongsideand then gradually displaced  epigraphic ancient north arabian  which was theorized to have been the regional tongue for many centuries ana despite its name was considered a very distinct language and mutually unintelligible from arabic scholars named its variant dialects after the towns where the inscriptions were discovered  however most arguments for a single ana language or language family were based on the shape of the definite article a prefixed h  it has been argued that the h  is an archaism and not a shared innovation and thus unsuitable for language classification rendering the hypothesis of an ana language family untenable safaitic and hismaic previously considered ana should be considered old arabic due to the fact that they participate in the innovations common to all forms of arabic",thought old arabic coexisted alongsideand gradually displaced epigraphic ancient north arabian theorized regional tongue centuries ana despite considered distinct language mutually unintelligible arabic scholars named variant dialects towns inscriptions discovered arguments single ana language language family based shape definite article prefixed h argued h archaism shared innovation unsuitable language classification rendering hypothesis ana language family untenable safaitic hismaic previously considered ana considered old arabic fact participate innovations common forms arabic,7.65,"thought,old,arabic,coexisted,alongsideand,gradually,displaced,epigraphic,ancient,north,arabian,theorized,regional,tongue,centuries,ana,despite,considered,distinct,language,mutually,unintelligible,arabic,scholars,named,variant,dialects,towns,inscriptions,discovered,arguments,single,ana,language,language,family,based,shape,definite,article,prefixed,h,argued,h,archaism,shared,innovation,unsuitable,language,classification,rendering,hypothesis,ana,language,family,untenable,safaitic,hismaic,previously,considered,ana,considered,old,arabic,fact,participate,innovations,common,forms,arabic",0.00,arabic
