Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the argentina national football team  represents argentina in mens international football and is administered by the argentine football association the governing body for football in argentina
",argentina national football team represents argentina mens international football administered argentine football association governing body football argentina,4.66,"argentina,national,football,team,represents,argentina,mens,international,football,administered,argentine,football,association,governing,body,football,argentina",0.00,argentina
"nicknamed la albiceleste  they are the reigning world champions having won the most recent world cup in  overall argentina has appeared in a world cup final six times a record equalled by italy and surpassed only by brazil and germany argentina played in the first ever final in  which they lost  to uruguay the next final appearance came  years later in  when the team captained by daniel passarella defeated the netherlands  in extra time being crowned world champions for the first time captained by diego maradona argentina won their second world cup eight years later in  with a  final victory over west germany they reached the final once more under the guidance of maradona in  but were ultimately beaten  by west germany a few decades later argentina led by lionel messi made their fifth final appearance in  losing to germany  after extra time in  again captained by messi they were crowned the world champions for the third time the fourth most of any country beating france  on penalties following a  draw after extra time
",nicknamed la albiceleste reigning world champions recent world cup overall argentina appeared world cup final times record equalled italy surpassed brazil germany argentina played final lost uruguay final appearance came years later team captained daniel passarella defeated netherlands extra time crowned world champions time captained diego maradona argentina second world cup years later final victory west germany reached final guidance maradona ultimately beaten west germany decades later argentina led lionel messi fifth final appearance losing germany extra time captained messi crowned world champions time fourth country beating france penalties following draw extra time,7.83,"nicknamed,la,albiceleste,reigning,world,champions,recent,world,cup,overall,argentina,appeared,world,cup,final,times,record,equalled,italy,surpassed,brazil,germany,argentina,played,final,lost,uruguay,final,appearance,came,years,later,team,captained,daniel,passarella,defeated,netherlands,extra,time,crowned,world,champions,time,captained,diego,maradona,argentina,second,world,cup,years,later,final,victory,west,germany,reached,final,guidance,maradona,ultimately,beaten,west,germany,decades,later,argentina,led,lionel,messi,fifth,final,appearance,losing,germany,extra,time,captained,messi,crowned,world,champions,time,fourth,country,beating,france,penalties,following,draw,extra,time",0.00,argentina
"the teams world cupwinning managers are csar luis menotti in  carlos bilardo in  and lionel scaloni in  since the golden ball for tournaments best player has been officially awarded by fifa from  argentina players have won it thrice maradona in  and messi in  and  argentines guillermo stbile in  and mario kempes in  were the top scoring players at their respective world cups
",teams world cupwinning managers csar luis menotti carlos bilardo lionel scaloni golden ball tournaments best player officially awarded fifa argentina players thrice maradona messi argentines guillermo stbile mario kempes scoring players respective world cups,7.41,"teams,world,cupwinning,managers,csar,luis,menotti,carlos,bilardo,lionel,scaloni,golden,ball,tournaments,best,player,officially,awarded,fifa,argentina,players,thrice,maradona,messi,argentines,guillermo,stbile,mario,kempes,scoring,players,respective,world,cups",0.00,argentina
"argentina has also been very successful in the copa amrica winning it  times a record shared with uruguay most recently winning the  edition the team also won the inaugural fifa confederations cup in  argentina is the most successful team in the conmeboluefa cup of champions having won it twice in  and  argentina is known for having rivalries with brazil uruguay england germany and the netherlands as of  argentina holds the record for most official titles won by a mens national team with  individually for argentina lionel messi is the all time most capped player with  games and the highest goalscorer with  goals
",argentina successful copa amrica winning times record shared uruguay recently winning edition team inaugural fifa confederations cup argentina successful team conmeboluefa cup champions twice argentina known rivalries brazil uruguay england germany netherlands argentina holds record official titles mens national team individually argentina lionel messi time capped player games highest goalscorer goals,8.23,"argentina,successful,copa,amrica,winning,times,record,shared,uruguay,recently,winning,edition,team,inaugural,fifa,confederations,cup,argentina,successful,team,conmeboluefa,cup,champions,twice,argentina,known,rivalries,brazil,uruguay,england,germany,netherlands,argentina,holds,record,official,titles,mens,national,team,individually,argentina,lionel,messi,time,capped,player,games,highest,goalscorer,goals",0.00,argentina
"the first ever match argentina played was against uruguay on  june note  the game which was the first international for both sides was held in montevideo and argentina won  during the first years of its existence argentina only played friendly matches against other south american teams the reasons for this varied including long travel times between countries and the interruption due to world war i
",match argentina played uruguay june note game international sides held montevideo argentina years existence argentina played friendly matches south american teams reasons varied including long travel times countries interruption world war,8.48,"match,argentina,played,uruguay,june,note,game,international,sides,held,montevideo,argentina,years,existence,argentina,played,friendly,matches,south,american,teams,reasons,varied,including,long,travel,times,countries,interruption,world,war",0.00,argentina
"la albiceleste has appeared in world cup finals six times including the first ever final in  which they lost  to uruguay argentina won their next final in  beating the netherlands  eight years later in  argentina led by diego maradona won their second title with a  victory over west germany under the guidance of maradona they reached the final again in  but ultimately lost  to west germany by a much disputed penalty led by lionel messi argentina reached the final in  where they were beaten  by germany in extra time in  again under the captaincy of messi argentina won their third world cup beating france  on penalties following a  draw after extra time the teams world cupwinning managers are csar luis menotti in  carlos bilardo in  and lionel scaloni in 
",la albiceleste appeared world cup finals times including final lost uruguay argentina final beating netherlands years later argentina led diego maradona second title victory west germany guidance maradona reached final ultimately lost west germany disputed penalty led lionel messi argentina reached final beaten germany extra time captaincy messi argentina world cup beating france penalties following draw extra time teams world cupwinning managers csar luis menotti carlos bilardo lionel scaloni,7.85,"la,albiceleste,appeared,world,cup,finals,times,including,final,lost,uruguay,argentina,final,beating,netherlands,years,later,argentina,led,diego,maradona,second,title,victory,west,germany,guidance,maradona,reached,final,ultimately,lost,west,germany,disputed,penalty,led,lionel,messi,argentina,reached,final,beaten,germany,extra,time,captaincy,messi,argentina,world,cup,beating,france,penalties,following,draw,extra,time,teams,world,cupwinning,managers,csar,luis,menotti,carlos,bilardo,lionel,scaloni",0.00,argentina
"argentina has also been very successful in the south american football championship the copa amrica winning it  times a record it shares with uruguay they were crowned champions most recently in  the team also won the inaugural fifa confederations cup in  and the conmeboluefa cup of champions in  and 
",argentina successful south american football championship copa amrica winning times record shares uruguay crowned champions recently team inaugural fifa confederations cup conmeboluefa cup champions,8.25,"argentina,successful,south,american,football,championship,copa,amrica,winning,times,record,shares,uruguay,crowned,champions,recently,team,inaugural,fifa,confederations,cup,conmeboluefa,cup,champions",0.00,argentina
"in march  argentina reached the top of the fifa mens world ranking for the first time
",march argentina reached fifa mens world ranking time,9.30,"march,argentina,reached,fifa,mens,world,ranking,time",0.00,argentina
"argentina plays most of its home matches at river plates stadium estadio monumental in buenos aires although the team also uses various other venues frequently such as estadio nico madre de ciudades and boca juniors stadium la bombonera those venues along with estadio mario alberto kempes and estadio san juan del bicentenario were used for the  world cup qualification additionally argentina played some matches at rosario central during their  world cup qualifying campaign
",argentina plays home matches river plates stadium estadio monumental buenos aires team uses venues frequently estadio nico madre de ciudades boca juniors stadium la bombonera venues estadio mario alberto kempes estadio san juan del bicentenario world cup qualification additionally argentina played matches rosario central world cup qualifying campaign,5.24,"argentina,plays,home,matches,river,plates,stadium,estadio,monumental,buenos,aires,team,uses,venues,frequently,estadio,nico,madre,de,ciudades,boca,juniors,stadium,la,bombonera,venues,estadio,mario,alberto,kempes,estadio,san,juan,del,bicentenario,world,cup,qualification,additionally,argentina,played,matches,rosario,central,world,cup,qualifying,campaign",0.00,argentina
"geba stadium was the first stadium argentina used for its home matches that includes the copa newton match against uruguay held on  september  which has a historic significance for being the first time argentina wore the light blue and white striped jersey in an official game which has since then been the defining uniform up to the present day geba was also used for the copa centenario revolucin de mayo the first competition held between south american national teams considered the predecessor of copa amrica organised by the argentine football association  in  most recently argentina played at geba on  october  winning the copa premier honor argentino after a  victory over uruguay
",geba stadium stadium argentina home matches includes copa newton match uruguay held september historic significance time argentina wore light blue white striped jersey official game defining uniform present day geba copa centenario revolucin de mayo competition held south american national teams considered predecessor copa amrica organised argentine football association recently argentina played geba october winning copa premier honor argentino victory uruguay,7.25,"geba,stadium,stadium,argentina,home,matches,includes,copa,newton,match,uruguay,held,september,historic,significance,time,argentina,wore,light,blue,white,striped,jersey,official,game,defining,uniform,present,day,geba,copa,centenario,revolucin,de,mayo,competition,held,south,american,national,teams,considered,predecessor,copa,amrica,organised,argentine,football,association,recently,argentina,played,geba,october,winning,copa,premier,honor,argentino,victory,uruguay",0.00,argentina
