Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"argentina  officially the argentine republica   is a country in the southern half of south america argentina covers an area of  km b making it the second largest country in south america after brazil the fourth largest country in the americas and the eighth largest country in the world it shares the bulk of the southern cone with chile to the west and is also bordered by bolivia and paraguay to the north brazil to the northeast uruguay and the south atlantic ocean to the east and the drake passage to the south argentina is a federal state subdivided into twenty three provinces and one autonomous city which is the federal capital and largest city of the nation buenos aires the provinces and the capital have their own constitutions but exist under a federal system argentina claims sovereignty over the falkland islands south georgia and the south sandwich islands and a part of antarctica
",argentina officially argentine republica country southern half south america argentina covers area km b making second largest country south america brazil fourth largest country americas eighth largest country world shares bulk southern cone chile west bordered bolivia paraguay north brazil northeast uruguay south atlantic ocean east drake passage south argentina federal state subdivided provinces autonomous city federal capital largest city nation buenos aires provinces capital constitutions exist federal system argentina claims sovereignty falkland islands south georgia south sandwich islands antarctica,8.13,"argentina,officially,argentine,republica,country,southern,half,south,america,argentina,covers,area,km,b,making,second,largest,country,south,america,brazil,fourth,largest,country,americas,eighth,largest,country,world,shares,bulk,southern,cone,chile,west,bordered,bolivia,paraguay,north,brazil,northeast,uruguay,south,atlantic,ocean,east,drake,passage,south,argentina,federal,state,subdivided,provinces,autonomous,city,federal,capital,largest,city,nation,buenos,aires,provinces,capital,constitutions,exist,federal,system,argentina,claims,sovereignty,falkland,islands,south,georgia,south,sandwich,islands,antarctica",0.00,argentina
"the earliest recorded human presence in modern day argentina dates back to the paleolithic period the inca empire expanded to the northwest of the country in pre columbian times the country has its roots in spanish colonization of the region during the th century argentina rose as the successor state of the viceroyalty of the ro de la plata a spanish overseas viceroyalty founded in  the declaration and fight for independence  was followed by an extended civil war that lasted until  culminating in the countrys reorganization as a federation the country thereafter enjoyed relative peace and stability with several waves of european immigration mainly italians and spaniards radically reshaping its cultural and demographic outlook over  of the population has full or partial italian ancestry and argentine culture has significant connections to italian culture
",earliest recorded human presence modern day argentina dates paleolithic period inca empire expanded northwest country pre columbian times country roots spanish colonization region th century argentina rose successor state viceroyalty ro de la plata spanish overseas viceroyalty founded declaration fight independence followed extended civil war lasted culminating countrys reorganization federation country enjoyed relative peace stability waves european immigration mainly italians spaniards radically reshaping cultural demographic outlook population partial italian ancestry argentine culture significant connections italian culture,6.58,"earliest,recorded,human,presence,modern,day,argentina,dates,paleolithic,period,inca,empire,expanded,northwest,country,pre,columbian,times,country,roots,spanish,colonization,region,th,century,argentina,rose,successor,state,viceroyalty,ro,de,la,plata,spanish,overseas,viceroyalty,founded,declaration,fight,independence,followed,extended,civil,war,lasted,culminating,countrys,reorganization,federation,country,enjoyed,relative,peace,stability,waves,european,immigration,mainly,italians,spaniards,radically,reshaping,cultural,demographic,outlook,population,partial,italian,ancestry,argentine,culture,significant,connections,italian,culture",0.00,argentina
"the almost unparalleled increase in prosperity led to argentina becoming the seventh wealthiest nation in the world by the early th century in  argentinas gdp per capita surpassed that of the united states and was consistently in the top ten before at least  currently it is ranked nd in the world following the great depression in the s argentina descended into political instability and economic decline that pushed it back into underdevelopment although it remained among the fifteen richest countries for several decades following the death of president juan pern in  his widow and vice president isabel pern ascended to the presidency before being overthrown in  the following military junta which was supported by the united states persecuted and murdered thousands of political critics activists and leftists in the dirty war a period of state terrorism and civil unrest that lasted until the election of ral alfonsn as president in 
",unparalleled increase prosperity led argentina seventh wealthiest nation world early th century argentinas gdp capita surpassed united states consistently currently ranked nd world following great depression argentina descended political instability economic decline pushed underdevelopment remained richest countries decades following death president juan pern widow vice president isabel pern ascended presidency overthrown following military junta supported united states persecuted murdered thousands political critics activists leftists dirty war period state terrorism civil unrest lasted election ral alfonsn president,7.86,"unparalleled,increase,prosperity,led,argentina,seventh,wealthiest,nation,world,early,th,century,argentinas,gdp,capita,surpassed,united,states,consistently,currently,ranked,nd,world,following,great,depression,argentina,descended,political,instability,economic,decline,pushed,underdevelopment,remained,richest,countries,decades,following,death,president,juan,pern,widow,vice,president,isabel,pern,ascended,presidency,overthrown,following,military,junta,supported,united,states,persecuted,murdered,thousands,political,critics,activists,leftists,dirty,war,period,state,terrorism,civil,unrest,lasted,election,ral,alfonsn,president",0.00,argentina
"argentina is a regional power and retains its historic status as a middle power in international affairs a major non nato ally of the united states argentina is a developing country that ranks th in the human development index the second highest in latin america after chile it maintains the second largest economy in south america and is a member of g  and g argentina is also a founding member of the united nations world bank world trade organization mercosur community of latin american and caribbean states and the organization of ibero american states
",argentina regional power retains historic status middle power international affairs major non nato ally united states argentina developing country ranks th human development index second highest latin america chile maintains second largest economy south america member g g argentina founding member united nations world bank world trade organization mercosur community latin american caribbean states organization ibero american states,6.45,"argentina,regional,power,retains,historic,status,middle,power,international,affairs,major,non,nato,ally,united,states,argentina,developing,country,ranks,th,human,development,index,second,highest,latin,america,chile,maintains,second,largest,economy,south,america,member,g,g,argentina,founding,member,united,nations,world,bank,world,trade,organization,mercosur,community,latin,american,caribbean,states,organization,ibero,american,states",0.00,argentina
"the description of the region by the word argentina has been found on a venetian map in 
",description region word argentina found venetian map,11.24,"description,region,word,argentina,found,venetian,map",0.00,argentina
"in english the name argentina comes from the spanish language however the naming itself is not spanish but italian argentina  means in italian  of silver silver coloured derived from the latin argentum for silver in italian the adjective or the proper noun is often used in an autonomous way as a substantive and replaces it and it is said largentina
",english argentina comes spanish language naming spanish italian argentina means italian silver silver coloured derived latin argentum silver italian adjective proper noun autonomous way substantive replaces said largentina,9.12,"english,argentina,comes,spanish,language,naming,spanish,italian,argentina,means,italian,silver,silver,coloured,derived,latin,argentum,silver,italian,adjective,proper,noun,autonomous,way,substantive,replaces,said,largentina",0.00,argentina
"the name argentina was probably first given by the venetian and genoese navigators such as giovanni caboto in spanish and portuguese the words for silver are respectively plata and prata and  of silver is plateado and prateado argentina was first associated with the silver mountains legend widespread among the first european explorers of the la plata basin
",argentina probably given venetian genoese navigators giovanni caboto spanish portuguese words silver respectively plata prata silver plateado prateado argentina associated silver mountains legend widespread european explorers la plata basin,7.80,"argentina,probably,given,venetian,genoese,navigators,giovanni,caboto,spanish,portuguese,words,silver,respectively,plata,prata,silver,plateado,prateado,argentina,associated,silver,mountains,legend,widespread,european,explorers,la,plata,basin",0.00,argentina
"the first written use of the name in spanish can be traced to la argentinac a  poem by martn del barco centenera describing the region although argentina was already in common usage by the th century the country was formally named viceroyalty of the ro de la plata by the spanish empire and united provinces of the ro de la plata after independence
",written use spanish traced la argentinac poem martn del barco centenera describing region argentina common usage th century country formally named viceroyalty ro de la plata spanish empire united provinces ro de la plata independence,8.02,"written,use,spanish,traced,la,argentinac,poem,martn,del,barco,centenera,describing,region,argentina,common,usage,th,century,country,formally,named,viceroyalty,ro,de,la,plata,spanish,empire,united,provinces,ro,de,la,plata,independence",0.00,argentina
"in english the country was traditionally called the argentine mimicking the typical spanish usage la argentina and perhaps resulting from a mistaken shortening of the fuller name argentine republic the argentine fell out of fashion during the mid to late th century and now the country is referred to as argentina
",english country traditionally called argentine mimicking typical spanish usage la argentina resulting mistaken shortening fuller argentine republic argentine fell fashion mid late th century country referred argentina,7.64,"english,country,traditionally,called,argentine,mimicking,typical,spanish,usage,la,argentina,resulting,mistaken,shortening,fuller,argentine,republic,argentine,fell,fashion,mid,late,th,century,country,referred,argentina",0.00,argentina
"the earliest traces of human life in the area now known as argentina are dated from the paleolithic period with further traces in the mesolithic and neolithic until the period of european colonization argentina was relatively sparsely populated by a wide number of diverse cultures with different social organizations which can be divided into three main groups
",earliest traces human life area known argentina dated paleolithic period traces mesolithic neolithic period european colonization argentina relatively sparsely populated wide number diverse cultures different social organizations divided main groups,7.46,"earliest,traces,human,life,area,known,argentina,dated,paleolithic,period,traces,mesolithic,neolithic,period,european,colonization,argentina,relatively,sparsely,populated,wide,number,diverse,cultures,different,social,organizations,divided,main,groups",0.00,argentina
"europeans first arrived in the region with the  voyage of amerigo vespucci the spanish navigators juan daz de sols and sebastian cabot visited the territory that is now argentina in  and  respectively in  pedro de mendoza founded the small settlement of buenos aires which was abandoned in 
",europeans arrived region voyage amerigo vespucci spanish navigators juan daz de sols sebastian cabot visited territory argentina respectively pedro de mendoza founded small settlement buenos aires abandoned,6.87,"europeans,arrived,region,voyage,amerigo,vespucci,spanish,navigators,juan,daz,de,sols,sebastian,cabot,visited,territory,argentina,respectively,pedro,de,mendoza,founded,small,settlement,buenos,aires,abandoned",0.00,argentina
"beginning a process from which argentina was to emerge as successor state to the viceroyalty the  may revolution replaced the viceroy baltasar hidalgo de cisneros with the first junta a new government in buenos aires composed by locals in the first clashes of the independence war the junta crushed a royalist counter revolution in crdoba but failed to overcome those of the banda oriental upper peru and paraguay which later became independent states the french argentine hippolyte bouchard then brought his fleet to wage war against spain overseas and attacked spanish california spanish chile spanish peru and spanish philippines he secured the allegiance of escaped filipinos in san blas who defected from the spanish to join the argentine navy due to common argentine and philippine grievances against spanish colonization at a later date the argentine sun of may was adopted as a symbol by the filipinos in the philippine revolution against spain he also secured the diplomatic recognition of argentina from king kamehameha i of the kingdom of hawaii historian pacho odonnell affirms that hawaii was the first state that recognized argentinas independence
",beginning process argentina emerge successor state viceroyalty revolution replaced viceroy baltasar hidalgo de cisneros junta new government buenos aires composed locals clashes independence war junta crushed royalist counter revolution crdoba failed overcome banda oriental upper peru paraguay later independent states french argentine hippolyte bouchard brought fleet wage war spain overseas attacked spanish california spanish chile spanish peru spanish philippines secured allegiance escaped filipinos san blas defected spanish join argentine navy common argentine philippine grievances spanish colonization later date argentine sun adopted symbol filipinos philippine revolution spain secured diplomatic recognition argentina king kamehameha kingdom hawaii historian pacho odonnell affirms hawaii state recognized argentinas independence,6.88,"beginning,process,argentina,emerge,successor,state,viceroyalty,revolution,replaced,viceroy,baltasar,hidalgo,de,cisneros,junta,new,government,buenos,aires,composed,locals,clashes,independence,war,junta,crushed,royalist,counter,revolution,crdoba,failed,overcome,banda,oriental,upper,peru,paraguay,later,independent,states,french,argentine,hippolyte,bouchard,brought,fleet,wage,war,spain,overseas,attacked,spanish,california,spanish,chile,spanish,peru,spanish,philippines,secured,allegiance,escaped,filipinos,san,blas,defected,spanish,join,argentine,navy,common,argentine,philippine,grievances,spanish,colonization,later,date,argentine,sun,adopted,symbol,filipinos,philippine,revolution,spain,secured,diplomatic,recognition,argentina,king,kamehameha,kingdom,hawaii,historian,pacho,odonnell,affirms,hawaii,state,recognized,argentinas,independence",0.00,argentina
"starting with julio argentino roca in  ten consecutive federal governments emphasized liberal economic policies the massive wave of european immigration they promotedsecond only to the united statesled to a near reinvention of argentine society and economy that by  had placed the country as the seventh wealthiest developed nation in the world driven by this immigration wave and decreasing mortality the argentine population grew fivefold and the economy  fold from  to  argentinas wheat exports went from  to  t  per year while frozen beef exports increased from  to  t  per year placing argentina as one of the worlds top five exporters its railway mileage rose from  to  km  fostered by a new public compulsory free and secular education system literacy quickly increased from  to  a level higher than most latin american nations would reach even fifty years later furthermore real gdp grew so fast that despite the huge immigration influx per capita income between  and  went from  of developed country levels to  in  argentina was already one of the top  nations by per capita income by  it had surpassed denmark canada and the netherlands to reach th placebehind switzerland new zealand australia the united states the united kingdom and belgium argentinas per capita income was  higher than italys  higher than spains  higher than japans and  higher than brazils despite these unique achievements the country was slow to meet its original goals of industrialization after steep development of capital intensive local industries in the s a significant part of the manufacture sector remained labour intensive in the s
",starting julio argentino roca consecutive federal governments emphasized liberal economic policies massive wave european immigration promotedsecond united statesled near reinvention argentine society economy placed country seventh wealthiest developed nation world driven immigration wave decreasing mortality argentine population grew fivefold economy fold argentinas wheat exports went year frozen beef exports increased year placing argentina worlds exporters railway mileage rose km fostered new public compulsory free secular education system literacy quickly increased level higher latin american nations reach years later furthermore real gdp grew fast despite huge immigration influx capita income went developed country levels argentina nations capita income surpassed denmark canada netherlands reach th placebehind switzerland new zealand australia united states united kingdom belgium argentinas capita income higher italys higher spains higher japans higher brazils despite unique achievements country slow meet original goals industrialization steep development capital intensive local industries significant manufacture sector remained labour intensive,6.77,"starting,julio,argentino,roca,consecutive,federal,governments,emphasized,liberal,economic,policies,massive,wave,european,immigration,promotedsecond,united,statesled,near,reinvention,argentine,society,economy,placed,country,seventh,wealthiest,developed,nation,world,driven,immigration,wave,decreasing,mortality,argentine,population,grew,fivefold,economy,fold,argentinas,wheat,exports,went,year,frozen,beef,exports,increased,year,placing,argentina,worlds,exporters,railway,mileage,rose,km,fostered,new,public,compulsory,free,secular,education,system,literacy,quickly,increased,level,higher,latin,american,nations,reach,years,later,furthermore,real,gdp,grew,fast,despite,huge,immigration,influx,capita,income,went,developed,country,levels,argentina,nations,capita,income,surpassed,denmark,canada,netherlands,reach,th,placebehind,switzerland,new,zealand,australia,united,states,united,kingdom,belgium,argentinas,capita,income,higher,italys,higher,spains,higher,japans,higher,brazils,despite,unique,achievements,country,slow,meet,original,goals,industrialization,steep,development,capital,intensive,local,industries,significant,manufacture,sector,remained,labour,intensive",0.00,argentina
