Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"argentines  in spanish argentinos  or argentinas  are people identified with the country of argentina this connection may be residential legal historical or cultural for most argentines several  of these connections exist and are collectively the source of their being argentine
",argentines spanish argentinos argentinas people identified country argentina connection residential legal historical cultural argentines connections exist collectively source argentine,7.53,"argentines,spanish,argentinos,argentinas,people,identified,country,argentina,connection,residential,legal,historical,cultural,argentines,connections,exist,collectively,source,argentine",0.00,argentina
"argentina is a multiethnic and multilingual society home to people of various ethnic religious and national origins with the majority of the population made up of old world immigrants and their descendants as a result argentines do not equate their nationality with ethnicity but with citizenship and allegiance to argentina aside from the indigenous population nearly all argentines or their ancestors immigrated within the past five centuries among countries in the world that have received the most immigrants in modern history argentina with  million ranks second to the united states  and ahead of other immigrant destinations such as canada brazil and australia
",argentina multiethnic multilingual society home people ethnic religious national origins majority population old world immigrants descendants result argentines equate nationality ethnicity citizenship allegiance argentina aside indigenous population nearly argentines ancestors immigrated past centuries countries world received immigrants modern history argentina million ranks second united states ahead immigrant destinations canada brazil australia,7.63,"argentina,multiethnic,multilingual,society,home,people,ethnic,religious,national,origins,majority,population,old,world,immigrants,descendants,result,argentines,equate,nationality,ethnicity,citizenship,allegiance,argentina,aside,indigenous,population,nearly,argentines,ancestors,immigrated,past,centuries,countries,world,received,immigrants,modern,history,argentina,million,ranks,second,united,states,ahead,immigrant,destinations,canada,brazil,australia",0.00,argentina
"argentina is a multiethnic society which means that it is home to people of many different ethnic backgrounds argentina is a melting pot of different peoples
",argentina multiethnic society means home people different ethnic backgrounds argentina melting pot different peoples,7.59,"argentina,multiethnic,society,means,home,people,different,ethnic,backgrounds,argentina,melting,pot,different,peoples",0.00,argentina
"in the mid th century a large wave of immigration started to arrive in argentina due to new constitutional policies that encouraged immigration and issues in the countries the immigrants came from such as wars poverty hunger and famines the main immigration sources were from europe the countries from the near and the middle east russia and japan eventually argentina became the country with the second largest number of immigrants in the period with  million second only to the united states with  million
",mid th century large wave immigration started arrive argentina new constitutional policies encouraged immigration issues countries immigrants came wars poverty hunger famines main immigration sources europe countries near middle east russia japan eventually argentina country second largest number immigrants period million second united states million,7.48,"mid,th,century,large,wave,immigration,started,arrive,argentina,new,constitutional,policies,encouraged,immigration,issues,countries,immigrants,came,wars,poverty,hunger,famines,main,immigration,sources,europe,countries,near,middle,east,russia,japan,eventually,argentina,country,second,largest,number,immigrants,period,million,second,united,states,million",0.00,argentina
"several studies found out that the european ancestry in argentina comes mainly from the iberian peninsula and italy with a much lower contribution from central and northern europe the italian component appears strongest in the east and center west while the spanish influence dominates in the north east and north west
",studies found european ancestry argentina comes mainly iberian peninsula italy lower contribution central northern europe italian component appears strongest east center west spanish influence dominates north east north west,6.90,"studies,found,european,ancestry,argentina,comes,mainly,iberian,peninsula,italy,lower,contribution,central,northern,europe,italian,component,appears,strongest,east,center,west,spanish,influence,dominates,north,east,north,west",0.00,argentina
"there are approximately  romani people in argentina they belong to the romani subgroups greek moldavian and russian kalderash some lovari and some chilean xoraxane there are also spanish kal and boyash living in argentina
",approximately romani people argentina belong romani subgroups greek moldavian russian kalderash lovari chilean xoraxane spanish kal boyash living argentina,6.76,"approximately,romani,people,argentina,belong,romani,subgroups,greek,moldavian,russian,kalderash,lovari,chilean,xoraxane,spanish,kal,boyash,living,argentina",0.00,argentina
"within the population totals there may be an imprecise amount of mixed population
in one of the most comprehensive genetic studies involving the population of argentina  argentines from across the north east north west southern and central provinces  of the country it was observed that the sample population comprised on average of  european followed by  amerindian and finally  of african ancestry however this study was unweighted and meant to be a representation of the diversity of argentine dna rather than a demonstration of the average ethnic composition of the country it was also found there were great differences in the ancestry amongst argentines as one traveled across the country a study by daniel corach that attempted to find the average argentine ancestry by weighing the population of various regions gave a significantly higher estimate of european ancestry at  of the average argentines autosomal dna
",population totals imprecise mixed populationin comprehensive genetic studies involving population argentina argentines north east north west southern central provinces country observed sample population comprised average european followed amerindian finally african ancestry study unweighted meant representation diversity argentine dna demonstration average ethnic composition country found great differences ancestry argentines traveled country study daniel corach attempted find average argentine ancestry weighing population regions gave significantly higher estimate european ancestry average argentines autosomal dna,7.92,"population,totals,imprecise,mixed,populationin,comprehensive,genetic,studies,involving,population,argentina,argentines,north,east,north,west,southern,central,provinces,country,observed,sample,population,comprised,average,european,followed,amerindian,finally,african,ancestry,study,unweighted,meant,representation,diversity,argentine,dna,demonstration,average,ethnic,composition,country,found,great,differences,ancestry,argentines,traveled,country,study,daniel,corach,attempted,find,average,argentine,ancestry,weighing,population,regions,gave,significantly,higher,estimate,european,ancestry,average,argentines,autosomal,dna",0.00,argentina
"argentina has  officially recognized indigenous people groups as of the  census indec some  argentines  self identify as indigenous or first generation descendants of indigenous peoples
",argentina officially recognized indigenous people groups census indec argentines self identify indigenous generation descendants indigenous peoples,4.84,"argentina,officially,recognized,indigenous,people,groups,census,indec,argentines,self,identify,indigenous,generation,descendants,indigenous,peoples",0.00,argentina
"despite the fact that in the s it was calculated that argentina owed two thirds of the volume of its population to european immigration over  of argentines state they have at least one black ancestor and a further  state they do not know whether or not they have any black ancestors genetic studies carried out in  showed that the average level of african genetic contribution in the population of buenos aires is  but that this component is concentrated in  of the population who display notably higher levels of african ancestry today there is still a notable afro argentine community in the buenos aires districts of san telmo and la boca there are also quite a few african descended argentines in merlo and ciudad evita in the buenos aires metropolitan area
",despite fact calculated argentina owed thirds volume population european immigration argentines state black ancestor state know black ancestors genetic studies carried showed average level african genetic contribution population buenos aires component concentrated population display notably higher levels african ancestry today notable afro argentine community buenos aires districts san telmo la boca african descended argentines merlo ciudad evita buenos aires metropolitan area,9.06,"despite,fact,calculated,argentina,owed,thirds,volume,population,european,immigration,argentines,state,black,ancestor,state,know,black,ancestors,genetic,studies,carried,showed,average,level,african,genetic,contribution,population,buenos,aires,component,concentrated,population,display,notably,higher,levels,african,ancestry,today,notable,afro,argentine,community,buenos,aires,districts,san,telmo,la,boca,african,descended,argentines,merlo,ciudad,evita,buenos,aires,metropolitan,area",0.00,argentina
"argentines of asian ancestry are defined as either born within argentina or born elsewhere and later to become a citizen or resident of argentina asian argentines settled in argentina in large numbers during several waves of immigration in the th and th centuries in the th century west asian immigrants primarily from lebanon and syria came as a result of the  mount lebanon civil war in the early th century a small wave of east asian immigrants particularly from japan came to the country
",argentines asian ancestry defined born argentina born later citizen resident argentina asian argentines settled argentina large numbers waves immigration th th centuries th century west asian immigrants primarily lebanon syria came result mount lebanon civil war early th century small wave east asian immigrants particularly japan came country,7.32,"argentines,asian,ancestry,defined,born,argentina,born,later,citizen,resident,argentina,asian,argentines,settled,argentina,large,numbers,waves,immigration,th,th,centuries,th,century,west,asian,immigrants,primarily,lebanon,syria,came,result,mount,lebanon,civil,war,early,th,century,small,wave,east,asian,immigrants,particularly,japan,came,country",0.00,argentina
