Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"armenia a officially the republic of armeniab is a landlocked country in the armenian highlands of western asia it is a part of the caucasus region and is bordered by turkey to the west georgia to the north the lachin corridor  and azerbaijan to the east and iran and the azerbaijani exclave of nakhchivan to the south yerevan is the capital largest city and the financial center
",armenia officially republic armeniab landlocked country armenian highlands western asia caucasus region bordered turkey west georgia north lachin corridor azerbaijan east iran azerbaijani exclave nakhchivan south yerevan capital largest city financial center,9.21,"armenia,officially,republic,armeniab,landlocked,country,armenian,highlands,western,asia,caucasus,region,bordered,turkey,west,georgia,north,lachin,corridor,azerbaijan,east,iran,azerbaijani,exclave,nakhchivan,south,yerevan,capital,largest,city,financial,center",0.00,armenia
"armenia is a unitary multi party democratic nation state with an ancient cultural heritage the first armenian state of urartu was established in  because and by the th century because it was replaced by the satrapy of armenia the kingdom of armenia reached its height under tigranes the great in the st century because and in the year  became the first state in the world to adopt christianity as its official religionc the ancient armenian kingdom was split between the byzantine and sasanian empires around the early th century under the bagratuni dynasty the bagratid kingdom of armenia was restored in the th century declining due to the wars against the byzantines the kingdom fell in  and armenia was soon after invaded by the seljuk turks an armenian principality and later a kingdom cilician armenia was located on the coast of the mediterranean sea between the th and th centuries
",armenia unitary multi party democratic nation state ancient cultural heritage armenian state urartu established th century replaced satrapy armenia kingdom armenia reached height tigranes great st century year state world adopt christianity official religionc ancient armenian kingdom split byzantine sasanian empires early th century bagratuni dynasty bagratid kingdom armenia restored th century declining wars byzantines kingdom fell armenia soon invaded seljuk turks armenian principality later kingdom cilician armenia located coast mediterranean sea th th centuries,8.43,"armenia,unitary,multi,party,democratic,nation,state,ancient,cultural,heritage,armenian,state,urartu,established,th,century,replaced,satrapy,armenia,kingdom,armenia,reached,height,tigranes,great,st,century,year,state,world,adopt,christianity,official,religionc,ancient,armenian,kingdom,split,byzantine,sasanian,empires,early,th,century,bagratuni,dynasty,bagratid,kingdom,armenia,restored,th,century,declining,wars,byzantines,kingdom,fell,armenia,soon,invaded,seljuk,turks,armenian,principality,later,kingdom,cilician,armenia,located,coast,mediterranean,sea,th,th,centuries",0.00,armenia
"between the th and th centuries the traditional armenian homeland composed of eastern armenia and western armenia came under the rule of the ottoman and persian empires repeatedly ruled by either of the two over the centuries by the th century eastern armenia had been conquered by the russian empire while most of the western parts of the traditional armenian homeland remained under ottoman rule during world war i  million armenians living in their ancestral lands in the ottoman empire were systematically exterminated in the armenian genocide in  following the russian revolution all non russian countries declared their independence after the russian empire ceased to exist leading to the establishment of the first republic of armenia by  the state was incorporated into the transcaucasian socialist federative soviet republic and in  became a founding member of the soviet union in  the transcaucasian state was dissolved transforming its constituent states including the armenian soviet socialist republic into full union republics the modern republic of armenia became independent in  during the dissolution of the soviet union
",th th centuries traditional armenian homeland composed eastern armenia western armenia came rule ottoman persian empires repeatedly ruled centuries th century eastern armenia conquered russian empire western parts traditional armenian homeland remained ottoman rule world war million armenians living ancestral lands ottoman empire systematically exterminated armenian genocide following russian revolution non russian countries declared independence russian empire ceased exist leading establishment republic armenia state incorporated transcaucasian socialist federative soviet republic founding member soviet union transcaucasian state dissolved transforming constituent states including armenian soviet socialist republic union republics modern republic armenia independent dissolution soviet union,6.94,"th,th,centuries,traditional,armenian,homeland,composed,eastern,armenia,western,armenia,came,rule,ottoman,persian,empires,repeatedly,ruled,centuries,th,century,eastern,armenia,conquered,russian,empire,western,parts,traditional,armenian,homeland,remained,ottoman,rule,world,war,million,armenians,living,ancestral,lands,ottoman,empire,systematically,exterminated,armenian,genocide,following,russian,revolution,non,russian,countries,declared,independence,russian,empire,ceased,exist,leading,establishment,republic,armenia,state,incorporated,transcaucasian,socialist,federative,soviet,republic,founding,member,soviet,union,transcaucasian,state,dissolved,transforming,constituent,states,including,armenian,soviet,socialist,republic,union,republics,modern,republic,armenia,independent,dissolution,soviet,union",0.00,armenia
"armenia is a developing country and ranks th on the human development index  its economy is primarily based on industrial output and mineral extraction while armenia is geographically located in the south caucasus it is generally considered geopolitically european since armenia aligns itself in many respects geopolitically with europe the country is a member of numerous european organizations including the council of europe the eastern partnership eurocontrol the assembly of european regions and the european bank for reconstruction and development armenia is also a member of certain regional groups throughout eurasia including the asian development bank the collective security treaty organization the eurasian economic union and the eurasian development bank armenia supports the de facto independent republic of artsakh  which was proclaimed in  on territory internationally recognized as part of azerbaijan armenia also recognises the armenian apostolic church the worlds oldest national church as the countrys primary religious establishmentd the unique armenian alphabet was created by mesrop mashtots in  ad
",armenia developing country ranks th human development index economy primarily based industrial output mineral extraction armenia geographically located south caucasus generally considered geopolitically european armenia aligns respects geopolitically europe country member numerous european organizations including council europe eastern partnership eurocontrol assembly european regions european bank reconstruction development armenia member certain regional groups eurasia including asian development bank collective security treaty organization eurasian economic union eurasian development bank armenia supports de facto independent republic artsakh proclaimed territory internationally recognized azerbaijan armenia recognises armenian apostolic church worlds oldest national church countrys primary religious establishmentd unique armenian alphabet created mesrop mashtots ad,5.44,"armenia,developing,country,ranks,th,human,development,index,economy,primarily,based,industrial,output,mineral,extraction,armenia,geographically,located,south,caucasus,generally,considered,geopolitically,european,armenia,aligns,respects,geopolitically,europe,country,member,numerous,european,organizations,including,council,europe,eastern,partnership,eurocontrol,assembly,european,regions,european,bank,reconstruction,development,armenia,member,certain,regional,groups,eurasia,including,asian,development,bank,collective,security,treaty,organization,eurasian,economic,union,eurasian,development,bank,armenia,supports,de,facto,independent,republic,artsakh,proclaimed,territory,internationally,recognized,azerbaijan,armenia,recognises,armenian,apostolic,church,worlds,oldest,national,church,countrys,primary,religious,establishmentd,unique,armenian,alphabet,created,mesrop,mashtots,ad",0.00,armenia
"the exonym armenia is attested in the old persian behistun inscription  as armina  the ancient greek terms   and   are first mentioned by hecataeus of miletus  xenophon a greek general serving in some of the persian expeditions describes many aspects of armenian village life and hospitality in around  because
",exonym armenia attested old persian behistun inscription armina ancient greek terms mentioned hecataeus miletus xenophon greek general serving persian expeditions describes aspects armenian village life hospitality,7.07,"exonym,armenia,attested,old,persian,behistun,inscription,armina,ancient,greek,terms,mentioned,hecataeus,miletus,xenophon,greek,general,serving,persian,expeditions,describes,aspects,armenian,village,life,hospitality",0.00,armenia
"some scholars have linked the name armenia with the early bronze age state of armani  or the late bronze age state of arme  these connections are inconclusive as it is not known what languages were spoken in these kingdoms additionally while it is agreed that arme was located to the immediate west of lake van  the location of the older site of armani is a matter of debate some modern researchers have placed it near modern samsat and have suggested it was populated at least partially by an early indo european speaking people it is possible that the name armenia originates in armini urartian for inhabitant of arme or armean country the arme tribe of urartian texts may have been the urumu who in the th century because attempted to invade assyria from the north with their allies the mushki and the kaskians the urumu apparently settled in the vicinity of sason lending their name to the regions of arme and the nearby lands of urme and inner urumu given that this was an exonym it may have meant wasteland dense forest cf armutu  armayou  armni  the southerners considered the northern forests to be the abode of dangerous beasts
",scholars linked armenia early bronze age state armani late bronze age state arme connections inconclusive known languages spoken kingdoms additionally agreed arme located immediate west lake van location older site armani matter debate modern researchers placed near modern samsat suggested populated partially early indo european speaking people possible armenia originates armini urartian inhabitant arme armean country arme tribe urartian texts urumu th century attempted invade assyria north allies mushki kaskians urumu apparently settled vicinity sason lending regions arme nearby lands urme inner urumu given exonym meant wasteland dense forest cf armutu armayou armni southerners considered northern forests abode dangerous beasts,8.71,"scholars,linked,armenia,early,bronze,age,state,armani,late,bronze,age,state,arme,connections,inconclusive,known,languages,spoken,kingdoms,additionally,agreed,arme,located,immediate,west,lake,van,location,older,site,armani,matter,debate,modern,researchers,placed,near,modern,samsat,suggested,populated,partially,early,indo,european,speaking,people,possible,armenia,originates,armini,urartian,inhabitant,arme,armean,country,arme,tribe,urartian,texts,urumu,th,century,attempted,invade,assyria,north,allies,mushki,kaskians,urumu,apparently,settled,vicinity,sason,lending,regions,arme,nearby,lands,urme,inner,urumu,given,exonym,meant,wasteland,dense,forest,cf,armutu,armayou,armni,southerners,considered,northern,forests,abode,dangerous,beasts",0.00,armenia
"it has also been speculated that the land of ermenen  mentioned by the egyptian pharaoh thutmose iii in  because could be a reference to armenia
",speculated land ermenen mentioned egyptian pharaoh thutmose iii reference armenia,10.34,"speculated,land,ermenen,mentioned,egyptian,pharaoh,thutmose,iii,reference,armenia",0.00,armenia
"
according to the histories of both moses of chorene and michael chamchian armenia derives from the name of aram a lineal descendant of hayk the table of nations lists aram as the son of shem to whom the book of jubilees attests ",according histories moses chorene michael chamchian armenia derives aram lineal descendant hayk table nations lists aram son shem book jubilees attests,9.17,"according,histories,moses,chorene,michael,chamchian,armenia,derives,aram,lineal,descendant,hayk,table,nations,lists,aram,son,shem,book,jubilees,attests",0.00,armenia
aram had the aramites which the greeks called syrians of the four sons of aram uz founded trachonitis and damascus this country lies between palestine and celesyria ul founded armenia and gather the bactrians and mesa the mesaneans it is now called charax spasini,aram aramites greeks called syrians sons aram uz founded trachonitis damascus country lies palestine celesyria ul founded armenia gather bactrians mesa mesaneans called charax spasini,7.22,"aram,aramites,greeks,called,syrians,sons,aram,uz,founded,trachonitis,damascus,country,lies,palestine,celesyria,ul,founded,armenia,gather,bactrians,mesa,mesaneans,called,charax,spasini",0.00,armenia
"armenia lies in the highlands surrounding the mountains of ararat there is evidence of an early civilisation in armenia in the bronze age and earlier dating to about  because archaeological surveys in  and  at the areni  cave complex have resulted in the discovery of the worlds earliest known leather shoe skirt and wine producing facility
",armenia lies highlands surrounding mountains ararat evidence early civilisation armenia bronze age earlier dating archaeological surveys areni cave complex resulted discovery worlds earliest known leather shoe skirt wine producing facility,7.33,"armenia,lies,highlands,surrounding,mountains,ararat,evidence,early,civilisation,armenia,bronze,age,earlier,dating,archaeological,surveys,areni,cave,complex,resulted,discovery,worlds,earliest,known,leather,shoe,skirt,wine,producing,facility",0.00,armenia
