Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"armenians  are an ethnic group native to the armenian highlands of western asia armenians constitute the main population of armenia and the de facto independent artsakh there is a wide ranging diaspora of around five million people of full or partial armenian ancestry living outside modern armenia the largest armenian populations today exist in russia the united states france georgia iran germany ukraine lebanon brazil and syria with the exceptions of iran and the former soviet states the present day armenian diaspora was formed mainly as a result of the armenian genocide
",armenians ethnic group native armenian highlands western asia armenians constitute main population armenia de facto independent artsakh wide ranging diaspora million people partial armenian ancestry living outside modern armenia largest armenian populations today exist russia united states france georgia iran germany ukraine lebanon brazil syria exceptions iran soviet states present day armenian diaspora formed mainly result armenian genocide,5.87,"armenians,ethnic,group,native,armenian,highlands,western,asia,armenians,constitute,main,population,armenia,de,facto,independent,artsakh,wide,ranging,diaspora,million,people,partial,armenian,ancestry,living,outside,modern,armenia,largest,armenian,populations,today,exist,russia,united,states,france,georgia,iran,germany,ukraine,lebanon,brazil,syria,exceptions,iran,soviet,states,present,day,armenian,diaspora,formed,mainly,result,armenian,genocide",0.00,armenia
"armenian is an indo european language it has two mutually intelligible spoken and written forms eastern armenian today spoken mainly in armenia artsakh iran and the former soviet republics and western armenian used in the historical western armenia and after the armenian genocide primarily in the armenian diasporan communities the unique armenian alphabet was invented in  ad by mesrop mashtots
",armenian indo european language mutually intelligible spoken written forms eastern armenian today spoken mainly armenia artsakh iran soviet republics western armenian historical western armenia armenian genocide primarily armenian diasporan communities unique armenian alphabet invented ad mesrop mashtots,5.79,"armenian,indo,european,language,mutually,intelligible,spoken,written,forms,eastern,armenian,today,spoken,mainly,armenia,artsakh,iran,soviet,republics,western,armenian,historical,western,armenia,armenian,genocide,primarily,armenian,diasporan,communities,unique,armenian,alphabet,invented,ad,mesrop,mashtots",0.00,armenia
"most armenians adhere to the armenian apostolic church a non chalcedonian christian church which is also the worlds oldest national church christianity began to spread in armenia soon after jesus death due to the efforts of two of his apostles st thaddeus and st bartholomew in the early th century the kingdom of armenia became the first state to adopt christianity as a state religion
",armenians adhere armenian apostolic church non chalcedonian christian church worlds oldest national church christianity began spread armenia soon jesus death efforts apostles st thaddeus st bartholomew early th century kingdom armenia state adopt christianity state religion,7.49,"armenians,adhere,armenian,apostolic,church,non,chalcedonian,christian,church,worlds,oldest,national,church,christianity,began,spread,armenia,soon,jesus,death,efforts,apostles,st,thaddeus,st,bartholomew,early,th,century,kingdom,armenia,state,adopt,christianity,state,religion",0.00,armenia
"the earliest attestations of the exonym armenia date around the th century because in his trilingual behistun inscription dated to  because darius i the great of persia refers to urashtu  as armina  and harminuya 
in greek armenios  is attested from about the same time perhaps the earliest reference being a fragment attributed to hecataeus of miletus  xenophon a greek general serving in some of the persian expeditions describes many aspects of armenian village life and hospitality in around  becausecitation needed
",earliest attestations exonym armenia date th century trilingual behistun inscription dated darius great persia refers urashtu armina harminuya greek armenios attested time earliest reference fragment attributed hecataeus miletus xenophon greek general serving persian expeditions describes aspects armenian village life hospitality becausecitation needed,7.31,"earliest,attestations,exonym,armenia,date,th,century,trilingual,behistun,inscription,dated,darius,great,persia,refers,urashtu,armina,harminuya,greek,armenios,attested,time,earliest,reference,fragment,attributed,hecataeus,miletus,xenophon,greek,general,serving,persian,expeditions,describes,aspects,armenian,village,life,hospitality,becausecitation,needed",0.00,armenia
"some have linked the name armenia with the early bronze age state of armani  or the late bronze age state of arme  armini urartian for inhabitant of arme or armean country referring to the region of shupria to the immediate west of lake van the arme tribe of urartian texts may have been the urumu who in the th century because attempted to invade assyria from the north with their allies the mushki and the kaskians the urumu apparently settled in the vicinity of sason lending their name to the regions of arme and the nearby lands of urme and inner urumu the location of the older site of armani is a matter of debate some modern researchers have placed it in the same general area as arme near modern samsat and have suggested it was populated at least partially by an early indo european speaking people the relationship between armani and the later arme shupria if any is undetermined additionally their connections to armenians is inconclusive as it is not known what languages were spoken in these regions
",linked armenia early bronze age state armani late bronze age state arme armini urartian inhabitant arme armean country referring region shupria immediate west lake van arme tribe urartian texts urumu th century attempted invade assyria north allies mushki kaskians urumu apparently settled vicinity sason lending regions arme nearby lands urme inner urumu location older site armani matter debate modern researchers placed general area arme near modern samsat suggested populated partially early indo european speaking people relationship armani later arme shupria undetermined additionally connections armenians inconclusive known languages spoken regions,8.88,"linked,armenia,early,bronze,age,state,armani,late,bronze,age,state,arme,armini,urartian,inhabitant,arme,armean,country,referring,region,shupria,immediate,west,lake,van,arme,tribe,urartian,texts,urumu,th,century,attempted,invade,assyria,north,allies,mushki,kaskians,urumu,apparently,settled,vicinity,sason,lending,regions,arme,nearby,lands,urme,inner,urumu,location,older,site,armani,matter,debate,modern,researchers,placed,general,area,arme,near,modern,samsat,suggested,populated,partially,early,indo,european,speaking,people,relationship,armani,later,arme,shupria,undetermined,additionally,connections,armenians,inconclusive,known,languages,spoken,regions",0.00,armenia
"it has also been speculated that the land of ermenen  mentioned by the egyptian pharaoh thutmose iii in  bce could be a reference to armenia
",speculated land ermenen mentioned egyptian pharaoh thutmose iii bce reference armenia,9.93,"speculated,land,ermenen,mentioned,egyptian,pharaoh,thutmose,iii,bce,reference,armenia",0.00,armenia
"khorenatsi wrote that the word armenian originated from the name armenak or aram citation needed khorenatsi refers to both armenia and armenians as hayk  citation needed
",khorenatsi wrote word armenian originated armenak aram citation needed khorenatsi refers armenia armenians hayk citation needed,5.88,"khorenatsi,wrote,word,armenian,originated,armenak,aram,citation,needed,khorenatsi,refers,armenia,armenians,hayk,citation,needed",0.00,armenia
"it has been suggested that the bronze age trialeti vanadzor culture and sites such as the burial complexes at verin and nerkin naver are indicative of an indo european presence in armenia by the end of the rd millennium bce the controversial armenian hypothesis put forward by some scholars such as thomas gamkrelidze and vyacheslav v ivanov proposes that the indo european homeland was around the armenian highland this theory was partially confirmed by the research of geneticist david reich  among others similarly grolle  supports not only a homeland for armenians on the armenian highlands but also that the armenian highlands are the homeland for the pre proto indo europeans a large genetic study in  showed that many armenians are direct patrilineal descendants of the yamnaya
",suggested bronze age trialeti vanadzor culture sites burial complexes verin nerkin naver indicative indo european presence armenia end rd millennium bce controversial armenian hypothesis forward scholars thomas gamkrelidze vyacheslav v ivanov proposes indo european homeland armenian highland theory partially confirmed research geneticist david reich similarly grolle supports homeland armenians armenian highlands armenian highlands homeland pre proto indo europeans large genetic study showed armenians direct patrilineal descendants yamnaya,7.52,"suggested,bronze,age,trialeti,vanadzor,culture,sites,burial,complexes,verin,nerkin,naver,indicative,indo,european,presence,armenia,end,rd,millennium,bce,controversial,armenian,hypothesis,forward,scholars,thomas,gamkrelidze,vyacheslav,v,ivanov,proposes,indo,european,homeland,armenian,highland,theory,partially,confirmed,research,geneticist,david,reich,similarly,grolle,supports,homeland,armenians,armenian,highlands,armenian,highlands,homeland,pre,proto,indo,europeans,large,genetic,study,showed,armenians,direct,patrilineal,descendants,yamnaya",0.00,armenia
"genetic studies explain armenian diversity by several mixtures of eurasian populations that occurred between  and  bce but genetic signals of population mixture cease after  bce when bronze age civilizations in the eastern mediterranean world suddenly and violently collapsed armenians have since remained isolated and genetic structure within the population developed  years ago when armenia was divided between the ottomans and the safavid empire in iran a genetic study  supports the indigenous origin for armenians in a region south of the caucasus which he calls greater caucasus
",genetic studies explain armenian diversity mixtures eurasian populations occurred bce genetic signals population mixture cease bce bronze age civilizations eastern mediterranean world suddenly violently collapsed armenians remained isolated genetic structure population developed years ago armenia divided ottomans safavid empire iran genetic study supports indigenous origin armenians region south caucasus calls greater caucasus,5.81,"genetic,studies,explain,armenian,diversity,mixtures,eurasian,populations,occurred,bce,genetic,signals,population,mixture,cease,bce,bronze,age,civilizations,eastern,mediterranean,world,suddenly,violently,collapsed,armenians,remained,isolated,genetic,structure,population,developed,years,ago,armenia,divided,ottomans,safavid,empire,iran,genetic,study,supports,indigenous,origin,armenians,region,south,caucasus,calls,greater,caucasus",0.00,armenia
"in the bronze age several states flourished in the area of greater armenia including the hittite empire   and hayasa azzi  soon after hayasa azzi came arme shupria  the nairi confederation  and the kingdom of urartu  who successively established their sovereignty over the armenian highland each of the aforementioned nations and tribes participated in the ethnogenesis of the armenian people under ashurbanipal  the assyrian empire reached the caucasus mountains 
",bronze age states flourished area greater armenia including hittite empire hayasa azzi soon hayasa azzi came arme shupria nairi confederation kingdom urartu successively established sovereignty armenian highland aforementioned nations tribes participated ethnogenesis armenian people ashurbanipal assyrian empire reached caucasus mountains,6.02,"bronze,age,states,flourished,area,greater,armenia,including,hittite,empire,hayasa,azzi,soon,hayasa,azzi,came,arme,shupria,nairi,confederation,kingdom,urartu,successively,established,sovereignty,armenian,highland,aforementioned,nations,tribes,participated,ethnogenesis,armenian,people,ashurbanipal,assyrian,empire,reached,caucasus,mountains",0.00,armenia
