Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"asia  also uk e is the largest continentb in the world by both land area and population it is part of eurasia it covers an area of more than  million square kilometersc about  of earths total land area and  of earths total surface area the continent which has long been home to the majority of the human population was the site of many of the first civilizations its  billion people constitute roughly  of the worlds population having more people than all other continents combined
",asia uk e largest continentb world land area population eurasia covers area million square kilometersc earths total land area earths total surface area continent long home majority human population site civilizations billion people constitute roughly worlds population people continents combined,9.13,"asia,uk,e,largest,continentb,world,land,area,population,eurasia,covers,area,million,square,kilometersc,earths,total,land,area,earths,total,surface,area,continent,long,home,majority,human,population,site,civilizations,billion,people,constitute,roughly,worlds,population,people,continents,combined",0.00,asia
"asia shares the landmass of afro eurasia with europe and africa in general terms it is bounded on the east by the pacific ocean on the south by the indian ocean and on the north by the arctic ocean the border of asia with europe is a historical and cultural construct as there is no clear physical and geographical separation between them it is somewhat arbitrary and has moved since its first conception in classical antiquity the division of eurasia into two continents reflects eastwest cultural linguistic and ethnic differences some of which vary on a spectrum rather than with a sharp dividing line a commonly accepted division places asia to the east of the suez canal separating it from africa and to the east of the turkish straits the ural mountains and ural river and to the south of the caucasus mountains and the caspian and black seas separating it from europe
",asia shares landmass afro eurasia europe africa general terms bounded east pacific ocean south indian ocean north arctic ocean border asia europe historical cultural construct clear physical geographical separation somewhat arbitrary moved conception classical antiquity division eurasia continents reflects eastwest cultural linguistic ethnic differences vary spectrum sharp dividing line commonly accepted division places asia east suez canal separating africa east turkish straits ural mountains ural river south caucasus mountains caspian black seas separating europe,9.03,"asia,shares,landmass,afro,eurasia,europe,africa,general,terms,bounded,east,pacific,ocean,south,indian,ocean,north,arctic,ocean,border,asia,europe,historical,cultural,construct,clear,physical,geographical,separation,somewhat,arbitrary,moved,conception,classical,antiquity,division,eurasia,continents,reflects,eastwest,cultural,linguistic,ethnic,differences,vary,spectrum,sharp,dividing,line,commonly,accepted,division,places,asia,east,suez,canal,separating,africa,east,turkish,straits,ural,mountains,ural,river,south,caucasus,mountains,caspian,black,seas,separating,europe",0.00,asia
"china and india alternated in being the largest economies in the world from  to  ce china was a major economic power and attracted many to the east and for many the legendary wealth and prosperity of the ancient culture of india personified asia attracting european commerce exploration and colonialism the accidental discovery of a trans atlantic route from europe to america by columbus while in search for a route to india demonstrates this deep fascination the silk road became the main eastwest trading route in the asian hinterlands while the straits of malacca stood as a major sea route asia has exhibited economic dynamism  as well as robust population growth during the th century but overall population growth has since fallen asia was the birthplace of most of the worlds mainstream religions including hinduism zoroastrianism judaism jainism buddhism confucianism taoism christianity islam sikhism as well as many other religions
",china india alternated largest economies world ce china major economic power attracted east legendary wealth prosperity ancient culture india personified asia attracting european commerce exploration colonialism accidental discovery trans atlantic route europe america columbus search route india demonstrates deep fascination silk road main eastwest trading route asian hinterlands straits malacca stood major sea route asia exhibited economic dynamism robust population growth th century overall population growth fallen asia birthplace worlds mainstream religions including hinduism zoroastrianism judaism jainism buddhism confucianism taoism christianity islam sikhism religions,6.89,"china,india,alternated,largest,economies,world,ce,china,major,economic,power,attracted,east,legendary,wealth,prosperity,ancient,culture,india,personified,asia,attracting,european,commerce,exploration,colonialism,accidental,discovery,trans,atlantic,route,europe,america,columbus,search,route,india,demonstrates,deep,fascination,silk,road,main,eastwest,trading,route,asian,hinterlands,straits,malacca,stood,major,sea,route,asia,exhibited,economic,dynamism,robust,population,growth,th,century,overall,population,growth,fallen,asia,birthplace,worlds,mainstream,religions,including,hinduism,zoroastrianism,judaism,jainism,buddhism,confucianism,taoism,christianity,islam,sikhism,religions",0.00,asia
"given its size and diversity the concept of asiaa name dating back to classical antiquitymay actually have more to do with human geography than physical geographycitation needed asia varies greatly across and within its regions with regard to ethnic groups cultures environments economics historical ties and government systems it also has a mix of many different climates ranging from the equatorial south via the hot desert in the middle east temperate areas in the east and the  continental centre to vast subarctic and polar areas in siberia
",given size diversity concept asiaa dating classical antiquitymay actually human geography physical geographycitation needed asia varies greatly regions regard ethnic groups cultures environments economics historical ties government systems mix different climates ranging equatorial south hot desert middle east temperate areas east continental centre vast subarctic polar areas siberia,7.14,"given,size,diversity,concept,asiaa,dating,classical,antiquitymay,actually,human,geography,physical,geographycitation,needed,asia,varies,greatly,regions,regard,ethnic,groups,cultures,environments,economics,historical,ties,government,systems,mix,different,climates,ranging,equatorial,south,hot,desert,middle,east,temperate,areas,east,continental,centre,vast,subarctic,polar,areas,siberia",0.00,asia
"the boundary between asia and africa is the red sea the gulf of suez and the suez canal this makes egypt a transcontinental country with the sinai peninsula in asia and the remainder of the country in africa
",boundary asia africa red sea gulf suez suez canal makes egypt transcontinental country sinai peninsula asia remainder country africa,9.13,"boundary,asia,africa,red,sea,gulf,suez,suez,canal,makes,egypt,transcontinental,country,sinai,peninsula,asia,remainder,country,africa",0.00,asia
"the threefold division of the old world into europe asia and africa has been in use since the th century bce due to greek geographers such as anaximander and hecataeuscitation needed anaximander placed the boundary between asia and europe along the phasis river  in georgia of caucasus  a convention still followed by herodotus in the th century bce during the hellenistic period this convention was revised and the boundary between europe and asia was now considered to be the tanais  this is the convention used by roman era authors such as posidonius strabo and ptolemy
",threefold division old world europe asia africa use th century bce greek geographers anaximander hecataeuscitation needed anaximander placed boundary asia europe phasis river georgia caucasus convention followed herodotus th century bce hellenistic period convention revised boundary europe asia considered tanais convention roman era authors posidonius strabo ptolemy,8.38,"threefold,division,old,world,europe,asia,africa,use,th,century,bce,greek,geographers,anaximander,hecataeuscitation,needed,anaximander,placed,boundary,asia,europe,phasis,river,georgia,caucasus,convention,followed,herodotus,th,century,bce,hellenistic,period,convention,revised,boundary,europe,asia,considered,tanais,convention,roman,era,authors,posidonius,strabo,ptolemy",0.00,asia
"the border between asia and europe was historically defined by european academics the don river became unsatisfactory to northern europeans when peter the great king of the tsardom of russia defeating rival claims of sweden and the ottoman empire to the eastern lands and armed resistance by the tribes of siberia synthesized a new russian empire extending to the ural mountains and beyond founded in citation needed
",border asia europe historically defined european academics river unsatisfactory northern europeans peter great king tsardom russia defeating rival claims sweden ottoman empire eastern lands armed resistance tribes siberia synthesized new russian empire extending ural mountains founded citation needed,6.95,"border,asia,europe,historically,defined,european,academics,river,unsatisfactory,northern,europeans,peter,great,king,tsardom,russia,defeating,rival,claims,sweden,ottoman,empire,eastern,lands,armed,resistance,tribes,siberia,synthesized,new,russian,empire,extending,ural,mountains,founded,citation,needed",0.00,asia
"in sweden five years after peters death in  philip johan von strahlenberg published a new atlas proposing the ural mountains as the border of asia tatishchev announced that he had proposed the idea to von strahlenberg the latter had suggested the emba river as the lower boundary over the next century various proposals were made until the ural river prevailed in the mid th century the border had been moved perforce from the black sea to the caspian sea into which the ural river projects the border between the black sea and the caspian is usually placed along the crest of the caucasus mountains although it is sometimes placed further north
",sweden years peters death philip johan von strahlenberg published new atlas proposing ural mountains border asia tatishchev announced proposed idea von strahlenberg suggested emba river lower boundary century proposals ural river prevailed mid th century border moved perforce black sea caspian sea ural river projects border black sea caspian usually placed crest caucasus mountains placed north,8.51,"sweden,years,peters,death,philip,johan,von,strahlenberg,published,new,atlas,proposing,ural,mountains,border,asia,tatishchev,announced,proposed,idea,von,strahlenberg,suggested,emba,river,lower,boundary,century,proposals,ural,river,prevailed,mid,th,century,border,moved,perforce,black,sea,caspian,sea,ural,river,projects,border,black,sea,caspian,usually,placed,crest,caucasus,mountains,placed,north",0.00,asia
"the border between asia and the region of oceania is usually placed somewhere in the malay archipelago the maluku islands in indonesia are often considered to lie on the border of southeast asia with new guinea to the east of the islands being wholly part of oceania the terms southeast asia and oceania devised in the th century have had several vastly different geographic meanings since their inception the chief factor in determining which islands of the malay archipelago are asian has been the location of the colonial possessions of the various empires there  lewis and wigen assert the narrowing of southeast asia to its present boundaries was thus a gradual process
",border asia region oceania usually placed malay archipelago maluku islands indonesia considered lie border southeast asia new guinea east islands wholly oceania terms southeast asia oceania devised th century vastly different geographic meanings inception chief factor determining islands malay archipelago asian location colonial possessions empires lewis wigen assert narrowing southeast asia present boundaries gradual process,8.44,"border,asia,region,oceania,usually,placed,malay,archipelago,maluku,islands,indonesia,considered,lie,border,southeast,asia,new,guinea,east,islands,wholly,oceania,terms,southeast,asia,oceania,devised,th,century,vastly,different,geographic,meanings,inception,chief,factor,determining,islands,malay,archipelago,asian,location,colonial,possessions,empires,lewis,wigen,assert,narrowing,southeast,asia,present,boundaries,gradual,process",0.00,asia
"the bering strait and bering sea separate the landmasses of asia and north america as well as forming the international boundary between russia and the united states this national and continental boundary separates the diomede islands in the bering strait with big diomede in russia and little diomede in the united states the aleutian islands are an island chain extending westward from the alaskan peninsula toward russias komandorski islands and kamchatka peninsula most of them are always associated with north america except for the westernmost near islands group which is on asias continental shelf beyond the north aleutians basin and on rare occasions could be associated with asia which could then allow the yous state of alaska as well as the united states itself to be considered a transcontinental state the aleutian islands are sometimes associated with oceania owing to their status as remote pacific islands and their proximity to the pacific plate this is extremely rare however due to their non tropical biogeography as well as their inhabitants who have historically been related to indigenous americans
",bering strait bering sea separate landmasses asia north america forming international boundary russia united states national continental boundary separates diomede islands bering strait big diomede russia little diomede united states aleutian islands island chain extending westward alaskan peninsula russias komandorski islands kamchatka peninsula associated north america westernmost near islands group asias continental shelf north aleutians basin rare occasions associated asia allow yous state alaska united states considered transcontinental state aleutian islands associated oceania owing status remote pacific islands proximity pacific plate extremely rare non tropical biogeography inhabitants historically related indigenous americans,7.66,"bering,strait,bering,sea,separate,landmasses,asia,north,america,forming,international,boundary,russia,united,states,national,continental,boundary,separates,diomede,islands,bering,strait,big,diomede,russia,little,diomede,united,states,aleutian,islands,island,chain,extending,westward,alaskan,peninsula,russias,komandorski,islands,kamchatka,peninsula,associated,north,america,westernmost,near,islands,group,asias,continental,shelf,north,aleutians,basin,rare,occasions,associated,asia,allow,yous,state,alaska,united,states,considered,transcontinental,state,aleutian,islands,associated,oceania,owing,status,remote,pacific,islands,proximity,pacific,plate,extremely,rare,non,tropical,biogeography,inhabitants,historically,related,indigenous,americans",0.00,asia
