Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the asian elephant  also known as the asiatic elephant is the only living species of the genus elephas and is distributed throughout the indian subcontinent and southeast asia from india in the west nepal in the north sumatra in the south and to borneo in the east three subspecies are recognisede m maximus from sri lanka e m indicus from mainland asia and e m sumatranus from the island of sumatra formerly there was also the syrian elephant or western asiatic elephant  which was the westernmost population of the asian elephant  this subspecies became extinct in ancient times skeletal remains of e m asurus have been recorded from the middle east iran iraq syria and turkey from periods dating between at least  because and likely  because it is one of only three living species of elephants or elephantids anywhere in the world the others being the african bush elephant and african forest elephant it is the second largest species of elephant after the african bush elephant
",asian elephant known asiatic elephant living species genus elephas distributed indian subcontinent southeast asia india west nepal north sumatra south borneo east subspecies recognisede maximus sri lanka e indicus mainland asia e sumatranus island sumatra syrian elephant western asiatic elephant westernmost population asian elephant subspecies extinct ancient times skeletal remains e asurus recorded middle east iran iraq syria turkey periods dating likely living species elephants elephantids world african bush elephant african forest elephant second largest species elephant african bush elephant,8.76,"asian,elephant,known,asiatic,elephant,living,species,genus,elephas,distributed,indian,subcontinent,southeast,asia,india,west,nepal,north,sumatra,south,borneo,east,subspecies,recognisede,maximus,sri,lanka,e,indicus,mainland,asia,e,sumatranus,island,sumatra,syrian,elephant,western,asiatic,elephant,westernmost,population,asian,elephant,subspecies,extinct,ancient,times,skeletal,remains,e,asurus,recorded,middle,east,iran,iraq,syria,turkey,periods,dating,likely,living,species,elephants,elephantids,world,african,bush,elephant,african,forest,elephant,second,largest,species,elephant,african,bush,elephant",0.00,elephant
"the asian elephant is the largest living land animal in asia since  the asian elephant has been listed as endangered on the iucn red list as the population has declined by at least  percent over the last three elephant generations which is about  years it is primarily threatened by loss of habitat habitat degradation fragmentation and poaching in  the wild population was estimated at  individuals  female captive elephants have lived beyond  years when kept in semi natural surroundings such as forest camps in zoos asian elephants die at a much younger age captive populations are declining due to a low birth and high death rate
",asian elephant largest living land animal asia asian elephant listed endangered iucn red list population declined percent elephant generations years primarily threatened loss habitat habitat degradation fragmentation poaching wild population estimated individuals female captive elephants lived years kept semi natural surroundings forest camps zoos asian elephants die younger age captive populations declining low birth high death rate,7.57,"asian,elephant,largest,living,land,animal,asia,asian,elephant,listed,endangered,iucn,red,list,population,declined,percent,elephant,generations,years,primarily,threatened,loss,habitat,habitat,degradation,fragmentation,poaching,wild,population,estimated,individuals,female,captive,elephants,lived,years,kept,semi,natural,surroundings,forest,camps,zoos,asian,elephants,die,younger,age,captive,populations,declining,low,birth,high,death,rate",0.00,elephant
"carl linnaeus proposed the scientific name elephas maximus in  for an elephant from ceylon elephas indicus was proposed by georges cuvier in  who described an elephant from india coenraad jacob temminck named an elephant from sumatra elephas sumatranus in  frederick nutter chasen classified all three as subspecies of the asian elephant in  these three subspecies are currently recognised as valid taxa results of phylogeographic and morphological analyses indicate that the sri lankan and indian elephants are not distinct enough to warrant classification as separate subspecies
",carl linnaeus proposed scientific elephas maximus elephant ceylon elephas indicus proposed georges cuvier described elephant india coenraad jacob temminck named elephant sumatra elephas sumatranus frederick nutter chasen classified subspecies asian elephant subspecies currently recognised valid taxa results phylogeographic morphological analyses indicate sri lankan indian elephants distinct warrant classification separate subspecies,6.02,"carl,linnaeus,proposed,scientific,elephas,maximus,elephant,ceylon,elephas,indicus,proposed,georges,cuvier,described,elephant,india,coenraad,jacob,temminck,named,elephant,sumatra,elephas,sumatranus,frederick,nutter,chasen,classified,subspecies,asian,elephant,subspecies,currently,recognised,valid,taxa,results,phylogeographic,morphological,analyses,indicate,sri,lankan,indian,elephants,distinct,warrant,classification,separate,subspecies",0.00,elephant
"elephas maximus borneensis was proposed by paules edward pieris deraniyagala in  who described an elephant in an illustration published in the national geographic magazine but not a living elephant in accordance with the rules of the international code of zoological nomenclature the asian elephants living in northern borneo are smaller than all the other subspecies but with larger ears a longer tail and straight tusks results of genetic analysis indicate that their ancestors separated from the mainland population about  years ago
",elephas maximus borneensis proposed paules edward pieris deraniyagala described elephant illustration published national geographic magazine living elephant accordance rules international code zoological nomenclature asian elephants living northern borneo smaller subspecies larger ears longer tail straight tusks results genetic analysis indicate ancestors separated mainland population years ago,6.53,"elephas,maximus,borneensis,proposed,paules,edward,pieris,deraniyagala,described,elephant,illustration,published,national,geographic,magazine,living,elephant,accordance,rules,international,code,zoological,nomenclature,asian,elephants,living,northern,borneo,smaller,subspecies,larger,ears,longer,tail,straight,tusks,results,genetic,analysis,indicate,ancestors,separated,mainland,population,years,ago",0.00,elephant
"the following asian elephants were proposed as extinct subspecies but are now considered synonymous with the indian elephant
",following asian elephants proposed extinct subspecies considered synonymous indian elephant,6.40,"following,asian,elephants,proposed,extinct,subspecies,considered,synonymous,indian,elephant",0.00,elephant
"the asian elephant is the closest living relative of the extinct mammoths the last common ancestor of the two is estimated to have lived between  to  million years ago
",asian elephant closest living relative extinct mammoths common ancestor estimated lived million years ago,8.93,"asian,elephant,closest,living,relative,extinct,mammoths,common,ancestor,estimated,lived,million,years,ago",0.00,elephant
"in general the asian elephant is smaller than the african bush elephant and has the highest body point on the head the back is convex or level the ears are small with dorsal borders folded laterally it has up to  pairs of ribs and  caudal vertebrae the feet have more nail like structures than those of african elephantsfive on each forefoot and four on each hind foot the forehead has two hemispherical bulges unlike the flat front of the african elephants
",general asian elephant smaller african bush elephant highest body point head convex level ears small dorsal borders folded laterally pairs ribs caudal vertebrae feet nail like structures african elephantsfive forefoot hind foot forehead hemispherical bulges unlike flat african elephants,9.17,"general,asian,elephant,smaller,african,bush,elephant,highest,body,point,head,convex,level,ears,small,dorsal,borders,folded,laterally,pairs,ribs,caudal,vertebrae,feet,nail,like,structures,african,elephantsfive,forefoot,hind,foot,forehead,hemispherical,bulges,unlike,flat,african,elephants",0.00,elephant
"on average when fully grown bulls are about  m  tall at the shoulder and  t  in weight while cows are smaller at about  m  at the shoulder and  t  in weight sexual dimorphism in body size is relatively less pronounced in asian elephants than in african bush elephants with bulls averaging  and  taller in the former and latter respectively length of body and head including trunk is  m  with the tail being  m  long the largest bull elephant ever recorded was shot by the maharajah of susang in the garo hills of assam india in  it weighed an estimated  t  stood  m  tall at the shoulder and was  m  long from head to tail there are reports of larger individuals as tall as  m 
",average fully grown bulls tall shoulder weight cows smaller shoulder weight sexual dimorphism body size relatively pronounced asian elephants african bush elephants bulls averaging taller respectively length body head including trunk tail long largest bull elephant recorded shot maharajah susang garo hills assam india weighed estimated stood tall shoulder long head tail reports larger individuals tall,10.03,"average,fully,grown,bulls,tall,shoulder,weight,cows,smaller,shoulder,weight,sexual,dimorphism,body,size,relatively,pronounced,asian,elephants,african,bush,elephants,bulls,averaging,taller,respectively,length,body,head,including,trunk,tail,long,largest,bull,elephant,recorded,shot,maharajah,susang,garo,hills,assam,india,weighed,estimated,stood,tall,shoulder,long,head,tail,reports,larger,individuals,tall",0.00,elephant
"cows usually lack tusks if tusksin that case called tushesare present they are barely visible and only seen when the mouth is opencitation needed the enamel plates of the molars are greater in number and closer together in asian elephants some bulls may also lack tusks these individuals are called filsy makhnas and are especially common among the sri lankan elephant population
",cows usually lack tusks tusksin case called tushesare present barely visible seen mouth opencitation needed enamel plates molars greater number closer asian elephants bulls lack tusks individuals called filsy makhnas especially common sri lankan elephant population,6.84,"cows,usually,lack,tusks,tusksin,case,called,tushesare,present,barely,visible,seen,mouth,opencitation,needed,enamel,plates,molars,greater,number,closer,asian,elephants,bulls,lack,tusks,individuals,called,filsy,makhnas,especially,common,sri,lankan,elephant,population",0.00,elephant
"a record tusk described by george p sanderson measured  ft  along the curve with a girth of  in  at the point of emergence from the jaw the weight being  lb  this was from an elephant killed by sir brooke and measured  ft  in length and nearly  in  in circumference and weighed  lb  the tusks weight was however exceeded by the weight of a shorter tusk of about  ft  in length which weighed  lb 
",record tusk described george p sanderson measured ft curve girth point emergence jaw weight lb elephant killed sir brooke measured ft length nearly circumference weighed lb tusks weight exceeded weight shorter tusk ft length weighed lb,9.34,"record,tusk,described,george,p,sanderson,measured,ft,curve,girth,point,emergence,jaw,weight,lb,elephant,killed,sir,brooke,measured,ft,length,nearly,circumference,weighed,lb,tusks,weight,exceeded,weight,shorter,tusk,ft,length,weighed,lb",0.00,elephant
