Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"assam  is a state in northeastern india south of the eastern himalayas along the brahmaputra and barak river valleys assam covers an area of  km  the state is bordered by bhutan and arunachal pradesh to the north nagaland and manipur to the east meghalaya tripura mizoram and bangladesh to the south and west bengal to the west via the siliguri corridor a  kilometres  wide strip of land that connects the state to the rest of india assamese and boro are the official languages of assam while bengali is an additional official language in the barak valley
",assam state northeastern india south eastern himalayas brahmaputra barak river valleys assam covers area km state bordered bhutan arunachal pradesh north nagaland manipur east meghalaya tripura mizoram bangladesh south west bengal west siliguri corridor kilometres wide strip land connects state rest india assamese boro official languages assam bengali additional official language barak valley,7.73,"assam,state,northeastern,india,south,eastern,himalayas,brahmaputra,barak,river,valleys,assam,covers,area,km,state,bordered,bhutan,arunachal,pradesh,north,nagaland,manipur,east,meghalaya,tripura,mizoram,bangladesh,south,west,bengal,west,siliguri,corridor,kilometres,wide,strip,land,connects,state,rest,india,assamese,boro,official,languages,assam,bengali,additional,official,language,barak,valley",0.00,assam
"assam is known for assam tea and assam silk the state was the first site for oil drilling in asia assam is home to the one horned indian rhinoceros along with the wild water buffalo pygmy hog tiger and various species of asiatic birds and provides one of the last wild habitats for the asian elephant the assamese economy is aided by wildlife tourism to kaziranga national park and manas national park which are world heritage sites dibru saikhowa national park is famed for its feral horses sal tree forests are found in the state which as a result of abundant rainfall look green all year round assam receives more rainfall than most parts of india this rain feeds the brahmaputra river whose tributaries and oxbow lakes provide the region with a distinctive hydro geomorphic environment
",assam known assam tea assam silk state site oil drilling asia assam home horned indian rhinoceros wild water buffalo pygmy hog tiger species asiatic birds provides wild habitats asian elephant assamese economy aided wildlife tourism kaziranga national park manas national park world heritage sites dibru saikhowa national park famed feral horses sal tree forests found state result abundant rainfall look green year round assam receives rainfall parts india rain feeds brahmaputra river tributaries oxbow lakes provide region distinctive hydro geomorphic environment,6.96,"assam,known,assam,tea,assam,silk,state,site,oil,drilling,asia,assam,home,horned,indian,rhinoceros,wild,water,buffalo,pygmy,hog,tiger,species,asiatic,birds,provides,wild,habitats,asian,elephant,assamese,economy,aided,wildlife,tourism,kaziranga,national,park,manas,national,park,world,heritage,sites,dibru,saikhowa,national,park,famed,feral,horses,sal,tree,forests,found,state,result,abundant,rainfall,look,green,year,round,assam,receives,rainfall,parts,india,rain,feeds,brahmaputra,river,tributaries,oxbow,lakes,provide,region,distinctive,hydro,geomorphic,environment",0.00,assam
"the first dated mention of the region comes from periplus of the erythraean sea  and ptolemys geographia  which calls the region kirrhadia apparently after the kirata population in the classical period and up to the th century the region east of the karatoya river largely congruent to present day assam was called kamarupa and alternatively pragjyotisha though a western portion of assam as a region continued to be called kamrup the ahom kingdom that emerged in the east and which came to dominate the entire brahmaputra valley was called assam  and the british province too was called assam  though the precise etymology of assam is not clear the name assam is associated with the ahom people originally called shyam 
",dated mention region comes periplus erythraean sea ptolemys geographia calls region kirrhadia apparently kirata population classical period th century region east karatoya river largely congruent present day assam called kamarupa alternatively pragjyotisha western portion assam region continued called kamrup ahom kingdom emerged east came dominate entire brahmaputra valley called assam british province called assam precise etymology assam clear assam associated ahom people originally called shyam,7.49,"dated,mention,region,comes,periplus,erythraean,sea,ptolemys,geographia,calls,region,kirrhadia,apparently,kirata,population,classical,period,th,century,region,east,karatoya,river,largely,congruent,present,day,assam,called,kamarupa,alternatively,pragjyotisha,western,portion,assam,region,continued,called,kamrup,ahom,kingdom,emerged,east,came,dominate,entire,brahmaputra,valley,called,assam,british,province,called,assam,precise,etymology,assam,clear,assam,associated,ahom,people,originally,called,shyam",0.00,assam
"assam and adjoining regions have evidences of human settlement from the beginning of the stone age the hills at the height of  to  feet  were popular habitats probably due to availability of exposed dolerite basalt useful for tool making
ambari site in guwahati has revealed shunga kushana era artefacts including flight of stairs and a water tank which may date from st century bce and may be  years old experts speculate that another significant find at ambari is roman era roman roulette pottery from the nd century bce
",assam adjoining regions evidences human settlement beginning stone age hills height feet popular habitats probably availability exposed dolerite basalt useful tool makingambari site guwahati revealed shunga kushana era artefacts including flight stairs water tank date st century bce years old experts speculate significant find ambari roman era roman roulette pottery nd century bce,6.50,"assam,adjoining,regions,evidences,human,settlement,beginning,stone,age,hills,height,feet,popular,habitats,probably,availability,exposed,dolerite,basalt,useful,tool,makingambari,site,guwahati,revealed,shunga,kushana,era,artefacts,including,flight,stairs,water,tank,date,st,century,bce,years,old,experts,speculate,significant,find,ambari,roman,era,roman,roulette,pottery,nd,century,bce",0.00,assam
"according to a late text kalika purana  the earliest ruler of assam was mahiranga danav of the danava dynasty which was removed by naraka of mithila and established the bhauma dynasty the last of these rulers also naraka was slain by krishna  narakas son bhagadatta became the king who  fought for the kauravas in the battle of kurukshetra with an army of kiratas chinas and dwellers of the eastern coast at the same time towards the east in central assam asura kingdom was ruled by another line of kings
",according late text kalika purana earliest ruler assam mahiranga danav danava dynasty removed naraka mithila established bhauma dynasty rulers naraka slain krishna narakas son bhagadatta king fought kauravas battle kurukshetra army kiratas chinas dwellers eastern coast time east central assam asura kingdom ruled line kings,8.71,"according,late,text,kalika,purana,earliest,ruler,assam,mahiranga,danav,danava,dynasty,removed,naraka,mithila,established,bhauma,dynasty,rulers,naraka,slain,krishna,narakas,son,bhagadatta,king,fought,kauravas,battle,kurukshetra,army,kiratas,chinas,dwellers,eastern,coast,time,east,central,assam,asura,kingdom,ruled,line,kings",0.00,assam
"evidence indicates presence of civilization in assam around nd century bce a rock cut stupa at sri surya pahar has been dated to  bce contemporary with rock cut karle and bhaja caves of maharashtra samudraguptas th century ce allahabad pillar inscription mentions kamarupa and davaka  as frontier kingdoms of the gupta empire davaka was later absorbed by kamarupa which grew into a large kingdom that spanned from karatoya river to near present sadiya and covered the entire brahmaputra valley north bengal parts of bangladesh and at times purnea and parts of west bengal the kingdom was ruled by three dynasties who traced their lineage from a mleccha or kirata naraka the varmanas  the mlechchha dynasty  and the kamarupa palas  from their capitals in present day guwahati  tezpur  and north gauhati  respectively all three dynasties claimed descent from narakasura in the reign of the varman king bhaskaravarman  the chinese traveller xuanzang visited the region and recorded his travels later after weakening and disintegration  the kamarupa tradition was extended to c  ce by the lunar i  and lunar ii  dynasties
",evidence indicates presence civilization assam nd century bce rock cut stupa sri surya pahar dated bce contemporary rock cut karle bhaja caves maharashtra samudraguptas th century ce allahabad pillar inscription mentions kamarupa davaka frontier kingdoms gupta empire davaka later absorbed kamarupa grew large kingdom spanned karatoya river near present sadiya covered entire brahmaputra valley north bengal parts bangladesh times purnea parts west bengal kingdom ruled dynasties traced lineage mleccha kirata naraka varmanas mlechchha dynasty kamarupa palas capitals present day guwahati tezpur north gauhati respectively dynasties claimed descent narakasura reign varman king bhaskaravarman chinese traveller xuanzang visited region recorded travels later weakening disintegration kamarupa tradition extended c ce lunar lunar ii dynasties,5.99,"evidence,indicates,presence,civilization,assam,nd,century,bce,rock,cut,stupa,sri,surya,pahar,dated,bce,contemporary,rock,cut,karle,bhaja,caves,maharashtra,samudraguptas,th,century,ce,allahabad,pillar,inscription,mentions,kamarupa,davaka,frontier,kingdoms,gupta,empire,davaka,later,absorbed,kamarupa,grew,large,kingdom,spanned,karatoya,river,near,present,sadiya,covered,entire,brahmaputra,valley,north,bengal,parts,bangladesh,times,purnea,parts,west,bengal,kingdom,ruled,dynasties,traced,lineage,mleccha,kirata,naraka,varmanas,mlechchha,dynasty,kamarupa,palas,capitals,present,day,guwahati,tezpur,north,gauhati,respectively,dynasties,claimed,descent,narakasura,reign,varman,king,bhaskaravarman,chinese,traveller,xuanzang,visited,region,recorded,travels,later,weakening,disintegration,kamarupa,tradition,extended,c,ce,lunar,lunar,ii,dynasties",0.00,assam
"the medieval assam history may have started with the advent of ahoms in the early part of the th century and covers their entire rule of  years till  the medieval history of assam is especially known for its conflict with muslim powers under turko afghan and mughals finally resulting in assamese victory however this military glory was shattered in the early th century when it failed to resist the burmese invasions which led to its annexation
",medieval assam history started advent ahoms early th century covers entire rule years till medieval history assam especially known conflict muslim powers turko afghan mughals finally resulting assamese victory military glory shattered early th century failed resist burmese invasions led annexation,7.85,"medieval,assam,history,started,advent,ahoms,early,th,century,covers,entire,rule,years,till,medieval,history,assam,especially,known,conflict,muslim,powers,turko,afghan,mughals,finally,resulting,assamese,victory,military,glory,shattered,early,th,century,failed,resist,burmese,invasions,led,annexation",0.00,assam
"chutia a bodo kachari group by origin held the regions on both the banks of brahmaputra with its domain in the area eastwards from vishwanath  and buridihing  in upper assam and in the state of arunachal pradesh it was  annexed by the ahoms in the year  the rivalry between the chutias and ahoms for the supremacy of eastern assam led to a series of conflicts between them from the early th century
",chutia bodo kachari group origin held regions banks brahmaputra domain area eastwards vishwanath buridihing upper assam state arunachal pradesh annexed ahoms year rivalry chutias ahoms supremacy eastern assam led series conflicts early th century,9.52,"chutia,bodo,kachari,group,origin,held,regions,banks,brahmaputra,domain,area,eastwards,vishwanath,buridihing,upper,assam,state,arunachal,pradesh,annexed,ahoms,year,rivalry,chutias,ahoms,supremacy,eastern,assam,led,series,conflicts,early,th,century",0.00,assam
"the dimasa another bodo kachari dynasty  ruled from dikhow river to central and southern assam and had their capital at dimapur with the expansion of ahom kingdom by the early th century the chutia areas were annexed and since c  the kacharis remained only in cachar and north cachar and more as an ahom ally than a competing force
",dimasa bodo kachari dynasty ruled dikhow river central southern assam capital dimapur expansion ahom kingdom early th century chutia areas annexed c kacharis remained cachar north cachar ahom ally competing force,8.43,"dimasa,bodo,kachari,dynasty,ruled,dikhow,river,central,southern,assam,capital,dimapur,expansion,ahom,kingdom,early,th,century,chutia,areas,annexed,c,kacharis,remained,cachar,north,cachar,ahom,ally,competing,force",0.00,assam
"the ahoms a tai group ruled upper assam in  the ahoms came to the brahmaputra valley under the leadership of sukapha accompanied with  men from mong mao  a tai state situated in south western yunnan of china and established his kingdom upper assam in  he founded the capital city in a hillock and named it charaideo at that time of sukapha advent the area was inhabited by morans and barahis to the north and the north east was the chutia kingdom and on the south was the  kachari kingdom and on the west on the plains were the bhuyans
",ahoms tai group ruled upper assam ahoms came brahmaputra valley leadership sukapha accompanied men mong mao tai state situated south western yunnan china established kingdom upper assam founded capital city hillock named charaideo time sukapha advent area inhabited morans barahis north north east chutia kingdom south kachari kingdom west plains bhuyans,8.96,"ahoms,tai,group,ruled,upper,assam,ahoms,came,brahmaputra,valley,leadership,sukapha,accompanied,men,mong,mao,tai,state,situated,south,western,yunnan,china,established,kingdom,upper,assam,founded,capital,city,hillock,named,charaideo,time,sukapha,advent,area,inhabited,morans,barahis,north,north,east,chutia,kingdom,south,kachari,kingdom,west,plains,bhuyans",0.00,assam
