Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"athens  ancient greek  romanized athnai  atnai is a major coastal city in the mediterranean and is both the capital and largest city of greece with a population close to four million it is also the seventh largest city in the european union athens dominates and is the capital of the attica region and is one of the worlds oldest cities with its recorded history spanning over  years and its earliest human presence beginning somewhere between the th and th millennia because
",athens ancient greek romanizedathnai atnai major coastal city mediterranean capital largest city greece population close million seventh largest city european union athens dominates capital attica region worlds oldest cities recorded history spanning years earliest human presence beginning th th millennia,8.40,"athens,ancient,greek,romanizedathnai,atnai,major,coastal,city,mediterranean,capital,largest,city,greece,population,close,million,seventh,largest,city,european,union,athens,dominates,capital,attica,region,worlds,oldest,cities,recorded,history,spanning,years,earliest,human,presence,beginning,th,th,millennia",0.00,athens
"classical athens was a powerful city state it was a centre for the arts learning and philosophy and the home of platos academy and aristotles lyceum it is widely referred to as the cradle of western civilization and the birthplace of democracy largely because of its cultural and political influence on the european continentparticularly ancient rome in modern times athens is a large cosmopolitan metropolis and central to economic financial industrial maritime political and cultural life in greece in  athens urban area hosted more than three and a half million people which is around  of the entire population of greececitation needed
",classical athens powerful city state centre arts learning philosophy home platos academy aristotles lyceum widely referred cradle western civilization birthplace democracy largely cultural political influence european continentparticularly ancient rome modern times athens large cosmopolitan metropolis central economic financial industrial maritime political cultural life greece athens urban area hosted half million people entire population greececitation needed,7.20,"classical,athens,powerful,city,state,centre,arts,learning,philosophy,home,platos,academy,aristotles,lyceum,widely,referred,cradle,western,civilization,birthplace,democracy,largely,cultural,political,influence,european,continentparticularly,ancient,rome,modern,times,athens,large,cosmopolitan,metropolis,central,economic,financial,industrial,maritime,political,cultural,life,greece,athens,urban,area,hosted,half,million,people,entire,population,greececitation,needed",0.00,athens
"athens is a beta status global city according to the globalization and world cities research network and is one of the biggest economic centers in southeastern europe it also has a large financial sector and its port piraeus is both the largest passenger port in europe and the third largest in the world
",athens beta status global city according globalization world cities research network biggest economic centers southeastern europe large financial sector port piraeus largest passenger port europe largest world,8.52,"athens,beta,status,global,city,according,globalization,world,cities,research,network,biggest,economic,centers,southeastern,europe,large,financial,sector,port,piraeus,largest,passenger,port,europe,largest,world",0.00,athens
"the municipality of athens  which actually constitutes a small administrative unit of the entire city had a population of   within its official limits and a land area of  km  the athens metropolitan area or greater athens extends beyond its administrative municipal city limits with a population of   over an area of  km  athens is also the southernmost capital on the european mainland and the warmest major city in continental europe with an average annual temperature of up to  c  locally
",municipality athens actually constitutes small administrative unit entire city population official limits land area km athens metropolitan area greater athens extends administrative municipal city limits population area km athens southernmost capital european mainland warmest major city continental europe average annual temperature c locally,7.52,"municipality,athens,actually,constitutes,small,administrative,unit,entire,city,population,official,limits,land,area,km,athens,metropolitan,area,greater,athens,extends,administrative,municipal,city,limits,population,area,km,athens,southernmost,capital,european,mainland,warmest,major,city,continental,europe,average,annual,temperature,c,locally",0.00,athens
"the heritage of the classical era is still evident in the city represented by ancient monuments and works of art the most famous of all being the parthenon considered a key landmark of early western civilization the city also retains roman byzantine and a smaller number of ottoman monuments while its historical urban core features elements of continuity through its millennia of history athens is home to two unesco world heritage sites the acropolis of athens and the medieval daphni monastery landmarks of the modern era dating back to the establishment of athens as the capital of the independent greek state in  include the hellenic parliament and the so called architectural trilogy of athens consisting of the national library of greece the national and kapodistrian university of athens and the academy of athens athens is also home to several museums and cultural institutions such as the national archeological museum featuring the worlds largest collection of ancient greek antiquities the acropolis museum the museum of cycladic art the benaki museum and the byzantine and christian museum athens was the host city of the first modern day olympic games in  and  years later it hosted the  summer olympics making it one of the few cities to have hosted the olympics more than once athens joined the unesco global network of learning cities in 
",heritage classical era evident city represented ancient monuments works art famous parthenon considered key landmark early western civilization city retains roman byzantine smaller number ottoman monuments historical urban core features elements continuity millennia history athens home unesco world heritage sites acropolis athens medieval daphni monastery landmarks modern era dating establishment athens capital independent greek state include hellenic parliament called architectural trilogy athens consisting national library greece national kapodistrian university athens academy athens athens home museums cultural institutions national archeological museum featuring worlds largest collection ancient greek antiquities acropolis museum museum cycladic art benaki museum byzantine christian museum athens host city modern day olympic games years later hosted summer olympics making cities hosted olympics athens joined unesco global network learning cities,7.45,"heritage,classical,era,evident,city,represented,ancient,monuments,works,art,famous,parthenon,considered,key,landmark,early,western,civilization,city,retains,roman,byzantine,smaller,number,ottoman,monuments,historical,urban,core,features,elements,continuity,millennia,history,athens,home,unesco,world,heritage,sites,acropolis,athens,medieval,daphni,monastery,landmarks,modern,era,dating,establishment,athens,capital,independent,greek,state,include,hellenic,parliament,called,architectural,trilogy,athens,consisting,national,library,greece,national,kapodistrian,university,athens,academy,athens,athens,home,museums,cultural,institutions,national,archeological,museum,featuring,worlds,largest,collection,ancient,greek,antiquities,acropolis,museum,museum,cycladic,art,benaki,museum,byzantine,christian,museum,athens,host,city,modern,day,olympic,games,years,later,hosted,summer,olympics,making,cities,hosted,olympics,athens,joined,unesco,global,network,learning,cities",0.00,athens
"in ancient greek the name of the city was   a plural in earlier greek such as homeric greek the name had been current in the singular form though as   it was possibly rendered in the plural later on like those of   and   the root of the word is probably not of greek or indo european origin and is possibly a remnant of the pre greek substrate of attica in antiquity it was debated whether athens took its name from its patron goddess athena  or athena took her name from the city modern scholars now generally agree that the goddess takes her name from the city because the ending  ene is common in names of locations but rare for personal names
",ancient greek city plural earlier greek homeric greek current singular form possibly rendered plural later like root word probably greek indo european origin possibly remnant pre greek substrate attica antiquity debated athens took patron goddess athena athena took city modern scholars generally agree goddess takes city ending ene common names locations rare personal names,10.20,"ancient,greek,city,plural,earlier,greek,homeric,greek,current,singular,form,possibly,rendered,plural,later,like,root,word,probably,greek,indo,european,origin,possibly,remnant,pre,greek,substrate,attica,antiquity,debated,athens,took,patron,goddess,athena,athena,took,city,modern,scholars,generally,agree,goddess,takes,city,ending,ene,common,names,locations,rare,personal,names",0.00,athens
"according to the ancient athenian founding myth athena the goddess of wisdom and war competed against poseidon the god of the seas for patronage of the yet unnamed city they agreed that whoever gave the athenians the better gift would become their patron and appointed cecrops the king of athens as the judge according to the account given by pseudo apollodorus poseidon struck the ground with his trident and a salt water spring welled up in an alternative version of the myth from vergils poem georgics poseidon instead gave the athenians the first horse in both versions athena offered the athenians the first domesticated olive tree cecrops accepted this gift and declared athena the patron goddess of athens eight different etymologies now commonly rejected have been proposed since the th century christian lobeck proposed as the root of the name the word   or   meaning flower to denote athens as the flowering city ludwig von dderlein proposed the stem of the verb  stem    to denote athens as having fertile soil athenians were called cicada wearers  because they used to wear pins of golden cicadas a symbol of being autochthonous  because the legendary founder of athens erechtheus was an autochthon or of being musicians because the cicada is a musician insect in classical literature the city was sometimes referred to as the city of the violet crown first documented in pindars    or as    
",according ancient athenian founding myth athena goddess wisdom war competed poseidon god seas patronage unnamed city agreed gave athenians better gift patron appointed cecrops king athens judge according account given pseudo apollodorus poseidon struck ground trident salt water spring welled alternative version myth vergils poem georgics poseidon instead gave athenians horse versions athena offered athenians domesticated olive tree cecrops accepted gift declared athena patron goddess athens different etymologies commonly rejected proposed th century christian lobeck proposed root word meaning flower denote athens flowering city ludwig von dderlein proposed stem verb stem denote athens fertile soil athenians called cicada wearers wear pins golden cicadas symbol autochthonous legendary founder athens erechtheus autochthon musicians cicada musician insect classical literature city referred city violet crown documented pindars,7.69,"according,ancient,athenian,founding,myth,athena,goddess,wisdom,war,competed,poseidon,god,seas,patronage,unnamed,city,agreed,gave,athenians,better,gift,patron,appointed,cecrops,king,athens,judge,according,account,given,pseudo,apollodorus,poseidon,struck,ground,trident,salt,water,spring,welled,alternative,version,myth,vergils,poem,georgics,poseidon,instead,gave,athenians,horse,versions,athena,offered,athenians,domesticated,olive,tree,cecrops,accepted,gift,declared,athena,patron,goddess,athens,different,etymologies,commonly,rejected,proposed,th,century,christian,lobeck,proposed,root,word,meaning,flower,denote,athens,flowering,city,ludwig,von,dderlein,proposed,stem,verb,stem,denote,athens,fertile,soil,athenians,called,cicada,wearers,wear,pins,golden,cicadas,symbol,autochthonous,legendary,founder,athens,erechtheus,autochthon,musicians,cicada,musician,insect,classical,literature,city,referred,city,violet,crown,documented,pindars",0.00,athens
"the oldest known human presence in athens is the cave of schist which has been dated to between the th and th millennia because athens has been continuously inhabited for at least  years  by  because the settlement had become an important centre of the mycenaean civilization and the acropolis was the site of a major mycenaean fortress whose remains can be recognised from sections of the characteristic cyclopean walls unlike other mycenaean centers such as mycenae and pylos it is not known whether athens suffered destruction in about  because an event often attributed to a dorian invasion and the athenians always maintained that they were pure ionians with no dorian element however athens like many other bronze age settlements went into economic decline for around  years afterwardscitation needed
",oldest known human presence athens cave schist dated th th millennia athens continuously inhabited years settlement important centre mycenaean civilization acropolis site major mycenaean fortress remains recognised sections characteristic cyclopean walls unlike mycenaean centers mycenae pylos known athens suffered destruction event attributed dorian invasion athenians maintained pure ionians dorian element athens like bronze age settlements went economic decline years afterwardscitation needed,8.30,"oldest,known,human,presence,athens,cave,schist,dated,th,th,millennia,athens,continuously,inhabited,years,settlement,important,centre,mycenaean,civilization,acropolis,site,major,mycenaean,fortress,remains,recognised,sections,characteristic,cyclopean,walls,unlike,mycenaean,centers,mycenae,pylos,known,athens,suffered,destruction,event,attributed,dorian,invasion,athenians,maintained,pure,ionians,dorian,element,athens,like,bronze,age,settlements,went,economic,decline,years,afterwardscitation,needed",0.00,athens
"iron age burials in the kerameikos and other locations are often richly provided for and demonstrate that from  because onwards athens was one of the leading centres of trade and prosperity in the region the leading position of athens may well have resulted from its central location in the greek world its secure stronghold on the acropolis and its access to the sea which gave it a natural advantage over inland rivals such as thebes and spartacitation needed
",iron age burials kerameikos locations richly provided demonstrate onwards athens leading centres trade prosperity region leading position athens resulted central location greek world secure stronghold acropolis access sea gave natural advantage inland rivals thebes spartacitation needed,9.09,"iron,age,burials,kerameikos,locations,richly,provided,demonstrate,onwards,athens,leading,centres,trade,prosperity,region,leading,position,athens,resulted,central,location,greek,world,secure,stronghold,acropolis,access,sea,gave,natural,advantage,inland,rivals,thebes,spartacitation,needed",0.00,athens
"by the sixth century because widespread social unrest led to the reforms of solon these would pave the way for the eventual introduction of democracy by cleisthenes in  because athens had by this time become a significant naval power with a large fleet and helped the rebellion of the ionian cities against persian rule in the ensuing greco persian wars athens together with sparta led the coalition of greek states that would eventually repel the persians defeating them decisively at marathon in  because and crucially at salamis in  because however this did not prevent athens from being captured and sacked twice by the persians within one year after a heroic but ultimately failed resistance at thermopylae by spartans and other greeks led by king leonidas after both boeotia and attica fell to the persians
",sixth century widespread social unrest led reforms solon pave way eventual introduction democracy cleisthenes athens time significant naval power large fleet helped rebellion ionian cities persian rule ensuing greco persian wars athens sparta led coalition greek states eventually repel persians defeating decisively marathon crucially salamis prevent athens captured sacked twice persians year heroic ultimately failed resistance thermopylae spartans greeks led king leonidas boeotia attica fell persians,8.36,"sixth,century,widespread,social,unrest,led,reforms,solon,pave,way,eventual,introduction,democracy,cleisthenes,athens,time,significant,naval,power,large,fleet,helped,rebellion,ionian,cities,persian,rule,ensuing,greco,persian,wars,athens,sparta,led,coalition,greek,states,eventually,repel,persians,defeating,decisively,marathon,crucially,salamis,prevent,athens,captured,sacked,twice,persians,year,heroic,ultimately,failed,resistance,thermopylae,spartans,greeks,led,king,leonidas,boeotia,attica,fell,persians",0.00,athens
