Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"australia officially the commonwealth of australia is a sovereign country comprising the mainland of the australian continent the island of tasmania and numerous smaller islands with an area of  square kilometres  australia is the largest country by area in oceania and the worlds sixth largest country australia is the oldest flattest and driest inhabited continent with the least fertile soils it is a megadiverse country and its size gives it a wide variety of landscapes and climates with deserts in the centre tropical rainforests in the north east and mountain ranges in the south east
",australia officially commonwealth australia sovereign country comprising mainland australian continent island tasmania numerous smaller islands area square kilometres australia largest country area oceania worlds sixth largest country australia oldest flattest driest inhabited continent fertile soils megadiverse country size gives wide variety landscapes climates deserts centre tropical rainforests north east mountain ranges south east,7.09,"australia,officially,commonwealth,australia,sovereign,country,comprising,mainland,australian,continent,island,tasmania,numerous,smaller,islands,area,square,kilometres,australia,largest,country,area,oceania,worlds,sixth,largest,country,australia,oldest,flattest,driest,inhabited,continent,fertile,soils,megadiverse,country,size,gives,wide,variety,landscapes,climates,deserts,centre,tropical,rainforests,north,east,mountain,ranges,south,east",0.00,australia
"the ancestors of aboriginal australians began arriving from south east asia approximately  years ago during the last ice age arriving by sea they settled the continent and had formed approximately  distinct language groups by the time of european settlement maintaining some of the longest known continuing artistic and religious traditions in the world australias written history commenced with the european maritime exploration of australia the dutch navigator willem janszoon was the first known european to reach australia in  in  the british explorer james cook mapped and claimed the east coast of australia for great britain and the first fleet of british ships arrived at sydney in  to establish the penal colony of new south wales the european population grew in subsequent decades and by the end of the s gold rush most of the continent had been explored by european settlers and an additional five self governing british colonies established democratic parliaments were gradually established through the th century culminating with a vote for the federation of the six colonies and foundation of the commonwealth of australia on  january  australia has since maintained a stable liberal democratic political system and wealthy market economy
",ancestors aboriginal australians began arriving south east asia approximately years ago ice age arriving sea settled continent formed approximately distinct language groups time european settlement maintaining longest known continuing artistic religious traditions world australias written history commenced european maritime exploration australia dutch navigator willem janszoon known european reach australia british explorer james cook mapped claimed east coast australia great britain fleet british ships arrived sydney establish penal colony new south wales european population grew subsequent decades end gold rush continent explored european settlers additional self governing british colonies established democratic parliaments gradually established th century culminating vote federation colonies foundation commonwealth australia january australia maintained stable liberal democratic political system wealthy market economy,6.38,"ancestors,aboriginal,australians,began,arriving,south,east,asia,approximately,years,ago,ice,age,arriving,sea,settled,continent,formed,approximately,distinct,language,groups,time,european,settlement,maintaining,longest,known,continuing,artistic,religious,traditions,world,australias,written,history,commenced,european,maritime,exploration,australia,dutch,navigator,willem,janszoon,known,european,reach,australia,british,explorer,james,cook,mapped,claimed,east,coast,australia,great,britain,fleet,british,ships,arrived,sydney,establish,penal,colony,new,south,wales,european,population,grew,subsequent,decades,end,gold,rush,continent,explored,european,settlers,additional,self,governing,british,colonies,established,democratic,parliaments,gradually,established,th,century,culminating,vote,federation,colonies,foundation,commonwealth,australia,january,australia,maintained,stable,liberal,democratic,political,system,wealthy,market,economy",0.00,australia
"politically australia is a federal parliamentary constitutional monarchy comprising six states and ten territories australias population of nearly  million is highly urbanised and heavily concentrated on the eastern seaboard canberra is the nations capital while its most populous city and financial centre is sydney the next four largest cities are melbourne brisbane perth and adelaide australias demography has been shaped by centuries of immigration immigrants account for  of the countrys population and almost half of australians have at least one parent born overseas australias abundant natural resources and well developed international trade relations are crucial to the countrys economy which generates its income from various sources including services mining exports banking manufacturing agriculture and international education
",politically australia federal parliamentary constitutional monarchy comprising states territories australias population nearly million highly urbanised heavily concentrated eastern seaboard canberra nations capital populous city financial centre sydney largest cities melbourne brisbane perth adelaide australias demography shaped centuries immigration immigrants account countrys population half australians parent born overseas australias abundant natural resources developed international trade relations crucial countrys economy generates income sources including services mining exports banking manufacturing agriculture international education,5.46,"politically,australia,federal,parliamentary,constitutional,monarchy,comprising,states,territories,australias,population,nearly,million,highly,urbanised,heavily,concentrated,eastern,seaboard,canberra,nations,capital,populous,city,financial,centre,sydney,largest,cities,melbourne,brisbane,perth,adelaide,australias,demography,shaped,centuries,immigration,immigrants,account,countrys,population,half,australians,parent,born,overseas,australias,abundant,natural,resources,developed,international,trade,relations,crucial,countrys,economy,generates,income,sources,including,services,mining,exports,banking,manufacturing,agriculture,international,education",0.00,australia
"australia is a highly developed country with a high income economy as of  it was the worlds fourteenth largest economy with the ninth highest per capita income in  it ranked as fifth highest human development index australia is a regional power and has the worlds thirteenth highest military expenditure australia ranks amongst the highest in the world for quality of life democracy health education economic freedom civil liberties safety and political rights with all its major cities faring exceptionally in global comparative livability surveys it is a member of international groupings including the united nations the g the oecd the world trade organization asia pacific economic cooperation the pacific islands forum the pacific community the commonwealth of nations and the defencesecurity organisations anzus aukus the five eyes and the quadrilateral security dialogue
",australia highly developed country high income economy worlds fourteenth largest economy ninth highest capita income ranked fifth highest human development index australia regional power worlds thirteenth highest military expenditure australia ranks highest world quality life democracy health education economic freedom civil liberties safety political rights major cities faring exceptionally global comparative livability surveys member international groupings including united nations g oecd world trade organization asia pacific economic cooperation pacific islands forum pacific community commonwealth nations defencesecurity organisations anzus aukus eyes quadrilateral security dialogue,5.58,"australia,highly,developed,country,high,income,economy,worlds,fourteenth,largest,economy,ninth,highest,capita,income,ranked,fifth,highest,human,development,index,australia,regional,power,worlds,thirteenth,highest,military,expenditure,australia,ranks,highest,world,quality,life,democracy,health,education,economic,freedom,civil,liberties,safety,political,rights,major,cities,faring,exceptionally,global,comparative,livability,surveys,member,international,groupings,including,united,nations,g,oecd,world,trade,organization,asia,pacific,economic,cooperation,pacific,islands,forum,pacific,community,commonwealth,nations,defencesecurity,organisations,anzus,aukus,eyes,quadrilateral,security,dialogue",0.00,australia
"the name australia  is derived from the latin terra australiscode lat promoted to code la   a name used for a hypothetical continent in the southern hemisphere since ancient times several sixteenth century cartographers used the word australia on maps but not to identify modern australia when europeans first began visiting and mapping australia in the th century the name terra australiscode lat promoted to code la  was naturally applied to the new territoriesn 
",australia derived latin terra australiscode lat promoted code la hypothetical continent southern hemisphere ancient times sixteenth century cartographers word australia maps identify modern australia europeans began visiting mapping australia th century terra australiscode lat promoted code la naturally applied new territoriesn,6.87,"australia,derived,latin,terra,australiscode,lat,promoted,code,la,hypothetical,continent,southern,hemisphere,ancient,times,sixteenth,century,cartographers,word,australia,maps,identify,modern,australia,europeans,began,visiting,mapping,australia,th,century,terra,australiscode,lat,promoted,code,la,naturally,applied,new,territoriesn",0.00,australia
"until the early th century australia was best known as new holland a name first applied by the dutch explorer abel tasman in   and subsequently anglicised terra australiscode lat promoted to code la  still saw occasional usage such as in scientific textsn  the name australia was popularised by the explorer matthew flinders who said it was more agreeable to the ear and an assimilation to the names of the other great portions of the earth the first time that australia appears to have been officially used was in april  when governor lachlan macquarie acknowledged the receipt of flinders charts of australia from lord bathurst in december  macquarie recommended to the colonial office that it be formally adopted in  the admiralty agreed that the continent should be known officially by that name the first official published use of the new name came with the publication in  of the australia directory by the hydrographic office
",early th century australia best known new holland applied dutch explorer abel tasman subsequently anglicised terra australiscode lat promoted code la saw occasional usage scientific textsn australia popularised explorer matthew flinders said agreeable ear assimilation names great portions earth time australia appears officially april governor lachlan macquarie acknowledged receipt flinders charts australia lord bathurst december macquarie recommended colonial office formally adopted admiralty agreed continent known officially official published use new came publication australia directory hydrographic office,8.25,"early,th,century,australia,best,known,new,holland,applied,dutch,explorer,abel,tasman,subsequently,anglicised,terra,australiscode,lat,promoted,code,la,saw,occasional,usage,scientific,textsn,australia,popularised,explorer,matthew,flinders,said,agreeable,ear,assimilation,names,great,portions,earth,time,australia,appears,officially,april,governor,lachlan,macquarie,acknowledged,receipt,flinders,charts,australia,lord,bathurst,december,macquarie,recommended,colonial,office,formally,adopted,admiralty,agreed,continent,known,officially,official,published,use,new,came,publication,australia,directory,hydrographic,office",0.00,australia
"colloquial names for australia include oz and the land down under  other epithets include the great southern land the lucky country the sunburnt country and the wide brown land the latter two both derive from dorothea mackellars  poem my country
",colloquial names australia include oz land epithets include great southern land lucky country sunburnt country wide brown land derive dorothea mackellars poem country,6.91,"colloquial,names,australia,include,oz,land,epithets,include,great,southern,land,lucky,country,sunburnt,country,wide,brown,land,derive,dorothea,mackellars,poem,country",0.00,australia
"indigenous australians comprise two groups the aboriginal peoples of the australian mainland  and the torres strait islanders who are a distinct melanesian people human habitation of the australian continent is estimated to have begun  to  years ago with the migration of people by land bridges and short sea crossings from what is now southeast asia it is uncertain how many waves of immigration may have contributed to these ancestors of modern aboriginal australians the madjedbebe rock shelter in arnhem land is recognised as the oldest site showing the presence of humans in australia the oldest human remains found are the lake mungo remains which have been dated to around  years ago
",indigenous australians comprise groups aboriginal peoples australian mainland torres strait islanders distinct melanesian people human habitation australian continent estimated begun years ago migration people land bridges short sea crossings southeast asia uncertain waves immigration contributed ancestors modern aboriginal australians madjedbebe rock shelter arnhem land recognised oldest site showing presence humans australia oldest human remains found lake mungo remains dated years ago,7.24,"indigenous,australians,comprise,groups,aboriginal,peoples,australian,mainland,torres,strait,islanders,distinct,melanesian,people,human,habitation,australian,continent,estimated,begun,years,ago,migration,people,land,bridges,short,sea,crossings,southeast,asia,uncertain,waves,immigration,contributed,ancestors,modern,aboriginal,australians,madjedbebe,rock,shelter,arnhem,land,recognised,oldest,site,showing,presence,humans,australia,oldest,human,remains,found,lake,mungo,remains,dated,years,ago",0.00,australia
"the northern coasts and waters of australia were visited sporadically for trade by makassan fishermen from what is now indonesia the first recorded european sighting of the australian mainland and the first recorded european landfall on the australian continent are attributed to the dutch the first ship and crew to chart the australian coast and meet with aboriginal people was the duyfken captained by dutch navigator willem janszoon he sighted the coast of cape york peninsula in early  and made landfall on  february  at the pennefather river near the modern town of weipa on cape york later that year spanish explorer lus vaz de torres sailed through and navigated the torres strait islands the dutch charted the whole of the western and northern coastlines and named the island continent new holland during the th century and although no attempt at settlement was made a number of shipwrecks left men either stranded or as in the case of the batavia in  marooned for mutiny and murder thus becoming the first europeans to permanently inhabit the continent in  captain james cook sailed along and mapped the east coast which he named new south wales and claimed for great britain
",northern coasts waters australia visited sporadically trade makassan fishermen indonesia recorded european sighting australian mainland recorded european landfall australian continent attributed dutch ship crew chart australian coast meet aboriginal people duyfken captained dutch navigator willem janszoon sighted coast cape york peninsula early landfall february pennefather river near modern town weipa cape york later year spanish explorer lus vaz de torres sailed navigated torres strait islands dutch charted western northern coastlines named island continent new holland th century attempt settlement number shipwrecks left men stranded case batavia marooned mutiny murder europeans permanently inhabit continent captain james cook sailed mapped east coast named new south wales claimed great britain,7.59,"northern,coasts,waters,australia,visited,sporadically,trade,makassan,fishermen,indonesia,recorded,european,sighting,australian,mainland,recorded,european,landfall,australian,continent,attributed,dutch,ship,crew,chart,australian,coast,meet,aboriginal,people,duyfken,captained,dutch,navigator,willem,janszoon,sighted,coast,cape,york,peninsula,early,landfall,february,pennefather,river,near,modern,town,weipa,cape,york,later,year,spanish,explorer,lus,vaz,de,torres,sailed,navigated,torres,strait,islands,dutch,charted,western,northern,coastlines,named,island,continent,new,holland,th,century,attempt,settlement,number,shipwrecks,left,men,stranded,case,batavia,marooned,mutiny,murder,europeans,permanently,inhabit,continent,captain,james,cook,sailed,mapped,east,coast,named,new,south,wales,claimed,great,britain",0.00,australia
"following the loss of its american colonies in  the british government sent a fleet of ships the first fleet under the command of captain arthur phillip to establish a new penal colony in new south wales a camp was set up and the union flag raised at sydney cove port jackson on  january  a date which later became australias national day most early convicts were transported for petty crimes and assigned as labourers or servants to free settlers  while the majority of convicts settled into colonial society once emancipated convict rebellions and uprisings were also staged but invariably suppressed under martial law the  rum rebellion the only successful armed takeover of government in australia instigated a two year period of military rule the following decade social and economic reforms initiated by governor lachlan macquarie saw new south wales transition from a penal colony to a civil society
",following loss american colonies british government sent fleet ships fleet command captain arthur phillip establish new penal colony new south wales camp set union flag raised sydney cove port jackson january date later australias national day early convicts transported petty crimes assigned labourers servants free settlers majority convicts settled colonial society emancipated convict rebellions uprisings staged invariably suppressed martial law rum rebellion successful armed takeover government australia instigated year period military rule following decade social economic reforms initiated governor lachlan macquarie saw new south wales transition penal colony civil society,6.28,"following,loss,american,colonies,british,government,sent,fleet,ships,fleet,command,captain,arthur,phillip,establish,new,penal,colony,new,south,wales,camp,set,union,flag,raised,sydney,cove,port,jackson,january,date,later,australias,national,day,early,convicts,transported,petty,crimes,assigned,labourers,servants,free,settlers,majority,convicts,settled,colonial,society,emancipated,convict,rebellions,uprisings,staged,invariably,suppressed,martial,law,rum,rebellion,successful,armed,takeover,government,australia,instigated,year,period,military,rule,following,decade,social,economic,reforms,initiated,governor,lachlan,macquarie,saw,new,south,wales,transition,penal,colony,civil,society",0.00,australia
