Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"australians colloquially known as aussies are the citizens nationals and individuals associated with the country of australia this connection may be residential legal historical or ethno cultural for most australians several  of these connections exist and are collectively the source of their being australian australian law does not provide for a racial or ethnic component of nationality instead relying on citizenship as a legal status
",australians colloquially known aussies citizens nationals individuals associated country australia connection residential legal historical ethno cultural australians connections exist collectively source australian australian law provide racial ethnic component nationality instead relying citizenship legal status,7.05,"australians,colloquially,known,aussies,citizens,nationals,individuals,associated,country,australia,connection,residential,legal,historical,ethno,cultural,australians,connections,exist,collectively,source,australian,australian,law,provide,racial,ethnic,component,nationality,instead,relying,citizenship,legal,status",0.00,australian
"the development of a distinctive australian identity and national character began in the th century and culminated in the federation of the australian colonies in  the primary language is australian english australia is home to a diversity of cultures a result of its history of immigration since  australian culture has primarily been a western culture strongly influenced by early anglo celtic settlers as the asian australian population continues to expand and flourish as a result of changes in the demographic makeup of immigrants and as there has been increased economic and cultural intercourse with asian nations australia has observed the gradual emergence of a eurasian society within its major urban hubs blending both western and asian material and popular culture within a distinctly australian context other influences include australian aboriginal culture the traditions brought to the country by waves of immigration from around the world and the culture of the united states the cultural divergence and evolution that has occurred over the centuries since european settlement has resulted in a distinctive australian culture
",development distinctive australian identity national character began th century culminated federation australian colonies primary language australian english australia home diversity cultures result history immigration australian culture primarily western culture strongly influenced early anglo celtic settlers asian australian population continues expand flourish result changes demographic makeup immigrants increased economic cultural intercourse asian nations australia observed gradual emergence eurasian society major urban hubs blending western asian material popular culture distinctly australian context influences include australian aboriginal culture traditions brought country waves immigration world culture united states cultural divergence evolution occurred centuries european settlement resulted distinctive australian culture,6.83,"development,distinctive,australian,identity,national,character,began,th,century,culminated,federation,australian,colonies,primary,language,australian,english,australia,home,diversity,cultures,result,history,immigration,australian,culture,primarily,western,culture,strongly,influenced,early,anglo,celtic,settlers,asian,australian,population,continues,expand,flourish,result,changes,demographic,makeup,immigrants,increased,economic,cultural,intercourse,asian,nations,australia,observed,gradual,emergence,eurasian,society,major,urban,hubs,blending,western,asian,material,popular,culture,distinctly,australian,context,influences,include,australian,aboriginal,culture,traditions,brought,country,waves,immigration,world,culture,united,states,cultural,divergence,evolution,occurred,centuries,european,settlement,resulted,distinctive,australian,culture",0.00,australian
"the majority of australians or their ancestors immigrated within the past four centuries with the exception of the indigenous population and others from outlying islands who became australian through expansion of the country
",majority australians ancestors immigrated past centuries exception indigenous population outlying islands australian expansion country,8.44,"majority,australians,ancestors,immigrated,past,centuries,exception,indigenous,population,outlying,islands,australian,expansion,country",0.00,australian
"the primary law governing nationality regulations is the australian citizenship act  which came into force on  july  regulations apply to all states and territories of australia all persons born in australia before  august  were automatically citizens at birth regardless of the nationalities of their parents individuals born in the country after that date receive australian citizenship at birth if at least one of their parents is an australian citizen or permanent resident foreign nationals may be granted citizenship after living in the country for at least four years while holding permanent residency and showing proficiency in the english language
",primary law governing nationality regulations australian citizenship act came force july regulations apply states territories australia persons born australia august automatically citizens birth regardless nationalities parents individuals born country date receive australian citizenship birth parents australian citizen permanent resident foreign nationals granted citizenship living country years holding permanent residency showing proficiency english language,7.00,"primary,law,governing,nationality,regulations,australian,citizenship,act,came,force,july,regulations,apply,states,territories,australia,persons,born,australia,august,automatically,citizens,birth,regardless,nationalities,parents,individuals,born,country,date,receive,australian,citizenship,birth,parents,australian,citizen,permanent,resident,foreign,nationals,granted,citizenship,living,country,years,holding,permanent,residency,showing,proficiency,english,language",0.00,australian
"the colony of new south wales was established by the kingdom of great britain in  with the arrival of the first fleet and five other colonies were established in the th century now forming the six present day australian states large scale immigration occurred following a series of gold rushes in the s and after the first and second world wars with many post world war ii migrants coming from southern and eastern europe since the end of the white australia policy in  immigrants to australia have come from around the world and from asia in particular
",colony new south wales established kingdom great britain arrival fleet colonies established th century forming present day australian states large scale immigration occurred following series gold rushes second world wars post world war ii migrants coming southern eastern europe end white australia policy immigrants australia come world asia particular,8.66,"colony,new,south,wales,established,kingdom,great,britain,arrival,fleet,colonies,established,th,century,forming,present,day,australian,states,large,scale,immigration,occurred,following,series,gold,rushes,second,world,wars,post,world,war,ii,migrants,coming,southern,eastern,europe,end,white,australia,policy,immigrants,australia,come,world,asia,particular",0.00,australian
"the predominance of the english language the existence of a parliamentary system of government drawing upon the westminster system constitutional monarchy american constitutionalist and federalist traditions christianity as the dominant religion and the popularity of sports including cricket rugby football and tennis are evidence of a significant anglo celtic heritage derived from the descendants of early settlers who form an ancestral group known as anglo celtic australians as a result of many shared linguistic historical cultural and geographic characteristics australians have often identified closely with new zealanders in particular australian citizenship prior to  was a social moral and political concept prior to the introduction of australian citizenship australians had the status of british subjects the high court of australia in potter v minahan  stated that although there is no australian nationality as distinguished from british nationality there is an australian species of british nationality
",predominance english language existence parliamentary system government drawing westminster system constitutional monarchy american constitutionalist federalist traditions christianity dominant religion popularity sports including cricket rugby football tennis evidence significant anglo celtic heritage derived descendants early settlers form ancestral group known anglo celtic australians result shared linguistic historical cultural geographic characteristics australians identified closely new zealanders particular australian citizenship prior social moral political concept prior introduction australian citizenship australians status british subjects high court australia potter v minahan stated australian nationality distinguished british nationality australian species british nationality,5.69,"predominance,english,language,existence,parliamentary,system,government,drawing,westminster,system,constitutional,monarchy,american,constitutionalist,federalist,traditions,christianity,dominant,religion,popularity,sports,including,cricket,rugby,football,tennis,evidence,significant,anglo,celtic,heritage,derived,descendants,early,settlers,form,ancestral,group,known,anglo,celtic,australians,result,shared,linguistic,historical,cultural,geographic,characteristics,australians,identified,closely,new,zealanders,particular,australian,citizenship,prior,social,moral,political,concept,prior,introduction,australian,citizenship,australians,status,british,subjects,high,court,australia,potter,v,minahan,stated,australian,nationality,distinguished,british,nationality,australian,species,british,nationality",0.00,australian
"the australian bureau of statistics does not collect data on race but asks each australian resident to nominate up to two ancestries each census these ancestry responses are classified into broad standardised ancestry groups at the  census the number of ancestry responses within each standardised group as a proportion of the total population was as follows  european    oceaniann   asian   north african and middle eastern  peoples of the americas and  sub saharan african at the  census the most commonly nominated individual ancestries as a proportion of the total population were
",australian bureau statistics collect data race asks australian resident nominate ancestries census ancestry responses classified broad standardised ancestry groups census number ancestry responses standardised group proportion total population follows european oceaniann asian north african middle eastern peoples americas sub saharan african census commonly nominated individual ancestries proportion total population,6.84,"australian,bureau,statistics,collect,data,race,asks,australian,resident,nominate,ancestries,census,ancestry,responses,classified,broad,standardised,ancestry,groups,census,number,ancestry,responses,standardised,group,proportion,total,population,follows,european,oceaniann,asian,north,african,middle,eastern,peoples,americas,sub,saharan,african,census,commonly,nominated,individual,ancestries,proportion,total,population",0.00,australian
"european australians are australians of wholly or partially european descent australians of european descent are the majority in australia with the number of ancestry responses categorised within the european groups as a proportion of the total population amounting to   the proportion of australians with european ancestry is thought to be higher than the numbers captured in the census as those nominating their ancestry as australian are classified within the oceanian group and the australian bureau of statistics has stated that most who nominate australian as their ancestry are anglo celtic australians since soon after the beginning of british settlement in  people of european descent have formed the majority of the population in australia
",european australians australians wholly partially european descent australians european descent majority australia number ancestry responses categorised european groups proportion total population amounting proportion australians european ancestry thought higher numbers captured census nominating ancestry australian classified oceanian group australian bureau statistics stated nominate australian ancestry anglo celtic australians soon beginning british settlement people european descent formed majority population australia,7.33,"european,australians,australians,wholly,partially,european,descent,australians,european,descent,majority,australia,number,ancestry,responses,categorised,european,groups,proportion,total,population,amounting,proportion,australians,european,ancestry,thought,higher,numbers,captured,census,nominating,ancestry,australian,classified,oceanian,group,australian,bureau,statistics,stated,nominate,australian,ancestry,anglo,celtic,australians,soon,beginning,british,settlement,people,european,descent,formed,majority,population,australia",0.00,australian
"the largest statistical grouping of european australians are anglo celtic australians australians whose ancestors originate wholly or partially in the british isles this includes english australians irish australians scottish australians and welsh australians anglo celtic australians have been highly influential in shaping the nations character by the mid s the numbers of freeborn settlers had overtaken the convict population although some observers stress australias convict history the vast majority of early settlers came of their own free will far more australians are descended from assisted immigrants than from convicts the majority of colonial era settlers being british and irish about  percent of australians are descendants of convicts most of the first australian settlers came from london the midlands and the north of england and ireland settlers that arrived throughout the th century were from all parts of the united kingdom and ireland a significant proportion of settlers came from the southwest and southeast of england from ireland and from scotland in   percent of the australian population had been born in australia and almost all had british ancestral origins out of the remaining  percent  percent had been born in the british isles and  percent were of european origin mainly from germany and scandinavia in the s scots born immigrants constituted  percent of the australian population there were  million british migrants to australia in the period from  to  of whom  percent were scots  percent of the convicts transported to eastern australia between  and  were scotsbetter source needed the census of  showed that  percent of australians had anglo celtic ancestral origins in  and  still  percent of australians had anglo celtic ancestral origins until  the vast majority of the population were of british origin
",largest statistical grouping european australians anglo celtic australians australians ancestors originate wholly partially british isles includes english australians irish australians scottish australians welsh australians anglo celtic australians highly influential shaping nations character mid numbers freeborn settlers overtaken convict population observers stress australias convict history vast majority early settlers came free far australians descended assisted immigrants convicts majority colonial era settlers british irish percent australians descendants convicts australian settlers came london midlands north england ireland settlers arrived th century parts united kingdom ireland significant proportion settlers came southwest southeast england ireland scotland percent australian population born australia british ancestral origins remaining percent percent born british isles percent european origin mainly germany scandinavia scots born immigrants constituted percent australian population million british migrants australia period percent scots percent convicts transported eastern australia scotsbettersourceneeded census showed percent australians anglo celtic ancestral origins percent australians anglo celtic ancestral origins vast majority population british origin,6.93,"largest,statistical,grouping,european,australians,anglo,celtic,australians,australians,ancestors,originate,wholly,partially,british,isles,includes,english,australians,irish,australians,scottish,australians,welsh,australians,anglo,celtic,australians,highly,influential,shaping,nations,character,mid,numbers,freeborn,settlers,overtaken,convict,population,observers,stress,australias,convict,history,vast,majority,early,settlers,came,free,far,australians,descended,assisted,immigrants,convicts,majority,colonial,era,settlers,british,irish,percent,australians,descendants,convicts,australian,settlers,came,london,midlands,north,england,ireland,settlers,arrived,th,century,parts,united,kingdom,ireland,significant,proportion,settlers,came,southwest,southeast,england,ireland,scotland,percent,australian,population,born,australia,british,ancestral,origins,remaining,percent,percent,born,british,isles,percent,european,origin,mainly,germany,scandinavia,scots,born,immigrants,constituted,percent,australian,population,million,british,migrants,australia,period,percent,scots,percent,convicts,transported,eastern,australia,scotsbettersourceneeded,census,showed,percent,australians,anglo,celtic,ancestral,origins,percent,australians,anglo,celtic,ancestral,origins,vast,majority,population,british,origin",0.00,australian
"italian australians are australians of italian ancestry and comprise the largest non anglo celtic european ethnic group in australia with the  census finding  of the population claiming ancestry from italy be they migrants to australia or their descendants born in australia of italian heritage australias long history of italian immigration has given rise to an italo australian dialect of the italian language
",italian australians australians italian ancestry comprise largest non anglo celtic european ethnic group australia census finding population claiming ancestry italy migrants australia descendants born australia italian heritage australias long history italian immigration given rise italo australian dialect italian language,5.58,"italian,australians,australians,italian,ancestry,comprise,largest,non,anglo,celtic,european,ethnic,group,australia,census,finding,population,claiming,ancestry,italy,migrants,australia,descendants,born,australia,italian,heritage,australias,long,history,italian,immigration,given,rise,italo,australian,dialect,italian,language",0.00,australian
