Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"austria hungary often referred to as the austro hungarian empirea the dual monarchy or austria was a constitutional monarchy and great power in central europeb between  and  it was formed with the austro hungarian compromise of  in the aftermath of the austro prussian war and was dissolved shortly after its defeat in the first world war
",austria hungary referred austro hungarian empirea dual monarchy austria constitutional monarchy great power central europeb formed austro hungarian compromise aftermath austro prussian war dissolved shortly defeat world war,8.26,"austria,hungary,referred,austro,hungarian,empirea,dual,monarchy,austria,constitutional,monarchy,great,power,central,europeb,formed,austro,hungarian,compromise,aftermath,austro,prussian,war,dissolved,shortly,defeat,world,war",0.00,hungary
"austria hungary was ruled by the house of habsburg and constituted the last phase in the constitutional evolution of the habsburg monarchy it was a multinational state and one of europes major powers at the time austria hungary was geographically the second largest country in europe after the russian empire at  km  and the third most populous  the empire built up the fourth largest machine building industry in the world after the united states germany and the united kingdom austria hungary also became the worlds third largest manufacturer and exporter of electric home appliances electric industrial appliances and power generation apparatus for power plants after the united states and the german empire
",austria hungary ruled house habsburg constituted phase constitutional evolution habsburg monarchy multinational state europes major powers time austria hungary geographically second largest country europe russian empire km populous empire built fourth largest machine building industry world united states germany united kingdom austria hungary worlds largest manufacturer exporter electric home appliances electric industrial appliances power generation apparatus power plants united states german empire,7.03,"austria,hungary,ruled,house,habsburg,constituted,phase,constitutional,evolution,habsburg,monarchy,multinational,state,europes,major,powers,time,austria,hungary,geographically,second,largest,country,europe,russian,empire,km,populous,empire,built,fourth,largest,machine,building,industry,world,united,states,germany,united,kingdom,austria,hungary,worlds,largest,manufacturer,exporter,electric,home,appliances,electric,industrial,appliances,power,generation,apparatus,power,plants,united,states,german,empire",0.00,hungary
"at its core was the dual monarchy which was a real union between cisleithania the northern and western parts of the former austrian empire and the kingdom of hungary following the  reforms the austrian and hungarian states were co equal in power the two states conducted common foreign defense and financial policies but all other governmental faculties were divided among respective states a third component of the union was the kingdom of croatia slavonia an autonomous region under the hungarian crown which negotiated the croatianhungarian settlement in  after  bosnia and herzegovina came under austro hungarian joint military and civilian rule until it was fully annexed in  provoking the bosnian crisis among the other powers
",core dual monarchy real union cisleithania northern western parts austrian empire kingdom hungary following reforms austrian hungarian states co equal power states conducted common foreign defense financial policies governmental faculties divided respective states component union kingdom croatia slavonia autonomous region hungarian crown negotiated croatianhungarian settlement bosnia herzegovina came austro hungarian joint military civilian rule fully annexed provoking bosnian crisis powers,7.37,"core,dual,monarchy,real,union,cisleithania,northern,western,parts,austrian,empire,kingdom,hungary,following,reforms,austrian,hungarian,states,co,equal,power,states,conducted,common,foreign,defense,financial,policies,governmental,faculties,divided,respective,states,component,union,kingdom,croatia,slavonia,autonomous,region,hungarian,crown,negotiated,croatianhungarian,settlement,bosnia,herzegovina,came,austro,hungarian,joint,military,civilian,rule,fully,annexed,provoking,bosnian,crisis,powers",0.00,hungary
"austria hungary was one of the central powers in world war i which began with an austro hungarian war declaration on the kingdom of serbia on  july  it was already effectively dissolved by the time the military authorities signed the armistice of villa giusti on  november  the kingdom of hungary and the first austrian republic were treated as its successors de jure whereas the independence of the west slavs and south slavs of the empire as the first czechoslovak republic the second polish republic and the kingdom of yugoslavia respectively and most of the territorial demands of the kingdom of romania and the kingdom of italy were also recognized by the victorious powers in 
",austria hungary central powers world war began austro hungarian war declaration kingdom serbia july effectively dissolved time military authorities signed armistice villa giusti november kingdom hungary austrian republic treated successors de jure independence west slavs south slavs empire czechoslovak republic second polish republic kingdom yugoslavia respectively territorial demands kingdom romania kingdom italy recognized victorious powers,8.64,"austria,hungary,central,powers,world,war,began,austro,hungarian,war,declaration,kingdom,serbia,july,effectively,dissolved,time,military,authorities,signed,armistice,villa,giusti,november,kingdom,hungary,austrian,republic,treated,successors,de,jure,independence,west,slavs,south,slavs,empire,czechoslovak,republic,second,polish,republic,kingdom,yugoslavia,respectively,territorial,demands,kingdom,romania,kingdom,italy,recognized,victorious,powers",0.00,hungary
"the austro hungarian compromise of   which inaugurated the empires dual structure in place of the former austrian empire  originated at a time when austria had declined in strength and in powerboth in the italian peninsula  and among the states of the former german confederation replaced following the austro prussian war of  with the north german confederation under the leadership of prussia as the dominant german speaking power leaving meanwhile the austrian empire outside the compromise re established the full sovereignty of the kingdom of hungary which had been lost after the hungarian revolution of 
",austro hungarian compromise inaugurated empires dual structure place austrian empire originated time austria declined strength powerboth italian peninsula states german confederation replaced following austro prussian war north german confederation leadership prussia dominant german speaking power leaving austrian empire outside compromise established sovereignty kingdom hungary lost hungarian revolution,7.69,"austro,hungarian,compromise,inaugurated,empires,dual,structure,place,austrian,empire,originated,time,austria,declined,strength,powerboth,italian,peninsula,states,german,confederation,replaced,following,austro,prussian,war,north,german,confederation,leadership,prussia,dominant,german,speaking,power,leaving,austrian,empire,outside,compromise,established,sovereignty,kingdom,hungary,lost,hungarian,revolution",0.00,hungary
"other factors in the constitutional changes were continued hungarian dissatisfaction with rule from vienna and increasing national consciousness on the part of other nationalities  of the austrian empire hungarian dissatisfaction arose partly from austrias suppression with russian support of the hungarian liberal revolution of  however dissatisfaction with austrian rule had grown for many years within hungary and had many other causes
",factors constitutional changes continued hungarian dissatisfaction rule vienna increasing national consciousness nationalities austrian empire hungarian dissatisfaction arose partly austrias suppression russian support hungarian liberal revolution dissatisfaction austrian rule grown years hungary causes,6.61,"factors,constitutional,changes,continued,hungarian,dissatisfaction,rule,vienna,increasing,national,consciousness,nationalities,austrian,empire,hungarian,dissatisfaction,arose,partly,austrias,suppression,russian,support,hungarian,liberal,revolution,dissatisfaction,austrian,rule,grown,years,hungary,causes",0.00,hungary
"by the late s a large number of hungarians who had supported the  revolution were willing to accept the habsburg monarchy they argued that while hungary had the right to full internal independence under the pragmatic sanction of  foreign affairs and defense were common to both austria and hungary
",late large number hungarians supported revolution willing accept habsburg monarchy argued hungary right internal independence pragmatic sanction foreign affairs defense common austria hungary,8.72,"late,large,number,hungarians,supported,revolution,willing,accept,habsburg,monarchy,argued,hungary,right,internal,independence,pragmatic,sanction,foreign,affairs,defense,common,austria,hungary",0.00,hungary
"after the austrian defeat at kniggrtz the government realized it needed to reconcile with hungary to regain the status of a great power the new foreign minister count friedrich ferdinand von beust wanted to conclude the stalemated negotiations with the hungarians to secure the monarchy emperor franz joseph began negotiations for a compromise with the hungarian nobility led by ferenc dek on  march  the re established hungarian parliament at pest started to negotiate the new laws to be accepted on  march however hungarian leaders received the emperors coronation as king of hungary on  june as a necessity for the laws to be enacted within the lands of the holy crown of hungary on  july franz joseph in his new capacity as king of hungary approved and promulgated the new laws which officially gave birth to the dual monarchy
",austrian defeat kniggrtz government realized needed reconcile hungary regain status great power new foreign minister count friedrich ferdinand von beust wanted conclude stalemated negotiations hungarians secure monarchy emperor franz joseph began negotiations compromise hungarian nobility led ferenc dek march established hungarian parliament pest started negotiate new laws accepted march hungarian leaders received emperors coronation king hungary june necessity laws enacted lands holy crown hungary july franz joseph new capacity king hungary approved promulgated new laws officially gave birth dual monarchy,6.98,"austrian,defeat,kniggrtz,government,realized,needed,reconcile,hungary,regain,status,great,power,new,foreign,minister,count,friedrich,ferdinand,von,beust,wanted,conclude,stalemated,negotiations,hungarians,secure,monarchy,emperor,franz,joseph,began,negotiations,compromise,hungarian,nobility,led,ferenc,dek,march,established,hungarian,parliament,pest,started,negotiate,new,laws,accepted,march,hungarian,leaders,received,emperors,coronation,king,hungary,june,necessity,laws,enacted,lands,holy,crown,hungary,july,franz,joseph,new,capacity,king,hungary,approved,promulgated,new,laws,officially,gave,birth,dual,monarchy",0.00,hungary
"the realms official name was in german sterreichisch ungarische monarchie and in hungarian osztrkmagyar monarchia  though in international relations austriahungary was used  the austrians also used the names k you k monarchie   and danubian monarchy  or dual monarchy  and the double eagle  but none of these became widespread either in hungary or elsewhere
",realms official german sterreichisch ungarische monarchie hungarian osztrkmagyar monarchia international relations austriahungary austrians names k k monarchie danubian monarchy dual monarchy double eagle widespread hungary,7.82,"realms,official,german,sterreichisch,ungarische,monarchie,hungarian,osztrkmagyar,monarchia,international,relations,austriahungary,austrians,names,k,k,monarchie,danubian,monarchy,dual,monarchy,double,eagle,widespread,hungary",0.00,hungary
"the compromise turned the habsburg domains into a real union between the austrian empire  in the western and northern half and the kingdom of hungary  in the eastern half the two halves shared a common monarch who ruled as emperor of austria over the western and northern half portion and as king of hungary over the eastern portion foreign relations and defense were managed jointly and the two countries also formed a customs union all other state functions were to be handled separately by each of the two states
",compromise turned habsburg domains real union austrian empire western northern half kingdom hungary eastern half halves shared common monarch ruled emperor austria western northern half portion king hungary eastern portion foreign relations defense managed jointly countries formed customs union state functions handled separately states,8.72,"compromise,turned,habsburg,domains,real,union,austrian,empire,western,northern,half,kingdom,hungary,eastern,half,halves,shared,common,monarch,ruled,emperor,austria,western,northern,half,portion,king,hungary,eastern,portion,foreign,relations,defense,managed,jointly,countries,formed,customs,union,state,functions,handled,separately,states",0.00,hungary
