Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bangkoka officially known in thai as krung thep maha nakhonb and colloquially as krung thepc is the capital and most populous city of thailand the city occupies  square kilometres  in the chao phraya river delta in central thailand and has an estimated population of  million as of   percent of the countrys population over  million people  lived within the surrounding bangkok metropolitan region at the  census making bangkok an extreme primate city dwarfing thailands other urban centres in both size and importance to the national economy
",bangkoka officially known thai krung thep maha nakhonb colloquially krung thepc capital populous city thailand city occupies square kilometres chao phraya river delta central thailand estimated population million percent countrys population million people lived surrounding bangkok metropolitan region census making bangkok extreme primate city dwarfing thailands urban centres size importance national economy,6.08,"bangkoka,officially,known,thai,krung,thep,maha,nakhonb,colloquially,krung,thepc,capital,populous,city,thailand,city,occupies,square,kilometres,chao,phraya,river,delta,central,thailand,estimated,population,million,percent,countrys,population,million,people,lived,surrounding,bangkok,metropolitan,region,census,making,bangkok,extreme,primate,city,dwarfing,thailands,urban,centres,size,importance,national,economy",0.00,bangkok
"bangkok traces its roots to a small trading post during the ayutthaya kingdom in the th century which eventually grew and became the site of two capital cities thonburi in  and rattanakosin in  bangkok was at the heart of the modernization of siam later renamed thailand during the late th century as the country faced pressures from the west the city was at the centre of thailands political struggles throughout the th century as the country abolished absolute monarchy adopted constitutional rule and underwent numerous coups and several uprisings the city incorporated as a special administrative area under the bangkok metropolitan administration in  grew rapidly during the s through the s and now exerts a significant impact on thailands politics economy education media and modern society
",bangkok traces roots small trading post ayutthaya kingdom th century eventually grew site capital cities thonburi rattanakosin bangkok heart modernization siam later renamed thailand late th century country faced pressures west city centre thailands political struggles th century country abolished absolute monarchy adopted constitutional rule underwent numerous coups uprisings city incorporated special administrative area bangkok metropolitan administration grew rapidly exerts significant impact thailands politics economy education media modern society,7.15,"bangkok,traces,roots,small,trading,post,ayutthaya,kingdom,th,century,eventually,grew,site,capital,cities,thonburi,rattanakosin,bangkok,heart,modernization,siam,later,renamed,thailand,late,th,century,country,faced,pressures,west,city,centre,thailands,political,struggles,th,century,country,abolished,absolute,monarchy,adopted,constitutional,rule,underwent,numerous,coups,uprisings,city,incorporated,special,administrative,area,bangkok,metropolitan,administration,grew,rapidly,exerts,significant,impact,thailands,politics,economy,education,media,modern,society",0.00,bangkok
"the asian investment boom in the s and s led many multinational corporations to locate their regional headquarters in bangkok the city is now a regional force in finance business and pop culture it is an international hub for transport and health care and has emerged as a centre for the arts fashion and entertainment the city is known for its street life and cultural landmarks as well as its red light districts the grand palace and buddhist temples including wat arun and wat pho stand in contrast with other tourist attractions such as the nightlife scenes of khaosan road and patpong bangkok is among the worlds top tourist destinations and has been named the worlds most visited city consistently in several international rankings
",asian investment boom led multinational corporations locate regional headquarters bangkok city regional force finance business pop culture international hub transport health care emerged centre arts fashion entertainment city known street life cultural landmarks red light districts grand palace buddhist temples including wat arun wat pho stand contrast tourist attractions nightlife scenes khaosan road patpong bangkok worlds tourist destinations named worlds visited city consistently international rankings,7.99,"asian,investment,boom,led,multinational,corporations,locate,regional,headquarters,bangkok,city,regional,force,finance,business,pop,culture,international,hub,transport,health,care,emerged,centre,arts,fashion,entertainment,city,known,street,life,cultural,landmarks,red,light,districts,grand,palace,buddhist,temples,including,wat,arun,wat,pho,stand,contrast,tourist,attractions,nightlife,scenes,khaosan,road,patpong,bangkok,worlds,tourist,destinations,named,worlds,visited,city,consistently,international,rankings",0.00,bangkok
"the history of bangkok dates at least back to the early th century to when it was a village on the west bank of the chao phraya river under the rule of ayutthaya because of its strategic location near the mouth of the river the town gradually increased in importance bangkok initially served as a customs outpost with forts on both sides of the river and was the site of a siege in  in which the french were expelled from siam after the fall of ayutthaya to the burmese in  the newly crowned king taksin established his capital at the town which became the base of the thonburi kingdom in  king phutthayotfa chulalok  succeeded taksin moved the capital to the eastern banks rattanakosin island thus founding the rattanakosin kingdom the city pillar was erected on  april  which is regarded as the date of foundation of bangkok as the capital
",history bangkok dates early th century village west bank chao phraya river rule ayutthaya strategic location near mouth river town gradually increased importance bangkok initially served customs outpost forts sides river site siege french expelled siam fall ayutthaya burmese newly crowned king taksin established capital town base thonburi kingdom king phutthayotfa chulalok succeeded taksin moved capital eastern banks rattanakosin island founding rattanakosin kingdom city pillar erected april regarded date foundation bangkok capital,9.14,"history,bangkok,dates,early,th,century,village,west,bank,chao,phraya,river,rule,ayutthaya,strategic,location,near,mouth,river,town,gradually,increased,importance,bangkok,initially,served,customs,outpost,forts,sides,river,site,siege,french,expelled,siam,fall,ayutthaya,burmese,newly,crowned,king,taksin,established,capital,town,base,thonburi,kingdom,king,phutthayotfa,chulalok,succeeded,taksin,moved,capital,eastern,banks,rattanakosin,island,founding,rattanakosin,kingdom,city,pillar,erected,april,regarded,date,foundation,bangkok,capital",0.00,bangkok
"bangkoks economy gradually expanded through international trade first with china then with western merchants returning in the early to mid th century as the capital bangkok was the centre of siams modernization as it faced pressure from western powers in the late th century the reigns of kings mongkut  and chulalongkorn  saw the introduction of the steam engine printing press rail transport and utilities infrastructure in the city as well as formal education and healthcare bangkok became the centre stage for power struggles between the military and political elite as the country abolished absolute monarchy in 
",bangkoks economy gradually expanded international trade china western merchants returning early mid th century capital bangkok centre siams modernization faced pressure western powers late th century reigns kings mongkut chulalongkorn saw introduction steam engine printing press rail transport utilities infrastructure city formal education healthcare bangkok centre stage power struggles military political elite country abolished absolute monarchy,6.47,"bangkoks,economy,gradually,expanded,international,trade,china,western,merchants,returning,early,mid,th,century,capital,bangkok,centre,siams,modernization,faced,pressure,western,powers,late,th,century,reigns,kings,mongkut,chulalongkorn,saw,introduction,steam,engine,printing,press,rail,transport,utilities,infrastructure,city,formal,education,healthcare,bangkok,centre,stage,power,struggles,military,political,elite,country,abolished,absolute,monarchy",0.00,bangkok
"as thailand allied with japan in world war ii bangkok was subjected to allied bombing but rapidly grew in the post war period as a result of us aid and government sponsored investment bangkoks role as a us military rr destination boosted its tourism industry as well as firmly establishing it as a sex tourism destination disproportionate urban development led to increasing income inequalities and migration from rural areas into bangkok its population surged from  million to  million in the s
",thailand allied japan world war ii bangkok subjected allied bombing rapidly grew post war period result aid government sponsored investment bangkoks role military rr destination boosted tourism industry firmly establishing sex tourism destination disproportionate urban development led increasing income inequalities migration rural areas bangkok population surged million million,6.65,"thailand,allied,japan,world,war,ii,bangkok,subjected,allied,bombing,rapidly,grew,post,war,period,result,aid,government,sponsored,investment,bangkoks,role,military,rr,destination,boosted,tourism,industry,firmly,establishing,sex,tourism,destination,disproportionate,urban,development,led,increasing,income,inequalities,migration,rural,areas,bangkok,population,surged,million,million",0.00,bangkok
"following the us withdrawal from vietnam in  japanese businesses took over as leaders in investment and the expansion of export oriented manufacturing led to growth of the financial market in bangkok rapid growth of the city continued through the s and early s until it was stalled by the  asian financial crisis by then many public and social issues had emerged among them the strain on infrastructure reflected in the citys notorious traffic jams bangkoks role as the nations political stage continues to be seen in strings of popular protests from the student uprisings in  and  anti military demonstrations in  and frequent street protests since  including those by groups opposing and supporting former prime minister thaksin shinawatra from  to  and a renewed student led movement in 
",following withdrawal vietnam japanese businesses took leaders investment expansion export oriented manufacturing led growth financial market bangkok rapid growth city continued early stalled asian financial crisis public social issues emerged strain infrastructure reflected citys notorious traffic jams bangkoks role nations political stage continues seen strings popular protests student uprisings anti military demonstrations frequent street protests including groups opposing supporting prime minister thaksin shinawatra renewed student led movement,7.46,"following,withdrawal,vietnam,japanese,businesses,took,leaders,investment,expansion,export,oriented,manufacturing,led,growth,financial,market,bangkok,rapid,growth,city,continued,early,stalled,asian,financial,crisis,public,social,issues,emerged,strain,infrastructure,reflected,citys,notorious,traffic,jams,bangkoks,role,nations,political,stage,continues,seen,strings,popular,protests,student,uprisings,anti,military,demonstrations,frequent,street,protests,including,groups,opposing,supporting,prime,minister,thaksin,shinawatra,renewed,student,led,movement",0.00,bangkok
"administration of the city was first formalized by king chulalongkorn in  with the establishment of monthon krung thep phra maha nakhon  as a national subdivision in  the monthon was split into several provinces the administrative boundaries of which have since further changed the city in its current form was created in  with the formation of the bangkok metropolitan administration  following the merger of phra nakhon province on the eastern bank of the chao phraya and thonburi province on the west during the previous year
",administration city formalized king chulalongkorn establishment monthon krung thep phra maha nakhon national subdivision monthon split provinces administrative boundaries changed city current form created formation bangkok metropolitan administration following merger phra nakhon province eastern bank chao phraya thonburi province west previous year,7.94,"administration,city,formalized,king,chulalongkorn,establishment,monthon,krung,thep,phra,maha,nakhon,national,subdivision,monthon,split,provinces,administrative,boundaries,changed,city,current,form,created,formation,bangkok,metropolitan,administration,following,merger,phra,nakhon,province,eastern,bank,chao,phraya,thonburi,province,west,previous,year",0.00,bangkok
"the origin of the name bangkok  is unclear bang  is a thai word meaning a village on a stream and the name might have been derived from bang ko  ko  meaning island stemming from the citys watery landscape another theory suggests that it is shortened from bang makok  makok  being the name of elaeocarpus hygrophilus a plant bearing olive like fruitd this is supported by the former name of wat arun a historic temple in the area that used to be called wat makok the romanization bangkok comes from frenchcitation needed
",origin bangkok unclear bang thai word meaning village stream derived bang ko ko meaning island stemming citys watery landscape theory suggests shortened bang makok makok elaeocarpus hygrophilus plant bearing olive like fruitd supported wat arun historic temple area called wat makok romanization bangkok comes frenchcitation needed,8.65,"origin,bangkok,unclear,bang,thai,word,meaning,village,stream,derived,bang,ko,ko,meaning,island,stemming,citys,watery,landscape,theory,suggests,shortened,bang,makok,makok,elaeocarpus,hygrophilus,plant,bearing,olive,like,fruitd,supported,wat,arun,historic,temple,area,called,wat,makok,romanization,bangkok,comes,frenchcitation,needed",0.00,bangkok
"officially the town was known as thonburi si mahasamut  or thonburi according to the ayutthaya chronicles bangkok was likely a colloquial name albeit one widely adopted by foreign visitors who continued to use it to refer to the city even after the new capitals establishment
",officially town known thonburi si mahasamut thonburi according ayutthaya chronicles bangkok likely colloquial albeit widely adopted foreign visitors continued use refer city new capitals establishment,7.25,"officially,town,known,thonburi,si,mahasamut,thonburi,according,ayutthaya,chronicles,bangkok,likely,colloquial,albeit,widely,adopted,foreign,visitors,continued,use,refer,city,new,capitals,establishment",0.00,bangkok
