Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
" provisional government of bangladesh
",provisional government bangladesh,2.63,"provisional,government,bangladesh",0.00,bangladesh
" indicates events in the internal resistance movement linked to the indo pakistani war indicates events in the indo pakistani war linked to the internal resistance movement in bangladesh
",indicates events internal resistance movement linked indo pakistani war indicates events indo pakistani war linked internal resistance movement bangladesh,4.81,"indicates,events,internal,resistance,movement,linked,indo,pakistani,war,indicates,events,indo,pakistani,war,linked,internal,resistance,movement,bangladesh",0.00,bangladesh
"the bangladesh liberation warnote   was a revolution and armed conflict sparked by the rise of the bengali nationalist and self determination movement in east pakistan which resulted in the independence of bangladesh the war began when the pakistani military junta based in west pakistanunder the orders of yahya khanlaunched operation searchlight against the people of east pakistan on the night of  march  initiating the bangladesh genocide
",bangladesh liberation warnote revolution armed conflict sparked rise bengali nationalist self determination movement east pakistan resulted independence bangladesh war began pakistani military junta based west pakistanunder orders yahya khanlaunched operation searchlight people east pakistan night march initiating bangladesh genocide,6.09,"bangladesh,liberation,warnote,revolution,armed,conflict,sparked,rise,bengali,nationalist,self,determination,movement,east,pakistan,resulted,independence,bangladesh,war,began,pakistani,military,junta,based,west,pakistanunder,orders,yahya,khanlaunched,operation,searchlight,people,east,pakistan,night,march,initiating,bangladesh,genocide",0.00,bangladesh
"in response to the violence members of the mukti bahinia guerrilla resistance movement formed by bengali military paramilitary and civilianslaunched a mass guerrilla war against the pakistani military liberating numerous towns and cities in the initial months of the conflict at first the pakistan army regained momentum during the monsoon but bengali guerrillas counterattacked by carrying out widespread sabotage including through operation jackpot against the pakistan navy while the nascent bangladesh air force flew sorties against pakistani military bases india joined the war on  december  after which pakistan launched preemptive air strikes on northern india the subsequent indo pakistani war witnessed engagements on two warfronts with air supremacy achieved in the eastern theatre and the rapid advance of the allied forces of mukti bahini and the indian military pakistan surrendered in dhaka on  december  in what remains to date the largest surrender of armed personnel since the second world war
",response violence members mukti bahinia guerrilla resistance movement formed bengali military paramilitary civilianslaunched mass guerrilla war pakistani military liberating numerous towns cities initial months conflict pakistan army regained momentum monsoon bengali guerrillas counterattacked carrying widespread sabotage including operation jackpot pakistan navy nascent bangladesh air force flew sorties pakistani military bases india joined war december pakistan launched preemptive air strikes northern india subsequent indo pakistani war witnessed engagements warfronts air supremacy achieved eastern theatre rapid advance allied forces mukti bahini indian military pakistan surrendered dhaka december remains date largest surrender armed personnel second world war,5.54,"response,violence,members,mukti,bahinia,guerrilla,resistance,movement,formed,bengali,military,paramilitary,civilianslaunched,mass,guerrilla,war,pakistani,military,liberating,numerous,towns,cities,initial,months,conflict,pakistan,army,regained,momentum,monsoon,bengali,guerrillas,counterattacked,carrying,widespread,sabotage,including,operation,jackpot,pakistan,navy,nascent,bangladesh,air,force,flew,sorties,pakistani,military,bases,india,joined,war,december,pakistan,launched,preemptive,air,strikes,northern,india,subsequent,indo,pakistani,war,witnessed,engagements,warfronts,air,supremacy,achieved,eastern,theatre,rapid,advance,allied,forces,mukti,bahini,indian,military,pakistan,surrendered,dhaka,december,remains,date,largest,surrender,armed,personnel,second,world,war",0.00,bangladesh
"the war changed the geopolitical landscape of south asia with the emergence of bangladesh as the seventh most populous country in the world due to complex regional alliances the war was a major episode in cold war tensions involving the united states the soviet union and the peoples republic of china the majority of member states in the united nations recognised bangladesh as a sovereign nation in 
",war changed geopolitical landscape south asia emergence bangladesh seventh populous country world complex regional alliances war major episode cold war tensions involving united states soviet union peoples republic china majority member states united nations recognised bangladesh sovereign nation,7.21,"war,changed,geopolitical,landscape,south,asia,emergence,bangladesh,seventh,populous,country,world,complex,regional,alliances,war,major,episode,cold,war,tensions,involving,united,states,soviet,union,peoples,republic,china,majority,member,states,united,nations,recognised,bangladesh,sovereign,nation",0.00,bangladesh
"on  march  after an election won by an east pakistani political party  was ignored by the ruling  establishment rising political discontent and cultural nationalism in east pakistan was met by brutal and suppressive force from the ruling elite of the west pakistan establishment in what came to be termed as operation searchlight the violent crackdown by the pakistan army led to awami league leader sheikh mujibur rahman declaring east pakistans independence as the state of bangladesh on  march  most bengalis supported this move although islamists and biharis opposed this and sided with the pakistan army instead
",march election east pakistani political party ignored ruling establishment rising political discontent cultural nationalism east pakistan met brutal suppressive force ruling elite west pakistan establishment came termed operation searchlight violent crackdown pakistan army led awami league leader sheikh mujibur rahman declaring east pakistans independence state bangladesh march bengalis supported islamists biharis opposed sided pakistan army instead,6.48,"march,election,east,pakistani,political,party,ignored,ruling,establishment,rising,political,discontent,cultural,nationalism,east,pakistan,met,brutal,suppressive,force,ruling,elite,west,pakistan,establishment,came,termed,operation,searchlight,violent,crackdown,pakistan,army,led,awami,league,leader,sheikh,mujibur,rahman,declaring,east,pakistans,independence,state,bangladesh,march,bengalis,supported,islamists,biharis,opposed,sided,pakistan,army,instead",0.00,bangladesh
"the movement reached its climax in  when on  february the police fired on protesting students and civilians causing several deaths the day is revered in bangladesh as the language movement day later in memory of the deaths in  unesco declared  february as international mother language day in november 
",movement reached climax february police fired protesting students civilians causing deaths day revered bangladesh language movement day later memory deaths unesco declared february international mother language day november,6.60,"movement,reached,climax,february,police,fired,protesting,students,civilians,causing,deaths,day,revered,bangladesh,language,movement,day,later,memory,deaths,unesco,declared,february,international,mother,language,day,november",0.00,bangladesh
"the awami leagues emphasis on secularism differentiated it from the muslim league in  the bangladeshi liberation struggle against pakistan was led by secular leaders and secularists hailed the bangladeshi victory as the triumph of secular bengali nationalism over religion centred pakistani nationalism while pakistans government strives for an islamic state bangladesh was established secular after the liberation victory the awami league attempted to build a secular order and the pro pakistan islamist parties were barred from political participation the majority of east pakistani ulama had either remained neutral or supported the pakistani state since they felt that the break up of pakistan would be detrimental for islam
",awami leagues emphasis secularism differentiated muslim league bangladeshi liberation struggle pakistan led secular leaders secularists hailed bangladeshi victory triumph secular bengali nationalism religion centred pakistani nationalism pakistans government strives islamic state bangladesh established secular liberation victory awami league attempted build secular order pro pakistan islamist parties barred political participation majority east pakistani ulama remained neutral supported pakistani state felt break pakistan detrimental islam,6.04,"awami,leagues,emphasis,secularism,differentiated,muslim,league,bangladeshi,liberation,struggle,pakistan,led,secular,leaders,secularists,hailed,bangladeshi,victory,triumph,secular,bengali,nationalism,religion,centred,pakistani,nationalism,pakistans,government,strives,islamic,state,bangladesh,established,secular,liberation,victory,awami,league,attempted,build,secular,order,pro,pakistan,islamist,parties,barred,political,participation,majority,east,pakistani,ulama,remained,neutral,supported,pakistani,state,felt,break,pakistan,detrimental,islam",0.00,bangladesh
"the east pakistanis observed that the west pakistani establishment would swiftly depose any east pakistanis elected leader of pakistan such as khawaja nazimuddin mohammad ali bogra huseyn shaheed suhrawardy or iskander mirza their suspicions were further aggravated by the military dictatorships of ayub khan  and yahya khan  both west pakistanis the situation reached a climax in  when the bangladesh awami league the largest east pakistani political party led by sheikh mujibur rahman won a landslide victory in the national elections the party won  of the  seats allotted to east pakistan and thus a majority of the  seats in the national assembly this gave the awami league the constitutional right to form a government however zulfikar ali bhutto  the leader of the pakistan peoples party refused to allow rahman to become the prime minister of pakistan
",east pakistanis observed west pakistani establishment swiftly depose east pakistanis elected leader pakistan khawaja nazimuddin mohammad ali bogra huseyn shaheed suhrawardy iskander mirza suspicions aggravated military dictatorships ayub khan yahya khan west pakistanis situation reached climax bangladesh awami league largest east pakistani political party led sheikh mujibur rahman landslide victory national elections party seats allotted east pakistan majority seats national assembly gave awami league constitutional right form government zulfikar ali bhutto leader pakistan peoples party refused allow rahman prime minister pakistan,6.29,"east,pakistanis,observed,west,pakistani,establishment,swiftly,depose,east,pakistanis,elected,leader,pakistan,khawaja,nazimuddin,mohammad,ali,bogra,huseyn,shaheed,suhrawardy,iskander,mirza,suspicions,aggravated,military,dictatorships,ayub,khan,yahya,khan,west,pakistanis,situation,reached,climax,bangladesh,awami,league,largest,east,pakistani,political,party,led,sheikh,mujibur,rahman,landslide,victory,national,elections,party,seats,allotted,east,pakistan,majority,seats,national,assembly,gave,awami,league,constitutional,right,form,government,zulfikar,ali,bhutto,leader,pakistan,peoples,party,refused,allow,rahman,prime,minister,pakistan",0.00,bangladesh
"as the conflict between east and west pakistan developed in march the dacca offices of the two government organisations directly involved in relief efforts were closed for at least two weeks first by a general strike and then by a ban on government work in east pakistan by the awami league with this increase in tension foreign personnel were evacuated over fears of violence relief work continued in the field but long term planning was curtailed this conflict widened into the bangladesh liberation war in december and concluded with the creation of bangladesh this was one of the first times that a natural event helped trigger a civil war
",conflict east west pakistan developed march dacca offices government organisations directly involved relief efforts closed weeks general strike ban government work east pakistan awami league increase tension foreign personnel evacuated fears violence relief work continued field long term planning curtailed conflict widened bangladesh liberation war december concluded creation bangladesh times natural event helped trigger civil war,8.23,"conflict,east,west,pakistan,developed,march,dacca,offices,government,organisations,directly,involved,relief,efforts,closed,weeks,general,strike,ban,government,work,east,pakistan,awami,league,increase,tension,foreign,personnel,evacuated,fears,violence,relief,work,continued,field,long,term,planning,curtailed,conflict,widened,bangladesh,liberation,war,december,concluded,creation,bangladesh,times,natural,event,helped,trigger,civil,war",0.00,bangladesh
