Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bangladesh  officially the peoples republic of bangladesh is a country in south asia it is the eighth most populous country in the world with a population exceeding  million people in an area of  square kilometres  bangladesh is among the most densely populated countries in the world and shares land borders with india to the west north and east and myanmar to the southeast to the south it has a coastline along the bay of bengal it is narrowly separated from bhutan and nepal by the siliguri corridor and from china by the indian state of sikkim in the north dhaka the capital and largest city is the nations political financial and cultural centre chittagong the second largest city is the busiest port on the bay of bengal the official language is bengali one of the easternmost branches of the indo european language family
",bangladesh officially peoples republic bangladesh country south asia eighth populous country world population exceeding million people area square kilometres bangladesh densely populated countries world shares land borders india west north east myanmar southeast south coastline bay bengal narrowly separated bhutan nepal siliguri corridor china indian state sikkim north dhaka capital largest city nations political financial cultural centre chittagong second largest city busiest port bay bengal official language bengali easternmost branches indo european language family,8.31,"bangladesh,officially,peoples,republic,bangladesh,country,south,asia,eighth,populous,country,world,population,exceeding,million,people,area,square,kilometres,bangladesh,densely,populated,countries,world,shares,land,borders,india,west,north,east,myanmar,southeast,south,coastline,bay,bengal,narrowly,separated,bhutan,nepal,siliguri,corridor,china,indian,state,sikkim,north,dhaka,capital,largest,city,nations,political,financial,cultural,centre,chittagong,second,largest,city,busiest,port,bay,bengal,official,language,bengali,easternmost,branches,indo,european,language,family",0.00,bangladesh
"bangladesh forms the sovereign part of the historic and ethnolinguistic region of bengal which was divided during the partition of india in  the country has a bengali muslim majority ancient bengal was an important cultural centre in the indian subcontinent as the home of the states of vanga pundra gangaridai gauda samatata and harikela the mauryan gupta pala sena chandra and deva dynasties were the last pre islamic rulers of bengal the muslim conquest of bengal began in  when bakhtiar khalji overran northern bengal and invaded tibet becoming part of the delhi sultanate three city states emerged in the th century with much of eastern bengal being ruled from sonargaon sufi missionary leaders like sultan balkhi shah jalal and shah makhdum rupos helped in spreading muslim rule the region was unified into an independent unitary bengal sultanate under mughal rule eastern bengal continued to prosper as the melting pot of muslims in the eastern subcontinent and attracted traders from around the world the bengali elite were among the richest people in the world due to strong trade networks like the muslin trade which supplied textiles such as  of dutch imports from asia mughal bengal became increasingly assertive and independent under the nawabs of bengal in the th century in  the betrayal of mir jafar resulted in the defeat of nawab siraj ud daulah to the british east india company and eventual british dominance across south asia the bengal presidency grew into the largest administrative unit in british india the creation of eastern bengal and assam in  set a precedent for the emergence of bangladesh in  the first prime minister of bengal supported the lahore resolution with the hope of creating a state in the eastern subcontinent prior to the partition of bengal the prime minister of bengal proposed a bengali sovereign state a referendum and the announcement of the radcliffe line established the present day territorial boundary of bangladesh
",bangladesh forms sovereign historic ethnolinguistic region bengal divided partition india country bengali muslim majority ancient bengal important cultural centre indian subcontinent home states vanga pundra gangaridai gauda samatata harikela mauryan gupta pala sena chandra deva dynasties pre islamic rulers bengal muslim conquest bengal began bakhtiar khalji overran northern bengal invaded tibet delhi sultanate city states emerged th century eastern bengal ruled sonargaon sufi missionary leaders like sultan balkhi shah jalal shah makhdum rupos helped spreading muslim rule region unified independent unitary bengal sultanate mughal rule eastern bengal continued prosper melting pot muslims eastern subcontinent attracted traders world bengali elite richest people world strong trade networks like muslin trade supplied textiles dutch imports asia mughal bengal increasingly assertive independent nawabs bengal th century betrayal mir jafar resulted defeat nawab siraj ud daulah british east india company eventual british dominance south asia bengal presidency grew largest administrative unit british india creation eastern bengal assam set precedent emergence bangladesh prime minister bengal supported lahore resolution hope creating state eastern subcontinent prior partition bengal prime minister bengal proposed bengali sovereign state referendum announcement radcliffe line established present day territorial boundary bangladesh,6.70,"bangladesh,forms,sovereign,historic,ethnolinguistic,region,bengal,divided,partition,india,country,bengali,muslim,majority,ancient,bengal,important,cultural,centre,indian,subcontinent,home,states,vanga,pundra,gangaridai,gauda,samatata,harikela,mauryan,gupta,pala,sena,chandra,deva,dynasties,pre,islamic,rulers,bengal,muslim,conquest,bengal,began,bakhtiar,khalji,overran,northern,bengal,invaded,tibet,delhi,sultanate,city,states,emerged,th,century,eastern,bengal,ruled,sonargaon,sufi,missionary,leaders,like,sultan,balkhi,shah,jalal,shah,makhdum,rupos,helped,spreading,muslim,rule,region,unified,independent,unitary,bengal,sultanate,mughal,rule,eastern,bengal,continued,prosper,melting,pot,muslims,eastern,subcontinent,attracted,traders,world,bengali,elite,richest,people,world,strong,trade,networks,like,muslin,trade,supplied,textiles,dutch,imports,asia,mughal,bengal,increasingly,assertive,independent,nawabs,bengal,th,century,betrayal,mir,jafar,resulted,defeat,nawab,siraj,ud,daulah,british,east,india,company,eventual,british,dominance,south,asia,bengal,presidency,grew,largest,administrative,unit,british,india,creation,eastern,bengal,assam,set,precedent,emergence,bangladesh,prime,minister,bengal,supported,lahore,resolution,hope,creating,state,eastern,subcontinent,prior,partition,bengal,prime,minister,bengal,proposed,bengali,sovereign,state,referendum,announcement,radcliffe,line,established,present,day,territorial,boundary,bangladesh",0.00,bangladesh
"in  east bengal became the most populous province in the dominion of pakistan it was renamed as east pakistan with dhaka becoming the countrys legislative capital the bengali language movement in  the east bengali legislative election  the  pakistani coup dtat the six point movement of  and the  pakistani general election resulted in the rise of bengali nationalism and pro democracy movements in east pakistan the refusal of the pakistani military junta to transfer power to the awami league led by sheikh mujibur rahman led to the bangladesh liberation war in  in which the mukti bahini aided by india waged a successful armed revolution the conflict saw the  bangladesh genocide and the massacre of pro independence bengali civilians including intellectuals the new state of bangladesh became the first constitutionally secular state in south asia in  islam was declared the state religion in  in  the bangladesh supreme court reaffirmed secular principles in the constitution
",east bengal populous province dominion pakistan renamed east pakistan dhaka countrys legislative capital bengali language movement east bengali legislative election pakistani coup dtat point movement pakistani general election resulted rise bengali nationalism pro democracy movements east pakistan refusal pakistani military junta transfer power awami league led sheikh mujibur rahman led bangladesh liberation war mukti bahini aided india waged successful armed revolution conflict saw bangladesh genocide massacre pro independence bengali civilians including intellectuals new state bangladesh constitutionally secular state south asia islam declared state religion bangladesh supreme court reaffirmed secular principles constitution,6.21,"east,bengal,populous,province,dominion,pakistan,renamed,east,pakistan,dhaka,countrys,legislative,capital,bengali,language,movement,east,bengali,legislative,election,pakistani,coup,dtat,point,movement,pakistani,general,election,resulted,rise,bengali,nationalism,pro,democracy,movements,east,pakistan,refusal,pakistani,military,junta,transfer,power,awami,league,led,sheikh,mujibur,rahman,led,bangladesh,liberation,war,mukti,bahini,aided,india,waged,successful,armed,revolution,conflict,saw,bangladesh,genocide,massacre,pro,independence,bengali,civilians,including,intellectuals,new,state,bangladesh,constitutionally,secular,state,south,asia,islam,declared,state,religion,bangladesh,supreme,court,reaffirmed,secular,principles,constitution",0.00,bangladesh
"a middle power in the indo pacific bangladesh is the second largest economy in south asia it maintains the third largest military in the region and is a major contributor to un peacekeeping operations the large muslim population of bangladesh makes it the third largest muslim majority country bangladesh is a unitary parliamentary constitutional republic based on the westminster system bengalis make up  of the total population of bangladesh the country consists of eight divisions  districts and  subdistricts it hosts one of the largest refugee populations in the world due to the rohingya genocide bangladesh faces many challenges particularly corruption and effects of climate change bangladesh has been a leader within the climate vulnerable forum it hosts the headquarters of bimstec it is a founding member of saarc as well as a member of the organisation of islamic cooperation and the commonwealth of nations
",middle power indo pacific bangladesh second largest economy south asia maintains largest military region major contributor un peacekeeping operations large muslim population bangladesh makes largest muslim majority country bangladesh unitary parliamentary constitutional republic based westminster system bengalis total population bangladesh country consists divisions districts subdistricts hosts largest refugee populations world rohingya genocide bangladesh faces challenges particularly corruption effects climate change bangladesh leader climate vulnerable forum hosts headquarters bimstec founding member saarc member organisation islamic cooperation commonwealth nations,7.28,"middle,power,indo,pacific,bangladesh,second,largest,economy,south,asia,maintains,largest,military,region,major,contributor,un,peacekeeping,operations,large,muslim,population,bangladesh,makes,largest,muslim,majority,country,bangladesh,unitary,parliamentary,constitutional,republic,based,westminster,system,bengalis,total,population,bangladesh,country,consists,divisions,districts,subdistricts,hosts,largest,refugee,populations,world,rohingya,genocide,bangladesh,faces,challenges,particularly,corruption,effects,climate,change,bangladesh,leader,climate,vulnerable,forum,hosts,headquarters,bimstec,founding,member,saarc,member,organisation,islamic,cooperation,commonwealth,nations",0.00,bangladesh
"the etymology of bangladesh  can be traced to the early th century when bengali patriotic songs such as namo namo namo bangladesh momo by kazi nazrul islam and aaji bangladesher hridoy by rabindranath tagore used the term the term bangladesh was often written as two words bangla desh in the past starting in the s bengali nationalists used the term in political rallies in east pakistan the term bangla is a major name for both the bengal region and the bengali language the origins of the term bangla are unclear with theories pointing to a bronze age proto dravidian tribe the austric word bonga  and the iron age vanga kingdomcitation needed the earliest known usage of the term is the nesari plate in  ad the term vangaladesa is found in th century south indian records the term gained official status during the sultanate of bengal in the th century shamsuddin ilyas shah proclaimed himself as the first shah of bangala in  the word bangl became the most common name for the region during the islamic period th century historian abul fazl ibn mubarak mentions in his ain i akbari that the addition of the suffix al came from the fact that the ancient rajahs of the land raised mounds of earth  feet high and  in breadth in lowlands at the foot of the hills which were called al this is also mentioned in ghulam husain salims riyaz us salatin the indo aryan suffix desh is derived from the sanskrit word deha which means land or country hence the name bangladesh means land of bengal or country of bengal
",etymology bangladesh traced early th century bengali patriotic songs namo namo namo bangladesh momo kazi nazrul islam aaji bangladesher hridoy rabindranath tagore term term bangladesh written words bangla desh past starting bengali nationalists term political rallies east pakistan term bangla major bengal region bengali language origins term bangla unclear theories pointing bronze age proto dravidian tribe austric word bonga iron age vanga kingdomcitation needed earliest known usage term nesari plate ad term vangaladesa found th century south indian records term gained official status sultanate bengal th century shamsuddin ilyas shah proclaimed shah bangala word bangl common region islamic period th century historian abul fazl ibn mubarak mentions akbari addition suffix al came fact ancient rajahs land raised mounds earth feet high breadth lowlands foot hills called al mentioned ghulam husain salims riyaz salatin indo aryan suffix desh derived sanskrit word deha means land country bangladesh means land bengal country bengal,7.81,"etymology,bangladesh,traced,early,th,century,bengali,patriotic,songs,namo,namo,namo,bangladesh,momo,kazi,nazrul,islam,aaji,bangladesher,hridoy,rabindranath,tagore,term,term,bangladesh,written,words,bangla,desh,past,starting,bengali,nationalists,term,political,rallies,east,pakistan,term,bangla,major,bengal,region,bengali,language,origins,term,bangla,unclear,theories,pointing,bronze,age,proto,dravidian,tribe,austric,word,bonga,iron,age,vanga,kingdomcitation,needed,earliest,known,usage,term,nesari,plate,ad,term,vangaladesa,found,th,century,south,indian,records,term,gained,official,status,sultanate,bengal,th,century,shamsuddin,ilyas,shah,proclaimed,shah,bangala,word,bangl,common,region,islamic,period,th,century,historian,abul,fazl,ibn,mubarak,mentions,akbari,addition,suffix,al,came,fact,ancient,rajahs,land,raised,mounds,earth,feet,high,breadth,lowlands,foot,hills,called,al,mentioned,ghulam,husain,salims,riyaz,salatin,indo,aryan,suffix,desh,derived,sanskrit,word,deha,means,land,country,bangladesh,means,land,bengal,country,bengal",0.00,bangladesh
"stone age tools found in bangladesh indicate human habitation for over  yearspage needed and remnants of copper age settlements date back  years ancient bengal was settled by austroasiatics tibeto burmans dravidians and indo aryans in consecutive waves of migration archaeological evidence confirms that by the second millennium bce rice cultivating communities inhabited the region by the th century people lived in systemically aligned housing buried their dead and manufactured copper ornaments and black and red pottery the ganges brahmaputra and meghna rivers were natural arteries for communication and transportation and estuaries on the bay of bengal permitted maritime trade the early iron age saw the development of metal weaponry coinage agriculture and irrigation major urban settlements formed during the late iron age in the mid first millennium bce when the northern black polished ware culture developed in  alexander cunningham identified mahasthangarh as the capital of the pundra kingdom mentioned in the rigveda the oldest inscription in bangladesh was found in mahasthangarh and dates from the rd century bce it is written in the brahmi script
",stone age tools found bangladesh indicate human habitation yearspageneeded remnants copper age settlements date years ancient bengal settled austroasiatics tibeto burmans dravidians indo aryans consecutive waves migration archaeological evidence confirms second millennium bce rice cultivating communities inhabited region th century people lived systemically aligned housing buried dead manufactured copper ornaments black red pottery ganges brahmaputra meghna rivers natural arteries communication transportation estuaries bay bengal permitted maritime trade early iron age saw development metal weaponry coinage agriculture irrigation major urban settlements formed late iron age mid millennium bce northern black polished ware culture developed alexander cunningham identified mahasthangarh capital pundra kingdom mentioned rigveda oldest inscription bangladesh found mahasthangarh dates rd century bce written brahmi script,5.15,"stone,age,tools,found,bangladesh,indicate,human,habitation,yearspageneeded,remnants,copper,age,settlements,date,years,ancient,bengal,settled,austroasiatics,tibeto,burmans,dravidians,indo,aryans,consecutive,waves,migration,archaeological,evidence,confirms,second,millennium,bce,rice,cultivating,communities,inhabited,region,th,century,people,lived,systemically,aligned,housing,buried,dead,manufactured,copper,ornaments,black,red,pottery,ganges,brahmaputra,meghna,rivers,natural,arteries,communication,transportation,estuaries,bay,bengal,permitted,maritime,trade,early,iron,age,saw,development,metal,weaponry,coinage,agriculture,irrigation,major,urban,settlements,formed,late,iron,age,mid,millennium,bce,northern,black,polished,ware,culture,developed,alexander,cunningham,identified,mahasthangarh,capital,pundra,kingdom,mentioned,rigveda,oldest,inscription,bangladesh,found,mahasthangarh,dates,rd,century,bce,written,brahmi,script",0.00,bangladesh
"ancient buddhist and hindu states which ruled bangladesh included the vanga samatata and pundra kingdoms the mauryan and gupta empires the varman dynasty shashankas kingdom the khadga and candra dynasties the pala empire the sena dynasty the harikela kingdom and the deva dynasty these states had well developed currencies banking shipping architecture and art and the ancient universities of bikrampur and mainamati hosted scholars and students from other parts of asia xuanzang of china was a noted scholar who resided at the somapura mahavihara  and atisa travelled from bengal to tibet to preach buddhism the earliest form of the bengali language emerged during the eighth century seafarers in the bay of bengal where modern bangladesh is now located have also been sailing and trading with southeast asia and exported buddhist and hindu cultures to the region since the early christian era
",ancient buddhist hindu states ruled bangladesh included vanga samatata pundra kingdoms mauryan gupta empires varman dynasty shashankas kingdom khadga candra dynasties pala empire sena dynasty harikela kingdom deva dynasty states developed currencies banking shipping architecture art ancient universities bikrampur mainamati hosted scholars students parts asia xuanzang china noted scholar resided somapura mahavihara atisa travelled bengal tibet preach buddhism earliest form bengali language emerged eighth century seafarers bay bengal modern bangladesh located sailing trading southeast asia exported buddhist hindu cultures region early christian era,6.48,"ancient,buddhist,hindu,states,ruled,bangladesh,included,vanga,samatata,pundra,kingdoms,mauryan,gupta,empires,varman,dynasty,shashankas,kingdom,khadga,candra,dynasties,pala,empire,sena,dynasty,harikela,kingdom,deva,dynasty,states,developed,currencies,banking,shipping,architecture,art,ancient,universities,bikrampur,mainamati,hosted,scholars,students,parts,asia,xuanzang,china,noted,scholar,resided,somapura,mahavihara,atisa,travelled,bengal,tibet,preach,buddhism,earliest,form,bengali,language,emerged,eighth,century,seafarers,bay,bengal,modern,bangladesh,located,sailing,trading,southeast,asia,exported,buddhist,hindu,cultures,region,early,christian,era",0.00,bangladesh
"the early history of islam in bengal is divided into two phases the first phase is the period of maritime trade with arabia and persia between the th and th centuries the second phase covers centuries of muslim dynastic rule after the islamic conquest of bengal the writings of al idrisi ibn hawqal al masudi ibn khordadbeh and sulaiman record the maritime links between arabia persia and bengal muslim trade with bengal flourished after the fall of the sasanian empire and the arab takeover of persian trade routes much of this trade occurred with southeastern bengal in areas east of the meghna river there is speculation regarding the presence of a muslim community in bangladesh as early as  ce this is based on the discovery of one of south asias oldest mosques in northern bangladesh bengal was possibly used as a transit route to china by the earliest muslims abbasid coins have been discovered in the archaeological ruins of paharpur and mainamati a collection of sasanian umayyad and abbasid coins are preserved in the bangladesh national museum
",early history islam bengal divided phases phase period maritime trade arabia persia th th centuries second phase covers centuries muslim dynastic rule islamic conquest bengal writings al idrisi ibn hawqal al masudi ibn khordadbeh sulaiman record maritime links arabia persia bengal muslim trade bengal flourished fall sasanian empire arab takeover persian trade routes trade occurred southeastern bengal areas east meghna river speculation presence muslim community bangladesh early ce based discovery south asias oldest mosques northern bangladesh bengal possibly transit route china earliest muslims abbasid coins discovered archaeological ruins paharpur mainamati collection sasanian umayyad abbasid coins preserved bangladesh national museum,7.39,"early,history,islam,bengal,divided,phases,phase,period,maritime,trade,arabia,persia,th,th,centuries,second,phase,covers,centuries,muslim,dynastic,rule,islamic,conquest,bengal,writings,al,idrisi,ibn,hawqal,al,masudi,ibn,khordadbeh,sulaiman,record,maritime,links,arabia,persia,bengal,muslim,trade,bengal,flourished,fall,sasanian,empire,arab,takeover,persian,trade,routes,trade,occurred,southeastern,bengal,areas,east,meghna,river,speculation,presence,muslim,community,bangladesh,early,ce,based,discovery,south,asias,oldest,mosques,northern,bangladesh,bengal,possibly,transit,route,china,earliest,muslims,abbasid,coins,discovered,archaeological,ruins,paharpur,mainamati,collection,sasanian,umayyad,abbasid,coins,preserved,bangladesh,national,museum",0.00,bangladesh
"after the  battle of plassey bengal was the first region of the indian subcontinent conquered by the british east india company the company formed the presidency of fort william which administered the region until  a notable aspect of company rule was the permanent settlement which established the feudal zamindari system in addition company policies led to the deindustrialisation of bengals textile industry the capital amassed by the east india company in bengal was invested in the emerging industrial revolution in great britain in industries such as textile manufacturing economic mismanagement alongside drought and a smallpox epidemic directly led to the great bengal famine of  which is estimated to have caused the deaths of between  million and  million people several rebellions broke out during the early th century  as company rule had displaced the muslim ruling class from power a conservative islamic cleric haji shariatullah sought to overthrow the british by propagating islamic revivalism several towns in bangladesh participated in the indian rebellion of  and pledged allegiance to the last mughal emperor bahadur shah zafar who was later exiled to neighbouring burma
",battle plassey bengal region indian subcontinent conquered british east india company company formed presidency fort william administered region notable aspect company rule permanent settlement established feudal zamindari system addition company policies led deindustrialisation bengals textile industry capital amassed east india company bengal invested emerging industrial revolution great britain industries textile manufacturing economic mismanagement alongside drought smallpox epidemic directly led great bengal famine estimated caused deaths million million people rebellions broke early th century company rule displaced muslim ruling class power conservative islamic cleric haji shariatullah sought overthrow british propagating islamic revivalism towns bangladesh participated indian rebellion pledged allegiance mughal emperor bahadur shah zafar later exiled neighbouring burma,6.21,"battle,plassey,bengal,region,indian,subcontinent,conquered,british,east,india,company,company,formed,presidency,fort,william,administered,region,notable,aspect,company,rule,permanent,settlement,established,feudal,zamindari,system,addition,company,policies,led,deindustrialisation,bengals,textile,industry,capital,amassed,east,india,company,bengal,invested,emerging,industrial,revolution,great,britain,industries,textile,manufacturing,economic,mismanagement,alongside,drought,smallpox,epidemic,directly,led,great,bengal,famine,estimated,caused,deaths,million,million,people,rebellions,broke,early,th,century,company,rule,displaced,muslim,ruling,class,power,conservative,islamic,cleric,haji,shariatullah,sought,overthrow,british,propagating,islamic,revivalism,towns,bangladesh,participated,indian,rebellion,pledged,allegiance,mughal,emperor,bahadur,shah,zafar,later,exiled,neighbouring,burma",0.00,bangladesh
"the challenge posed to company rule by the failed indian mutiny led to the creation of the british indian empire as a crown colony the british established several schools colleges and a university in bangladesh syed ahmed khan and ram mohan roy promoted modern and liberal education in the subcontinent inspiring the aligarh movement and the bengal renaissance during the late th century novelists social reformers and feminists emerged from muslim bengali society electricity and municipal water systems were introduced in the s cinemas opened in many towns during the early th century east bengals plantation economy was important to the british empire particularly its jute and tea the british established tax free river ports such as the port of narayanganj and large seaports like the port of chittagong
",challenge posed company rule failed indian mutiny led creation british indian empire crown colony british established schools colleges university bangladesh syed ahmed khan ram mohan roy promoted modern liberal education subcontinent inspiring aligarh movement bengal renaissance late th century novelists social reformers feminists emerged muslim bengali society electricity municipal water systems introduced cinemas opened towns early th century east bengals plantation economy important british empire particularly jute tea british established tax free river ports port narayanganj large seaports like port chittagong,5.93,"challenge,posed,company,rule,failed,indian,mutiny,led,creation,british,indian,empire,crown,colony,british,established,schools,colleges,university,bangladesh,syed,ahmed,khan,ram,mohan,roy,promoted,modern,liberal,education,subcontinent,inspiring,aligarh,movement,bengal,renaissance,late,th,century,novelists,social,reformers,feminists,emerged,muslim,bengali,society,electricity,municipal,water,systems,introduced,cinemas,opened,towns,early,th,century,east,bengals,plantation,economy,important,british,empire,particularly,jute,tea,british,established,tax,free,river,ports,port,narayanganj,large,seaports,like,port,chittagong",0.00,bangladesh
