Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bangladeshis  are the citizens of bangladesh a south asian country centered on the transnational historical region of bengal along the eponymous bay
",bangladeshis citizens bangladesh south asian country centered transnational historical region bengal eponymous bay,6.04,"bangladeshis,citizens,bangladesh,south,asian,country,centered,transnational,historical,region,bengal,eponymous,bay",0.00,bangladesh
"bangladeshi citizenship was formed in  when the permanent residents of the former east pakistan were transformed into citizens of a new republic bangladesh is the worlds eighth most populous nation the vast majority of bangladeshis are ethnolingustically bengalis an indo aryan people the population of bangladesh is concentrated in the fertile bengal delta which has been the center of urban and agrarian civilizations for millennia the countrys highlands including the chittagong hill tracts and parts of the sylhet division are home to various tribal minorities
",bangladeshi citizenship formed permanent residents east pakistan transformed citizens new republic bangladesh worlds eighth populous nation vast majority bangladeshis ethnolingustically bengalis indo aryan people population bangladesh concentrated fertile bengal delta center urban agrarian civilizations millennia countrys highlands including chittagong hill tracts parts sylhet division home tribal minorities,6.73,"bangladeshi,citizenship,formed,permanent,residents,east,pakistan,transformed,citizens,new,republic,bangladesh,worlds,eighth,populous,nation,vast,majority,bangladeshis,ethnolingustically,bengalis,indo,aryan,people,population,bangladesh,concentrated,fertile,bengal,delta,center,urban,agrarian,civilizations,millennia,countrys,highlands,including,chittagong,hill,tracts,parts,sylhet,division,home,tribal,minorities",0.00,bangladesh
"bengali muslims are the predominant ethnoreligious group of bangladesh with a population of  million which makes up  of the countrys population as of  the minority bengali hindu population made up approximately  of the population of the country according to the  census non bengali muslims make up the largest immigrant community while the tibeto burman chakmas who speak the indo aryan chakma language are the largest indigenous ethnic group after indo aryan bengalis the austroasiatic santhals are the largest aboriginal community
",bengali muslims predominant ethnoreligious group bangladesh population million makes countrys population minority bengali hindu population approximately population country according census non bengali muslims largest immigrant community tibeto burman chakmas speak indo aryan chakma language largest indigenous ethnic group indo aryan bengalis austroasiatic santhals largest aboriginal community,6.38,"bengali,muslims,predominant,ethnoreligious,group,bangladesh,population,million,makes,countrys,population,minority,bengali,hindu,population,approximately,population,country,according,census,non,bengali,muslims,largest,immigrant,community,tibeto,burman,chakmas,speak,indo,aryan,chakma,language,largest,indigenous,ethnic,group,indo,aryan,bengalis,austroasiatic,santhals,largest,aboriginal,community",0.00,bangladesh
"after independence of bangladesh in  bangladeshis as a nationality have been referred to by various terms
",independence bangladesh bangladeshis nationality referred terms,9.43,"independence,bangladesh,bangladeshis,nationality,referred,terms",0.00,bangladesh
"religions in bangladesh 
",religions bangladesh,4.00,"religions,bangladesh",0.00,bangladesh
"
bangladesh has a population of  as per  january official projections as per as  estimation research around  million bangladeshis lives abroad in the various foreign nations the estimated total population of all bangladeshis including the ones who are living in their country and abroad is about  million as per   estimation
",bangladesh population january official projections estimation research million bangladeshis lives abroad foreign nations estimated total population bangladeshis including ones living country abroad million estimation,7.69,"bangladesh,population,january,official,projections,estimation,research,million,bangladeshis,lives,abroad,foreign,nations,estimated,total,population,bangladeshis,including,ones,living,country,abroad,million,estimation",0.00,bangladesh
"over  of the population are bengali muslims  as of  this makes bangladesh the worlds third largest muslim majority country after indonesia and pakistan bengali muslims also make up the worlds second largest muslim ethnic group after arab muslims most bangladeshi muslims are member of the sunni branch of islam there are significant minorities of the shia and ahmadiya branches bengali hindus are the largest minority of bangladesh with a population between  million constituting  as per  census bangladesh has the third largest hindu population in the world after india and nepal there are an estimated  bengali christians and  bengali buddhists
",population bengali muslims makes bangladesh worlds largest muslim majority country indonesia pakistan bengali muslims worlds second largest muslim ethnic group arab muslims bangladeshi muslims member sunni branch islam significant minorities shia ahmadiya branches bengali hindus largest minority bangladesh population million constituting census bangladesh largest hindu population world india nepal estimated bengali christians bengali buddhists,6.96,"population,bengali,muslims,makes,bangladesh,worlds,largest,muslim,majority,country,indonesia,pakistan,bengali,muslims,worlds,second,largest,muslim,ethnic,group,arab,muslims,bangladeshi,muslims,member,sunni,branch,islam,significant,minorities,shia,ahmadiya,branches,bengali,hindus,largest,minority,bangladesh,population,million,constituting,census,bangladesh,largest,hindu,population,world,india,nepal,estimated,bengali,christians,bengali,buddhists",0.00,bangladesh
"an estimated  million bangladeshi citizens are non bengali muslim immigrants from different parts of south asia they include affluent sections of the countrys merchant and business class particularly nizari ismailism adherents they also include former stranded pakistanis and their descendants bangladeshs non bengali muslims are usually fluent in both bengali and hindustani also there are over  million rohingya muslim refugees living in bangladesh who have came here during the period of  crisis on  september  at the rd united nations general assembly bangladeshi prime minister sheikh hasina said there are   million rohingya refugees now in bangladesh
",estimated million bangladeshi citizens non bengali muslim immigrants different parts south asia include affluent sections countrys merchant business class particularly nizari ismailism adherents include stranded pakistanis descendants bangladeshs non bengali muslims usually fluent bengali hindustani million rohingya muslim refugees living bangladesh came period crisis september rd united nations general assembly bangladeshi prime minister sheikh hasina said million rohingya refugees bangladesh,5.32,"estimated,million,bangladeshi,citizens,non,bengali,muslim,immigrants,different,parts,south,asia,include,affluent,sections,countrys,merchant,business,class,particularly,nizari,ismailism,adherents,include,stranded,pakistanis,descendants,bangladeshs,non,bengali,muslims,usually,fluent,bengali,hindustani,million,rohingya,muslim,refugees,living,bangladesh,came,period,crisis,september,rd,united,nations,general,assembly,bangladeshi,prime,minister,sheikh,hasina,said,million,rohingya,refugees,bangladesh",0.00,bangladesh
"in southeastern bangladesh the chittagong hill tracts frontier has a district history it was an exclusive zone for tibeto burman tribes in bengal during the british raj today the area makes up  of bangladeshs territory it is home to several indigenous ethnic groups in the three hill districts of rangamati bandarban and khagrachari the three largest communities in the region have a raja as their tribal chief who is recognized by the government of bangladesh
",southeastern bangladesh chittagong hill tracts frontier district history exclusive zone tibeto burman tribes bengal british raj today area makes bangladeshs territory home indigenous ethnic groups hill districts rangamati bandarban khagrachari largest communities region raja tribal chief recognized government bangladesh,7.81,"southeastern,bangladesh,chittagong,hill,tracts,frontier,district,history,exclusive,zone,tibeto,burman,tribes,bengal,british,raj,today,area,makes,bangladeshs,territory,home,indigenous,ethnic,groups,hill,districts,rangamati,bandarban,khagrachari,largest,communities,region,raja,tribal,chief,recognized,government,bangladesh",0.00,bangladesh
"there are several austroasiatic tibeto burman and indo aryan ethnic groups which inhabit parts of northern and northeastern bangladesh
",austroasiatic tibeto burman indo aryan ethnic groups inhabit parts northern northeastern bangladesh,5.19,"austroasiatic,tibeto,burman,indo,aryan,ethnic,groups,inhabit,parts,northern,northeastern,bangladesh",0.00,bangladesh
"in   of bangladeshis lived in cities dhaka is the largest city in bangladesh and one of the worlds most populous megacities other important cities include chittagong sylhet khulna rajshahi jessore barisal comilla narayanganj and mymensingh most urban centers are rural administrative towns urban centers grew in number and population during the s as a result of an administrative decentralization program that featured the creation of upazilas
",bangladeshis lived cities dhaka largest city bangladesh worlds populous megacities important cities include chittagong sylhet khulna rajshahi jessore barisal comilla narayanganj mymensingh urban centers rural administrative towns urban centers grew number population result administrative decentralization program featured creation upazilas,6.08,"bangladeshis,lived,cities,dhaka,largest,city,bangladesh,worlds,populous,megacities,important,cities,include,chittagong,sylhet,khulna,rajshahi,jessore,barisal,comilla,narayanganj,mymensingh,urban,centers,rural,administrative,towns,urban,centers,grew,number,population,result,administrative,decentralization,program,featured,creation,upazilas",0.00,bangladesh
