Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"beijing  alternatively romanized as peking  is the capital of the peoples republic of china with over  million residents beijing is the worlds most populous national capital city and is chinas second largest city after shanghai it is located in northern china and is governed as a municipality under the direct administration of the state council with  urban suburban and rural districts beijing is mostly surrounded by hebei province with the exception of neighboring tianjin to the southeast together the three divisions form the jingjinji megalopolis and the national capital region of china
",beijing alternatively romanized peking capital peoples republic china million residents beijing worlds populous national capital city chinas second largest city shanghai located northern china governed municipality direct administration state council urban suburban rural districts beijing surrounded hebei province exception neighboring tianjin southeast divisions form jingjinji megalopolis national capital region china,7.06,"beijing,alternatively,romanized,peking,capital,peoples,republic,china,million,residents,beijing,worlds,populous,national,capital,city,chinas,second,largest,city,shanghai,located,northern,china,governed,municipality,direct,administration,state,council,urban,suburban,rural,districts,beijing,surrounded,hebei,province,exception,neighboring,tianjin,southeast,divisions,form,jingjinji,megalopolis,national,capital,region,china",0.00,beijing
"beijing is a global city and one of the worlds leading centres for culture diplomacy politics finance business and economics education research language tourism media sport science and technology and transportation as a megacity beijing is the second largest chinese city by urban population after shanghai it is home to the headquarters of most of chinas largest state owned companies and houses the largest number of fortune global  companies in the world as well as the worlds four biggest financial institutions by total assets it is also a major hub for the national highway expressway railway and high speed rail networks the beijing capital international airport has been the second busiest in the world by passenger traffic  since  and as of update the citys subway network is the busiest and longest in the world the beijing daxing international airport a second international airport in beijing is the largest single structure airport terminal in the world
",beijing global city worlds leading centres culture diplomacy politics finance business economics education research language tourism media sport science technology transportation megacity beijing second largest chinese city urban population shanghai home headquarters chinas largest state owned companies houses largest number fortune global companies world worlds biggest financial institutions total assets major hub national highway expressway railway high speed rail networks beijing capital international airport second busiest world passenger traffic update citys subway network busiest longest world beijing daxing international airport second international airport beijing largest single structure airport terminal world,6.72,"beijing,global,city,worlds,leading,centres,culture,diplomacy,politics,finance,business,economics,education,research,language,tourism,media,sport,science,technology,transportation,megacity,beijing,second,largest,chinese,city,urban,population,shanghai,home,headquarters,chinas,largest,state,owned,companies,houses,largest,number,fortune,global,companies,world,worlds,biggest,financial,institutions,total,assets,major,hub,national,highway,expressway,railway,high,speed,rail,networks,beijing,capital,international,airport,second,busiest,world,passenger,traffic,update,citys,subway,network,busiest,longest,world,beijing,daxing,international,airport,second,international,airport,beijing,largest,single,structure,airport,terminal,world",0.00,beijing
"combining both modern and traditional style architectures beijing is one of the oldest cities in the world with a rich history dating back over three millennia as the last of the four great ancient capitals of china beijing has been the political center of the country for most of the past eight centuries and was the largest city in the world by population for much of the second millennium ce with mountains surrounding the inland city on three sides in addition to the old inner and outer city walls beijing was strategically poised and developed to be the residence of the emperor and thus was the perfect location for the imperial capital the city is renowned for its opulent palaces temples parks gardens tombs walls and gates beijing is one of the most important tourist destinations of the world in  beijing was the second highest earning tourist city in the world after shanghai beijing is home to many national monuments and museums and has seven unesco world heritage sitesthe forbidden city temple of heaven summer palace ming tombs zhoukoudian and parts of the great wall and the grand canalall of which are popular tourist locations siheyuans the citys traditional housing style and hutongs the narrow alleys between siheyuans are major tourist attractions and are common in urban beijing
",combining modern traditional style architectures beijing oldest cities world rich history dating millennia great ancient capitals china beijing political center country past centuries largest city world population second millennium ce mountains surrounding inland city sides addition old inner outer city walls beijing strategically poised developed residence emperor perfect location imperial capital city renowned opulent palaces temples parks gardens tombs walls gates beijing important tourist destinations world beijing second highest earning tourist city world shanghai beijing home national monuments museums seven unesco world heritage sitesthe forbidden city temple heaven summer palace ming tombs zhoukoudian parts great wall grand canalall popular tourist locations siheyuans citys traditional housing style hutongs narrow alleys siheyuans major tourist attractions common urban beijing,7.83,"combining,modern,traditional,style,architectures,beijing,oldest,cities,world,rich,history,dating,millennia,great,ancient,capitals,china,beijing,political,center,country,past,centuries,largest,city,world,population,second,millennium,ce,mountains,surrounding,inland,city,sides,addition,old,inner,outer,city,walls,beijing,strategically,poised,developed,residence,emperor,perfect,location,imperial,capital,city,renowned,opulent,palaces,temples,parks,gardens,tombs,walls,gates,beijing,important,tourist,destinations,world,beijing,second,highest,earning,tourist,city,world,shanghai,beijing,home,national,monuments,museums,seven,unesco,world,heritage,sitesthe,forbidden,city,temple,heaven,summer,palace,ming,tombs,zhoukoudian,parts,great,wall,grand,canalall,popular,tourist,locations,siheyuans,citys,traditional,housing,style,hutongs,narrow,alleys,siheyuans,major,tourist,attractions,common,urban,beijing",0.00,beijing
"beijings public universities make up more than one fifth of double first class universities and many of them consistently rank among the best in the asia pacific and the world beijing is home to the two best c league universities  in asia  oceania region and emerging countries beijing cbd is a center for beijings economic expansion with the ongoing or recently completed construction of multiple skyscrapers beijings zhongguancun area is a world leading center of scientific and technological innovation as well as entrepreneurship beijing has been ranked the city with the largest scientific research output by the nature index since  the city has hosted numerous international and national sporting events the most notable being the  summer olympics and  summer paralympics games in  beijing became the first city ever to host both the summer and winter olympics and also the summer and winter paralympics beijing hosts  foreign embassies as well as the headquarters of many organizations including the asian infrastructure investment bank  the shanghai cooperation organisation  the silk road fund the chinese academy of sciences the chinese academy of engineering the chinese academy of social sciences the central academy of fine arts the central academy of drama the central conservatory of music and the red cross society of china
",beijings public universities fifth double class universities consistently rank best asia pacific world beijing home best c league universities asia oceania region emerging countries beijing cbd center beijings economic expansion ongoing recently completed construction multiple skyscrapers beijings zhongguancun area world leading center scientific technological innovation entrepreneurship beijing ranked city largest scientific research output nature index city hosted numerous international national sporting events notable summer olympics summer paralympics games beijing city host summer winter olympics summer winter paralympics beijing hosts foreign embassies headquarters organizations including asian infrastructure investment bank shanghai cooperation organisation silk road fund chinese academy sciences chinese academy engineering chinese academy social sciences central academy fine arts central academy drama central conservatory music red cross society china,6.72,"beijings,public,universities,fifth,double,class,universities,consistently,rank,best,asia,pacific,world,beijing,home,best,c,league,universities,asia,oceania,region,emerging,countries,beijing,cbd,center,beijings,economic,expansion,ongoing,recently,completed,construction,multiple,skyscrapers,beijings,zhongguancun,area,world,leading,center,scientific,technological,innovation,entrepreneurship,beijing,ranked,city,largest,scientific,research,output,nature,index,city,hosted,numerous,international,national,sporting,events,notable,summer,olympics,summer,paralympics,games,beijing,city,host,summer,winter,olympics,summer,winter,paralympics,beijing,hosts,foreign,embassies,headquarters,organizations,including,asian,infrastructure,investment,bank,shanghai,cooperation,organisation,silk,road,fund,chinese,academy,sciences,chinese,academy,engineering,chinese,academy,social,sciences,central,academy,fine,arts,central,academy,drama,central,conservatory,music,red,cross,society,china",0.00,beijing
"over the past  years the city of beijing has had numerous other names the name beijing which means northern capital  was applied to the city in  during the ming dynasty to distinguish the city from nanjing  the english spelling beijing is based on the governments official romanization  of the two characters as they are pronounced in standard mandarin an older english spelling peking was used by jesuit missionary martino martini in a popular atlas published in amsterdam in  although peking is no longer the common name for the city some of the citys older locations and facilities such as beijing capital international airport with the iata code pek and peking university still retain the former romanization
",past years city beijing numerous names beijing means northern capital applied city ming dynasty distinguish city nanjing english spelling beijing based governments official romanization characters pronounced standard mandarin older english spelling peking jesuit missionary martino martini popular atlas published amsterdam peking longer common city citys older locations facilities beijing capital international airport iata code pek peking university retain romanization,7.99,"past,years,city,beijing,numerous,names,beijing,means,northern,capital,applied,city,ming,dynasty,distinguish,city,nanjing,english,spelling,beijing,based,governments,official,romanization,characters,pronounced,standard,mandarin,older,english,spelling,peking,jesuit,missionary,martino,martini,popular,atlas,published,amsterdam,peking,longer,common,city,citys,older,locations,facilities,beijing,capital,international,airport,iata,code,pek,peking,university,retain,romanization",0.00,beijing
"the single chinese character abbreviation for beijing is  which appears on automobile license plates in the city the official latin alphabet abbreviation for beijing is bj
",single chinese character abbreviation beijing appears automobile license plates city official latin alphabet abbreviation beijing bj,5.81,"single,chinese,character,abbreviation,beijing,appears,automobile,license,plates,city,official,latin,alphabet,abbreviation,beijing,bj",0.00,beijing
"the first walled city in beijing was jicheng the capital city of the state of ji and was built in  because within modern beijing jicheng was located around the present guanganmen area in the south of xicheng district this settlement was later conquered by the state of yan and made its capital
",walled city beijing jicheng capital city state ji built modern beijing jicheng located present guanganmen area south xicheng district settlement later conquered state yan capital,9.18,"walled,city,beijing,jicheng,capital,city,state,ji,built,modern,beijing,jicheng,located,present,guanganmen,area,south,xicheng,district,settlement,later,conquered,state,yan,capital",0.00,beijing
"after china was reunified by the sui dynasty in  jicheng also known as zhuojun became the northern terminus of the grand canal under the tang dynasty jicheng as youzhou served as a military frontier command center during the an shi rebellion and again amidst the turmoil of the late tang local military commanders founded their own short lived yan dynasties and called the city yanjing or the yan capital also in the tang dynasty the citys name jicheng was replaced by youzhou or yanjing in  after the fall of the tang the later jin ceded the frontier territory including what is now beijing to the khitan liao dynasty which treated the city as nanjing or the southern capital one of four secondary capitals to complement its supreme capital shangjing  some of the oldest surviving pagodas in beijing date to the liao period including the tianning pagoda
",china reunified sui dynasty jicheng known zhuojun northern terminus grand canal tang dynasty jicheng youzhou served military frontier command center shi rebellion amidst turmoil late tang local military commanders founded short lived yan dynasties called city yanjing yan capital tang dynasty citys jicheng replaced youzhou yanjing fall tang later jin ceded frontier territory including beijing khitan liao dynasty treated city nanjing southern capital secondary capitals complement supreme capital shangjing oldest surviving pagodas beijing date liao period including tianning pagoda,7.84,"china,reunified,sui,dynasty,jicheng,known,zhuojun,northern,terminus,grand,canal,tang,dynasty,jicheng,youzhou,served,military,frontier,command,center,shi,rebellion,amidst,turmoil,late,tang,local,military,commanders,founded,short,lived,yan,dynasties,called,city,yanjing,yan,capital,tang,dynasty,citys,jicheng,replaced,youzhou,yanjing,fall,tang,later,jin,ceded,frontier,territory,including,beijing,khitan,liao,dynasty,treated,city,nanjing,southern,capital,secondary,capitals,complement,supreme,capital,shangjing,oldest,surviving,pagodas,beijing,date,liao,period,including,tianning,pagoda",0.00,beijing
"the liao fell to the jurchen jin dynasty in  which gave the city to the song dynasty and then retook it in  during its conquest of northern china in  the jurchen jin made beijing their central capital or zhongdu the city was besieged by genghis khans invading mongolian army in  and razed to the ground two years later two generations later kublai khan ordered the construction of dadu  a new capital for his yuan dynasty to the northeast of the zhongdu ruins the construction took from  to  but greatly enhanced the status of a city on the northern fringe of china proper the city was centered on the drum tower slightly to the north of modern beijing and stretched from the present day changan avenue to the northern part of line  subway remnants of the yuan rammed earth wall still stand and are known as the tucheng
",liao fell jurchen jin dynasty gave city song dynasty retook conquest northern china jurchen jin beijing central capital zhongdu city besieged genghis khans invading mongolian army razed ground years later generations later kublai khan ordered construction dadu new capital yuan dynasty northeast zhongdu ruins construction took greatly enhanced status city northern fringe china proper city centered drum tower slightly north modern beijing stretched present day changan avenue northern line subway remnants yuan rammed earth wall stand known tucheng,8.41,"liao,fell,jurchen,jin,dynasty,gave,city,song,dynasty,retook,conquest,northern,china,jurchen,jin,beijing,central,capital,zhongdu,city,besieged,genghis,khans,invading,mongolian,army,razed,ground,years,later,generations,later,kublai,khan,ordered,construction,dadu,new,capital,yuan,dynasty,northeast,zhongdu,ruins,construction,took,greatly,enhanced,status,city,northern,fringe,china,proper,city,centered,drum,tower,slightly,north,modern,beijing,stretched,present,day,changan,avenue,northern,line,subway,remnants,yuan,rammed,earth,wall,stand,known,tucheng",0.00,beijing
"the early death of zhu yuanzhangs heir led to a succession struggle upon his death one that ended with the victory of zhu di and the declaration of the new yongle era since his harsh treatment of the ming capital yingtian  alienated many there he established his fief as a new co capital the city of beiping became beijing  or shuntian in  the construction of the new imperial residence the forbidden city took from  to  this period was also responsible for several other of the modern citys major attractions such as the temple of heaven and tiananmen on  october  the city was officially designated the capital of the ming dynasty in the same year that the forbidden city was completed beijing became the empires primary capital and yingtian also called nanjing  became the co capital 
",early death zhu yuanzhangs heir led succession struggle death ended victory zhu di declaration new yongle era harsh treatment ming capital yingtian alienated established fief new co capital city beiping beijing shuntian construction new imperial residence forbidden city took period responsible modern citys major attractions temple heaven tiananmen october city officially designated capital ming dynasty year forbidden city completed beijing empires primary capital yingtian called nanjing co capital,8.50,"early,death,zhu,yuanzhangs,heir,led,succession,struggle,death,ended,victory,zhu,di,declaration,new,yongle,era,harsh,treatment,ming,capital,yingtian,alienated,established,fief,new,co,capital,city,beiping,beijing,shuntian,construction,new,imperial,residence,forbidden,city,took,period,responsible,modern,citys,major,attractions,temple,heaven,tiananmen,october,city,officially,designated,capital,ming,dynasty,year,forbidden,city,completed,beijing,empires,primary,capital,yingtian,called,nanjing,co,capital",0.00,beijing
