Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"belgrade  names in other languages is the capital and largest city of serbia it is located at the confluence of the sava and danube rivers and at the crossroads of the pannonian plain and the balkan peninsula the population of the belgrade metropolitan area is  according to the  census it is the third most populated of all cities on the danube river
",belgrade names languages capital largest city serbia located confluence sava danube rivers crossroads pannonian plain balkan peninsula population belgrade metropolitan area according census populated cities danube river,9.94,"belgrade,names,languages,capital,largest,city,serbia,located,confluence,sava,danube,rivers,crossroads,pannonian,plain,balkan,peninsula,population,belgrade,metropolitan,area,according,census,populated,cities,danube,river",0.00,belgrade
"belgrade is one of the oldest continuously inhabited cities in europe and the world one of the most important prehistoric cultures of europe the vina culture evolved within the belgrade area in the th millennium because in antiquity thraco dacians inhabited the region and after  because celts settled the city naming it singidn it was conquered by the romans under the reign of augustus and awarded roman city rights in the mid nd century it was settled by the slavs in the s and changed hands several times between the byzantine empire the frankish empire the bulgarian empire and the kingdom of hungary before it became the seat of the serbian king stefan dragutin in  belgrade served as capital of the serbian despotate during the reign of stefan lazarevi and then his successor ura brankovi returned it to the hungarian king in  noon bells in support of the hungarian army against the ottoman empire during the siege in  have remained a widespread church tradition to this day in  belgrade was conquered by the ottomans and became the seat of the sanjak of smederevo it frequently passed from ottoman to habsburg rule which saw the destruction of most of the city during the ottomanhabsburg wars
",belgrade oldest continuously inhabited cities europe world important prehistoric cultures europe vina culture evolved belgrade area th millennium antiquity thraco dacians inhabited region celts settled city naming singidn conquered romans reign augustus awarded roman city rights mid nd century settled slavs changed hands times byzantine empire frankish empire bulgarian empire kingdom hungary seat serbian king stefan dragutin belgrade served capital serbian despotate reign stefan lazarevi successor ura brankovi returned hungarian king noon bells support hungarian army ottoman empire siege remained widespread church tradition day belgrade conquered ottomans seat sanjak smederevo frequently passed ottoman habsburg rule saw destruction city ottomanhabsburg wars,8.66,"belgrade,oldest,continuously,inhabited,cities,europe,world,important,prehistoric,cultures,europe,vina,culture,evolved,belgrade,area,th,millennium,antiquity,thraco,dacians,inhabited,region,celts,settled,city,naming,singidn,conquered,romans,reign,augustus,awarded,roman,city,rights,mid,nd,century,settled,slavs,changed,hands,times,byzantine,empire,frankish,empire,bulgarian,empire,kingdom,hungary,seat,serbian,king,stefan,dragutin,belgrade,served,capital,serbian,despotate,reign,stefan,lazarevi,successor,ura,brankovi,returned,hungarian,king,noon,bells,support,hungarian,army,ottoman,empire,siege,remained,widespread,church,tradition,day,belgrade,conquered,ottomans,seat,sanjak,smederevo,frequently,passed,ottoman,habsburg,rule,saw,destruction,city,ottomanhabsburg,wars",0.00,belgrade
"following the serbian revolution belgrade was once again named the capital of serbia in  northern belgrade remained the southernmost habsburg post until  when it was attached to the city due to former austro hungarian territories becoming part of the new kingdom of serbs croats and slovenes after world war i belgrade was the capital of yugoslavia from its creation in  to its dissolution in note  in a fatally strategic position the city has been battled over in  wars and razed  times being bombed five times and besieged many times
",following serbian revolution belgrade named capital serbia northern belgrade remained southernmost habsburg post attached city austro hungarian territories new kingdom serbs croats slovenes world war belgrade capital yugoslavia creation dissolution note fatally strategic position city battled wars razed times bombed times besieged times,8.58,"following,serbian,revolution,belgrade,named,capital,serbia,northern,belgrade,remained,southernmost,habsburg,post,attached,city,austro,hungarian,territories,new,kingdom,serbs,croats,slovenes,world,war,belgrade,capital,yugoslavia,creation,dissolution,note,fatally,strategic,position,city,battled,wars,razed,times,bombed,times,besieged,times",0.00,belgrade
"being serbias primate city belgrade has special administrative status within serbia it is the seat of the central government administrative bodies and government ministries as well as home of almost all of the largest serbian companies media and scientific institutions belgrade is classified as a beta global city the city is home to the clinical centre of serbia one of the hospital complexes with the largest capacity in the world the church of saint sava one of the largest orthodox church buildings and the tark arena one of the largest capacity indoor arenas in europe belgrade hosted major international events such as the danube river conference of  the first non aligned movement summit  the first major gathering of the osce  the eurovision song contest  as well as sports events such as the first fina world aquatics championships  uefa euro  summer universiade  and eurobasket three times 
",serbias primate city belgrade special administrative status serbia seat central government administrative bodies government ministries home largest serbian companies media scientific institutions belgrade classified beta global city city home clinical centre serbia hospital complexes largest capacity world church saint sava largest orthodox church buildings tark arena largest capacity indoor arenas europe belgrade hosted major international events danube river conference non aligned movement summit major gathering osce eurovision song contest sports events fina world aquatics championships uefa euro summer universiade eurobasket times,7.10,"serbias,primate,city,belgrade,special,administrative,status,serbia,seat,central,government,administrative,bodies,government,ministries,home,largest,serbian,companies,media,scientific,institutions,belgrade,classified,beta,global,city,city,home,clinical,centre,serbia,hospital,complexes,largest,capacity,world,church,saint,sava,largest,orthodox,church,buildings,tark,arena,largest,capacity,indoor,arenas,europe,belgrade,hosted,major,international,events,danube,river,conference,non,aligned,movement,summit,major,gathering,osce,eurovision,song,contest,sports,events,fina,world,aquatics,championships,uefa,euro,summer,universiade,eurobasket,times",0.00,belgrade
"chipped stone tools found in zemun show that the area around belgrade was inhabited by nomadic foragers in the palaeolithic and mesolithic eras some of these tools are of mousterian industrybelonging to neanderthals rather than modern humans aurignacian and gravettian tools have also been discovered near the area indicating some settlement between  and  years ago
",chipped stone tools found zemun area belgrade inhabited nomadic foragers palaeolithic mesolithic eras tools mousterian industrybelonging neanderthals modern humans aurignacian gravettian tools discovered near area indicating settlement years ago,7.10,"chipped,stone,tools,found,zemun,area,belgrade,inhabited,nomadic,foragers,palaeolithic,mesolithic,eras,tools,mousterian,industrybelonging,neanderthals,modern,humans,aurignacian,gravettian,tools,discovered,near,area,indicating,settlement,years,ago",0.00,belgrade
"the first farming people to settle in the region are associated with the neolithic starevo culture which flourished between  and  because there are several starevo sites in and around belgrade including the eponymous site of starevo the starevo culture was succeeded by the vina culture  a more sophisticated farming culture that grew out of the earlier starevo settlements and also named for a site in the belgrade region  the vina culture is known for its very large settlements one of the earliest settlements by continuous habitation and some of the largest in prehistoric europe also associated with the vina culture are anthropomorphic figurines such as the lady of vina the earliest known copper metallurgy in europe and a proto writing form developed prior to the sumerians and minoans known as the old european script which dates back to around  because within the city proper on cetinjska street a skull of a paleolithic human dated to before  because was discovered in 
",farming people settle region associated neolithic starevo culture flourished starevo sites belgrade including eponymous site starevo starevo culture succeeded vina culture sophisticated farming culture grew earlier starevo settlements named site belgrade region vina culture known large settlements earliest settlements continuous habitation largest prehistoric europe associated vina culture anthropomorphic figurines lady vina earliest known copper metallurgy europe proto writing form developed prior sumerians minoans known old european script dates city proper cetinjska street skull paleolithic human dated discovered,8.46,"farming,people,settle,region,associated,neolithic,starevo,culture,flourished,starevo,sites,belgrade,including,eponymous,site,starevo,starevo,culture,succeeded,vina,culture,sophisticated,farming,culture,grew,earlier,starevo,settlements,named,site,belgrade,region,vina,culture,known,large,settlements,earliest,settlements,continuous,habitation,largest,prehistoric,europe,associated,vina,culture,anthropomorphic,figurines,lady,vina,earliest,known,copper,metallurgy,europe,proto,writing,form,developed,prior,sumerians,minoans,known,old,european,script,dates,city,proper,cetinjska,street,skull,paleolithic,human,dated,discovered",0.00,belgrade
"evidence of early knowledge about belgrades geographical location comes from a variety of ancient myths and legends the ridge overlooking the confluence of the sava and danube rivers for example has been identified as one of the places in the story of jason and the argonauts in the time of antiquity too the area was populated by paleo balkan tribes including the thracians and the dacians who ruled much of belgrades surroundings specifically belgrade was at one point inhabited by the thraco dacian tribe singi following celtic invasion in  because the scordisci wrested the city from their hands naming it singidn  in  because the roman army reached belgrade it became the romanised singidunum in the st century ad and by the mid nd century the city was proclaimed a municipium by the roman authorities evolving into a full fledged colonia  by the end of the century while the first christian emperor of rome constantine i also known as constantine the greatwas born in the territory of naissus to the citys south roman christianitys champion flavius iovianus  was born in singidunum jovian reestablished christianity as the official religion of the roman empire ending the brief revival of traditional roman religions under his predecessor julian the apostate in  ad the site passed to the eastern roman or byzantine empire across the sava from singidunum was the celtic city of taurunum  the two were connected with a bridge throughout roman and byzantine times
",evidence early knowledge belgrades geographical location comes variety ancient myths legends ridge overlooking confluence sava danube rivers example identified places story jason argonauts time antiquity area populated paleo balkan tribes including thracians dacians ruled belgrades surroundings specifically belgrade point inhabited thraco dacian tribe singi following celtic invasion scordisci wrested city hands naming singidn roman army reached belgrade romanised singidunum st century ad mid nd century city proclaimed municipium roman authorities evolving fledged colonia end century christian emperor rome constantine known constantine greatwas born territory naissus citys south roman christianitys champion flavius iovianus born singidunum jovian reestablished christianity official religion roman empire ending brief revival traditional roman religions predecessor julian apostate ad site passed eastern roman byzantine empire sava singidunum celtic city taurunum connected bridge roman byzantine times,7.70,"evidence,early,knowledge,belgrades,geographical,location,comes,variety,ancient,myths,legends,ridge,overlooking,confluence,sava,danube,rivers,example,identified,places,story,jason,argonauts,time,antiquity,area,populated,paleo,balkan,tribes,including,thracians,dacians,ruled,belgrades,surroundings,specifically,belgrade,point,inhabited,thraco,dacian,tribe,singi,following,celtic,invasion,scordisci,wrested,city,hands,naming,singidn,roman,army,reached,belgrade,romanised,singidunum,st,century,ad,mid,nd,century,city,proclaimed,municipium,roman,authorities,evolving,fledged,colonia,end,century,christian,emperor,rome,constantine,known,constantine,greatwas,born,territory,naissus,citys,south,roman,christianitys,champion,flavius,iovianus,born,singidunum,jovian,reestablished,christianity,official,religion,roman,empire,ending,brief,revival,traditional,roman,religions,predecessor,julian,apostate,ad,site,passed,eastern,roman,byzantine,empire,sava,singidunum,celtic,city,taurunum,connected,bridge,roman,byzantine,times",0.00,belgrade
"in  the area was ravaged by attila the hun in  it was taken by theodoric the great king of the ostrogoths who continued into italy as the ostrogoths left another germanic tribe the gepids invaded the city in  it was retaken by the byzantines in  some  slavs poured into thrace and illyricum pillaging cities and more permanently settling the region the avars under bayan i conquered the whole region and its new slavic population by  following byzantine reconquest the byzantine chronicle de administrando imperio mentions the white serbs who had stopped in belgrade on their way back home asking the strategos for lands they received provinces in the west towards the adriatic which they would rule as subjects to heraclius  in  khan omurtag was able to add singidunum and its environs to the first bulgarian empire
the first record of the name belograd appeared on april th  in a papal missive to bulgarian ruler boris i this name would appear in several variants alba bulgarica in latin griechisch weissenburg in high german nndorfehrvr in hungarian and castelbianco in venetian among other names all variations of white fortress for about four centuries the city would become a battleground between the byzantine empire the medieval kingdom of hungary and the bulgarian empire basil ii  installed a garrison in belgrade the city hosted the armies of the first and the second crusade but while passing through during the third crusade frederick barbarossa and his  crusaders saw belgrade in ruins
king stefan dragutin  received belgrade from his father in law stephen v of hungary in  and it served as the capital of the kingdom of syrmia a vassal state to the kingdom of hungary dragutin  is regarded as the first serbian king to rule over belgrade
",area ravaged attila hun taken theodoric great king ostrogoths continued italy ostrogoths left germanic tribe gepids invaded city retaken byzantines slavs poured thrace illyricum pillaging cities permanently settling region avars bayan conquered region new slavic population following byzantine reconquest byzantine chronicle de administrando imperio mentions white serbs stopped belgrade way home asking strategos lands received provinces west adriatic rule subjects heraclius khan omurtag able add singidunum environs bulgarian empirethe record belograd appeared april th papal missive bulgarian ruler boris appear variants alba bulgarica latin griechisch weissenburg high german nndorfehrvr hungarian castelbianco venetian names variations white fortress centuries city battleground byzantine empire medieval kingdom hungary bulgarian empire basil ii installed garrison belgrade city hosted armies second crusade passing crusade frederick barbarossa crusaders saw belgrade ruinsking stefan dragutin received belgrade father law stephen v hungary served capital kingdom syrmia vassal state kingdom hungary dragutin regarded serbian king rule belgrade,8.21,"area,ravaged,attila,hun,taken,theodoric,great,king,ostrogoths,continued,italy,ostrogoths,left,germanic,tribe,gepids,invaded,city,retaken,byzantines,slavs,poured,thrace,illyricum,pillaging,cities,permanently,settling,region,avars,bayan,conquered,region,new,slavic,population,following,byzantine,reconquest,byzantine,chronicle,de,administrando,imperio,mentions,white,serbs,stopped,belgrade,way,home,asking,strategos,lands,received,provinces,west,adriatic,rule,subjects,heraclius,khan,omurtag,able,add,singidunum,environs,bulgarian,empirethe,record,belograd,appeared,april,th,papal,missive,bulgarian,ruler,boris,appear,variants,alba,bulgarica,latin,griechisch,weissenburg,high,german,nndorfehrvr,hungarian,castelbianco,venetian,names,variations,white,fortress,centuries,city,battleground,byzantine,empire,medieval,kingdom,hungary,bulgarian,empire,basil,ii,installed,garrison,belgrade,city,hosted,armies,second,crusade,passing,crusade,frederick,barbarossa,crusaders,saw,belgrade,ruinsking,stefan,dragutin,received,belgrade,father,law,stephen,v,hungary,served,capital,kingdom,syrmia,vassal,state,kingdom,hungary,dragutin,regarded,serbian,king,rule,belgrade",0.00,belgrade
"the northern regions of what is now serbia persisted as the serbian despotate with belgrade as its capital the city flourished under stefan lazarevi the son of serbian prince lazar hrebeljanovi lazarevi built a castle with a citadel and towers of which only the despots tower and the west wall remain he also refortified the citys ancient walls allowing the despotate to resist ottoman conquest for almost  years during this time belgrade was a haven for many balkan peoples fleeing ottoman rule and is thought to have had a population ranging between  and  people
",northern regions serbia persisted serbian despotate belgrade capital city flourished stefan lazarevi son serbian prince lazar hrebeljanovi lazarevi built castle citadel towers despots tower west wall remain refortified citys ancient walls allowing despotate resist ottoman conquest years time belgrade balkan peoples fleeing ottoman rule thought population ranging people,8.14,"northern,regions,serbia,persisted,serbian,despotate,belgrade,capital,city,flourished,stefan,lazarevi,son,serbian,prince,lazar,hrebeljanovi,lazarevi,built,castle,citadel,towers,despots,tower,west,wall,remain,refortified,citys,ancient,walls,allowing,despotate,resist,ottoman,conquest,years,time,belgrade,balkan,peoples,fleeing,ottoman,rule,thought,population,ranging,people",0.00,belgrade
"in  stefans successor ura brankovi returning belgrade to the hungarian king made smederevo his new capital even though the ottomans had captured most of the serbian despotate belgrade known as nndorfehrvr in hungarian was unsuccessfully besieged in  and  as the city presented an obstacle to the ottoman advance into hungary and further over  ottoman soldiers besieged it in  in which the christian army led by the hungarian general john hunyadi successfully defended it the noon bell ordered by pope callixtus iii commemorates the victory throughout the christian world to this day
",stefans successor ura brankovi returning belgrade hungarian king smederevo new capital ottomans captured serbian despotate belgrade known nndorfehrvr hungarian unsuccessfully besieged city presented obstacle ottoman advance hungary ottoman soldiers besieged christian army led hungarian general john hunyadi successfully defended noon bell ordered pope callixtus iii commemorates victory christian world day,7.03,"stefans,successor,ura,brankovi,returning,belgrade,hungarian,king,smederevo,new,capital,ottomans,captured,serbian,despotate,belgrade,known,nndorfehrvr,hungarian,unsuccessfully,besieged,city,presented,obstacle,ottoman,advance,hungary,ottoman,soldiers,besieged,christian,army,led,hungarian,general,john,hunyadi,successfully,defended,noon,bell,ordered,pope,callixtus,iii,commemorates,victory,christian,world,day",0.00,belgrade
