Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the berlin wall  was a guarded concrete barrier that encircled west berlin from  to  separating it from east berlin and east germanya  construction of the berlin wall was commenced by the government of the gdr on  august  it included guard towers placed along large concrete walls accompanied by a wide area  that contained anti vehicle trenches beds of nails and other defenses
",berlin wall guarded concrete barrier encircled west berlin separating east berlin east germanya construction berlin wall commenced government gdr august included guard towers placed large concrete walls accompanied wide area contained anti vehicle trenches beds nails defenses,6.60,"berlin,wall,guarded,concrete,barrier,encircled,west,berlin,separating,east,berlin,east,germanya,construction,berlin,wall,commenced,government,gdr,august,included,guard,towers,placed,large,concrete,walls,accompanied,wide,area,contained,anti,vehicle,trenches,beds,nails,defenses",0.00,berlin
"the eastern bloc portrayed the wall as protecting its population from fascist elements conspiring to prevent the will of the people from building a socialist state in the gdr the authorities officially referred to the berlin wall as the anti fascist protection rampart  the west berlin city government sometimes referred to it as the wall of shame a term coined by mayor willy brandt in reference to the walls restriction on freedom of movement along with the separate and much longer inner german border  which demarcated the border between east and west germany it came to symbolize physically the iron curtain that separated the western bloc and neutral countries from the eastern bloc during the cold war
",eastern bloc portrayed wall protecting population fascist elements conspiring prevent people building socialist state gdr authorities officially referred berlin wall anti fascist protection rampart west berlin city government referred wall shame term coined mayor willy brandt reference walls restriction freedom movement separate longer inner german border demarcated border east west germany came symbolize physically iron curtain separated western bloc neutral countries eastern bloc cold war,7.33,"eastern,bloc,portrayed,wall,protecting,population,fascist,elements,conspiring,prevent,people,building,socialist,state,gdr,authorities,officially,referred,berlin,wall,anti,fascist,protection,rampart,west,berlin,city,government,referred,wall,shame,term,coined,mayor,willy,brandt,reference,walls,restriction,freedom,movement,separate,longer,inner,german,border,demarcated,border,east,west,germany,came,symbolize,physically,iron,curtain,separated,western,bloc,neutral,countries,eastern,bloc,cold,war",0.00,berlin
"before the walls erection  million east germans circumvented eastern bloc emigration restrictions and defected from the gdr many by crossing over the border from east berlin into west berlin from there they could then travel to west germany and to other western european countries between  and  the wall prevented almost all such emigration during this period over  people attempted to escape and over  people succeeded in escaping over the wall with an estimated death toll ranging from  to more than  in and around berlin
",walls erection million east germans circumvented eastern bloc emigration restrictions defected gdr crossing border east berlin west berlin travel west germany western european countries wall prevented emigration period people attempted escape people succeeded escaping wall estimated death toll ranging berlin,8.40,"walls,erection,million,east,germans,circumvented,eastern,bloc,emigration,restrictions,defected,gdr,crossing,border,east,berlin,west,berlin,travel,west,germany,western,european,countries,wall,prevented,emigration,period,people,attempted,escape,people,succeeded,escaping,wall,estimated,death,toll,ranging,berlin",0.00,berlin
"in  a series of revolutions in nearby eastern bloc countriesin poland and hungary in particularcaused a chain reaction in east germany in particular the pan european picnic in august  set in motion a peaceful development during which the iron curtain largely broke the rulers in the east came under pressure the berlin wall fell and finally the eastern bloc fell apart after several weeks of civil unrest the east german government announced on  november  that all gdr citizens could visit west germany and west berlin crowds of east germans crossed and climbed onto the wall joined by west germans on the other side in a celebratory atmosphere over the next few weeks the likes of souvenir hunters chipped away parts of the wall the brandenburg gate a few meters from the berlin wall was opened on  december  the demolition of the wall officially began on  june  and was completed in  the fall of the berlin wall paved the way for german reunification which formally took place on  october 
",series revolutions nearby eastern bloc countriesin poland hungary particularcaused chain reaction east germany particular pan european picnic august set motion peaceful development iron curtain largely broke rulers east came pressure berlin wall fell finally eastern bloc fell apart weeks civil unrest east german government announced november gdr citizens visit west germany west berlin crowds east germans crossed climbed wall joined west germans celebratory atmosphere weeks likes souvenir hunters chipped away parts wall brandenburg gate meters berlin wall opened december demolition wall officially began june completed fall berlin wall paved way german reunification formally took place october,7.26,"series,revolutions,nearby,eastern,bloc,countriesin,poland,hungary,particularcaused,chain,reaction,east,germany,particular,pan,european,picnic,august,set,motion,peaceful,development,iron,curtain,largely,broke,rulers,east,came,pressure,berlin,wall,fell,finally,eastern,bloc,fell,apart,weeks,civil,unrest,east,german,government,announced,november,gdr,citizens,visit,west,germany,west,berlin,crowds,east,germans,crossed,climbed,wall,joined,west,germans,celebratory,atmosphere,weeks,likes,souvenir,hunters,chipped,away,parts,wall,brandenburg,gate,meters,berlin,wall,opened,december,demolition,wall,officially,began,june,completed,fall,berlin,wall,paved,way,german,reunification,formally,took,place,october",0.00,berlin
"after the end of world war ii in europe what remained of pre war germany west of the oder neisse line was divided into four occupation zones  each one controlled by one of the four occupying allied powers the united states the united kingdom france and the soviet union the capital of berlin as the seat of the allied control council was similarly subdivided into four sectors despite the citys location which was fully within the soviet zone
",end world war ii europe remained pre war germany west oder neisse line divided occupation zones controlled occupying allied powers united states united kingdom france soviet union capital berlin seat allied control council similarly subdivided sectors despite citys location fully soviet zone,8.13,"end,world,war,ii,europe,remained,pre,war,germany,west,oder,neisse,line,divided,occupation,zones,controlled,occupying,allied,powers,united,states,united,kingdom,france,soviet,union,capital,berlin,seat,allied,control,council,similarly,subdivided,sectors,despite,citys,location,fully,soviet,zone",0.00,berlin
"at the same time a parallel regime was established under the strict control of the western powers in the zones of post war germany occupied by them culminating in the foundation of the federal republic of germany in  which initially claimed to be the sole legitimate power in all of germany east and west the material standard of living in the western zones of berlin began to improve quickly and residents of the soviet zone soon began leaving for the west in large numbers fleeing hunger poverty and repression in the soviet zone for a better life in the west soon residents of other parts of the soviet zone began to escape to the west through berlin and this migration called in germany republikflucht deprived the soviet zone not only of working forces desperately needed for post war reconstruction but disproportionately highly educated people which came to be known as the brain draincitation needed
",time parallel regime established strict control western powers zones post war germany occupied culminating foundation federal republic germany initially claimed sole legitimate power germany east west material standard living western zones berlin began improve quickly residents soviet zone soon began leaving west large numbers fleeing hunger poverty repression soviet zone better life west soon residents parts soviet zone began escape west berlin migration called germany republikflucht deprived soviet zone working forces desperately needed post war reconstruction disproportionately highly educated people came known brain draincitation needed,7.60,"time,parallel,regime,established,strict,control,western,powers,zones,post,war,germany,occupied,culminating,foundation,federal,republic,germany,initially,claimed,sole,legitimate,power,germany,east,west,material,standard,living,western,zones,berlin,began,improve,quickly,residents,soviet,zone,soon,began,leaving,west,large,numbers,fleeing,hunger,poverty,repression,soviet,zone,better,life,west,soon,residents,parts,soviet,zone,began,escape,west,berlin,migration,called,germany,republikflucht,deprived,soviet,zone,working,forces,desperately,needed,post,war,reconstruction,disproportionately,highly,educated,people,came,known,brain,draincitation,needed",0.00,berlin
"in  in response to moves by the western powers to establish a separate federal system of government in the western zones and to extend the marshall plan to germany the soviets instituted the berlin blockade preventing people food materials and supplies from arriving in west berlin by land routes through the soviet zone the united states the united kingdom france canada australia new zealand and several other countries began a massive airlift supplying west berlin with food and other supplies the soviets mounted a public relations campaign against the western policy change communists attempted to disrupt the elections of  preceding large losses therein while  berliners demonstrated for the international airlift to continue in may  stalin lifted the blockade permitting the resumption of western shipments to berlin
",response moves western powers establish separate federal system government western zones extend marshall plan germany soviets instituted berlin blockade preventing people food materials supplies arriving west berlin land routes soviet zone united states united kingdom france canada australia new zealand countries began massive airlift supplying west berlin food supplies soviets mounted public relations campaign western policy change communists attempted disrupt elections preceding large losses berliners demonstrated international airlift continue stalin lifted blockade permitting resumption western shipments berlin,5.95,"response,moves,western,powers,establish,separate,federal,system,government,western,zones,extend,marshall,plan,germany,soviets,instituted,berlin,blockade,preventing,people,food,materials,supplies,arriving,west,berlin,land,routes,soviet,zone,united,states,united,kingdom,france,canada,australia,new,zealand,countries,began,massive,airlift,supplying,west,berlin,food,supplies,soviets,mounted,public,relations,campaign,western,policy,change,communists,attempted,disrupt,elections,preceding,large,losses,berliners,demonstrated,international,airlift,continue,stalin,lifted,blockade,permitting,resumption,western,shipments,berlin",0.00,berlin
"up until  the demarcation lines between east germany and the western occupied zones could be easily crossed in most places on  april  east german leaders met the soviet leader joseph stalin in moscow during the discussions stalins foreign minister vyacheslav molotov proposed that the east germans should introduce a system of passes for visits of west berlin residents to the territory of east berlin so as to stop free movement of western agents in the gdr stalin agreed calling the situation intolerable he advised the east germans to build up their border defenses telling them that the demarcation line between east and west germany should be considered a borderand not just any border but a dangerous one  the germans will guard the line of defence with their lives
",demarcation lines east germany western occupied zones easily crossed places april east german leaders met soviet leader joseph stalin moscow discussions stalins foreign minister vyacheslav molotov proposed east germans introduce system passes visits west berlin residents territory east berlin stop free movement western agents gdr stalin agreed calling situation intolerable advised east germans build border defenses telling demarcation line east west germany considered borderand border dangerous germans guard line defence lives,7.38,"demarcation,lines,east,germany,western,occupied,zones,easily,crossed,places,april,east,german,leaders,met,soviet,leader,joseph,stalin,moscow,discussions,stalins,foreign,minister,vyacheslav,molotov,proposed,east,germans,introduce,system,passes,visits,west,berlin,residents,territory,east,berlin,stop,free,movement,western,agents,gdr,stalin,agreed,calling,situation,intolerable,advised,east,germans,build,border,defenses,telling,demarcation,line,east,west,germany,considered,borderand,border,dangerous,germans,guard,line,defence,lives",0.00,berlin
"consequently the inner german border between the two german states was closed and a barbed wire fence erected the border between the western and eastern sectors of berlin however remained open although traffic between the soviet and the western sectors was somewhat restricted this resulted in berlin becoming a magnet for east germans desperate to escape life in the gdr and also a flashpoint for tension between the united states and the soviet union
",consequently inner german border german states closed barbed wire fence erected border western eastern sectors berlin remained open traffic soviet western sectors somewhat restricted resulted berlin magnet east germans desperate escape life gdr flashpoint tension united states soviet union,7.73,"consequently,inner,german,border,german,states,closed,barbed,wire,fence,erected,border,western,eastern,sectors,berlin,remained,open,traffic,soviet,western,sectors,somewhat,restricted,resulted,berlin,magnet,east,germans,desperate,escape,life,gdr,flashpoint,tension,united,states,soviet,union",0.00,berlin
"in  the soviets gave east germany authority over civilian movement in berlin passing control to a regime not recognized in the west initially east germany granted visits to allow its residents access to west germany however following the defection of large numbers of east germans  under this regime the new east german state legally restricted virtually all travel to the west in  soviet east german ambassador mikhail pervukhin observed that the presence in berlin of an open and essentially uncontrolled border between the socialist and capitalist worlds unwittingly prompts the population to make a comparison between both parts of the city which unfortunately does not always turn out in favour of democratic east berlin
",soviets gave east germany authority civilian movement berlin passing control regime recognized west initially east germany granted visits allow residents access west germany following defection large numbers east germans regime new east german state legally restricted virtually travel west soviet east german ambassador mikhail pervukhin observed presence berlin open essentially uncontrolled border socialist capitalist worlds unwittingly prompts population comparison parts city unfortunately turn favour democratic east berlin,6.47,"soviets,gave,east,germany,authority,civilian,movement,berlin,passing,control,regime,recognized,west,initially,east,germany,granted,visits,allow,residents,access,west,germany,following,defection,large,numbers,east,germans,regime,new,east,german,state,legally,restricted,virtually,travel,west,soviet,east,german,ambassador,mikhail,pervukhin,observed,presence,berlin,open,essentially,uncontrolled,border,socialist,capitalist,worlds,unwittingly,prompts,population,comparison,parts,city,unfortunately,turn,favour,democratic,east,berlin",0.00,berlin
