Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"berlin  is the capital and largest city of germany by both area and population its  million inhabitants make it the european unions most populous city according to population within city limits one of germanys sixteen constituent states berlin is surrounded by the state of brandenburg and contiguous with potsdam brandenburgs capital berlins urban area which has a population of around  million is the second most populous urban area in germany after the ruhr the berlin brandenburg capital region has around  million inhabitants and is germanys third largest metropolitan region after the rhine ruhr and rhine main regions
",berlin capital largest city germany area population million inhabitants european unions populous city according population city limits germanys sixteen constituent states berlin surrounded state brandenburg contiguous potsdam brandenburgs capital berlins urban area population million second populous urban area germany ruhr berlin brandenburg capital region million inhabitants germanys largest metropolitan region rhine ruhr rhine main regions,6.72,"berlin,capital,largest,city,germany,area,population,million,inhabitants,european,unions,populous,city,according,population,city,limits,germanys,sixteen,constituent,states,berlin,surrounded,state,brandenburg,contiguous,potsdam,brandenburgs,capital,berlins,urban,area,population,million,second,populous,urban,area,germany,ruhr,berlin,brandenburg,capital,region,million,inhabitants,germanys,largest,metropolitan,region,rhine,ruhr,rhine,main,regions",0.00,berlin
"berlin straddles the banks of the spree which flows into the havel  in the western borough of spandau among the citys main topographical features are the many lakes in the western and southeastern boroughs formed by the spree havel and dahme the largest of which is lake mggelsee due to its location in the european plain berlin is influenced by a temperate seasonal climate about one third of the citys area is composed of forests parks gardens rivers canals and lakes the city lies in the central german dialect area the berlin dialect being a variant of the lusatian new marchian dialects
",berlin straddles banks spree flows havel western borough spandau citys main topographical features lakes western southeastern boroughs formed spree havel dahme largest lake mggelsee location european plain berlin influenced temperate seasonal climate citys area composed forests parks gardens rivers canals lakes city lies central german dialect area berlin dialect variant lusatian new marchian dialects,8.11,"berlin,straddles,banks,spree,flows,havel,western,borough,spandau,citys,main,topographical,features,lakes,western,southeastern,boroughs,formed,spree,havel,dahme,largest,lake,mggelsee,location,european,plain,berlin,influenced,temperate,seasonal,climate,citys,area,composed,forests,parks,gardens,rivers,canals,lakes,city,lies,central,german,dialect,area,berlin,dialect,variant,lusatian,new,marchian,dialects",0.00,berlin
"first documented in the th century and at the crossing of two important historic trade routes berlin became the capital of the margraviate of brandenburg  kingdom of prussia  german empire  weimar republic  and nazi germany  berlin has served as a scientific artistic and philosophical hub of the enlightenment neoclassicism and liberal revolution the grnderzeitcode deu promoted to code de  eras 
industrialization induced economic boom multiplied berlins population rapidly berlin in the roaring s was the third largest city in the world by population
",documented th century crossing important historic trade routes berlin capital margraviate brandenburg kingdom prussia german empire weimar republic nazi germany berlin served scientific artistic philosophical hub enlightenment neoclassicism liberal revolution grnderzeitcode deu promoted code de eras industrialization induced economic boom multiplied berlins population rapidly berlin roaring largest city world population,5.96,"documented,th,century,crossing,important,historic,trade,routes,berlin,capital,margraviate,brandenburg,kingdom,prussia,german,empire,weimar,republic,nazi,germany,berlin,served,scientific,artistic,philosophical,hub,enlightenment,neoclassicism,liberal,revolution,grnderzeitcode,deu,promoted,code,de,eras,industrialization,induced,economic,boom,multiplied,berlins,population,rapidly,berlin,roaring,largest,city,world,population",0.00,berlin
"after world war ii and its subsequent occupation by the victorious countries the devastated city was divided west berlin became a de facto exclave of west germany surrounded by the berlin wall  and east german territory east berlin was declared capital of east germany while bonn became the west german capital following german reunification in  berlin once again became the capital of all of germany
",world war ii subsequent occupation victorious countries devastated city divided west berlin de facto exclave west germany surrounded berlin wall east german territory east berlin declared capital east germany bonn west german capital following german reunification berlin capital germany,6.48,"world,war,ii,subsequent,occupation,victorious,countries,devastated,city,divided,west,berlin,de,facto,exclave,west,germany,surrounded,berlin,wall,east,german,territory,east,berlin,declared,capital,east,germany,bonn,west,german,capital,following,german,reunification,berlin,capital,germany",0.00,berlin
"berlin is a world city of culture politics media and science its economy is based on high tech firms and the service sector encompassing a diverse range of creative industries startup companies research facilities media corporations and convention venues berlin serves as a continental hub for air and rail traffic and has a highly complex public transportation network the metropolis is a popular tourist destination significant industries also include information technology healthcare biomedical engineering biotechnology automotive construction electronics social economy and clean tech
",berlin world city culture politics media science economy based high tech firms service sector encompassing diverse range creative industries startup companies research facilities media corporations convention venues berlin serves continental hub air rail traffic highly complex public transportation network metropolis popular tourist destination significant industries include information technology healthcare biomedical engineering biotechnology automotive construction electronics social economy clean tech,4.06,"berlin,world,city,culture,politics,media,science,economy,based,high,tech,firms,service,sector,encompassing,diverse,range,creative,industries,startup,companies,research,facilities,media,corporations,convention,venues,berlin,serves,continental,hub,air,rail,traffic,highly,complex,public,transportation,network,metropolis,popular,tourist,destination,significant,industries,include,information,technology,healthcare,biomedical,engineering,biotechnology,automotive,construction,electronics,social,economy,clean,tech",0.00,berlin
"berlin is home to world renowned universities such as the humboldt university technical university free university university of the arts esmt berlin hertie school and bard college berlin its zoological garden is the most visited zoo in europe and one of the most popular worldwide with babelsberg being the worlds first large scale movie studio complex berlin is an increasingly popular location for international film productions the city is well known for its festivals diverse architecture nightlife contemporary arts and a very high quality of life
",berlin home world renowned universities humboldt university technical university free university university arts esmt berlin hertie school bard college berlin zoological garden visited zoo europe popular worldwide babelsberg worlds large scale movie studio complex berlin increasingly popular location international film productions city known festivals diverse architecture nightlife contemporary arts high quality life,6.14,"berlin,home,world,renowned,universities,humboldt,university,technical,university,free,university,university,arts,esmt,berlin,hertie,school,bard,college,berlin,zoological,garden,visited,zoo,europe,popular,worldwide,babelsberg,worlds,large,scale,movie,studio,complex,berlin,increasingly,popular,location,international,film,productions,city,known,festivals,diverse,architecture,nightlife,contemporary,arts,high,quality,life",0.00,berlin
"berlin is also home to three world heritage sites museum island the palaces and parks of potsdam and berlin and the modernism housing estates other landmarks include the brandenburg gate reichstag building potsdamer platz memorial to the murdered jews of europe berlin wall memorial east side gallery berlin victory column berlin cathedral and berlin television tower the tallest structure in germany berlin has numerous museums galleries libraries orchestras and sporting events including museum island the german historical museum jewish museum natural history museum state library state opera philharmonic and the berlin marathon
",berlin home world heritage sites museum island palaces parks potsdam berlin modernism housing estates landmarks include brandenburg gate reichstag building potsdamer platz memorial murdered jews europe berlin wall memorial east gallery berlin victory column berlin cathedral berlin television tower tallest structure germany berlin numerous museums galleries libraries orchestras sporting events including museum island german historical museum jewish museum natural history museum state library state opera philharmonic berlin marathon,3.79,"berlin,home,world,heritage,sites,museum,island,palaces,parks,potsdam,berlin,modernism,housing,estates,landmarks,include,brandenburg,gate,reichstag,building,potsdamer,platz,memorial,murdered,jews,europe,berlin,wall,memorial,east,gallery,berlin,victory,column,berlin,cathedral,berlin,television,tower,tallest,structure,germany,berlin,numerous,museums,galleries,libraries,orchestras,sporting,events,including,museum,island,german,historical,museum,jewish,museum,natural,history,museum,state,library,state,opera,philharmonic,berlin,marathon",0.00,berlin
"berlin lies in northeastern germany east of the river elbe that once constituted together with the river  saale  the eastern border of the frankish realm while the frankish realm was primarily inhabited by germanic tribes like the franks and the saxons the regions east of the border rivers were inhabited by slavic tribes this is why most of the cities and villages in northeastern germany bear slavic derived names  typical germanized place name suffixes of slavic origin are  ow  itz  vitz  witz  itzschcode deu promoted to code de  and  incode deu promoted to code de  prefixes are windischcode deu promoted to code de  and wendischcode deu promoted to code de  the name berlin has its roots in the language of west slavic inhabitants of the area of todays berlin and may be related to the old polabian stem berl birl   or proto slavic brlog  since the ber  at the beginning sounds like the german word brcode deu promoted to code de   a bear appears in the coat of arms of the city it is therefore an example of canting arms
",berlin lies northeastern germany east river elbe constituted river saale eastern border frankish realm frankish realm primarily inhabited germanic tribes like franks saxons regions east border rivers inhabited slavic tribes cities villages northeastern germany bear slavic derived names typical germanized place suffixes slavic origin ow itz vitz witz itzschcode deu promoted code de incode deu promoted code de prefixes windischcode deu promoted code de wendischcode deu promoted code de berlin roots language west slavic inhabitants area todays berlin related old polabian stem berl birl proto slavic brlog ber beginning sounds like german word brcode deu promoted code de bear appears coat arms city example canting arms,7.18,"berlin,lies,northeastern,germany,east,river,elbe,constituted,river,saale,eastern,border,frankish,realm,frankish,realm,primarily,inhabited,germanic,tribes,like,franks,saxons,regions,east,border,rivers,inhabited,slavic,tribes,cities,villages,northeastern,germany,bear,slavic,derived,names,typical,germanized,place,suffixes,slavic,origin,ow,itz,vitz,witz,itzschcode,deu,promoted,code,de,incode,deu,promoted,code,de,prefixes,windischcode,deu,promoted,code,de,wendischcode,deu,promoted,code,de,berlin,roots,language,west,slavic,inhabitants,area,todays,berlin,related,old,polabian,stem,berl,birl,proto,slavic,brlog,ber,beginning,sounds,like,german,word,brcode,deu,promoted,code,de,bear,appears,coat,arms,city,example,canting,arms",0.00,berlin
"the earliest evidence of settlements in the area of todays berlin are remnants of a house foundation dated to  found in excavations in berlin mitte and a wooden beam dated from approximately  the first written records of towns in the area of present day berlin date from the late th century spandau is first mentioned in  and kpenick in  although these areas did not join berlin until  the central part of berlin can be traced back to two towns clln on the fischerinsel is first mentioned in a  document and berlin across the spree in what is now called the nikolaiviertel is referenced in a document from   is considered the founding date of the city the two towns over time formed close economic and social ties and profited from the staple right on the two important trade routes via imperii and from bruges to novgorod in  they formed an alliance with a common external policy their internal administrations still being separated
",earliest evidence settlements area todays berlin remnants house foundation dated found excavations berlin mitte wooden beam dated approximately written records towns area present day berlin date late th century spandau mentioned kpenick areas join berlin central berlin traced towns clln fischerinsel mentioned document berlin spree called nikolaiviertel referenced document considered founding date city towns time formed close economic social ties profited staple right important trade routes imperii bruges novgorod formed alliance common external policy internal administrations separated,8.99,"earliest,evidence,settlements,area,todays,berlin,remnants,house,foundation,dated,found,excavations,berlin,mitte,wooden,beam,dated,approximately,written,records,towns,area,present,day,berlin,date,late,th,century,spandau,mentioned,kpenick,areas,join,berlin,central,berlin,traced,towns,clln,fischerinsel,mentioned,document,berlin,spree,called,nikolaiviertel,referenced,document,considered,founding,date,city,towns,time,formed,close,economic,social,ties,profited,staple,right,important,trade,routes,imperii,bruges,novgorod,formed,alliance,common,external,policy,internal,administrations,separated",0.00,berlin
"in  frederick i became the elector of the margraviate of brandenburg which he ruled until  during the th century his successors established berlin clln as capital of the margraviate and subsequent members of the hohenzollern family ruled in berlin until  first as electors of brandenburg then as kings of prussia and eventually as german emperors in  frederick ii irontooth started the construction of a new royal palace in the twin city berlin clln the protests of the town citizens against the building culminated in  in the berlin indignation  this protest was not successful and the citizenry lost many of its political and economic privileges after the royal palace was finished in  it gradually came into use from  with the new elector albrecht iii achilles berlin clln became the new royal residence officially the berlin clln palace became permanent residence of the brandenburg electors of the hohenzollerns from  when john cicero came to power berlin clln however had to give up its status as a free hanseatic city in  the electors and the city officially became lutheran
",frederick elector margraviate brandenburg ruled th century successors established berlin clln capital margraviate subsequent members hohenzollern family ruled berlin electors brandenburg kings prussia eventually german emperors frederick ii irontooth started construction new royal palace twin city berlin clln protests town citizens building culminated berlin indignation protest successful citizenry lost political economic privileges royal palace finished gradually came use new elector albrecht iii achilles berlin clln new royal residence officially berlin clln palace permanent residence brandenburg electors hohenzollerns john cicero came power berlin clln status free hanseatic city electors city officially lutheran,7.86,"frederick,elector,margraviate,brandenburg,ruled,th,century,successors,established,berlin,clln,capital,margraviate,subsequent,members,hohenzollern,family,ruled,berlin,electors,brandenburg,kings,prussia,eventually,german,emperors,frederick,ii,irontooth,started,construction,new,royal,palace,twin,city,berlin,clln,protests,town,citizens,building,culminated,berlin,indignation,protest,successful,citizenry,lost,political,economic,privileges,royal,palace,finished,gradually,came,use,new,elector,albrecht,iii,achilles,berlin,clln,new,royal,residence,officially,berlin,clln,palace,permanent,residence,brandenburg,electors,hohenzollerns,john,cicero,came,power,berlin,clln,status,free,hanseatic,city,electors,city,officially,lutheran",0.00,berlin
