Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bhubaneswar north  shri susant kumar rout bjd
",bhubaneswar north shri susant kumar rout bjd,0.00,"bhubaneswar,north,shri,susant,kumar,rout,bjd",0.00,bhubaneswar
"bhubaneswar  is the capital and largest city of the indian state of odisha the region especially the old town was historically often depicted as chakra kshetra and ekamra kshetra  bhubaneswar is dubbed the temple city a nickname earned because of the  temples which once stood there in contemporary times it has emerged as an education hub and an attractive business destination
",bhubaneswar capital largest city indian state odisha region especially old town historically depicted chakra kshetra ekamra kshetra bhubaneswar dubbed temple city nickname earned temples stood contemporary times emerged education hub attractive business destination,7.39,"bhubaneswar,capital,largest,city,indian,state,odisha,region,especially,old,town,historically,depicted,chakra,kshetra,ekamra,kshetra,bhubaneswar,dubbed,temple,city,nickname,earned,temples,stood,contemporary,times,emerged,education,hub,attractive,business,destination",0.00,bhubaneswar
"although the modern city of bhubaneswar was formally established in  the history of the areas in and around the present day city can be traced to the th century bce and earlier it is a confluence of hindu buddhist and jain heritage and includes several kalingan temples many of them from thth century ce with puri and konark it forms the swarna tribhuja  one of eastern indias most visited destinations
",modern city bhubaneswar formally established history areas present day city traced th century bce earlier confluence hindu buddhist jain heritage includes kalingan temples thth century ce puri konark forms swarna tribhuja eastern indias visited destinations,8.68,"modern,city,bhubaneswar,formally,established,history,areas,present,day,city,traced,th,century,bce,earlier,confluence,hindu,buddhist,jain,heritage,includes,kalingan,temples,thth,century,ce,puri,konark,forms,swarna,tribhuja,eastern,indias,visited,destinations",0.00,bhubaneswar
"bhubaneswar replaced cuttack as the capital on  august  two years after india gained its independence from britain the modern city was designed by the german architect otto knigsberger in  along with jamshedpur and chandigarh it was one of modern indias first planned cities bhubaneswar and cuttack are often referred to as the twin cities of odisha the metropolitan area formed by the two cities had a population of  million in  the bhubaneswar metro area has a population of around a million people and is categorised as a tier  city bhubaneswar and rourkela are the two cities in smart city mission from odisha
",bhubaneswar replaced cuttack capital august years india gained independence britain modern city designed german architect otto knigsberger jamshedpur chandigarh modern indias planned cities bhubaneswar cuttack referred twin cities odisha metropolitan area formed cities population million bhubaneswar metro area population million people categorised tier city bhubaneswar rourkela cities smart city mission odisha,8.31,"bhubaneswar,replaced,cuttack,capital,august,years,india,gained,independence,britain,modern,city,designed,german,architect,otto,knigsberger,jamshedpur,chandigarh,modern,indias,planned,cities,bhubaneswar,cuttack,referred,twin,cities,odisha,metropolitan,area,formed,cities,population,million,bhubaneswar,metro,area,population,million,people,categorised,tier,city,bhubaneswar,rourkela,cities,smart,city,mission,odisha",0.00,bhubaneswar
"bhubaneswar is the anglicisation of the actual odia name bhubanewara derived from the word tribhubanewara  which literally means the lord  of the three worlds  which in this context refers to shiva
",bhubaneswar anglicisation actual odia bhubanewara derived word tribhubanewara literally means lord worlds context refers shiva,8.08,"bhubaneswar,anglicisation,actual,odia,bhubanewara,derived,word,tribhubanewara,literally,means,lord,worlds,context,refers,shiva",0.00,bhubaneswar
"bhubaneswar stands near the ruins of sisupalgarh the ancient capital of the erstwhile province of kalinga dhauli near bhubaneswar was the site of the kalinga war  in which the mauryan emperor ashoka invaded and annexed kalinga one of the most complete edicts of the mauryan emperor ashoka dating from between  and  bce remains carved in rock  kilometres  to the southwest of the modern city after the decline of the mauryan empire the area came under the rule of mahameghavahana dynasty whose most well known ruler is kharavela his hathigumpha inscription is located at the udayagiri and khandagiri caves near bhubaneswar the area was subsequently ruled by several dynasties including satavahanas guptas matharas and shailodbhavas
",bhubaneswar stands near ruins sisupalgarh ancient capital erstwhile province kalinga dhauli near bhubaneswar site kalinga war mauryan emperor ashoka invaded annexed kalinga complete edicts mauryan emperor ashoka dating bce remains carved rock kilometres southwest modern city decline mauryan empire area came rule mahameghavahana dynasty known ruler kharavela hathigumpha inscription located udayagiri khandagiri caves near bhubaneswar area subsequently ruled dynasties including satavahanas guptas matharas shailodbhavas,6.84,"bhubaneswar,stands,near,ruins,sisupalgarh,ancient,capital,erstwhile,province,kalinga,dhauli,near,bhubaneswar,site,kalinga,war,mauryan,emperor,ashoka,invaded,annexed,kalinga,complete,edicts,mauryan,emperor,ashoka,dating,bce,remains,carved,rock,kilometres,southwest,modern,city,decline,mauryan,empire,area,came,rule,mahameghavahana,dynasty,known,ruler,kharavela,hathigumpha,inscription,located,udayagiri,khandagiri,caves,near,bhubaneswar,area,subsequently,ruled,dynasties,including,satavahanas,guptas,matharas,shailodbhavas",0.00,bhubaneswar
"in the th century somavamshi or keshari dynasty established their kingdom in the area and constructed a number of temples after the kesharis the eastern gangas ruled kalinga area until the th century ce their capital kalinganagara was located in present day bhubaneswar city after them mukunda deva of the bhoi dynasty  the last hindu ruler of the area until the marathas  developed several religious buildings in the area most of the older temples in bhubaneswar were built between th and th centuries under shaiva influence the ananta vasudeva temple is the only old temple of vishnu in the city in  the karrani dynasty of afghan origin gained control of the area during their reign most of the temples and other structures were destroyed or disfigured
",th century somavamshi keshari dynasty established kingdom area constructed number temples kesharis eastern gangas ruled kalinga area th century ce capital kalinganagara located present day bhubaneswar city mukunda deva bhoi dynasty hindu ruler area marathas developed religious buildings area older temples bhubaneswar built th th centuries shaiva influence ananta vasudeva temple old temple vishnu city karrani dynasty afghan origin gained control area reign temples structures destroyed disfigured,7.81,"th,century,somavamshi,keshari,dynasty,established,kingdom,area,constructed,number,temples,kesharis,eastern,gangas,ruled,kalinga,area,th,century,ce,capital,kalinganagara,located,present,day,bhubaneswar,city,mukunda,deva,bhoi,dynasty,hindu,ruler,area,marathas,developed,religious,buildings,area,older,temples,bhubaneswar,built,th,th,centuries,shaiva,influence,ananta,vasudeva,temple,old,temple,vishnu,city,karrani,dynasty,afghan,origin,gained,control,area,reign,temples,structures,destroyed,disfigured",0.00,bhubaneswar
"the name of the new capital came from tribhubaneswara or bhubaneswara  a name of shiva the deity of the lingaraja temple the legislative assembly of odisha was shifted from cuttack to bhubaneswar in  bhubaneswar was built as a modern city designed by german architect otto knigsberger with wide roads gardens and parks though part of the city followed the plan it grew rapidly over the next few decades outstripping the planning process according to the first census of independent india taken in  the citys population was just  from  to  it was administered by a notified area council or a nagar panchayat a municipality was established only on  march  by the  census the population of bhubaneswar had increased to  accordingly on  august  the bhubaneswar municipal corporation was established
",new capital came tribhubaneswara bhubaneswara shiva deity lingaraja temple legislative assembly odisha shifted cuttack bhubaneswar bhubaneswar built modern city designed german architect otto knigsberger wide roads gardens parks city followed plan grew rapidly decades outstripping planning process according census independent india taken citys population administered notified area council nagar panchayat municipality established march census population bhubaneswar increased accordingly august bhubaneswar municipal corporation established,8.05,"new,capital,came,tribhubaneswara,bhubaneswara,shiva,deity,lingaraja,temple,legislative,assembly,odisha,shifted,cuttack,bhubaneswar,bhubaneswar,built,modern,city,designed,german,architect,otto,knigsberger,wide,roads,gardens,parks,city,followed,plan,grew,rapidly,decades,outstripping,planning,process,according,census,independent,india,taken,citys,population,administered,notified,area,council,nagar,panchayat,municipality,established,march,census,population,bhubaneswar,increased,accordingly,august,bhubaneswar,municipal,corporation,established",0.00,bhubaneswar
"bhubaneswar is in khordha district of odisha it is in the eastern coastal plains along the axis of the eastern ghats mountains the city has an average altitude of  m  above sea level it lies southwest of the mahanadi river that forms the northern boundary of bhubaneswar metropolitan area within its delta
",bhubaneswar khordha district odisha eastern coastal plains axis eastern ghats mountains city average altitude sea level lies southwest mahanadi river forms northern boundary bhubaneswar metropolitan area delta,8.17,"bhubaneswar,khordha,district,odisha,eastern,coastal,plains,axis,eastern,ghats,mountains,city,average,altitude,sea,level,lies,southwest,mahanadi,river,forms,northern,boundary,bhubaneswar,metropolitan,area,delta",0.00,bhubaneswar
"the city is bounded by the daya river to the south and the kuakhai river to the east the chandaka wildlife sanctuary and nandankanan zoo lie in the western and northern parts of bhubaneswar respectively
",city bounded daya river south kuakhai river east chandaka wildlife sanctuary nandankanan zoo lie western northern parts bhubaneswar respectively,7.88,"city,bounded,daya,river,south,kuakhai,river,east,chandaka,wildlife,sanctuary,nandankanan,zoo,lie,western,northern,parts,bhubaneswar,respectively",0.00,bhubaneswar
"bhubaneswar is topographically divided into western uplands and eastern lowlands with hillocks in the western and northern parts kanjia lake on the northern outskirts affords rich biodiversity and is a wetland of national importance bhubaneswars soils are  per cent laterite  per cent alluvial and  per cent sandstone the bureau of indian standards places the city inside seismic zone iii on a scale ranging from i to v in order of increasing susceptibility to earthquakes the united nations development programme reports that there is very high damage risk from winds and cyclones the  odisha cyclone caused major damage to buildings the citys infrastructure and cost many human lives floods and waterlogging in the low lying areas have become common due to unplanned growth
",bhubaneswar topographically divided western uplands eastern lowlands hillocks western northern parts kanjia lake northern outskirts affords rich biodiversity wetland national importance bhubaneswars soils cent laterite cent alluvial cent sandstone bureau indian standards places city inside seismic zone iii scale ranging v order increasing susceptibility earthquakes united nations development programme reports high damage risk winds cyclones odisha cyclone caused major damage buildings citys infrastructure cost human lives floods waterlogging low lying areas common unplanned growth,6.19,"bhubaneswar,topographically,divided,western,uplands,eastern,lowlands,hillocks,western,northern,parts,kanjia,lake,northern,outskirts,affords,rich,biodiversity,wetland,national,importance,bhubaneswars,soils,cent,laterite,cent,alluvial,cent,sandstone,bureau,indian,standards,places,city,inside,seismic,zone,iii,scale,ranging,v,order,increasing,susceptibility,earthquakes,united,nations,development,programme,reports,high,damage,risk,winds,cyclones,odisha,cyclone,caused,major,damage,buildings,citys,infrastructure,cost,human,lives,floods,waterlogging,low,lying,areas,common,unplanned,growth",0.00,bhubaneswar
"the bhubaneswar urban development area consists of the bhubaneswar municipal corporation area  revenue villages and two other municipalities spread over  km  the area under the jurisdiction of the bhubaneswar municipal corporation covers  square kilometres  the city is somewhat dumbbell shaped with most of the growth taking place to the north northeast and southwest the northsouth axis of the city is widest at roughly  kilometres  growth in the east is restricted due to the presence of kuakhai river and by the wildlife sanctuary in the northwestern part the city can be broadly divided into the old town planned city  added areas and outer peripheral areas it is subdivided into units and colonies
",bhubaneswar urban development area consists bhubaneswar municipal corporation area revenue villages municipalities spread km area jurisdiction bhubaneswar municipal corporation covers square kilometres city somewhat dumbbell shaped growth taking place north northeast southwest northsouth axis city widest roughly kilometres growth east restricted presence kuakhai river wildlife sanctuary northwestern city broadly divided old town planned city added areas outer peripheral areas subdivided units colonies,6.96,"bhubaneswar,urban,development,area,consists,bhubaneswar,municipal,corporation,area,revenue,villages,municipalities,spread,km,area,jurisdiction,bhubaneswar,municipal,corporation,covers,square,kilometres,city,somewhat,dumbbell,shaped,growth,taking,place,north,northeast,southwest,northsouth,axis,city,widest,roughly,kilometres,growth,east,restricted,presence,kuakhai,river,wildlife,sanctuary,northwestern,city,broadly,divided,old,town,planned,city,added,areas,outer,peripheral,areas,subdivided,units,colonies",0.00,bhubaneswar
"the added areas are mostly areas lying north of national highway  including nayapalli jayadev vihar chandrasekharpur and sailashree vihar niladri vihar which were developed by bhubaneswar development authority to house the growing population with the development of the new areas such as chandrasekharpur the city is now divided roughly into north and south bhubaneswar  by the nh  highway
",added areas areas lying north national highway including nayapalli jayadev vihar chandrasekharpur sailashree vihar niladri vihar developed bhubaneswar development authority house growing population development new areas chandrasekharpur city divided roughly north south bhubaneswar nh highway,5.90,"added,areas,areas,lying,north,national,highway,including,nayapalli,jayadev,vihar,chandrasekharpur,sailashree,vihar,niladri,vihar,developed,bhubaneswar,development,authority,house,growing,population,development,new,areas,chandrasekharpur,city,divided,roughly,north,south,bhubaneswar,nh,highway",0.00,bhubaneswar
"the peripheral areas are outside the municipal boundary or have subsequently been included within the extended boundary including tomando patia and raghunathpur most of these areas were developed in a haphazard manner without proper planning the master planning branch of the bhubaneswar development authority developed the comprehensive development plan  in  according to the odisha development authorities act  the development authority has control over the planning for municipal areas apart from the cdp bda has also created zonal development plans for some of the areas under the cdp bhubaneswar secured the top rank in the smart city list in india
",peripheral areas outside municipal boundary subsequently included extended boundary including tomando patia raghunathpur areas developed haphazard manner proper planning master planning branch bhubaneswar development authority developed comprehensive development plan according odisha development authorities act development authority control planning municipal areas apart cdp bda created zonal development plans areas cdp bhubaneswar secured rank smart city list india,6.57,"peripheral,areas,outside,municipal,boundary,subsequently,included,extended,boundary,including,tomando,patia,raghunathpur,areas,developed,haphazard,manner,proper,planning,master,planning,branch,bhubaneswar,development,authority,developed,comprehensive,development,plan,according,odisha,development,authorities,act,development,authority,control,planning,municipal,areas,apart,cdp,bda,created,zonal,development,plans,areas,cdp,bhubaneswar,secured,rank,smart,city,list,india",0.00,bhubaneswar
