Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bihar  is a state in eastern india it is the second largest state by population in  the th largest by area of  km  and the th largest by gdp in  bihar borders uttar pradesh to its west nepal to the north the northern part of west bengal to the east and with jharkhand to the south the bihar plain is split by the river ganges which flows from west to east
",bihar state eastern india second largest state population th largest area km th largest gdp bihar borders uttar pradesh west nepal north northern west bengal east jharkhand south bihar plain split river ganges flows west east,9.83,"bihar,state,eastern,india,second,largest,state,population,th,largest,area,km,th,largest,gdp,bihar,borders,uttar,pradesh,west,nepal,north,northern,west,bengal,east,jharkhand,south,bihar,plain,split,river,ganges,flows,west,east",0.00,bihar
"on  november  southern bihar was ceded to form the new state of jharkhand only  of the population of bihar lives in urban areas as of  additionally almost  of biharis are below the age of  giving bihar the highest proportion of young people of any indian state the official language is hindi and additional language is urdu although other languages are common including maithili magahi  bhojpuri and other languages of bihar
",november southern bihar ceded form new state jharkhand population bihar lives urban areas additionally biharis age giving bihar highest proportion young people indian state official language hindi additional language urdu languages common including maithili magahi bhojpuri languages bihar,7.53,"november,southern,bihar,ceded,form,new,state,jharkhand,population,bihar,lives,urban,areas,additionally,biharis,age,giving,bihar,highest,proportion,young,people,indian,state,official,language,hindi,additional,language,urdu,languages,common,including,maithili,magahi,bhojpuri,languages,bihar",0.00,bihar
"in ancient and classical india the area that is now bihar was considered the centre of political and cultural power and as a haven of learning from magadha arose indias first empire the maurya empire as well as one of the worlds most widely adhered to religions buddhism magadha empires notably under the maurya and gupta dynasties unified large parts of south asia under a central rule another region of bihar mithila was an early centre of learning and the centre of the videha kingdom
",ancient classical india area bihar considered centre political cultural power learning magadha arose indias empire maurya empire worlds widely adhered religions buddhism magadha empires notably maurya gupta dynasties unified large parts south asia central rule region bihar mithila early centre learning centre videha kingdom,8.40,"ancient,classical,india,area,bihar,considered,centre,political,cultural,power,learning,magadha,arose,indias,empire,maurya,empire,worlds,widely,adhered,religions,buddhism,magadha,empires,notably,maurya,gupta,dynasties,unified,large,parts,south,asia,central,rule,region,bihar,mithila,early,centre,learning,centre,videha,kingdom",0.00,bihar
"however since the late s bihar has lagged far behind other indian states in terms of social and economic development many economists and social scientists claim that this is a direct result of the policies of the central government such as the freight equalisation policy its apathy towards bihar lack of bihari sub nationalism and the permanent settlement of  by the british east india company the state government has however made significant strides in developing the state improved governance has led to an economic revival in the state through increased investment in infrastructure better healthcare facilities greater emphasis on education and a reduction in crime and corruption
",late bihar lagged far indian states terms social economic development economists social scientists claim direct result policies central government freight equalisation policy apathy bihar lack bihari sub nationalism permanent settlement british east india company state government significant strides developing state improved governance led economic revival state increased investment infrastructure better healthcare facilities greater emphasis education reduction crime corruption,7.13,"late,bihar,lagged,far,indian,states,terms,social,economic,development,economists,social,scientists,claim,direct,result,policies,central,government,freight,equalisation,policy,apathy,bihar,lack,bihari,sub,nationalism,permanent,settlement,british,east,india,company,state,government,significant,strides,developing,state,improved,governance,led,economic,revival,state,increased,investment,infrastructure,better,healthcare,facilities,greater,emphasis,education,reduction,crime,corruption",0.00,bihar
"the name bihar derives from the sanskrit and pali word vihra  meaning abode the region roughly encompassing the present state had many buddhist vihras the abodes of buddhist monks in the ancient and medieval periods medieval writer minhaj al siraj juzjani records in the tabaqat i nasiri that in  bakhtiyar khalji committed a massacre in a town identified with the word later known as bihar sharif about  km  away from bodh gaya
",bihar derives sanskrit pali word vihra meaning abode region roughly encompassing present state buddhist vihras abodes buddhist monks ancient medieval periods medieval writer minhaj al siraj juzjani records tabaqat nasiri bakhtiyar khalji committed massacre town identified word later known bihar sharif km away bodh gaya,6.29,"bihar,derives,sanskrit,pali,word,vihra,meaning,abode,region,roughly,encompassing,present,state,buddhist,vihras,abodes,buddhist,monks,ancient,medieval,periods,medieval,writer,minhaj,al,siraj,juzjani,records,tabaqat,nasiri,bakhtiyar,khalji,committed,massacre,town,identified,word,later,known,bihar,sharif,km,away,bodh,gaya",0.00,bihar
"chirand on the northern bank of the ganga river in saran district has an archaeological record from the neolithic age  regions of bihar  such as magadha mithila and anga  are mentioned in religious texts and epics of ancient india
",chirand northern bank ganga river saran district archaeological record neolithic age regions bihar magadha mithila anga mentioned religious texts epics ancient india,7.36,"chirand,northern,bank,ganga,river,saran,district,archaeological,record,neolithic,age,regions,bihar,magadha,mithila,anga,mentioned,religious,texts,epics,ancient,india",0.00,bihar
"the nanda dynasty was replaced by the maurya empire indias first empire the maurya empire and the religion of buddhism arose in the region that now makes up modern bihar the mauryan empire which originated from magadha in  bce was founded by chandragupta maurya who was born in magadha it had its capital at pataliputra  mauryan emperor ashoka who was born in pataliputra  is often considered to be among the most accomplished rulers in world history
",nanda dynasty replaced maurya empire indias empire maurya empire religion buddhism arose region makes modern bihar mauryan empire originated magadha bce founded chandragupta maurya born magadha capital pataliputra mauryan emperor ashoka born pataliputra considered accomplished rulers world history,8.43,"nanda,dynasty,replaced,maurya,empire,indias,empire,maurya,empire,religion,buddhism,arose,region,makes,modern,bihar,mauryan,empire,originated,magadha,bce,founded,chandragupta,maurya,born,magadha,capital,pataliputra,mauryan,emperor,ashoka,born,pataliputra,considered,accomplished,rulers,world,history",0.00,bihar
"
the gupta empire which originated in magadha in  ce is referred to as the golden age of india in science mathematics astronomy commerce religion and indian philosophy bihar and bengal were invaded by rajendra chola i of the chola dynasty in the th century",gupta empire originated magadha ce referred golden age india science mathematics astronomy commerce religion indian philosophy bihar bengal invaded rajendra chola chola dynasty th century,7.42,"gupta,empire,originated,magadha,ce,referred,golden,age,india,science,mathematics,astronomy,commerce,religion,indian,philosophy,bihar,bengal,invaded,rajendra,chola,chola,dynasty,th,century",0.00,bihar
"buddhism in magadha went into decline due to the invasion of muhammad bin bakhtiyar khalji during which many of the viharas were destroyed along with the universities of nalanda and vikramashila some historians believe that thousands of buddhist monks were massacred during the th century d n jha suggests instead that these incidents were the result of buddhistbrahmin skirmishes in a fight for supremacy after the fall of the pala empire the chero dynasty ruled some parts of bihar from the th century until mughal rule in the th century in  the great pathan chieftain sher shah suri took northern india from the mughals and declared delhi his capital
",buddhism magadha went decline invasion muhammad bin bakhtiyar khalji viharas destroyed universities nalanda vikramashila historians believe thousands buddhist monks massacred th century n jha suggests instead incidents result buddhistbrahmin skirmishes fight supremacy fall pala empire chero dynasty ruled parts bihar th century mughal rule th century great pathan chieftain sher shah suri took northern india mughals declared delhi capital,7.65,"buddhism,magadha,went,decline,invasion,muhammad,bin,bakhtiyar,khalji,viharas,destroyed,universities,nalanda,vikramashila,historians,believe,thousands,buddhist,monks,massacred,th,century,n,jha,suggests,instead,incidents,result,buddhistbrahmin,skirmishes,fight,supremacy,fall,pala,empire,chero,dynasty,ruled,parts,bihar,th,century,mughal,rule,th,century,great,pathan,chieftain,sher,shah,suri,took,northern,india,mughals,declared,delhi,capital",0.00,bihar
"after the battle of buxar  the british east india company obtained the diwani rights  for bihar bengal and odisha the rich resources of fertile land water and skilled labour had attracted the foreign imperialists particularly the dutch and british in the th century a number of agriculture based industries had been started in bihar by foreign entrepreneurs bihar remained a part of the bengal presidency of british india until  when bihar and orissa were carved out as separate provinces
",battle buxar british east india company obtained diwani rights bihar bengal odisha rich resources fertile land water skilled labour attracted foreign imperialists particularly dutch british th century number agriculture based industries started bihar foreign entrepreneurs bihar remained bengal presidency british india bihar orissa carved separate provinces,6.75,"battle,buxar,british,east,india,company,obtained,diwani,rights,bihar,bengal,odisha,rich,resources,fertile,land,water,skilled,labour,attracted,foreign,imperialists,particularly,dutch,british,th,century,number,agriculture,based,industries,started,bihar,foreign,entrepreneurs,bihar,remained,bengal,presidency,british,india,bihar,orissa,carved,separate,provinces",0.00,bihar
