Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"brazil nt  officially the federative republic of brazil  is the largest country in south america and in latin america at  million square kilometers  and with over  million people brazil is the worlds fifth largest country by area and the seventh most populous its capital is braslia and its most populous city is so paulo the federation is composed of the union of the  states and the federal district it is the only country in the americas to have portuguese as an official language it is one of the most multicultural and ethnically diverse nations due to over a century of mass immigration from around the world and the most populous roman catholic majority country
",brazil nt officially federative republic brazil largest country south america latin america million square kilometers million people brazil worlds fifth largest country area seventh populous capital braslia populous city paulo federation composed union states federal district country americas portuguese official language multicultural ethnically diverse nations century mass immigration world populous roman catholic majority country,8.97,"brazil,nt,officially,federative,republic,brazil,largest,country,south,america,latin,america,million,square,kilometers,million,people,brazil,worlds,fifth,largest,country,area,seventh,populous,capital,braslia,populous,city,paulo,federation,composed,union,states,federal,district,country,americas,portuguese,official,language,multicultural,ethnically,diverse,nations,century,mass,immigration,world,populous,roman,catholic,majority,country",0.00,brazil
"bounded by the atlantic ocean on the east brazil has a coastline of  kilometers  it borders all other countries and territories in south america except ecuador and chile and covers roughly half of the continents land area its amazon basin includes a vast tropical forest home to diverse wildlife a variety of ecological systems and extensive natural resources spanning numerous protected habitats this unique environmental heritage positions brazil at number one of  megadiverse countries and is the subject of significant global interest as environmental degradation through processes like deforestation has direct impacts on global issues like climate change and biodiversity loss
",bounded atlantic ocean east brazil coastline kilometers borders countries territories south america ecuador chile covers roughly half continents land area amazon basin includes vast tropical forest home diverse wildlife variety ecological systems extensive natural resources spanning numerous protected habitats unique environmental heritage positions brazil number megadiverse countries subject significant global interest environmental degradation processes like deforestation direct impacts global issues like climate change biodiversity loss,5.27,"bounded,atlantic,ocean,east,brazil,coastline,kilometers,borders,countries,territories,south,america,ecuador,chile,covers,roughly,half,continents,land,area,amazon,basin,includes,vast,tropical,forest,home,diverse,wildlife,variety,ecological,systems,extensive,natural,resources,spanning,numerous,protected,habitats,unique,environmental,heritage,positions,brazil,number,megadiverse,countries,subject,significant,global,interest,environmental,degradation,processes,like,deforestation,direct,impacts,global,issues,like,climate,change,biodiversity,loss",0.00,brazil
"the territory which would become known as brazil was inhabited by numerous tribal nations prior to the landing in  of explorer pedro lvares cabral who claimed the discovered land for the portuguese empire brazil remained a portuguese colony until  when the capital of the empire was transferred from lisbon to rio de janeiro in  the colony was elevated to the rank of kingdom upon the formation of the united kingdom of portugal brazil and the algarves independence was achieved in  with the creation of the empire of brazil a unitary state governed under a constitutional monarchy and a parliamentary system the ratification of the first constitution in  led to the formation of a bicameral legislature now called the national congress slavery was abolished in  the country became a presidential republic in  following a military coup dtat an authoritarian military junta came to power in  and ruled until  after which civilian governance resumed brazils current constitution formulated in  defines it as a democratic federal republic due to its rich culture and history the country ranks thirteenth in the world by number of unesco world heritage sites
",territory known brazil inhabited numerous tribal nations prior landing explorer pedro lvares cabral claimed discovered land portuguese empire brazil remained portuguese colony capital empire transferred lisbon rio de janeiro colony elevated rank kingdom formation united kingdom portugal brazil algarves independence achieved creation empire brazil unitary state governed constitutional monarchy parliamentary system ratification constitution led formation bicameral legislature called national congress slavery abolished country presidential republic following military coup dtat authoritarian military junta came power ruled civilian governance resumed brazils current constitution formulated defines democratic federal republic rich culture history country ranks thirteenth world number unesco world heritage sites,7.53,"territory,known,brazil,inhabited,numerous,tribal,nations,prior,landing,explorer,pedro,lvares,cabral,claimed,discovered,land,portuguese,empire,brazil,remained,portuguese,colony,capital,empire,transferred,lisbon,rio,de,janeiro,colony,elevated,rank,kingdom,formation,united,kingdom,portugal,brazil,algarves,independence,achieved,creation,empire,brazil,unitary,state,governed,constitutional,monarchy,parliamentary,system,ratification,constitution,led,formation,bicameral,legislature,called,national,congress,slavery,abolished,country,presidential,republic,following,military,coup,dtat,authoritarian,military,junta,came,power,ruled,civilian,governance,resumed,brazils,current,constitution,formulated,defines,democratic,federal,republic,rich,culture,history,country,ranks,thirteenth,world,number,unesco,world,heritage,sites",0.00,brazil
"a major non nato ally of the united states brazil is a regional and middle power and is also classified as an emerging power categorised as a developing country with a high human development index brazil is considered an advanced emerging economy having the twelfth largest gdp in the world by nominal and ninth by ppp measures the largest in latin america as an upper middle income economy by the world bank and a newly industrialized country brazil has the largest share of global wealth in south america and it is one of the worlds major breadbaskets being the largest producer of coffee for the last  years however the country retains noticeable corruption crime and social inequality brazil is a founding member of the united nations the g brics mercosul organization of american states organization of ibero american states and the community of portuguese language countries
",major non nato ally united states brazil regional middle power classified emerging power categorised developing country high human development index brazil considered advanced emerging economy twelfth largest gdp world nominal ninth ppp measures largest latin america upper middle income economy world bank newly industrialized country brazil largest share global wealth south america worlds major breadbaskets largest producer coffee years country retains noticeable corruption crime social inequality brazil founding member united nations g brics mercosul organization american states organization ibero american states community portuguese language countries,6.92,"major,non,nato,ally,united,states,brazil,regional,middle,power,classified,emerging,power,categorised,developing,country,high,human,development,index,brazil,considered,advanced,emerging,economy,twelfth,largest,gdp,world,nominal,ninth,ppp,measures,largest,latin,america,upper,middle,income,economy,world,bank,newly,industrialized,country,brazil,largest,share,global,wealth,south,america,worlds,major,breadbaskets,largest,producer,coffee,years,country,retains,noticeable,corruption,crime,social,inequality,brazil,founding,member,united,nations,g,brics,mercosul,organization,american,states,organization,ibero,american,states,community,portuguese,language,countries",0.00,brazil
"the word brazil likely comes from the portuguese word for brazilwood a tree that once grew plentifully along the brazilian coast in portuguese brazilwood is called pau brasil with the word brasil commonly given the etymology red like an ember formed from brasa  and the suffix  il  as brazilwood produces a deep red dye it was highly valued by the european textile industry and was the earliest commercially exploited product from brazil throughout the th century massive amounts of brazilwood were harvested by indigenous peoples  along the brazilian coast who sold the timber to european traders  in return for assorted european consumer goods
",word brazil likely comes portuguese word brazilwood tree grew plentifully brazilian coast portuguese brazilwood called pau brasil word brasil commonly given etymology red like ember formed brasa suffix il brazilwood produces deep red dye highly valued european textile industry earliest commercially exploited product brazil th century massive amounts brazilwood harvested indigenous peoples brazilian coast sold timber european traders return assorted european consumer goods,6.19,"word,brazil,likely,comes,portuguese,word,brazilwood,tree,grew,plentifully,brazilian,coast,portuguese,brazilwood,called,pau,brasil,word,brasil,commonly,given,etymology,red,like,ember,formed,brasa,suffix,il,brazilwood,produces,deep,red,dye,highly,valued,european,textile,industry,earliest,commercially,exploited,product,brazil,th,century,massive,amounts,brazilwood,harvested,indigenous,peoples,brazilian,coast,sold,timber,european,traders,return,assorted,european,consumer,goods",0.00,brazil
"the official portuguese name of the land in original portuguese records was the land of the holy cross  but european sailors and merchants commonly called it the land of brazil  because of the brazilwood trade the popular appellation eclipsed and eventually supplanted the official portuguese name some early sailors called it the land of parrots
",official portuguese land original portuguese records land holy cross european sailors merchants commonly called land brazil brazilwood trade popular appellation eclipsed eventually supplanted official portuguese early sailors called land parrots,7.20,"official,portuguese,land,original,portuguese,records,land,holy,cross,european,sailors,merchants,commonly,called,land,brazil,brazilwood,trade,popular,appellation,eclipsed,eventually,supplanted,official,portuguese,early,sailors,called,land,parrots",0.00,brazil
"in the guaran language an official language of paraguay brazil is called pindorama this was the name the indigenous population gave to the region meaning land of the palm trees
",guaran language official language paraguay brazil called pindorama indigenous population gave region meaning land palm trees,7.91,"guaran,language,official,language,paraguay,brazil,called,pindorama,indigenous,population,gave,region,meaning,land,palm,trees",0.00,brazil
"some of the earliest human remains found in the americas luzia woman were found in the area of pedro leopoldo minas gerais and provide evidence of human habitation going back at least  years 
the earliest pottery ever found in the western hemisphere was excavated in the amazon basin of brazil and radiocarbon dated to  years ago  the pottery was found near santarm and provides evidence that the tropical forest region supported a complex prehistoric culture the marajoara culture flourished on maraj in the amazon delta from ad  to  developing sophisticated pottery social stratification large populations mound building and complex social formations such as chiefdoms
",earliest human remains found americas luzia woman found area pedro leopoldo minas gerais provide evidence human habitation going years earliest pottery found western hemisphere excavated amazon basin brazil radiocarbon dated years ago pottery found near santarm provides evidence tropical forest region supported complex prehistoric culture marajoara culture flourished maraj amazon delta ad developing sophisticated pottery social stratification large populations mound building complex social formations chiefdoms,5.81,"earliest,human,remains,found,americas,luzia,woman,found,area,pedro,leopoldo,minas,gerais,provide,evidence,human,habitation,going,years,earliest,pottery,found,western,hemisphere,excavated,amazon,basin,brazil,radiocarbon,dated,years,ago,pottery,found,near,santarm,provides,evidence,tropical,forest,region,supported,complex,prehistoric,culture,marajoara,culture,flourished,maraj,amazon,delta,ad,developing,sophisticated,pottery,social,stratification,large,populations,mound,building,complex,social,formations,chiefdoms",0.00,brazil
"around the time of the portuguese arrival the territory of current day brazil had an estimated indigenous population of  million people mostly semi nomadic who subsisted on hunting fishing gathering and migrant agriculture the indigenous population of brazil comprised several large indigenous ethnic groups  the tup people were subdivided into the tupiniquins and tupinambs and there were also many subdivisions of the other groups
",time portuguese arrival territory current day brazil estimated indigenous population million people semi nomadic subsisted hunting fishing gathering migrant agriculture indigenous population brazil comprised large indigenous ethnic groups tup people subdivided tupiniquins tupinambs subdivisions groups,6.70,"time,portuguese,arrival,territory,current,day,brazil,estimated,indigenous,population,million,people,semi,nomadic,subsisted,hunting,fishing,gathering,migrant,agriculture,indigenous,population,brazil,comprised,large,indigenous,ethnic,groups,tup,people,subdivided,tupiniquins,tupinambs,subdivisions,groups",0.00,brazil
"following the  treaty of tordesillas the land now called brazil was claimed for the portuguese empire on  april  with the arrival of the portuguese fleet commanded by pedro lvares cabral the portuguese encountered indigenous peoples divided into several ethnic societies most of whom spoke languages of the tupiguaran family and fought among themselves though the first settlement was founded in  colonization effectively began in  when king john iii of portugal divided the territory into the fifteen private and autonomous captaincy colonies of brazil
",following treaty tordesillas land called brazil claimed portuguese empire april arrival portuguese fleet commanded pedro lvares cabral portuguese encountered indigenous peoples divided ethnic societies spoke languages tupiguaran family fought settlement founded colonization effectively began king johniii portugal divided territory private autonomous captaincy colonies brazil,6.86,"following,treaty,tordesillas,land,called,brazil,claimed,portuguese,empire,april,arrival,portuguese,fleet,commanded,pedro,lvares,cabral,portuguese,encountered,indigenous,peoples,divided,ethnic,societies,spoke,languages,tupiguaran,family,fought,settlement,founded,colonization,effectively,began,king,johniii,portugal,divided,territory,private,autonomous,captaincy,colonies,brazil",0.00,brazil
