Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the budapest memorandum on security assurances comprises three substantially identical political agreements signed at the osce conference in budapest hungary on  december  to provide security assurances by its signatories relating to the accession of belarus kazakhstan and ukraine to the treaty on the non proliferation of nuclear weapons  the three memoranda were originally signed by three nuclear powers the russian federation the united kingdom and the united states china and france gave somewhat weaker individual assurances in separate documents
",budapest memorandum security assurances comprises substantially identical political agreements signed osce conference budapest hungary december provide security assurances signatories relating accession belarus kazakhstan ukraine treaty non proliferation nuclear weapons memoranda originally signed nuclear powers russian federation united kingdom united states china france gave somewhat weaker individual assurances separate documents,5.42,"budapest,memorandum,security,assurances,comprises,substantially,identical,political,agreements,signed,osce,conference,budapest,hungary,december,provide,security,assurances,signatories,relating,accession,belarus,kazakhstan,ukraine,treaty,non,proliferation,nuclear,weapons,memoranda,originally,signed,nuclear,powers,russian,federation,united,kingdom,united,states,china,france,gave,somewhat,weaker,individual,assurances,separate,documents",0.00,budapest
"the memoranda signed in patria hall at the budapest convention center with us ambassador donald m blinken amongst others in attendance prohibited the russian federation the united kingdom and the united states from threatening or using military force or economic coercion against ukraine belarus and kazakhstan except in self defence or otherwise in accordance with the charter of the united nations as a result of other agreements and the memorandum between  and  belarus kazakhstan and ukraine gave up their nuclear weapons
",memoranda signed patria hall budapest convention center ambassador donald blinken attendance prohibited russian federation united kingdom united states threatening military force economic coercion ukraine belarus kazakhstan self defence accordance charter united nations result agreements memorandum belarus kazakhstan ukraine gave nuclear weapons,7.60,"memoranda,signed,patria,hall,budapest,convention,center,ambassador,donald,blinken,attendance,prohibited,russian,federation,united,kingdom,united,states,threatening,military,force,economic,coercion,ukraine,belarus,kazakhstan,self,defence,accordance,charter,united,nations,result,agreements,memorandum,belarus,kazakhstan,ukraine,gave,nuclear,weapons",0.00,budapest
"the fabled budapest memorandum is actually three documents signed individually on  december  by the three leaders of the ex soviet nations together with the guarantor nations united states united kingdom and russia so the unterm portal notes for one to distinguish this from the other two budapest memorandums of the same date this one could be referred to as the budapest memorandum regarding kazakhstan
",fabled budapest memorandum actually documents signed individually december leaders ex soviet nations guarantor nations united states united kingdom russia unterm portal notes distinguish budapest memorandums date referred budapest memorandum kazakhstan,8.40,"fabled,budapest,memorandum,actually,documents,signed,individually,december,leaders,ex,soviet,nations,guarantor,nations,united,states,united,kingdom,russia,unterm,portal,notes,distinguish,budapest,memorandums,date,referred,budapest,memorandum,kazakhstan",0.00,budapest
"in february  russian forces seized or blockaded various airports and other strategic sites throughout crimea the troops were attached to the russian black sea fleet stationed in crimea which placed russia in violation of the budapest memorandum the russian foreign ministry had confirmed the movement of armoured units attached to the black sea fleet in crimea but asserted that they were acting within the scope of the various agreements between the two countriescitation needed russia responded by supporting a referendum on whether the crimea should join it crimea parliament announces referendum on the autonomous republics future in accordance with the law on the autonomous republic of crimea on  march the referendum was held on  march crimea declared independence and on  march it was incorporated into the russian federation ukraine vigorously protested the action as a violation of article  of the budapest memorandum
",february russian forces seized blockaded airports strategic sites crimea troops attached russian black sea fleet stationed crimea placed russia violation budapest memorandum russian foreign ministry confirmed movement armoured units attached black sea fleet crimea asserted acting scope agreements countriescitation needed russia responded supporting referendum crimea join crimea parliament announces referendum autonomous republics future accordance law autonomous republic crimea march referendum held march crimea declared independence march incorporated russian federation ukraine vigorously protested action violation article budapest memorandum,7.00,"february,russian,forces,seized,blockaded,airports,strategic,sites,crimea,troops,attached,russian,black,sea,fleet,stationed,crimea,placed,russia,violation,budapest,memorandum,russian,foreign,ministry,confirmed,movement,armoured,units,attached,black,sea,fleet,crimea,asserted,acting,scope,agreements,countriescitation,needed,russia,responded,supporting,referendum,crimea,join,crimea,parliament,announces,referendum,autonomous,republics,future,accordance,law,autonomous,republic,crimea,march,referendum,held,march,crimea,declared,independence,march,incorporated,russian,federation,ukraine,vigorously,protested,action,violation,article,budapest,memorandum",0.00,budapest
"after the annexation of crimea by russia in  canada france germany italy japan the uk and us stated that russian involvement was a breach of its budapest memorandum obligations to ukraine and in violation of ukrainian sovereignty and territorial integrity
",annexation crimea russia canada france germany italy japan uk stated russian involvement breach budapest memorandum obligations ukraine violation ukrainian sovereignty territorial integrity,7.03,"annexation,crimea,russia,canada,france,germany,italy,japan,uk,stated,russian,involvement,breach,budapest,memorandum,obligations,ukraine,violation,ukrainian,sovereignty,territorial,integrity",0.00,budapest
"on  march the address of the verkhovna rada of ukraine to the guarantor states in accordance with the budapest memorandum of  on security assurances in connection with ukraines accession to the treaty on the non proliferation of nuclear weapons was published
",march address verkhovna rada ukraine guarantor states accordance budapest memorandum security assurances connection ukraines accession treaty non proliferation nuclear weapons published,7.72,"march,address,verkhovna,rada,ukraine,guarantor,states,accordance,budapest,memorandum,security,assurances,connection,ukraines,accession,treaty,non,proliferation,nuclear,weapons,published",0.00,budapest
"on  march the russian president vladimir putin replied to a question on the violation of the budapest memorandum describing the current ukrainian situation as a revolution a new state arises but with this state and in respect to this state we have not signed any obligatory documents russia stated that it had never been under obligation to force any part of ukraines civilian population to stay in ukraine against its will russia suggested that the us was in violation of the budapest memorandum and described the euromaidan as a us instigated coup
",march russian president vladimir putin replied question violation budapest memorandum describing current ukrainian situation revolution new state arises state respect state signed obligatory documents russia stated obligation force ukraines civilian population stay ukraine russia suggested violation budapest memorandum described euromaidan instigated coup,9.09,"march,russian,president,vladimir,putin,replied,question,violation,budapest,memorandum,describing,current,ukrainian,situation,revolution,new,state,arises,state,respect,state,signed,obligatory,documents,russia,stated,obligation,force,ukraines,civilian,population,stay,ukraine,russia,suggested,violation,budapest,memorandum,described,euromaidan,instigated,coup",0.00,budapest
"on  march  canadian prime minister stephen harper led the g partners in an ad hoc meeting during the nuclear security summit at the hague for a partial suspension of russian membership from the g due to russias breach of the budapest memorandum he said that ukraine had given up its nuclear weapons on the basis of an explicit russian assurance of its territorial integrity by breaching that assurance president putin has provided a rationale for those elsewhere who needed little more than that already furnished by pride or grievance to arm themselves to the teeth harper also indicated support for ukraine by saying he would work with the new ukrainian government towards a free trade agreement
",march canadian prime minister stephen harper led g partners ad hoc meeting nuclear security summit hague partial suspension russian membership g russias breach budapest memorandum said ukraine given nuclear weapons basis explicit russian assurance territorial integrity breaching assurance president putin provided rationale needed little furnished pride grievance arm teeth harper indicated support ukraine saying work new ukrainian government free trade agreement,7.88,"march,canadian,prime,minister,stephen,harper,led,g,partners,ad,hoc,meeting,nuclear,security,summit,hague,partial,suspension,russian,membership,g,russias,breach,budapest,memorandum,said,ukraine,given,nuclear,weapons,basis,explicit,russian,assurance,territorial,integrity,breaching,assurance,president,putin,provided,rationale,needed,little,furnished,pride,grievance,arm,teeth,harper,indicated,support,ukraine,saying,work,new,ukrainian,government,free,trade,agreement",0.00,budapest
"in february  sergey lavrov claimed russia never violated budapest memorandum it contained only one obligation not to attack ukraine with nukes however canadian journalist michael colborne pointed out that there are actually six obligations in the budapest memorandum and the first of them is to respect the independence and sovereignty and the existing borders of ukraine colborne also pointed out that a broadcast of lavrovs claim on the twitter account of russias embassy in the united kingdom actually provided a link to the text of the budapest memorandum itself with all six obligations including the ones russia has clearly violated  right there for everyone to see steven pifer an american diplomat who was involved in drafting the budapest memorandum later commented on the mendacity of russian diplomacy and its contempt for international opinion when the foreign minister says something that can be proven wrong with less than  seconds of google fact checking russia argued that the united states broke the third point of the agreement by introducing and threatening further sanctions against the yanukovych government
",february sergey lavrov claimed russia violated budapest memorandum contained obligation attack ukraine nukes canadian journalist michael colborne pointed actually obligations budapest memorandum respect independence sovereignty existing borders ukraine colborne pointed broadcast lavrovs claim twitter account russias embassy united kingdom actually provided link text budapest memorandum obligations including ones russia clearly violated right steven pifer american diplomat involved drafting budapest memorandum later commented mendacity russian diplomacy contempt international opinion foreign minister says proven wrong seconds google fact checking russia argued united states broke point agreement introducing threatening sanctions yanukovych government,7.62,"february,sergey,lavrov,claimed,russia,violated,budapest,memorandum,contained,obligation,attack,ukraine,nukes,canadian,journalist,michael,colborne,pointed,actually,obligations,budapest,memorandum,respect,independence,sovereignty,existing,borders,ukraine,colborne,pointed,broadcast,lavrovs,claim,twitter,account,russias,embassy,united,kingdom,actually,provided,link,text,budapest,memorandum,obligations,including,ones,russia,clearly,violated,right,steven,pifer,american,diplomat,involved,drafting,budapest,memorandum,later,commented,mendacity,russian,diplomacy,contempt,international,opinion,foreign,minister,says,proven,wrong,seconds,google,fact,checking,russia,argued,united,states,broke,point,agreement,introducing,threatening,sanctions,yanukovych,government",0.00,budapest
"on  november  the russian federal security service  coast guard fired upon and captured three ukrainian navy vessels after they attempted to transit from the black sea into the sea of azov through the kerch strait on their way to the port of mariupol
on  november  the ministry of foreign affairs of ukraine appealed to the signatory states of the budapest memorandum to hold urgent consultations to ensure full compliance with the memorandums commitments and the immediate cessation of russian aggression against ukraine
",november russian federal security service coast guard fired captured ukrainian navy vessels attempted transit black sea sea azov kerch strait way port mariupolon november ministry foreign affairs ukraine appealed signatory states budapest memorandum hold urgent consultations ensure compliance memorandums commitments immediate cessation russian aggression ukraine,7.09,"november,russian,federal,security,service,coast,guard,fired,captured,ukrainian,navy,vessels,attempted,transit,black,sea,sea,azov,kerch,strait,way,port,mariupolon,november,ministry,foreign,affairs,ukraine,appealed,signatory,states,budapest,memorandum,hold,urgent,consultations,ensure,compliance,memorandums,commitments,immediate,cessation,russian,aggression,ukraine",0.00,budapest
