Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"budapest youdpst bd  budpst bd  us budpst  pt budpt hungarian pronunciation budpt  is the capital and most populous city of hungary it is the ninth largest city in the european union by population within city limits and the second largest city on the danube river the city has an estimated population of  over a land area of about  square kilometres  budapest which is both a city and county forms the centre of the budapest metropolitan area which has an area of  square kilometres  and a population of  it is a primate city constituting  of the population of hungary
",budapest youdpst bd budpst bd budpst pt budpt hungarian pronunciationbudpt capital populous city hungary ninth largest city european union population city limits second largest city danube river city estimated population land area square kilometres budapest city county forms centre budapest metropolitan area area square kilometres population primate city constituting population hungary,8.08,"budapest,youdpst,bd,budpst,bd,budpst,pt,budpt,hungarian,pronunciationbudpt,capital,populous,city,hungary,ninth,largest,city,european,union,population,city,limits,second,largest,city,danube,river,city,estimated,population,land,area,square,kilometres,budapest,city,county,forms,centre,budapest,metropolitan,area,area,square,kilometres,population,primate,city,constituting,population,hungary",0.00,budapest
"the history of budapest began when an early celtic settlement transformed into the roman town of aquincum the capital of lower pannonia the hungarians arrived in the territory in the late th century but the area was pillaged by the mongols in  re established buda became one of the centres of renaissance humanist culture by the th century the battle of mohcs in  was followed by nearly  years of ottoman rule after the reconquest of buda in  the region entered a new age of prosperity with pest buda becoming a global city after the unification of buda buda and pest on  november  with the name budapest given to the new capital budapest also became the co capital of the austro hungarian empire a great power that dissolved in  following world war i the city was the focal point of the hungarian revolution of  the battle of budapest in  as well as the hungarian revolution of 
",history budapest began early celtic settlement transformed roman town aquincum capital lower pannonia hungarians arrived territory late th century area pillaged mongols established buda centres renaissance humanist culture th century battle mohcs followed nearly years ottoman rule reconquest buda region entered new age prosperity pest buda global city unification buda buda pest november budapest given new capital budapest co capital austro hungarian empire great power dissolved following world war city focal point hungarian revolution battle budapest hungarian revolution,8.75,"history,budapest,began,early,celtic,settlement,transformed,roman,town,aquincum,capital,lower,pannonia,hungarians,arrived,territory,late,th,century,area,pillaged,mongols,established,buda,centres,renaissance,humanist,culture,th,century,battle,mohcs,followed,nearly,years,ottoman,rule,reconquest,buda,region,entered,new,age,prosperity,pest,buda,global,city,unification,buda,buda,pest,november,budapest,given,new,capital,budapest,co,capital,austro,hungarian,empire,great,power,dissolved,following,world,war,city,focal,point,hungarian,revolution,battle,budapest,hungarian,revolution",0.00,budapest
"budapest is a global city with strengths in commerce finance media art fashion research technology education and entertainment hungarys financial centre it is the second richest capital and city in the region after bucharest budapest is the headquarters of the european institute of innovation and technology the european police college and the first foreign office of the china investment promotion agency over  colleges and universities are located in budapest including etvs lornd university corvinus university semmelweis university university of veterinary medicine budapest and the budapest university of technology and economics opened in  the citys subway system the budapest metro serves  million while the budapest tram network serves  million passengers daily
",budapest global city strengths commerce finance media art fashion research technology education entertainment hungarys financial centre second richest capital city region bucharest budapest headquarters european institute innovation technology european police college foreign office china investment promotion agency colleges universities located budapest including etvs lornd university corvinus university semmelweis university university veterinary medicine budapest budapest university technology economics opened citys subway system budapest metro serves million budapest tram network serves million passengers daily,4.93,"budapest,global,city,strengths,commerce,finance,media,art,fashion,research,technology,education,entertainment,hungarys,financial,centre,second,richest,capital,city,region,bucharest,budapest,headquarters,european,institute,innovation,technology,european,police,college,foreign,office,china,investment,promotion,agency,colleges,universities,located,budapest,including,etvs,lornd,university,corvinus,university,semmelweis,university,university,veterinary,medicine,budapest,budapest,university,technology,economics,opened,citys,subway,system,budapest,metro,serves,million,budapest,tram,network,serves,million,passengers,daily",0.00,budapest
"the central area of budapest along the danube river is classified as a unesco world heritage site and has several notable monuments of classical architecture including the hungarian parliament and the buda castle the city also has around  geothermal springs the largest thermal water cave system second largest synagogue and third largest parliament building in the world budapest attracts around  million international tourists per year making it a highly popular destination in europe
",central area budapest danube river classified unesco world heritage site notable monuments classical architecture including hungarian parliament buda castle city geothermal springs largest thermal water cave system second largest synagogue largest parliament building world budapest attracts million international tourists year making highly popular destination europe,5.75,"central,area,budapest,danube,river,classified,unesco,world,heritage,site,notable,monuments,classical,architecture,including,hungarian,parliament,buda,castle,city,geothermal,springs,largest,thermal,water,cave,system,second,largest,synagogue,largest,parliament,building,world,budapest,attracts,million,international,tourists,year,making,highly,popular,destination,europe",0.00,budapest
"the previously separate towns of buda buda and pest were officially unified in  and given the new name budapest before this the towns together had sometimes been referred to colloquially as pest buda pest is used pars pro toto for the entire city in contemporary colloquial hungarian
",previously separate towns buda buda pest officially unified given new budapest towns referred colloquially pest buda pest pars pro toto entire city contemporary colloquial hungarian,7.75,"previously,separate,towns,buda,buda,pest,officially,unified,given,new,budapest,towns,referred,colloquially,pest,buda,pest,pars,pro,toto,entire,city,contemporary,colloquial,hungarian",0.00,budapest
"the first settlement on the territory of budapest was built by celts before  ad it was later occupied by the romans the roman settlement  aquincum  became the main city of pannonia inferior in  ad at first it was a military settlement and gradually the city rose around it making it the focal point of the citys commercial life today this area corresponds to the buda district within budapest the romans constructed roads amphitheaters baths and houses with heated floors in this fortified military camp the roman city of aquincum is the best conserved of the roman sites in hungary the archaeological site was turned into a museum with indoor and open air sections
",settlement territory budapest built celts ad later occupied romans roman settlement aquincum main city pannonia inferior ad military settlement gradually city rose making focal point citys commercial life today area corresponds buda district budapest romans constructed roads amphitheaters baths houses heated floors fortified military camp roman city aquincum best conserved roman sites hungary archaeological site turned museum indoor open air sections,7.81,"settlement,territory,budapest,built,celts,ad,later,occupied,romans,roman,settlement,aquincum,main,city,pannonia,inferior,ad,military,settlement,gradually,city,rose,making,focal,point,citys,commercial,life,today,area,corresponds,buda,district,budapest,romans,constructed,roads,amphitheaters,baths,houses,heated,floors,fortified,military,camp,roman,city,aquincum,best,conserved,roman,sites,hungary,archaeological,site,turned,museum,indoor,open,air,sections",0.00,budapest
"the magyar tribes led by rpd forced out of their original homeland north of bulgaria by tsar simeon after the battle of southern buh settled in the territory at the end of the th century displacing the founding bulgarian settlers of the towns of buda and pest and a century later officially founded the kingdom of hungary research places the probable residence of the rpds as an early place of central power near what became budapest the tatar invasion in the th century quickly proved it is difficult to defend a plain king bla iv of hungary therefore ordered the construction of reinforced stone walls around the towns and set his own royal palace on the top of the protecting hills of buda in  it became the capital of hungary
",magyar tribes led rpd forced original homeland north bulgaria tsar simeon battle southern buh settled territory end th century displacing founding bulgarian settlers towns buda pest century later officially founded kingdom hungary research places probable residence rpds early place central power near budapest tatar invasion th century quickly proved difficult defend plain king bla iv hungary ordered construction reinforced stone walls towns set royal palace protecting hills buda capital hungary,8.22,"magyar,tribes,led,rpd,forced,original,homeland,north,bulgaria,tsar,simeon,battle,southern,buh,settled,territory,end,th,century,displacing,founding,bulgarian,settlers,towns,buda,pest,century,later,officially,founded,kingdom,hungary,research,places,probable,residence,rpds,early,place,central,power,near,budapest,tatar,invasion,th,century,quickly,proved,difficult,defend,plain,king,bla,iv,hungary,ordered,construction,reinforced,stone,walls,towns,set,royal,palace,protecting,hills,buda,capital,hungary",0.00,budapest
"the th century was dominated by the hungarian struggle for independence and modernisation the national insurrection against the habsburgs began in the hungarian capital in  and was defeated one and a half years later with the help of the russian empire  was the year of reconciliation that brought about the birth of austria hungary this made budapest the twin capital of a dual monarchy it was this compromise which opened the second great phase of development in the history of budapest lasting until world war i in  the chain bridge linking buda with pest was opened as the first permanent bridge across the danube and in  buda and pest were officially merged with the third part buda  thus creating the new metropolis of budapest the dynamic pest grew into the countrys administrative political economic trade and cultural hub ethnic hungarians overtook germans in the second half of the th century due to mass migration from the overpopulated rural transdanubia and great hungarian plain between  and  the proportion of hungarians increased from  to  hungarian became the dominant language and german was crowded out the proportion of jews peaked in  with  due to the prosperity and the large jewish community of the city at the start of the th century budapest was often called the jewish mecca or judapest budapest also became an important center for the aromanian diaspora during the th century in  austria hungary lost the war and collapsed hungary declared itself an independent republic  in  the treaty of trianon partitioned the country and as a result hungary lost over two thirds of its territory and about two thirds of its inhabitants including  million out of  million ethnic hungarians
",th century dominated hungarian struggle independence modernisation national insurrection habsburgs began hungarian capital defeated half years later help russian empire year reconciliation brought birth austria hungary budapest twin capital dual monarchy compromise opened second great phase development history budapest lasting world war chain bridge linking buda pest opened permanent bridge danube buda pest officially merged buda creating new metropolis budapest dynamic pest grew countrys administrative political economic trade cultural hub ethnic hungarians overtook germans second half th century mass migration overpopulated rural transdanubia great hungarian plain proportion hungarians increased hungarian dominant language german crowded proportion jews peaked prosperity large jewish community city start th century budapest called jewish mecca judapest budapest important center aromanian diaspora th century austria hungary lost war collapsed hungary declared independent republic treaty trianon partitioned country result hungary lost thirds territory thirds inhabitants including million million ethnic hungarians,8.04,"th,century,dominated,hungarian,struggle,independence,modernisation,national,insurrection,habsburgs,began,hungarian,capital,defeated,half,years,later,help,russian,empire,year,reconciliation,brought,birth,austria,hungary,budapest,twin,capital,dual,monarchy,compromise,opened,second,great,phase,development,history,budapest,lasting,world,war,chain,bridge,linking,buda,pest,opened,permanent,bridge,danube,buda,pest,officially,merged,buda,creating,new,metropolis,budapest,dynamic,pest,grew,countrys,administrative,political,economic,trade,cultural,hub,ethnic,hungarians,overtook,germans,second,half,th,century,mass,migration,overpopulated,rural,transdanubia,great,hungarian,plain,proportion,hungarians,increased,hungarian,dominant,language,german,crowded,proportion,jews,peaked,prosperity,large,jewish,community,city,start,th,century,budapest,called,jewish,mecca,judapest,budapest,important,center,aromanian,diaspora,th,century,austria,hungary,lost,war,collapsed,hungary,declared,independent,republic,treaty,trianon,partitioned,country,result,hungary,lost,thirds,territory,thirds,inhabitants,including,million,million,ethnic,hungarians",0.00,budapest
"in  a year before the end of world war ii budapest was partly destroyed by british and american air raids 
from  december  to  february  the city was besieged during the battle of budapest budapest sustained major damage caused by the attacking soviet and romanian troops and the defending german and hungarian troops more than  civilians died during the conflict all bridges were destroyed by the germans the stone lions that have decorated the chain bridge since  survived the devastation of the war
",year end world war ii budapest partly destroyed british american air raids december february city besieged battle budapest budapest sustained major damage caused attacking soviet romanian troops defending german hungarian troops civilians died conflict bridges destroyed germans stone lions decorated chain bridge survived devastation war,7.37,"year,end,world,war,ii,budapest,partly,destroyed,british,american,air,raids,december,february,city,besieged,battle,budapest,budapest,sustained,major,damage,caused,attacking,soviet,romanian,troops,defending,german,hungarian,troops,civilians,died,conflict,bridges,destroyed,germans,stone,lions,decorated,chain,bridge,survived,devastation,war",0.00,budapest
"swiss diplomat carl lutz rescued tens of thousands of jews by issuing swiss protection papers and designating numerous buildings including the now famous glass house  at vadsz street  to be swiss protected territory about  hungarian jews found refuge at the glass house and in a neighboring building swedish diplomat raoul wallenberg saved the lives of tens of thousands of jews in budapest by giving them swedish protection papers and taking them under his consular protection wallenberg was abducted by the russians on  january  and never regained freedom giorgio perlasca an italian citizen saved thousands of hungarian jews posing as a spanish diplomat some other diplomats also abandoned diplomatic protocol and rescued jews there are two monuments for wallenberg one for carl lutz and one for giorgio perlasca in budapest
",swiss diplomat carl lutz rescued tens thousands jews issuing swiss protection papers designating numerous buildings including famous glass house vadsz street swiss protected territory hungarian jews found refuge glass house neighboring building swedish diplomat raoul wallenberg saved lives tens thousands jews budapest giving swedish protection papers taking consular protection wallenberg abducted russians january regained freedom giorgio perlasca italian citizen saved thousands hungarian jews posing spanish diplomat diplomats abandoned diplomatic protocol rescued jews monuments wallenberg carl lutz giorgio perlasca budapest,6.04,"swiss,diplomat,carl,lutz,rescued,tens,thousands,jews,issuing,swiss,protection,papers,designating,numerous,buildings,including,famous,glass,house,vadsz,street,swiss,protected,territory,hungarian,jews,found,refuge,glass,house,neighboring,building,swedish,diplomat,raoul,wallenberg,saved,lives,tens,thousands,jews,budapest,giving,swedish,protection,papers,taking,consular,protection,wallenberg,abducted,russians,january,regained,freedom,giorgio,perlasca,italian,citizen,saved,thousands,hungarian,jews,posing,spanish,diplomat,diplomats,abandoned,diplomatic,protocol,rescued,jews,monuments,wallenberg,carl,lutz,giorgio,perlasca,budapest",0.00,budapest
