Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"cairo  is the southernmost city in illinois and the county seat of alexander county
",cairo southernmost city illinois county seat alexander county,7.14,"cairo,southernmost,city,illinois,county,seat,alexander,county",0.00,cairo
"the city is located at the confluence of the ohio and mississippi rivers fort defiance a civil war camp was built here in  by union general ulysses s grant to control strategic access to the rivers and launch and supply his successful campaigns south cairo has the lowest elevation of any location in illinois and is the only illinois city to be surrounded by levees it is in the area of southern illinois known as little egypt for which the city is named after egypts capital
",city located confluence ohio mississippi rivers fort defiance civil war camp built union general ulysses grant control strategic access rivers launch supply successful campaigns south cairo lowest elevation location illinois illinois city surrounded levees area southern illinois known little egypt city named egypts capital,8.81,"city,located,confluence,ohio,mississippi,rivers,fort,defiance,civil,war,camp,built,union,general,ulysses,grant,control,strategic,access,rivers,launch,supply,successful,campaigns,south,cairo,lowest,elevation,location,illinois,illinois,city,surrounded,levees,area,southern,illinois,known,little,egypt,city,named,egypts,capital",0.00,cairo
"several blocks in the town comprise the cairo historic district listed on the national register of historic places  the old customs house is also on the nrhp the city is part of the cape girardeaujackson moil metropolitan statistical area developed as a river port cairo was later bypassed by transportation changes away from the large expanse of low lying land and water which surrounds cairo and due to industrial restructuring the population peaked at  in  while in the  census it was 
",blocks town comprise cairo historic district listed national register historic places old customs house nrhp city cape girardeaujackson moil metropolitan statistical area developed river port cairo later bypassed transportation changes away large expanse low lying land water surrounds cairo industrial restructuring population peaked census,7.57,"blocks,town,comprise,cairo,historic,district,listed,national,register,historic,places,old,customs,house,nrhp,city,cape,girardeaujackson,moil,metropolitan,statistical,area,developed,river,port,cairo,later,bypassed,transportation,changes,away,large,expanse,low,lying,land,water,surrounds,cairo,industrial,restructuring,population,peaked,census",0.00,cairo
"the entire city was evacuated during the  mississippi river floods after the ohio river rose higher than the  flood levels with the possibility of  feet of water inundating cairo the united states army corps of engineers breached levees in the mississippi flood zone near cairo in missouri to prevent flooding in cairo and other more populous areas further downstream along both the ohio and mississippi rivers
",entire city evacuated mississippi river floods ohio river rose higher flood levels possibility feet water inundating cairo united states army corps engineers breached levees mississippi flood zone near cairo missouri prevent flooding cairo populous areas downstream ohio mississippi rivers,6.57,"entire,city,evacuated,mississippi,river,floods,ohio,river,rose,higher,flood,levels,possibility,feet,water,inundating,cairo,united,states,army,corps,engineers,breached,levees,mississippi,flood,zone,near,cairo,missouri,prevent,flooding,cairo,populous,areas,downstream,ohio,mississippi,rivers",0.00,cairo
"the first municipal charter for cairo and for the bank of cairo were issued in  but without any settlement and without any depositors a second and successful effort to establish a town was made by the cairo city and canal company in  with a large levee built to encircle the site however this effort collapsed in  with few settlers remaining
",municipal charter cairo bank cairo issued settlement depositors second successful effort establish town cairo city canal company large levee built encircle site effort collapsed settlers remaining,9.94,"municipal,charter,cairo,bank,cairo,issued,settlement,depositors,second,successful,effort,establish,town,cairo,city,canal,company,large,levee,built,encircle,site,effort,collapsed,settlers,remaining",0.00,cairo
"charles dickens visited cairo in  and was unimpressed the city would serve as his prototype for the nightmare city of eden in his novel martin chuzzlewit in   acres in cairo were purchased by the trustees of the cairo city property trust a group of investors including writer john neal who planned to make it the terminus of the projected illinois central railroad which finally arrived there in 
",charles dickens visited cairo unimpressed city serve prototype nightmare city eden novel martin chuzzlewit acres cairo purchased trustees cairo city property trust group investors including writer john neal planned terminus projected illinois central railroad finally arrived,7.81,"charles,dickens,visited,cairo,unimpressed,city,serve,prototype,nightmare,city,eden,novel,martin,chuzzlewit,acres,cairo,purchased,trustees,cairo,city,property,trust,group,investors,including,writer,john,neal,planned,terminus,projected,illinois,central,railroad,finally,arrived",0.00,cairo
"cairo had been growing as an important river port for steamboats which traveled all the way south to new orleans the city had been designated as a port of delivery by act of congress in 
",cairo growing important river port steamboats traveled way south new orleans city designated port delivery act congress,9.63,"cairo,growing,important,river,port,steamboats,traveled,way,south,new,orleans,city,designated,port,delivery,act,congress",0.00,cairo
"a new city charter was written in  and cairo flourished as trade with chicago to the north spurred development by  the population exceeded 
",new city charter written cairo flourished trade chicago north spurred development population exceeded,7.14,"new,city,charter,written,cairo,flourished,trade,chicago,north,spurred,development,population,exceeded",0.00,cairo
"during the civil war admiral andrew hull foote made cairo the naval station for the mississippi river squadron on  september  since cairo had no land available for base facilities the navy yard repair shop machinery was afloat aboard wharf boats old steamers tugs flat boats and rafts in january  general ulysses s grant occupied the city and had fort defiance constructed to protect the confluence cairo became an important union supply base and training center for the remainder of the war
",civil war admiral andrew hull foote cairo naval station mississippi river squadron september cairo land available base facilities navy yard repair shop machinery afloat aboard wharf boats old steamers tugs flat boats rafts january general ulysses grant occupied city fort defiance constructed protect confluence cairo important union supply base training center remainder war,5.69,"civil,war,admiral,andrew,hull,foote,cairo,naval,station,mississippi,river,squadron,september,cairo,land,available,base,facilities,navy,yard,repair,shop,machinery,afloat,aboard,wharf,boats,old,steamers,tugs,flat,boats,rafts,january,general,ulysses,grant,occupied,city,fort,defiance,constructed,protect,confluence,cairo,important,union,supply,base,training,center,remainder,war",0.00,cairo
"military occupation caused much of the citys trade to be diverted by railroad to chicago cairo failed to regain this important trade after the war as more railroads converged on chicago and it developed at a rapid pace attracting stockyards meat processing and heavy industries instead agriculture lumber and sawmills now dominated the cairo economy
",military occupation caused citys trade diverted railroad chicago cairo failed regain important trade war railroads converged chicago developed rapid pace attracting stockyards meat processing heavy industries instead agriculture lumber sawmills dominated cairo economy,6.29,"military,occupation,caused,citys,trade,diverted,railroad,chicago,cairo,failed,regain,important,trade,war,railroads,converged,chicago,developed,rapid,pace,attracting,stockyards,meat,processing,heavy,industries,instead,agriculture,lumber,sawmills,dominated,cairo,economy",0.00,cairo
