Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"cairo he is the capital of egypt and the city state cairo governorate and is the countrys largest city home to  million people it is also part of the largest urban agglomeration in africa the arab world and the middle east the greater cairo metropolitan area with a population of  million is the th largest in the world by population cairo is associated with ancient egypt as the giza pyramid complex and the ancient cities of memphis and heliopolis are located in its geographical area located near the nile delta the city first developed as fustat a settlement founded after the muslim conquest of egypt in  next to an existing ancient roman fortress babylon under the fatimid dynasty a new city al qhirah was founded nearby in  it later superseded fustat as the main urban centre during the ayyubid and mamluk periods  cairo has long been a centre of the regions political and cultural life and is titled the city of a thousand minarets for its preponderance of islamic architecture cairos historic center was awarded world heritage site status in  cairo is considered a world city with a beta  classification according to gawc
",cairo capital egypt city state cairo governorate countrys largest city home million people largest urban agglomeration africa arab world middle east greater cairo metropolitan area population million th largest world population cairo associated ancient egypt giza pyramid complex ancient cities memphis heliopolis located geographical area located near nile delta city developed fustat settlement founded muslim conquest egypt existing ancient roman fortress babylon fatimid dynasty new city al qhirah founded nearby later superseded fustat main urban centre ayyubid mamluk periods cairo long centre regions political cultural life titled city thousand minarets preponderance islamic architecture cairos historic center awarded world heritage site status cairo considered world city beta classification according gawc,7.43,"cairo,capital,egypt,city,state,cairo,governorate,countrys,largest,city,home,million,people,largest,urban,agglomeration,africa,arab,world,middle,east,greater,cairo,metropolitan,area,population,million,th,largest,world,population,cairo,associated,ancient,egypt,giza,pyramid,complex,ancient,cities,memphis,heliopolis,located,geographical,area,located,near,nile,delta,city,developed,fustat,settlement,founded,muslim,conquest,egypt,existing,ancient,roman,fortress,babylon,fatimid,dynasty,new,city,al,qhirah,founded,nearby,later,superseded,fustat,main,urban,centre,ayyubid,mamluk,periods,cairo,long,centre,regions,political,cultural,life,titled,city,thousand,minarets,preponderance,islamic,architecture,cairos,historic,center,awarded,world,heritage,site,status,cairo,considered,world,city,beta,classification,according,gawc",0.00,cairo
"today cairo has the oldest and largest cinema and music industry in the arab world as well as the worlds second oldest institution of higher learning al azhar university many international media businesses and organizations have regional headquarters in the city the arab league has had its headquarters in cairo for most of its existence
",today cairo oldest largest cinema music industry arab world worlds second oldest institution higher learning al azhar university international media businesses organizations regional headquarters city arab league headquarters cairo existence,7.37,"today,cairo,oldest,largest,cinema,music,industry,arab,world,worlds,second,oldest,institution,higher,learning,al,azhar,university,international,media,businesses,organizations,regional,headquarters,city,arab,league,headquarters,cairo,existence",0.00,cairo
"with a population of over  million spread over  km  cairo is by far the largest city in egypt an additional  million inhabitants live close to the city cairo like many other megacities suffers from high levels of pollution and traffic the cairo metro opened in  is the oldest metro system in africa and ranks amongst the fifteen busiest in the world with over  billion annual passenger rides the economy of cairo was ranked first in the middle east in  and rd globally on foreign policys  global cities index
",population million spread km cairo far largest city egypt additional million inhabitants live close city cairo like megacities suffers high levels pollution traffic cairo metro opened oldest metro system africa ranks busiest world billion annual passenger rides economy cairo ranked middle east rd globally foreign policys global cities index,7.66,"population,million,spread,km,cairo,far,largest,city,egypt,additional,million,inhabitants,live,close,city,cairo,like,megacities,suffers,high,levels,pollution,traffic,cairo,metro,opened,oldest,metro,system,africa,ranks,busiest,world,billion,annual,passenger,rides,economy,cairo,ranked,middle,east,rd,globally,foreign,policys,global,cities,index",0.00,cairo
"egyptians often refer to cairo as maare  the egyptian arabic name for egypt itself emphasizing the citys importance for the country its official name al qhirah   means the vanquisher or the conqueror supposedly due to the fact that the planet mars an najm al qhir  was rising at the time when the city was founded possibly also in reference to the much awaited arrival of the fatimid caliph al muizz who reached cairo in  from mahdia the old fatimid capital the location of the ancient city of heliopolis is the suburb of ain shams 
",egyptians refer cairo maare egyptian arabic egypt emphasizing citys importance country official al qhirah means vanquisher conqueror supposedly fact planet mars najm al qhir rising time city founded possibly reference awaited arrival fatimid caliph al muizz reached cairo mahdia old fatimid capital location ancient city heliopolis suburb shams,8.63,"egyptians,refer,cairo,maare,egyptian,arabic,egypt,emphasizing,citys,importance,country,official,al,qhirah,means,vanquisher,conqueror,supposedly,fact,planet,mars,najm,al,qhir,rising,time,city,founded,possibly,reference,awaited,arrival,fatimid,caliph,al,muizz,reached,cairo,mahdia,old,fatimid,capital,location,ancient,city,heliopolis,suburb,shams",0.00,cairo
"there are a few coptic names of the city tikermi  is attested in the  text the martyrdom of john of phanijoit and is either a calque meaning man breaker  akin to arabic al qhirah or a derivation from arabic    another name of babylon fortress in old cairo the form khairon  is attested in the modern coptic text      better source needed lioui  or elioui  is another name which is descended from the greek name of heliopolis  some argue that mistram  or nistram  is another coptic name for cairo although others think that it is rather a name of an abbasid capital al askar   is a popular modern rendering of an arabic name  which is modern folk etymology meaning land of sun some argue that it was a name of an egyptian settlement upon which cairo was built but it is rather doubtful as this name is not attested in any hieroglyphic or demotic source although some researchers like paul casanova view it as a legitimate theory cairo is also referred to as   or   which means egypt in coptic the same way it is referred to in egyptian arabic
",coptic names city tikermi attested text martyrdom john phanijoit calque meaning man breaker akin arabic al qhirah derivation arabic babylon fortress old cairo form khairon attested modern coptic text bettersourceneeded lioui elioui descended greek heliopolis argue mistram nistram coptic cairo think abbasid capital al askar popular modern rendering arabic modern folk etymology meaning land sun argue egyptian settlement cairo built doubtful attested hieroglyphic demotic source researchers like paul casanova view legitimate theory cairo referred means egypt coptic way referred egyptian arabic,9.98,"coptic,names,city,tikermi,attested,text,martyrdom,john,phanijoit,calque,meaning,man,breaker,akin,arabic,al,qhirah,derivation,arabic,babylon,fortress,old,cairo,form,khairon,attested,modern,coptic,text,bettersourceneeded,lioui,elioui,descended,greek,heliopolis,argue,mistram,nistram,coptic,cairo,think,abbasid,capital,al,askar,popular,modern,rendering,arabic,modern,folk,etymology,meaning,land,sun,argue,egyptian,settlement,cairo,built,doubtful,attested,hieroglyphic,demotic,source,researchers,like,paul,casanova,view,legitimate,theory,cairo,referred,means,egypt,coptic,way,referred,egyptian,arabic",0.00,cairo
"sometimes the city is informally referred to as cairo by people from alexandria 
",city informally referred cairo people alexandria,8.64,"city,informally,referred,cairo,people,alexandria",0.00,cairo
"the area around present day cairo had long been a focal point of ancient egypt due to its strategic location at the junction of the nile valley and the nile delta regions  which also placed it at the crossing of major routes between north africa and the levant memphis the capital of egypt during the old kingdom and a major city up until the ptolemaic period was located a short distance south of present day cairo heliopolis another important city and major religious center was located in what are now the northeastern suburbs of cairo it was largely destroyed by the persian invasions in  because and  because and partly abandoned by the late first century because
",area present day cairo long focal point ancient egypt strategic location junction nile valley nile delta regions placed crossing major routes north africa levant memphis capital egypt old kingdom major city ptolemaic period located short distance south present day cairo heliopolis important city major religious center located northeastern suburbs cairo largely destroyed persian invasions partly abandoned late century,8.67,"area,present,day,cairo,long,focal,point,ancient,egypt,strategic,location,junction,nile,valley,nile,delta,regions,placed,crossing,major,routes,north,africa,levant,memphis,capital,egypt,old,kingdom,major,city,ptolemaic,period,located,short,distance,south,present,day,cairo,heliopolis,important,city,major,religious,center,located,northeastern,suburbs,cairo,largely,destroyed,persian,invasions,partly,abandoned,late,century",0.00,cairo
"however the origins of modern cairo are generally traced back to a series of settlements in the first millennium ad around the turn of the fourth century as memphis was continuing to decline in importance the romans established a large fortress along the east bank of the nile the fortress called babylon was built by the roman emperor diocletian  at the entrance of a canal connecting the nile to the red sea that was created earlier by emperor trajan b further north of the fortress near the present day district of al azbakiya was a port and fortified outpost known as tendunyas  or umm dunayn while no structures older than the th century have been preserved in the area aside from the roman fortifications historical evidence suggests that a sizeable city existed the city was important enough that its bishop cyrus participated in the second council of ephesus in  however the byzantine sassanian war between  and  caused great hardship and likely caused much of the urban population to leave for the countryside leaving the settlement partly deserted the site today remains at the nucleus of the coptic orthodox community which separated from the roman and byzantine churches in the late th century cairos oldest extant churches such as the church of saint barbara and the church of saints sergius and bacchus  are located inside the fortress walls in what is now known as old cairo or coptic cairo
",origins modern cairo generally traced series settlements millennium ad turn fourth century memphis continuing decline importance romans established large fortress east bank nile fortress called babylon built roman emperor diocletian entrance canal connecting nile red sea created earlier emperor trajan b north fortress near present day district al azbakiya port fortified outpost known tendunyas umm dunayn structures older th century preserved area aside roman fortifications historical evidence suggests sizeable city existed city important bishop cyrus participated second council ephesus byzantine sassanian war caused great hardship likely caused urban population leave countryside leaving settlement partly deserted site today remains nucleus coptic orthodox community separated roman byzantine churches late th century cairos oldest extant churches church saint barbara church saints sergius bacchus located inside fortress walls known old cairo coptic cairo,7.75,"origins,modern,cairo,generally,traced,series,settlements,millennium,ad,turn,fourth,century,memphis,continuing,decline,importance,romans,established,large,fortress,east,bank,nile,fortress,called,babylon,built,roman,emperor,diocletian,entrance,canal,connecting,nile,red,sea,created,earlier,emperor,trajan,b,north,fortress,near,present,day,district,al,azbakiya,port,fortified,outpost,known,tendunyas,umm,dunayn,structures,older,th,century,preserved,area,aside,roman,fortifications,historical,evidence,suggests,sizeable,city,existed,city,important,bishop,cyrus,participated,second,council,ephesus,byzantine,sassanian,war,caused,great,hardship,likely,caused,urban,population,leave,countryside,leaving,settlement,partly,deserted,site,today,remains,nucleus,coptic,orthodox,community,separated,roman,byzantine,churches,late,th,century,cairos,oldest,extant,churches,church,saint,barbara,church,saints,sergius,bacchus,located,inside,fortress,walls,known,old,cairo,coptic,cairo",0.00,cairo
"the muslim conquest of byzantine egypt was led by amr ibn al as from  to  babylon fortress was besieged in september  and fell in april  in  or early  after the surrender of alexandria  he founded a new settlement next to babylon fortress the city known as fustat  served as a garrison town and as the new administrative capital of egypt historians such as janet abu lughod and andr raymond trace the genesis of present day cairo to the foundation of fustat the choice of founding a new settlement at this inland location instead of using the existing capital of alexandria on the mediterranean coast may have been due to the new conquerors strategic priorities one of the first projects of the new muslim administration was to clear and re open trajans ancient canal in order to ship grain more directly from egypt to medina the capital of the caliphate in arabia ibn al as also founded a mosque for the city at the same time now known as the mosque of amr ibn al as the oldest mosque in egypt and africa 
",muslim conquest byzantine egypt led amr ibn al babylon fortress besieged september fell april early surrender alexandria founded new settlement babylon fortress city known fustat served garrison town new administrative capital egypt historians janet abu lughod andr raymond trace genesis present day cairo foundation fustat choice founding new settlement inland location instead existing capital alexandria mediterranean coast new conquerors strategic priorities projects new muslim administration clear open trajans ancient canal order ship grain directly egypt medina capital caliphate arabia ibn al founded mosque city time known mosque amr ibn al oldest mosque egypt africa,8.74,"muslim,conquest,byzantine,egypt,led,amr,ibn,al,babylon,fortress,besieged,september,fell,april,early,surrender,alexandria,founded,new,settlement,babylon,fortress,city,known,fustat,served,garrison,town,new,administrative,capital,egypt,historians,janet,abu,lughod,andr,raymond,trace,genesis,present,day,cairo,foundation,fustat,choice,founding,new,settlement,inland,location,instead,existing,capital,alexandria,mediterranean,coast,new,conquerors,strategic,priorities,projects,new,muslim,administration,clear,open,trajans,ancient,canal,order,ship,grain,directly,egypt,medina,capital,caliphate,arabia,ibn,al,founded,mosque,city,time,known,mosque,amr,ibn,al,oldest,mosque,egypt,africa",0.00,cairo
"in  following the overthrow of the umayyad caliphate by the abbasids the new rulers created their own settlement to the northeast of fustat which became the new provincial capital this was known as al askar  as it was laid out like a military camp a governors residence and a new mosque were also added with the latter completed in  in  on the orders of the abbasid caliph al mutawakkil a nilometer was built on roda island near fustat although it was repaired and given a new roof in later centuries its basic structure is still preserved today making it the oldest preserved islamic era structure in cairo today
",following overthrow umayyad caliphate abbasids new rulers created settlement northeast fustat new provincial capital known al askar laid like military camp governors residence new mosque added completed orders abbasid caliph al mutawakkil nilometer built roda island near fustat repaired given new roof later centuries basic structure preserved today making oldest preserved islamic era structure cairo today,8.47,"following,overthrow,umayyad,caliphate,abbasids,new,rulers,created,settlement,northeast,fustat,new,provincial,capital,known,al,askar,laid,like,military,camp,governors,residence,new,mosque,added,completed,orders,abbasid,caliph,al,mutawakkil,nilometer,built,roda,island,near,fustat,repaired,given,new,roof,later,centuries,basic,structure,preserved,today,making,oldest,preserved,islamic,era,structure,cairo,today",0.00,cairo
