Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"jim watson mayor of ottawa
",jim watson mayor ottawa,3.70,"jim,watson,mayor,ottawa",0.00,ottawa
"peter sloly chief of the ottawa police service to february 
",peter sloly chief ottawa police service february,5.00,"peter,sloly,chief,ottawa,police,service,february",0.00,ottawa
"steve bell interim chief of the ottawa police service from february 
",steve bell interim chief ottawa police service february,4.35,"steve,bell,interim,chief,ottawa,police,service,february",0.00,ottawa
"a series of protests and blockades in canada against covid  vaccine mandates and restrictions called the freedom convoy  by organizers began in early  the initial convoy movement was created to protest vaccine mandates for crossing the united states border but later evolved into a protest about covid  mandates in general beginning january  hundreds of vehicles formed convoys from several points and traversed canadian provinces before converging on ottawa on january   with a rally at parliament hill the convoys were joined by thousands of pedestrian protesters several offshoot protests blockaded provincial capitals and border crossings with the united states
",series protests blockades canada covid vaccine mandates restrictions called freedom convoy organizers began early initial convoy movement created protest vaccine mandates crossing united states border later evolved protest covid mandates general beginning january hundreds vehicles formed convoys points traversed canadian provinces converging ottawa january rally parliament hill convoys joined thousands pedestrian protesters offshoot protests blockaded provincial capitals border crossings united states,5.56,"series,protests,blockades,canada,covid,vaccine,mandates,restrictions,called,freedom,convoy,organizers,began,early,initial,convoy,movement,created,protest,vaccine,mandates,crossing,united,states,border,later,evolved,protest,covid,mandates,general,beginning,january,hundreds,vehicles,formed,convoys,points,traversed,canadian,provinces,converging,ottawa,january,rally,parliament,hill,convoys,joined,thousands,pedestrian,protesters,offshoot,protests,blockaded,provincial,capitals,border,crossings,united,states",0.00,ottawa
"protesters occupied the downtown core of ottawa and stated that they would not leave until all covid  restrictions and mandates trucking related and beyond were repealed officials expressed concern about the economic impact of border blockades on february  ontario premier doug ford declared a state of emergency introducing new legal sanctions on the impediment of trade routes highways airports ports bridges and railways prime minister justin trudeau and us president joe biden spoke on february  to discuss ending blockades at the border on february  trudeau invoked the emergencies act for the first time since its passing in d between february  and  a large joint operation police presence in ottawa arrested organizers and protesters removed parked vehicles and dismantled blockades from ottawa streets by february  most of the protesters had been cleared from ottawa
",protesters occupied downtown core ottawa stated leave covid restrictions mandates trucking related repealed officials expressed concern economic impact border blockades february ontario premier doug ford declared state emergency introducing new legal sanctions impediment trade routes highways airports ports bridges railways prime minister justin trudeau president joe biden spoke february discuss ending blockades border february trudeau invoked emergencies act time passing february large joint operation police presence ottawa arrested organizers protesters removed parked vehicles dismantled blockades ottawa streets february protesters cleared ottawa,5.94,"protesters,occupied,downtown,core,ottawa,stated,leave,covid,restrictions,mandates,trucking,related,repealed,officials,expressed,concern,economic,impact,border,blockades,february,ontario,premier,doug,ford,declared,state,emergency,introducing,new,legal,sanctions,impediment,trade,routes,highways,airports,ports,bridges,railways,prime,minister,justin,trudeau,president,joe,biden,spoke,february,discuss,ending,blockades,border,february,trudeau,invoked,emergencies,act,time,passing,february,large,joint,operation,police,presence,ottawa,arrested,organizers,protesters,removed,parked,vehicles,dismantled,blockades,ottawa,streets,february,protesters,cleared,ottawa",0.00,ottawa
"mark carney former governor of the bank of canada strongly criticized the foreign involvement in the sedition in ottawa describing donors as foreign funders of an insurrection who had interfered in our domestic affairs
",mark carney governor bank canada strongly criticized foreign involvement sedition ottawa describing donors foreign funders insurrection interfered domestic affairs,6.85,"mark,carney,governor,bank,canada,strongly,criticized,foreign,involvement,sedition,ottawa,describing,donors,foreign,funders,insurrection,interfered,domestic,affairs",0.00,ottawa
"the rcmp stated that it has not shared donor lists with financial institutions only the names of those who were influencers in the illegal protest in ottawa and owners andor drivers of vehicles who did not want to leave the area impacted by the protest the statement came after conservative mps including mark strahl made claims that constituents have had their accounts frozen for small donations such as the purchase of a convoy t shirt the conservative leadership asked mps to verify claims before posting them in an internal memo
",rcmp stated shared donor lists financial institutions names influencers illegal protest ottawa owners andor drivers vehicles want leave area impacted protest statement came conservative mps including mark strahl claims constituents accounts frozen small donations purchase convoy shirt conservative leadership asked mps verify claims posting internal memo,8.24,"rcmp,stated,shared,donor,lists,financial,institutions,names,influencers,illegal,protest,ottawa,owners,andor,drivers,vehicles,want,leave,area,impacted,protest,statement,came,conservative,mps,including,mark,strahl,claims,constituents,accounts,frozen,small,donations,purchase,convoy,shirt,conservative,leadership,asked,mps,verify,claims,posting,internal,memo",0.00,ottawa
"on january  a convoy drove through regina saskatchewan and was greeted by supporters according to police in regina about  vehicles reached the city on january  another convoy passed through kenora ontario where ontario provincial police  in contact with the convoy stated that  vehicles would be passing through kenora the convoys consisted of three main routes across canada which would converge for the ottawa protest on the weekend the ottawa police service estimated up to  demonstrators in the city on the weekend
",january convoy drove regina saskatchewan greeted supporters according police regina vehicles reached city january convoy passed kenora ontario ontario provincial police contact convoy stated vehicles passing kenora convoys consisted main routes canada converge ottawa protest weekend ottawa police service estimated demonstrators city weekend,7.32,"january,convoy,drove,regina,saskatchewan,greeted,supporters,according,police,regina,vehicles,reached,city,january,convoy,passed,kenora,ontario,ontario,provincial,police,contact,convoy,stated,vehicles,passing,kenora,convoys,consisted,main,routes,canada,converge,ottawa,protest,weekend,ottawa,police,service,estimated,demonstrators,city,weekend",0.00,ottawa
"truckers from the maritime provinces planned to meet in moncton before departing for ottawa on the morning of january  supporters gathered in enfield nova scotia where fireworks were set off as  to  trucks departed for the new brunswick border rcmp in pei reported that approximately  trucks and supporters vehicles crossed the confederation bridge into new brunswick but that most immediately turned around and returned to the island about  trucks reportedly passed through fredericton in the afternoon bound for ottawa on january  one convoy group passed through the greater toronto area hundreds of protesters gathered at highway overpasses in support of the convoy
",truckers maritime provinces planned meet moncton departing ottawa morning january supporters gathered enfield nova scotia fireworks set trucks departed new brunswick border rcmp pei reported approximately trucks supporters vehicles crossed confederation bridge new brunswick immediately turned returned island trucks reportedly passed fredericton afternoon bound ottawa january convoy group passed greater toronto area hundreds protesters gathered highway overpasses support convoy,6.43,"truckers,maritime,provinces,planned,meet,moncton,departing,ottawa,morning,january,supporters,gathered,enfield,nova,scotia,fireworks,set,trucks,departed,new,brunswick,border,rcmp,pei,reported,approximately,trucks,supporters,vehicles,crossed,confederation,bridge,new,brunswick,immediately,turned,returned,island,trucks,reportedly,passed,fredericton,afternoon,bound,ottawa,january,convoy,group,passed,greater,toronto,area,hundreds,protesters,gathered,highway,overpasses,support,convoy",0.00,ottawa
"according to the ottawa police service crowd estimates ranged from  to  protesters on january  dwindling to approximately  demonstrators the following day by february  they estimated as few as  protesters remained
",according ottawa police service crowd estimates ranged protesters january dwindling approximately demonstrators following day february estimated protesters remained,5.61,"according,ottawa,police,service,crowd,estimates,ranged,protesters,january,dwindling,approximately,demonstrators,following,day,february,estimated,protesters,remained",0.00,ottawa
