Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"canada is a country in north america its ten provinces and three territories extend from the atlantic ocean to the pacific ocean and northward into the arctic ocean covering over  million square kilometres  making it the worlds second largest country by total area its southern and western border with the united states stretching  kilometres  is the worlds longest binational land border canadas capital is ottawa and its three largest metropolitan areas are toronto montreal and vancouver
",canada country north america provinces territories extend atlantic ocean pacific ocean northward arctic ocean covering million square kilometres making worlds second largest country total area southern western border united states stretching kilometres worlds longest binational land border canadas capital ottawa largest metropolitan areas toronto montreal vancouver,6.11,"canada,country,north,america,provinces,territories,extend,atlantic,ocean,pacific,ocean,northward,arctic,ocean,covering,million,square,kilometres,making,worlds,second,largest,country,total,area,southern,western,border,united,states,stretching,kilometres,worlds,longest,binational,land,border,canadas,capital,ottawa,largest,metropolitan,areas,toronto,montreal,vancouver",0.00,canada
"indigenous peoples have continuously inhabited what is now canada for thousands of years beginning in the th century british and french expeditions explored and later settled along the atlantic coast as a consequence of various armed conflicts france ceded nearly all of its colonies in north america in  in  with the union of three british north american colonies through confederation canada was formed as a federal dominion of four provinces this began an accretion of provinces and territories and a process of increasing autonomy from the united kingdom this widening autonomy was highlighted by the statute of westminster  and culminated in the canada act  which severed the vestiges of legal dependence on the parliament of the united kingdom
",indigenous peoples continuously inhabited canada thousands years beginning th century british french expeditions explored later settled atlantic coast consequence armed conflicts france ceded nearly colonies north america union british north american colonies confederation canada formed federal dominion provinces began accretion provinces territories process increasing autonomy united kingdom widening autonomy highlighted statute westminster culminated canada act severed vestiges legal dependence parliament united kingdom,7.47,"indigenous,peoples,continuously,inhabited,canada,thousands,years,beginning,th,century,british,french,expeditions,explored,later,settled,atlantic,coast,consequence,armed,conflicts,france,ceded,nearly,colonies,north,america,union,british,north,american,colonies,confederation,canada,formed,federal,dominion,provinces,began,accretion,provinces,territories,process,increasing,autonomy,united,kingdom,widening,autonomy,highlighted,statute,westminster,culminated,canada,act,severed,vestiges,legal,dependence,parliament,united,kingdom",0.00,canada
"canada is a parliamentary democracy and a constitutional monarchy in the westminster tradition the countrys head of government is the prime minister who holds office by virtue of their ability to command the confidence of the elected house of commons and is appointed by the governor general representing the monarch of canada the head of state the country is a commonwealth realm and is officially bilingual  at the federal level it ranks among the highest in international measurements of government transparency civil liberties quality of life economic freedom education gender equality and environmental sustainability it is one of the worlds most ethnically diverse and multicultural nations the product of large scale immigration canadas long and complex relationship with the united states has had a significant impact on its history economy and culture
",canada parliamentary democracy constitutional monarchy westminster tradition countrys head government prime minister holds office virtue ability command confidence elected house commons appointed governor general representing monarch canada head state country commonwealth realm officially bilingual federal level ranks highest international measurements government transparency civil liberties quality life economic freedom education gender equality environmental sustainability worlds ethnically diverse multicultural nations product large scale immigration canadas long complex relationship united states significant impact history economy culture,6.85,"canada,parliamentary,democracy,constitutional,monarchy,westminster,tradition,countrys,head,government,prime,minister,holds,office,virtue,ability,command,confidence,elected,house,commons,appointed,governor,general,representing,monarch,canada,head,state,country,commonwealth,realm,officially,bilingual,federal,level,ranks,highest,international,measurements,government,transparency,civil,liberties,quality,life,economic,freedom,education,gender,equality,environmental,sustainability,worlds,ethnically,diverse,multicultural,nations,product,large,scale,immigration,canadas,long,complex,relationship,united,states,significant,impact,history,economy,culture",0.00,canada
"a highly developed country canada has the th highest nominal per capita income globally and the fifteenth highest ranking on the human development index its advanced economy is the eighth largest in the world relying chiefly upon its abundant natural resources and well developed international trade networks canada is part of several major international and intergovernmental institutions or groupings including the united nations nato g group of ten g organisation for economic co operation and development  world trade organization  commonwealth of nations arctic council organisation internationale de la francophonie asia pacific economic cooperation forum and organization of american states
",highly developed country canada th highest nominal capita income globally fifteenth highest ranking human development index advanced economy eighth largest world relying chiefly abundant natural resources developed international trade networks canada major international intergovernmental institutions groupings including united nations nato g group g organisation economic co operation development world trade organization commonwealth nations arctic council organisation internationale de la francophonie asia pacific economic cooperation forum organization american states,4.44,"highly,developed,country,canada,th,highest,nominal,capita,income,globally,fifteenth,highest,ranking,human,development,index,advanced,economy,eighth,largest,world,relying,chiefly,abundant,natural,resources,developed,international,trade,networks,canada,major,international,intergovernmental,institutions,groupings,including,united,nations,nato,g,group,g,organisation,economic,co,operation,development,world,trade,organization,commonwealth,nations,arctic,council,organisation,internationale,de,la,francophonie,asia,pacific,economic,cooperation,forum,organization,american,states",0.00,canada
"while a variety of theories have been postulated for the etymological origins of canada the name is now accepted as coming from the st lawrence iroquoian word kanata meaning village or settlement in  indigenous inhabitants of the present day quebec city region used the word to direct french explorer jacques cartier to the village of stadacona cartier later used the word canada to refer not only to that particular village but to the entire area subject to donnacona  by  european books and maps had begun referring to this small region along the saint lawrence river as canada
",variety theories postulated etymological origins canada accepted coming st lawrence iroquoian word kanata meaning village settlement indigenous inhabitants present day quebec city region word direct french explorer jacques cartier village stadacona cartier later word canada refer particular village entire area subject donnacona european books maps begun referring small region saint lawrence river canada,7.59,"variety,theories,postulated,etymological,origins,canada,accepted,coming,st,lawrence,iroquoian,word,kanata,meaning,village,settlement,indigenous,inhabitants,present,day,quebec,city,region,word,direct,french,explorer,jacques,cartier,village,stadacona,cartier,later,word,canada,refer,particular,village,entire,area,subject,donnacona,european,books,maps,begun,referring,small,region,saint,lawrence,river,canada",0.00,canada
"from the th to the early th century canada referred to the part of new france that lay along the saint lawrence river in  the area became two british colonies called upper canada and lower canada these two colonies were collectively named the canadas until their union as the british province of canada in 
",th early th century canada referred new france lay saint lawrence river area british colonies called upper canada lower canada colonies collectively named canadas union british province canada,8.47,"th,early,th,century,canada,referred,new,france,lay,saint,lawrence,river,area,british,colonies,called,upper,canada,lower,canada,colonies,collectively,named,canadas,union,british,province,canada",0.00,canada
"upon confederation in  canada was adopted as the legal name for the new country at the london conference and the word dominion was conferred as the countrys title by the s the term dominion of canada was no longer used by the united kingdom which considered canada a realm of the commonwealth the government of louis st laurent ended the practice of using dominion in the statutes of canada in 
",confederation canada adopted legal new country london conference word dominion conferred countrys title term dominion canada longer united kingdom considered canada realm commonwealth government louis st laurent ended practice dominion statutes canada,9.62,"confederation,canada,adopted,legal,new,country,london,conference,word,dominion,conferred,countrys,title,term,dominion,canada,longer,united,kingdom,considered,canada,realm,commonwealth,government,louis,st,laurent,ended,practice,dominion,statutes,canada",0.00,canada
"the canada act  which brought the constitution of canada fully under canadian control referred only to canada later that year the name of the national holiday was changed from dominion day to canada day the term dominion was used to distinguish the federal government from the provinces though after the second world war the term federal had replaced dominion
",canada act brought constitution canada fully canadian control referred canada later year national holiday changed dominion day canada day term dominion distinguish federal government provinces second world war term federal replaced dominion,7.50,"canada,act,brought,constitution,canada,fully,canadian,control,referred,canada,later,year,national,holiday,changed,dominion,day,canada,day,term,dominion,distinguish,federal,government,provinces,second,world,war,term,federal,replaced,dominion",0.00,canada
"indigenous peoples in present day canada include the first nations inuit and mit is the last being of mixed descent who originated in the mid th century when first nations people married european settlers and subsequently developed their own identity
",indigenous peoples present day canada include nations inuit mit mixed descent originated mid th century nations people married european settlers subsequently developed identity,6.77,"indigenous,peoples,present,day,canada,include,nations,inuit,mit,mixed,descent,originated,mid,th,century,nations,people,married,european,settlers,subsequently,developed,identity",0.00,canada
"the first inhabitants of north america are generally hypothesized to have migrated from siberia by way of the bering land bridge and arrived at least  years ago the paleo indian archeological sites at old crow flats and bluefish caves are two of the oldest sites of human habitation in canada the characteristics of indigenous societies included permanent settlements agriculture complex societal hierarchies and trading networks some of these cultures had collapsed by the time european explorers arrived in the late th and early th centuries and have only been discovered through archeological investigations
",inhabitants north america generally hypothesized migrated siberia way bering land bridge arrived years ago paleo indian archeological sites old crow flats bluefish caves oldest sites human habitation canada characteristics indigenous societies included permanent settlements agriculture complex societal hierarchies trading networks cultures collapsed time european explorers arrived late th early th centuries discovered archeological investigations,6.38,"inhabitants,north,america,generally,hypothesized,migrated,siberia,way,bering,land,bridge,arrived,years,ago,paleo,indian,archeological,sites,old,crow,flats,bluefish,caves,oldest,sites,human,habitation,canada,characteristics,indigenous,societies,included,permanent,settlements,agriculture,complex,societal,hierarchies,trading,networks,cultures,collapsed,time,european,explorers,arrived,late,th,early,th,centuries,discovered,archeological,investigations",0.00,canada
