Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the canadian dollar  is the currency of canada it is abbreviated with the dollar sign  there is no standard disambiguating form but the abbreviations can and c are frequently used for distinction from other dollar denominated currencies a it is divided into  cents 
",canadian dollar currency canada abbreviated dollar sign standard disambiguating form abbreviations c frequently distinction dollar denominated currencies divided cents,9.02,"canadian,dollar,currency,canada,abbreviated,dollar,sign,standard,disambiguating,form,abbreviations,c,frequently,distinction,dollar,denominated,currencies,divided,cents",0.00,dollar
"owing to the image of a common loon on its reverse the dollar coin and sometimes the unit of currency itself may be referred to as the loonie by english speaking canadians and foreign exchange traders and analysts
",owing image common loon reverse dollar coin unit currency referred loonie english speaking canadians foreign exchange traders analysts,9.35,"owing,image,common,loon,reverse,dollar,coin,unit,currency,referred,loonie,english,speaking,canadians,foreign,exchange,traders,analysts",0.00,dollar
"accounting for approximately  of all global reserves the canadian dollar is the fifth most held reserve currency in the world behind the yous dollar the euro the yen and sterling the canadian dollar is popular with central banks because of canadas relative economic soundness the canadian governments strong sovereign position and the stability of the countrys legal and political systems
",accounting approximately global reserves canadian dollar fifth held reserve currency world yous dollar euro yen sterling canadian dollar popular central banks canadas relative economic soundness canadian governments strong sovereign position stability countrys legal political systems,6.43,"accounting,approximately,global,reserves,canadian,dollar,fifth,held,reserve,currency,world,yous,dollar,euro,yen,sterling,canadian,dollar,popular,central,banks,canadas,relative,economic,soundness,canadian,governments,strong,sovereign,position,stability,countrys,legal,political,systems",0.00,dollar
"the s in canada were a decade of debate over whether to adopt a sd based monetary system or a decimal monetary system based on the us dollar the british north american provinces for reasons of practicality in relation to the increasing trade with the neighbouring united states had a desire to assimilate their currencies with the american unit but the imperial authorities in london still preferred sterling as the sole currency throughout the british empire the british north american provinces nonetheless gradually adopted currencies tied to the american dollar
",canada decade debate adopt sd based monetary system decimal monetary system based dollar british north american provinces reasons practicality relation increasing trade neighbouring united states desire assimilate currencies american unit imperial authorities london preferred sterling sole currency british empire british north american provinces nonetheless gradually adopted currencies tied american dollar,7.07,"canada,decade,debate,adopt,sd,based,monetary,system,decimal,monetary,system,based,dollar,british,north,american,provinces,reasons,practicality,relation,increasing,trade,neighbouring,united,states,desire,assimilate,currencies,american,unit,imperial,authorities,london,preferred,sterling,sole,currency,british,empire,british,north,american,provinces,nonetheless,gradually,adopted,currencies,tied,american,dollar",0.00,dollar
"in  the parliament of the province of canada passed an act for the purposes of introducing a sterling based unit in conjunction with decimal fractional coinage the idea was that the decimal coins would correspond to exact amounts in relation to the yous dollar fractional coinage
",parliament province canada passed act purposes introducing sterling based unit conjunction decimal fractional coinage idea decimal coins correspond exact amounts relation yous dollar fractional coinage,7.50,"parliament,province,canada,passed,act,purposes,introducing,sterling,based,unit,conjunction,decimal,fractional,coinage,idea,decimal,coins,correspond,exact,amounts,relation,yous,dollar,fractional,coinage",0.00,dollar
"in response to british concerns in  an act of the parliament of the province of canada introduced the gold standard into the colony based on both the british gold sovereign and the american gold eagle coins this gold standard was introduced with the gold sovereign being legal tender at   us no coinage was provided for under the  act sterling coinage was made legal tender and all other silver coins were demonetized the british government in principle allowed for a decimal coinage but nevertheless held out the hope that a sterling unit would be chosen under the name of royal however in  the decision was made to introduce a decimal coinage into the province of canada in conjunction with the yous dollar unit hence when the new decimal coins were introduced in  the colonys currency became aligned with the yous currency although the british gold sovereign continued to remain legal tender at the rate of   can right up until the s in  canadian colonial postage stamps were issued with decimal denominations for the first time in  canadian postage stamps were issued with the denominations shown in dollars and cents
",response british concerns act parliament province canada introduced gold standard colony based british gold sovereign american gold eagle coins gold standard introduced gold sovereign legal tender coinage provided act sterling coinage legal tender silver coins demonetized british government principle allowed decimal coinage held hope sterling unit chosen royal decision introduce decimal coinage province canada conjunction yous dollar unit new decimal coins introduced colonys currency aligned yous currency british gold sovereign continued remain legal tender rate right canadian colonial postage stamps issued decimal denominations time canadian postage stamps issued denominations shown dollars cents,8.56,"response,british,concerns,act,parliament,province,canada,introduced,gold,standard,colony,based,british,gold,sovereign,american,gold,eagle,coins,gold,standard,introduced,gold,sovereign,legal,tender,coinage,provided,act,sterling,coinage,legal,tender,silver,coins,demonetized,british,government,principle,allowed,decimal,coinage,held,hope,sterling,unit,chosen,royal,decision,introduce,decimal,coinage,province,canada,conjunction,yous,dollar,unit,new,decimal,coins,introduced,colonys,currency,aligned,yous,currency,british,gold,sovereign,continued,remain,legal,tender,rate,right,canadian,colonial,postage,stamps,issued,decimal,denominations,time,canadian,postage,stamps,issued,denominations,shown,dollars,cents",0.00,dollar
"in  the colonies of new brunswick and nova scotia followed the province of canada in adopting a decimal system based on the yous dollar unit
",colonies new brunswick nova scotia followed province canada adopting decimal system based yous dollar unit,7.09,"colonies,new,brunswick,nova,scotia,followed,province,canada,adopting,decimal,system,based,yous,dollar,unit",0.00,dollar
"in  prince edward island went decimal within the yous dollar unit and introduced coins in the denomination of  cent however the currency of prince edward island was absorbed into the canadian system shortly afterwards when prince edward island joined the dominion of canada in 
",prince edward island went decimal yous dollar unit introduced coins denomination cent currency prince edward island absorbed canadian system shortly prince edward island joined dominion canada,6.47,"prince,edward,island,went,decimal,yous,dollar,unit,introduced,coins,denomination,cent,currency,prince,edward,island,absorbed,canadian,system,shortly,prince,edward,island,joined,dominion,canada",0.00,dollar
"newfoundland went decimal in  but unlike the province of canada new brunswick and nova scotia it decided to adopt a unit based on the spanish dollar rather than on the yous dollar and there was a slight difference between these two units the yous dollar was created in  on the basis of the average weight of a selection of worn spanish dollars as such the spanish dollar was worth slightly more than the yous dollar and likewise the newfoundland dollar until  was worth slightly more than the canadian dollar
",newfoundland went decimal unlike province canada new brunswick nova scotia decided adopt unit based spanish dollar yous dollar slight difference units yous dollar created basis average weight selection worn spanish dollars spanish dollar worth slightly yous dollar likewise newfoundland dollar worth slightly canadian dollar,8.84,"newfoundland,went,decimal,unlike,province,canada,new,brunswick,nova,scotia,decided,adopt,unit,based,spanish,dollar,yous,dollar,slight,difference,units,yous,dollar,created,basis,average,weight,selection,worn,spanish,dollars,spanish,dollar,worth,slightly,yous,dollar,likewise,newfoundland,dollar,worth,slightly,canadian,dollar",0.00,dollar
"the colony of british columbia adopted the british columbia dollar as its currency in  at par with the canadian dollar when british columbia joined canada as its sixth province in  the canadian dollar replaced the british columbia dollar
",colony british columbia adopted british columbia dollar currency par canadian dollar british columbia joined canada sixth province canadian dollar replaced british columbia dollar,6.30,"colony,british,columbia,adopted,british,columbia,dollar,currency,par,canadian,dollar,british,columbia,joined,canada,sixth,province,canadian,dollar,replaced,british,columbia,dollar",0.00,dollar
